"date","Colorado/Adams","Colorado/Alamosa","Colorado/Arapahoe","Colorado/Archuleta","Colorado/Baca","Colorado/Bent","Colorado/Boulder","Colorado/Broomfield","Colorado/Chaffee","Colorado/Cheyenne","Colorado/Clear Creek","Colorado/Conejos","Colorado/Costilla","Colorado/Crowley","Colorado/Custer","Colorado/Delta","Colorado/Denver","Colorado/Dolores","Colorado/Douglas","Colorado/Eagle","Colorado/El Paso","Colorado/Elbert","Colorado/Fremont","Colorado/Garfield","Colorado/Gilpin","Colorado/Grand","Colorado/Gunnison","Colorado/Hinsdale","Colorado/Huerfano","Colorado/Jackson","Colorado/Jefferson","Colorado/Kiowa","Colorado/Kit Carson","Colorado/La Plata","Colorado/Lake","Colorado/Larimer","Colorado/Las Animas","Colorado/Lincoln","Colorado/Logan","Colorado/Mesa","Colorado/Mineral","Colorado/Moffat","Colorado/Montezuma","Colorado/Montrose","Colorado/Morgan","Colorado/Otero","Colorado/Ouray","Colorado/Out of CO","Colorado/Park","Colorado/Phillips","Colorado/Pitkin","Colorado/Prowers","Colorado/Pueblo","Colorado/Rio Blanco","Colorado/Rio Grande","Colorado/Routt","Colorado/Saguache","Colorado/San Juan","Colorado/San Miguel","Colorado/Sedgwick","Colorado/Summit","Colorado/Teller","Colorado/Unassigned","Colorado/Washington","Colorado/Weld","Colorado/Yuma"
"2020-04-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %",""," 70.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-02"," 17.13 %"," ##.## %"," 14.41 %","   .00 %","   .00 %","","  6.54 %","  5.00 %","   .00 %",""," 50.00 %","","   .00 %","   .00 %","","   .00 %","  8.72 %",""," 12.06 %"," 29.96 %","  9.79 %","   .00 %","   .00 %","  3.03 %","","   .00 %","  2.44 %","   .00 %","   .00 %",""," 17.11 %",""," ##.## %","   .00 %"," ##.## %","  8.08 %","","   .00 %","   .00 %","-12.50 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 10.00 %","","  4.76 %","","   .00 %"," 11.76 %","   .00 %","","   .00 %","","   .00 %","   .00 %","  -.78 %","   .00 %"," 14.90 %","   .00 %"
"2020-04-03"," 22.64 %","   .00 %"," 15.75 %","   .00 %"," ##.## %",""," 15.79 %"," 42.86 %","  5.88 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  9.73 %","","  8.23 %","  6.44 %","  8.28 %","   .00 %","   .00 %"," 26.47 %","","   .00 %","  2.38 %","   .00 %","   .00 %","","  8.15 %","","   .00 %","  4.35 %","   .00 %"," 15.89 %","","   .00 %"," 16.67 %"," 21.43 %","   .00 %","   .00 %"," ##.## %","  7.69 %"," 40.00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","  9.09 %",""," 18.18 %","","   .00 %"," 21.05 %"," ##.## %",""," 75.00 %",""," 17.65 %","   .00 %"," 12.50 %","   .00 %"," 12.29 %","   .00 %"
"2020-04-04"," 13.08 %","   .00 %"," 13.38 %","   .00 %","   .00 %","","  8.33 %"," 20.00 %","  5.56 %","","   .00 %","","   .00 %","   .00 %"," ##.## %"," ##.## %"," 11.35 %",""," 13.45 %","  6.05 %"," 10.00 %"," 20.00 %","   .00 %","  4.65 %","","   .00 %","  2.33 %","   .00 %","   .00 %",""," 14.29 %","","   .00 %","  4.17 %"," 50.00 %","  8.06 %","   .00 %","   .00 %","   .00 %"," 17.65 %","   .00 %","-25.00 %","   .00 %"," 85.71 %","   .00 %","   .00 %","","   .00 %"," 66.67 %","   .00 %","  5.56 %",""," 19.23 %","   .00 %","   .00 %"," 21.74 %","   .00 %",""," 28.57 %",""," 25.00 %"," 57.14 %","  9.72 %","   .00 %"," 15.20 %","   .00 %"
"2020-04-05"," 20.41 %","   .00 %"," 21.60 %","   .00 %","   .00 %",""," 23.78 %"," 38.89 %"," 15.79 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 15.22 %",""," 14.95 %","  1.80 %"," 16.31 %"," 50.00 %"," 50.00 %","  2.22 %","","   .00 %","  5.68 %","   .00 %","   .00 %",""," 17.95 %",""," 25.00 %"," 16.00 %","   .00 %"," 14.18 %","   .00 %","   .00 %"," 28.57 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 23.08 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %",""," 29.03 %","   .00 %","   .00 %","  3.57 %","   .00 %",""," 11.11 %","","  8.00 %","   .00 %"," 58.86 %","   .00 %"," 24.01 %","   .00 %"
"2020-04-06","  3.67 %","   .00 %","  7.24 %"," ##.## %","   .00 %","","  6.78 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 25.00 %","  2.67 %","","  1.79 %","  4.72 %","  1.38 %","   .00 %","   .00 %","  2.17 %","","   .00 %","  2.15 %","   .00 %","   .00 %","","  4.05 %","","   .00 %"," 10.34 %","   .00 %","  3.27 %","   .00 %","   .00 %"," 22.22 %"," 25.00 %","   .00 %","   .00 %","   .00 %","  6.25 %"," 11.76 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.63 %","","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  7.41 %","   .00 %","  9.96 %","   .00 %","  7.23 %","   .00 %"
"2020-04-07","  5.72 %","   .00 %"," 10.12 %","   .00 %","   .00 %","","  8.99 %","   .00 %","   .00 %",""," 16.67 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.37 %","","  2.20 %","  4.79 %","  3.63 %","   .00 %"," 33.33 %","  2.13 %","","   .00 %","   .00 %","   .00 %","   .00 %","","  7.22 %","","   .00 %","  6.25 %","   .00 %","  1.90 %","   .00 %","   .00 %"," 18.18 %","  8.00 %","   .00 %","   .00 %","   .00 %","  2.94 %"," 21.05 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  4.76 %","   .00 %","   .00 %"," 10.34 %","   .00 %","","   .00 %",""," -8.62 %","  9.09 %"," -8.70 %","   .00 %","  6.55 %","   .00 %"
"2020-04-08","  7.47 %"," 25.00 %","  6.41 %","   .00 %","   .00 %","","   .49 %","  4.00 %","  4.55 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.86 %","","  5.17 %","   .54 %","  3.28 %"," 11.11 %","   .00 %","  2.08 %","","   .00 %","  3.16 %","   .00 %","   .00 %","","  5.35 %","","   .00 %","   .00 %","   .00 %","  3.73 %","   .00 %","   .00 %","   .00 %"," 18.52 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","","  2.27 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  5.66 %","   .00 %"," -5.56 %","   .00 %","  6.70 %","   .00 %"
"2020-04-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-10"," 13.91 %","   .00 %"," 14.79 %","   .00 %","   .00 %","","  4.83 %"," 17.31 %"," 13.04 %",""," 42.86 %","","   .00 %","   .00 %","   .00 %"," 20.00 %"," 11.22 %",""," 10.66 %","  5.35 %"," 13.14 %","   .00 %"," 25.00 %","  2.04 %","   .00 %","   .00 %","  1.02 %","   .00 %","   .00 %","","  8.20 %",""," 20.00 %","  8.82 %"," 33.33 %","  4.19 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.57 %"," 91.30 %"," 25.00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 10.00 %","","  1.79 %","   .00 %"," -1.26 %"," ##.## %","  7.16 %","   .00 %"
