"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23"," 25.00 %"," 13.04 %","  4.17 %","","   .00 %","   .00 %"," 21.67 %","   .00 %"," 25.00 %"," 50.00 %"," 16.58 %","   .00 %","  9.33 %"," 28.00 %"," 22.22 %"," ##.## %"," 13.51 %"
"2020-03-24"," 33.33 %"," 42.31 %"," 24.00 %","","   .00 %"," ##.## %"," 61.64 %"," 66.67 %"," 60.00 %"," 33.33 %"," 31.03 %","   .00 %"," 57.32 %"," ##.## %"," 51.95 %"," 60.38 %"," 73.81 %"
"2020-03-25"," 27.50 %"," 91.89 %"," ##.## %","","   .00 %"," 50.00 %"," 50.00 %"," 40.00 %"," 87.50 %"," 37.50 %"," 46.71 %","   .00 %"," 72.09 %"," 57.81 %"," 46.15 %"," 87.06 %"," 76.71 %"
"2020-03-26"," 31.37 %","  2.82 %"," 34.33 %","","   .00 %","   .00 %"," 39.55 %"," 14.29 %"," 22.22 %"," 54.55 %"," 20.63 %","   .00 %"," 31.53 %"," 36.63 %"," 30.99 %"," 67.92 %"," 28.68 %"
"2020-03-27"," 49.25 %"," 43.84 %"," 43.33 %","","   .00 %"," 33.33 %"," 41.70 %"," 50.00 %"," 63.64 %"," 17.65 %"," 27.32 %","   .00 %"," 34.59 %"," 35.51 %"," 40.85 %"," 13.48 %"," 31.93 %"
"2020-03-28"," 33.00 %"," 13.33 %"," 38.76 %","","   .00 %"," ##.## %"," 34.86 %"," 62.50 %"," ##.## %"," 50.00 %"," 22.92 %","   .00 %"," 24.68 %"," 45.45 %"," 33.60 %"," 17.49 %"," 32.88 %"
"2020-03-29"," 11.28 %"," 26.89 %"," 16.20 %","","   .00 %","   .00 %"," 20.76 %","  5.13 %","  9.84 %"," 23.33 %"," 16.51 %","   .00 %"," 11.84 %"," 19.49 %"," 11.51 %"," 29.21 %"," 15.81 %"
"2020-03-30"," 16.89 %","  7.28 %"," 26.44 %","","   .00 %","   .00 %"," 14.56 %"," 19.51 %"," 26.87 %"," 24.32 %"," 16.31 %","   .00 %"," 14.60 %"," 16.92 %"," 18.62 %","  6.30 %"," 15.73 %"
"2020-03-31"," 10.40 %","  5.56 %"," 16.35 %","","","   .00 %"," 20.06 %"," 24.49 %"," 38.82 %"," 50.00 %"," 17.44 %",""," 17.52 %"," 20.79 %"," 23.14 %","-31.90 %"," 11.03 %"
"2020-04-01"," 33.51 %","  7.02 %"," 19.61 %","",""," 37.50 %"," 12.88 %"," 18.03 %"," 34.18 %"," 17.39 %"," 18.06 %",""," 12.33 %"," 22.22 %"," 18.28 %","-24.62 %"," 30.02 %"
"2020-04-02"," 10.98 %"," 16.39 %"," 15.85 %","","","  9.09 %"," 17.40 %"," 18.06 %"," 14.95 %"," 25.93 %"," 18.20 %",""," 13.15 %"," 10.70 %"," 16.75 %","  7.57 %"," 18.47 %"
"2020-04-03"," 10.95 %"," 12.68 %"," 21.93 %","",""," 33.33 %"," 19.15 %","  4.71 %"," 21.06 %"," 11.76 %"," 17.75 %",""," 11.41 %"," 19.97 %"," 15.14 %","-21.11 %"," 23.69 %"
"2020-04-04","  5.10 %","  5.42 %"," 16.25 %","","","   .00 %"," 13.09 %","  6.74 %"," 10.89 %","  9.65 %"," 12.08 %",""," 14.74 %"," 20.54 %"," 11.27 %"," 28.64 %"," 10.91 %"
