"date","Oregon/Baker","Oregon/Benton","Oregon/Clackamas","Oregon/Clatsop","Oregon/Columbia","Oregon/Coos","Oregon/Crook","Oregon/Curry","Oregon/Deschutes","Oregon/Douglas","Oregon/Gilliam","Oregon/Grant","Oregon/Harney","Oregon/Hood River","Oregon/Jackson","Oregon/Jefferson","Oregon/Josephine","Oregon/Klamath","Oregon/Lake","Oregon/Lane","Oregon/Lincoln","Oregon/Linn","Oregon/Malheur","Oregon/Marion","Oregon/Morrow","Oregon/Multnomah","Oregon/Polk","Oregon/Sherman","Oregon/Tillamook","Oregon/Umatilla","Oregon/Unassigned","Oregon/Union","Oregon/Wallowa","Oregon/Wasco","Oregon/Washington","Oregon/Wheeler","Oregon/Yamhill"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","8","0","2","2","0","0","0","","0","0","0","14","0","0"
"2020-03-24","0","0","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","4","0","0","0","0","","0","0","0","7","0","0"
"2020-03-25","0","2","4","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","1","1","4","0","11","0","8","0","0","0","0","","0","0","0","20","0","1"
"2020-03-26","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","2","0","1","0","14","0","12","3","0","1","0","","0","0","1","8","0","0"
"2020-03-27","0","0","10","0","1","0","0","0","3","1","0","0","0","0","2","0","0","1","0","3","0","2","0","26","1","22","4","0","0","1","","0","0","1","18","0","4"
"2020-03-28","0","2","5","1","0","0","0","0","2","0","0","0","0","0","2","0","1","0","0","-1","0","4","0","11","0","14","1","0","0","1","","0","0","0","18","0","2"
"2020-03-29","0","0","3","0","0","0","0","0","3","0","0","0","0","1","11","0","1","2","0","1","0","4","0","15","0","10","2","0","1","0","","0","0","1","14","0","0"
"2020-03-30","0","1","1","0","0","0","0","0","2","4","0","0","0","0","1","0","4","0","0","2","0","0","0","14","0","9","2","0","1","0","","0","0","2","14","0","1"
"2020-03-31","","3","10","0","0","","","","-1","1","","0","","1","1","","0","1","","4","1","1","1","18","0","16","3","","0","1","","0","1","2","18","","2"
"2020-04-01","","1","6","0","0","","","","3","1","","0","","-1","1","","0","0","","2","1","0","0","10","0","18","0","","0","0","","0","0","0","3","","1"
"2020-04-02","","2","5","0","0","","","","5","-1","","0","","1","5","","2","3","","3","1","0","0","13","0","26","0","","0","0","","2","0","0","22","","1"
"2020-04-03","","2","5","1","0","","1","","4","0","","0","","0","0","","0","5","","0","0","0","1","14","1","15","2","","0","0","","0","0","0","17","","5"
"2020-04-04","","0","0","0","0","","0","","0","0","","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","","0"
"2020-04-05","","2","18","0","5","","0","","3","2","","0","","-1","6","","1","2","","6","0","6","0","20","0","58","4","1","0","2","","0","0","0","31","","3"
