"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-06-04","0","6","2","0","8","","0","","1","","14","10","2","1","0","1","10","7","3","","","","","0","","","0","","0","","","0"
"2020-06-05","1","14","3","0","0","","22","","2","0","35","0","0","","0","7","4","0","10","6","","1","","3","","","0","","","","0","1"
"2020-06-06","","16","3","","0","","4","","","0","7","8","11","0","0","","33","","7","","","1","","2","0","","3","","3","","4","10"
"2020-06-07","0","2","4","","17","","2","","9","23","14","1","0","1","","9","10","0","39","0","2","","1","15","22","","1","","","","0","6"
"2020-06-08","","6","6","6","0","","7","8","0","","9","7","16","","0","0","11","4","13","1","","0","","3","0","","0","","1","","","1"
"2020-06-09","","7","2","3","7","","24","0","6","","22","11","11","","0","0","3","0","11","-1","0","0","","0","21","","2","","3","","","8"
"2020-06-10","","11","7","0","5","1","2","","","0","57","8","7","0","0","","5","3","26","1","","0","","7","","","5","","","","","4"
"2020-06-11","","7","4","","","","5","","0","0","17","6","","1","5","3","0","0","3","","","4","","","0","","0","","3","","9","5"
"2020-06-12","6","12","14","","","0","0","1","9","0","30","4","0","1","","","1","5","19","","0","0","","7","","","4","","0","","","7"
"2020-06-13","0","8","12","","0","","4","","2","18","33","0","3","","1","0","1","","8","","","7","","3","3","","2","","","","13","0"
"2020-06-14","0","3","1","5","0","","11","","0","8","17","0","0","0","0","0","0","0","23","1","0","10","","4","","","0","","1","","","30"
"2020-06-15","0","11","0","","11","","26","","2","12","18","1","3","0","4","5","","","23","5","","13","","3","2","","2","5","0","","0","0"
"2020-06-16","2","5","4","0","","","15","","4","0","3","0","19","4","2","6","4","3","11","2","1","11","","5","9","","3","","","","","7"
"2020-06-17","","1","2","0","9","","3","","","0","4","2","7","2","2","14","0","11","10","","","6","","","0","","0","","","","","0"
"2020-06-18","","0","0","2","0","0","17","","1","","16","","7","","0","14","3","2","16","0","0","9","0","4","0","","5","","","","","1"
"2020-06-19","0","2","5","","11","","43","5","","9","5","21","0","2","7","18","","","12","1","0","5","0","2","","","0","","","","","5"
"2020-06-20","0","","","0","9","1","70","0","7","","17","20","0","1","2","19","4","8","54","","2","9","0","4","","","7","0","2","","","1"
"2020-06-21","7","0","2","0","0","","62","2","0","0","12","0","0","0","","41","0","5","32","","4","8","0","4","","","4","","0","","2","1"
"2020-06-22","0","12","5","15","3","3","10","","5","18","0","3","3","0","3","2","6","2","9","","15","8","","0","","","15","","5","","","1"
"2020-06-23","","2","0","0","","","14","","0","0","10","4","8","0","","1","4","9","33","0","1","13","","0","6","","17","0","","","","3"
"2020-06-24","4","0","7","1","1","","6","","","0","49","14","4","1","16","0","2","2","19","0","","1","","0","","","4","","1","","","3"
"2020-06-25","3","0","7","13","5","","0","0","2","23","39","4","0","1","","","4","4","23","","4","0","0","0","","","19","5","0","","4","8"
"2020-06-26","0","1","2","1","0","0","2","","","0","43","7","0","1","","12","5","1","21","0","","0","6","","0","","28","","0","","","1"
"2020-06-27","1","3","31","0","10","","2","","","12","48","6","1","6","","1","5","3","45","0","0","1","0","0","","","5","0","0","","","4"
"2020-06-28","1","1","13","2","4","2","22","","","0","33","1","9","2","6","0","2","0","29","0","0","3","","3","1","","3","","0","","","0"
"2020-06-29","4","2","8","0","14","","18","1","3","20","60","2","9","0","","","7","13","19","","","10","0","12","","","","0","","","0","1"
"2020-06-30","0","0","2","6","8","0","4","0","0","59","41","5","8","15","1","17","8","0","38","7","4","6","4","0","","","0","","0","","","10"
"2020-07-01","0","0","26","0","1","","25","0","","0","48","31","12","0","","","3","2","12","","0","0","","1","","","0","","0","","0","3"
"2020-07-02","4","3","2","1","3","0","13","0","","0","49","2","3","4","6","","6","0","24","1","","14","","2","","","3","5","","","","4"
"2020-07-03","","0","3","7","0","","18","1","10","19","38","18","8","1","0","3","0","1","37","0","1","6","1","","","","2","5","12","","","12"
"2020-07-04","0","12","0","1","3","","4","","0","26","91","11","8","15","","0","6","5","29","0","0","11","0","3","","","0","","0","","0","4"
"2020-07-05","0","0","15","2","0","","16","","","56","99","5","1","33","0","0","0","6","10","2","0","8","16","3","","","6","","11","","","1"
"2020-07-06","3","0","3","14","12","1","15","","0","49","73","25","4","1","1","0","8","0","13","1","","1","3","3","","","12","16","0","","","4"
"2020-07-07","5","1","16","13","0","","5","","4","0","96","3","6","8","","","2","12","18","","7","15","0","0","","","4","0","0","","2","0"
"2020-07-08","4","1","3","6","0","","21","","5","0","120","1","46","5","","","3","16","28","1","1","5","9","14","4","","7","0","3","","0","0"
"2020-07-09","0","","12","14","14","0","42","19","2","67","100","9","32","7","","6","3","10","15","18","10","7","4","5","","","0","","5","","","0"
"2020-07-10","23","45","17","24","4","1","32","0","2","8","185","17","13","8","","1","10","2","15","0","30","7","8","0","","","3","85","1","","","24"
"2020-07-11","8","","11","1","1","0","26","1","","2","187","0","27","2","","","6","31","37","0","","0","","18","","","16","","14","","","0"
"2020-07-12","5","0","9","6","3","3","71","","","0","106","4","25","","5","","5","3","15","4","0","38","24","2","","","2","0","22","","","38"
"2020-07-13","5","0","0","3","6","","45","","6","10","248","7","8","1","","4","4","2","52","4","0","0","9","8","0","","11","1","","","","71"
"2020-07-14","0","3","25","7","12","0","32","","0","1","268","7","6","4","","","4","23","37","2","0","18","2","1","","","12","2","8","","","135"
"2020-07-15","0","5","31","6","0","0","10","","0","35","270","10","20","0","2","2","3","48","28","10","0","15","","25","","","6","1","1","","","84"
"2020-07-16","8","0","3","6","3","0","2","","4","36","84","17","98","30","0","","5","17","12","0","17","0","0","0","0","","1","0","5","","7","46"
"2020-07-17","9","26","15","0","2","","3","","0","10","220","13","10","0","","0","6","17","28","4","13","1","33","1","","","1","0","0","","0","41"
"2020-07-18","6","0","6","11","5","0","42","0","1","3","279","7","84","0","","8","2","23","50","9","21","12","6","0","","","15","0","2","","","15"
"2020-07-19","1","8","15","13","7","0","28","","0","6","199","18","40","13","0","","1","20","80","5","0","9","0","0","","","7","9","0","","","37"
"2020-07-20","11","2","17","3","1","5","44","4","1","22","118","1","20","6","","0","9","7","32","11","9","15","3","53","18","","2","2","3","","0","38"
"2020-07-21","4","0","0","5","2","3","58","","0","0","137","5","37","","4","0","10","14","46","41","0","9","0","7","","","4","1","1","","5","7"
"2020-07-22","9","5","49","10","21","0","11","","0","0","68","23","9","12","0","0","6","12","83","18","40","20","12","4","","","17","0","5","","0","6"
"2020-07-23","1","5","31","14","8","0","27","","11","6","407","15","4","5","0","14","3","11","44","3","","28","0","0","0","","0","0","2","","","4"
"2020-07-24","2","0","19","18","18","8","35","","0","22","530","7","2","7","0","0","7","7","19","1","30","0","4","1","0","","2","61","5","","0","3"
"2020-07-25","18","5","33","7","4","2","43","0","7","23","391","17","32","5","0","0","7","2","49","3","10","19","4","17","0","","7","0","11","","5","7"
"2020-07-26","0","4","6","31","23","2","26","0","10","14","432","12","19","5","0","15","6","26","28","5","6","22","0","7","0","","3","137","14","","1","10"
"2020-07-27","17","6","10","25","23","5","34","3","8","43","160","14","7","9","0","17","9","19","77","1","32","12","2","1","","","9","12","14","","0","12"
"2020-07-28","5","1","11","12","52","0","24","0","0","23","307","59","25","30","2","16","11","14","0","17","18","0","3","35","0","","0","10","11","","0","1"
"2020-07-29","26","4","33","7","13","7","14","0","7","49","396","44","10","5","0","29","8","23","114","35","11","2","0","16","3","","4","3","1","","0","14"
"2020-07-30","3","7","14","11","13","0","62","0","4","34","431","0","21","6","0","19","14","29","12","1","10","14","0","23","","","1","47","7","","0","24"
"2020-07-31","1","5","4","6","10","3","116","0","0","27","212","3","21","3","20","14","10","68","81","41","12","18","19","1","0","","10","31","11","","1","24"
"2020-08-01","1","2","19","7","33","0","78","","6","49","139","8","9","6","2","10","9","31","162","18","16","0","13","22","0","","28","20","10","","0","58"
"2020-08-02","5","6","5","0","16","1","91","13","18","88","43","14","14","7","7","20","4","18","61","66","5","10","0","30","0","","10","57","15","","25","32"
"2020-08-03","5","16","30","4","28","40","50","","24","83","354","27","70","1","0","17","11","57","97","5","15","29","12","37","0","","31","35","16","","3","22"
"2020-08-04","2","16","58","12","4","9","68","1","5","120","258","2","25","11","1","30","12","19","218","84","24","7","34","10","8","","121","128","0","","0","122"
"2020-08-05","20","24","27","0","10","0","40","","4","16","485","29","5","3","8","28","12","1","125","22","11","43","18","14","6","","75","0","107","","0","122"
"2020-08-06","5","22","25","7","15","2","44","","6","4","290","11","47","4","25","14","11","33","197","45","10","24","1","35","8","","40","121","23","","5","76"
"2020-08-07","34","15","17","19","13","5","147","11","116","136","700","8","20","8","24","0","14","37","202","22","3","15","11","0","0","","6","55","62","","4","106"
"2020-08-08","6","16","33","16","8","0","37","","13","75","560","8","34","3","36","41","21","17","203","143","24","12","4","62","6","","32","36","31","","8","59"
"2020-08-09","1","10","83","2","31","","131","0","21","111","402","27","58","5","25","46","10","23","210","128","47","15","15","33","0","","14","35","49","","7","4"
"2020-08-10","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0"
"2020-08-11","39","5","67","44","59","13","129","1","60","108","586","39","78","11","48","158","35","101","724","43","142","73","23","37","10","","36","164","126","","0","62"
"2020-08-12","4","15","30","50","26","1","126","0","24","33","389","8","34","6","21","46","31","47","177","120","28","25","11","35","1","","100","47","61","","14","163"
"2020-08-13","0","100","13","12","44","28","71","0","37","139","255","18","4","21","10","36","7","30","228","29","33","20","1","28","0","","45","42","95","","19","57"
"2020-08-14","0","8","71","7","20","0","128","0","28","25","266","9","111","19","44","12","42","12","156","33","75","18","25","33","16","","50","10","24","","0","63"
"2020-08-15","13","13","61","10","26","5","166","","0","54","272","16","52","10","77","26","13","19","231","46","22","6","2","56","0","","80","93","54","","9","89"
"2020-08-16","4","26","63","5","38","15","99","0","72","32","355","18","16","17","6","62","16","16","241","41","64","39","6","2","6","","59","20","89","","5","118"
"2020-08-17","18","36","101","15","38","0","131","4","63","49","232","38","36","14","31","37","14","20","99","49","42","51","31","34","31","","1","112","35","","30","111"
"2020-08-18","0","7","52","70","42","7","84","","15","27","156","6","39","19","47","105","20","17","287","73","58","17","13","63","2","","96","14","20","","1","178"
"2020-08-19","1","22","66","54","22","11","110","","25","127","324","3","32","20","43","35","23","17","265","69","33","21","8","62","68","","85","18","14","","2","41"
"2020-08-20","1","35","31","25","24","1","63","2","33","65","365","33","86","21","16","50","16","29","357","63","39","60","11","41","0","","21","42","20","","0","91"
"2020-08-21","5","75","70","12","28","8","78","17","95","34","190","30","74","13","21","101","19","18","246","86","43","88","40","151","27","","77","146","21","","6","108"
"2020-08-22","7","26","58","32","25","0","147","","20","30","216","15","87","19","38","92","22","38","254","69","72","80","23","51","4","","74","77","125","","4","68"
"2020-08-23","18","14","90","0","144","6","172","0","23","50","265","27","24","13","73","68","16","23","276","153","80","56","9","130","0","","84","68","68","","1","178"
"2020-08-24","3","85","276","53","140","1","152","19","61","42","237","53","58","18","-31","114","22","19","428","98","52","54","31","96","0","","97","144","59","","0","138"
"2020-08-25","32","18","63","29","99","87","98","5","20","42","266","32","40","17","72","73","74","37","627","104","76","70","44","143","0","","140","112","32","","20","73"
"2020-08-26","22","65","155","78","245","84","181","1","49","27","238","16","32","20","56","68","19","34","732","119","54","112","36","60","11","","121","217","127","","103","261"
"2020-08-27","5","51","101","36","43","31","225","3","30","89","277","17","135","42","48","47","25","30","435","182","75","119","11","33","3","","218","25","64","","38","72"
