"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","1","","","","",""
"2020-03-19","","","","","","","","","","","","1","","",""
"2020-03-21","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","1","","",""
"2020-03-23","","","","","","","","","","","","1","","",""
"2020-03-24","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","1","","",""
"2020-03-28","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","1","","",""
"2020-03-30","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","1","","",""
"2020-04-01","","","","","","","","","","1","","1","","",""
"2020-04-02","","","","","","","","","","1","","","","",""
"2020-04-03","","","","","","","","","","1","","1","","",""
"2020-04-04","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","1","","","","",""
"2020-04-06","","","","","","","","","","1","","1","","",""
"2020-04-07","","","","","","","","","","","","","","",""
"2020-04-08","","","","","","","","","","1","","","","",""
"2020-04-09","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","1","","","","",""
"2020-04-13","","","","","","","","","","1","","","","",""
"2020-04-14","","","","","","","","","","1","","","","",""
"2020-04-15","","","","","","","","","","1","","","","",""
"2020-04-16","","","","","","","","","","","","","","",""
