"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","5","1","0","0","0","0","2","","0"
"2020-03-23","6","2","0","0","0","0","2","","0"
"2020-03-24","7","2","0","0","0","0","3","","0"
"2020-03-25","12","2","0","0","2","0","3","","0"
"2020-03-26","13","2","0","1","2","0","3","","0"
"2020-03-27","15","2","0","1","6","0","3","","0"
"2020-03-28","20","2","0","1","6","0","4","","0"
"2020-03-29","21","2","0","1","6","0","4","","0"
"2020-03-30","21","3","1","1","6","0","4","0","0"
"2020-03-31","38","7","1","1","12","1","7","2","0"
"2020-04-01","46","11","1","2","15","1","7","2","0"
"2020-04-02","65","13","2","3","17","1","10","1","0"
"2020-04-03","75","18","4","2","18","3","10","1","0"
"2020-04-04","86","26","5","4","29","3","10","1","1"
"2020-04-05","96","29","6","5","36","4","11","1","1"
"2020-04-06","101","31","8","7","41","4","13","0","1"
"2020-04-07","132","48","9","7","60","4","13","3","1"
"2020-04-08","132","48","9","7","60","4","13","52","1"
"2020-04-09","178","75","13","14","78","6","13","2","1"
"2020-04-10","203","88","16","17","98","7","14","4","1"
"2020-04-11","220","101","20","18","107","7","15","5","1"
"2020-04-12","248","116","24","18","119","7","17","4","1"
"2020-04-13","262","133","24","19","135","7","17","4","1"
"2020-04-14","287","153","29","21","151","7","18","4","1"
"2020-04-15","365","213","35","28","195","7","22","2","1"
"2020-04-16","406","243","44","30","214","9","22","2","1"
"2020-04-17","425","266","46","32","229","10","24","2","2"
"2020-04-18","432","289","48","37","241","10","24","3","2"
"2020-04-19","447","295","48","40","257","10","24","4","2"
"2020-04-20","512","369","58","45","301","13","27","4","2"
"2020-04-21","544","402","59","47","322","13","30","4","2"
"2020-04-22","584","442","63","53","345","14","32","4","7"
"2020-04-23","615","469","66","57","372","17","33","6","4"
"2020-04-24","662","511","69","63","396","23","34","6","3"
"2020-04-25","689","553","73","62","416","28","35","6","3"
"2020-04-26","707","579","74","66","429","31","35","0","3"
"2020-04-27","727","612","75","69","456","34","35","1","3"
"2020-04-28","747","643","76","70","478","34","35","1","3"
"2020-04-29","774","670","79","76","493","35","36","3","3"
"2020-04-30","810","698","80","79","512","36","36","4","2"
"2020-05-01","839","715","86","82","533","42","38","2","2"
"2020-05-02","865","741","89","91","565","43","39","1","2"
"2020-05-03","865","741","89","91","565","43","39","1","2"
"2020-05-04","910","773","94","93","595","45","40","3","3"
"2020-05-05","935","804","95","95","610","45","43","2","4"
"2020-05-06","952","842","100","98","629","47","44","2","4"
"2020-05-07","977","867","104","104","643","49","46","2","5"
"2020-05-08","1006","884","103","108","669","50","46","3","5"
"2020-05-09","1017","901","105","114","686","54","46","3","6"
"2020-05-10","1024","909","107","115","701","54","47","3","7"
"2020-05-11","1034","921","109","115","716","56","47","3","7"
"2020-05-12","1046","931","110","116","723","58","47","3","7"
"2020-05-13","1068","963","110","116","745","60","49","5","9"
"2020-05-14","1093","999","115","118","767","62","51","3","11"
"2020-05-15","1109","1025","115","124","783","63","51","3","12"
"2020-05-16","1125","1044","116","124","800","65","51","2","12"
"2020-05-17","1146","1069","116","125","817","66","54","1","14"
"2020-05-18","1153","1084","116","131","830","66","54","2","14"
"2020-05-19","1160","1090","117","131","838","66","54","2","14"
"2020-05-20","1167","1116","121","131","855","68","55","2","14"
"2020-05-21","1180","1133","121","131","874","73","55","2","14"
"2020-05-22","1195","1155","121","135","888","72","55","2","14"
"2020-05-23","1208","1169","122","136","897","72","55","2","14"
"2020-05-24","1215","1175","121","136","903","74","55","0","14"
"2020-05-25","1221","1187","126","138","922","78","56","0","14"
"2020-05-26","1231","1193","129","142","925","78","56","1","14"
"2020-05-27","1242","1203","130","143","934","79","57","1","14"
"2020-05-28","1246","1208","128","144","946","83","57","0","14"
"2020-05-29","1257","1222","130","146","957","85","57","0","14"
"2020-05-30","1267","1238","131","150","966","89","57","0","14"
"2020-05-31","1277","1250","133","152","972","89","57","0","14"
"2020-06-01","1288","1259","136","153","974","89","58","0","13"
"2020-06-02","1287","1253","133","150","985","90","60","0","14"
"2020-06-03","1289","1259","133","152","990","92","60","0","14"
"2020-06-04","1293","1266","134","154","992","94","60","0","14"
"2020-06-05","1304","1277","134","155","999","95","60","0","14"
"2020-06-06","1309","1279","134","157","1007","95","60","0","14"
"2020-06-07","1312","1287","134","159","1010","95","60","0","14"
"2020-06-08","1316","1291","134","160","1013","96","60","0","14"
"2020-06-09","1319","1291","136","163","1016","96","61","0","15"
"2020-06-10","1321","1303","134","164","1024","97","61","2","14"
"2020-06-11","1333","1308","135","165","1031","98","62","0","14"
"2020-06-12","1337","1313","135","166","1034","98","62","0","14"
"2020-06-13","1345","1321","135","168","1041","100","62","0","14"
"2020-06-14","1346","1327","136","171","1044","101","62","0","14"
"2020-06-15","1347","1328","135","171","1045","102","62","0","14"
"2020-06-16","1350","1330","135","171","1046","102","62","0","14"
"2020-06-17","1352","1331","135","171","1052","101","63","0","14"
"2020-06-18","1352","1336","135","172","1052","101","64","0","14"
"2020-06-19","1355","1341","135","172","1056","101","64","0","14"
"2020-06-20","1361","1344","135","172","1060","101","64","0","14"
"2020-06-21","1361","1350","135","174","1061","101","64","0","14"
"2020-06-22","1362","1350","135","174","1063","101","64","0","14"
"2020-06-23","1367","1352","136","177","1065","102","64","0","14"
"2020-06-24","1370","1356","136","179","1066","102","64","0","14"
"2020-06-25","1373","1362","136","179","1068","102","64","0","14"
"2020-06-26","1375","1365","136","182","1069","102","64","0","14"
"2020-06-27","1375","1369","136","182","1069","102","64","0","14"
"2020-06-28","1375","1369","136","183","1073","102","64","0","14"
"2020-06-29","1376","1370","136","183","1075","102","64","0","14"
"2020-06-30","1376","1370","137","184","1075","102","64","0","14"
"2020-07-01","1376","1373","137","185","1073","102","64","0","14"
"2020-07-02","1376","1374","137","185","1074","102","64","0","14"
"2020-07-03","1377","1378","137","186","1077","102","64","0","14"
"2020-07-04","1377","1378","137","186","1077","102","64","0","14"
"2020-07-05","1377","1378","137","186","1077","102","64","0","14"
"2020-07-06","1377","1380","137","186","1078","102","64","0","14"
"2020-07-07","1377","1380","137","186","1078","102","64","0","14"
"2020-07-08","1378","1382","137","187","1079","102","64","0","14"
"2020-07-09","1380","1385","137","187","1079","102","64","0","14"
"2020-07-10","1380","1385","137","187","1079","102","64","0","14"
"2020-07-11","1380","1385","137","187","1079","102","64","0","14"
"2020-07-12","1380","1385","137","187","1079","102","64","0","14"
"2020-07-13","1385","1391","139","187","1087","101","65","2","14"
"2020-07-14","1385","1394","138","187","1087","102","65","0","14"
"2020-07-15","1387","1398","138","188","1088","102","65","0","14"
"2020-07-16","1391","1402","138","189","1088","102","65","0","14"
"2020-07-17","1395","1403","138","189","1090","102","65","0","14"
"2020-07-18","1395","1403","138","189","1090","102","65","0","14"
"2020-07-19","1395","1403","138","189","1090","102","65","0","14"
"2020-07-20","1399","1406","138","189","1092","102","65","0","15"
"2020-07-21","1399","1406","138","189","1092","102","65","0","15"
"2020-07-22","1399","1407","138","188","1092","102","65","0","15"
"2020-07-23","1401","1408","138","188","1093","102","65","0","15"
"2020-07-24","1402","1408","138","188","1095","102","65","0","15"
"2020-07-25","1402","1408","138","188","1095","102","65","0","15"
"2020-07-26","1402","1408","138","188","1095","102","65","0","15"
"2020-07-27","1402","1410","138","189","1097","102","65","0","15"
"2020-07-28","1403","1411","138","189","1099","103","65","0","15"
"2020-07-29","1404","1411","138","189","1100","103","65","0","15"
"2020-07-30","1406","1411","138","191","1101","103","66","0","15"
"2020-07-31","1406","1412","138","191","1101","103","66","0","15"
"2020-08-01","1406","1412","138","191","1101","103","66","0","15"
"2020-08-02","1406","1412","138","191","1101","103","66","0","15"
"2020-08-03","1408","1412","138","191","1104","103","66","0","15"
"2020-08-04","1408","1412","138","191","1104","103","66","0","15"
"2020-08-05","1408","1412","138","191","1104","103","66","0","15"
"2020-08-06","1406","1414","138","191","1104","103","66","0","15"
"2020-08-07","1408","1415","138","192","1104","103","66","0","15"
"2020-08-08","1408","1415","138","192","1104","103","66","0","15"
"2020-08-09","1408","1415","138","192","1104","103","66","0","15"
"2020-08-10","1409","1415","138","192","1106","103","66","0","15"
"2020-08-11","1409","1415","138","192","1106","103","66","0","15"
"2020-08-12","1410","1416","139","192","1109","104","65","0","15"
"2020-08-13","1410","1416","139","192","1109","104","65","0","15"
"2020-08-14","1410","1419","139","192","1109","104","65","0","15"
"2020-08-15","1410","1419","139","192","1109","104","65","0","15"
"2020-08-16","1410","1419","139","192","1109","104","65","0","15"
"2020-08-17","1411","1420","139","192","1109","105","65","0","15"
"2020-08-18","1411","1420","139","192","1109","105","65","0","15"
"2020-08-19","1410","1419","139","192","1111","106","65","0","15"
"2020-08-20","1410","1420","139","192","1111","106","65","0","15"
"2020-08-21","1411","1422","139","192","1111","105","65","0","15"
"2020-08-22","1411","1422","139","192","1111","105","65","0","15"
"2020-08-23","1411","1422","139","192","1111","105","65","0","15"
"2020-08-24","1411","1422","139","192","1111","105","65","0","15"
