"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","0","6","0","0","0","0","4","0","1","0","0","0","3","1","1","0","0","0","0","4","0","0"
"2020-03-23","0","6","0","1","0","0","4","0","1","0","0","0","3","1","1","0","0","1","0","9","0","0"
"2020-03-24","0","6","0","1","0","0","4","0","1","0","0","0","3","1","1","0","0","1","0","26","0","0"
"2020-03-25","0","6","0","1","0","0","4","0","1","0","0","0","3","1","1","0","0","1","0","44","0","0"
"2020-03-26","0","6","0","1","0","0","4","0","1","0","0","0","3","1","1","0","0","1","0","63","0","0"
"2020-03-27","0","6","0","1","0","0","4","0","2","0","0","0","3","1","1","7","0","1","0","82","0","0"
"2020-03-28","0","13","0","1","0","0","7","1","4","0","0","4","6","3","4","7","0","4","0","86","0","0"
"2020-03-29","0","23","2","1","0","0","13","1","6","0","0","12","8","8","6","10","0","6","1","56","7","1"
"2020-03-30","0","23","2","1","0","1","13","1","7","0","0","12","8","8","6","10","0","6","1","91","7","1"
"2020-03-31","0","4","0","3","0","1","4","0","2","0","0","0","2","1","1","1","0","1","0","247","0","0"
"2020-04-01","0","75","5","3","0","1","69","2","29","0","3","27","24","25","23","15","1","15","6","0","29","3"
"2020-04-02","1","120","8","6","0","1","99","2","44","0","4","48","38","40","38","22","1","17","7","4","34","3"
"2020-04-03","1","132","9","7","0","1","118","3","59","0","5","56","48","43","45","34","2","23","8","4","45","3"
"2020-04-04","1","179","10","8","0","2","155","3","78","1","13","76","54","51","56","38","2","24","9","14","66","6"
"2020-04-05","1","189","11","8","2","2","172","3","87","2","16","80","58","55","62","42","2","26","9","13","71","6"
"2020-04-06","1","200","11","8","3","2","186","3","92","2","19","87","62","60","71","53","2","31","11","14","78","7"
"2020-04-07","4","263","13","12","2","2","232","5","103","2","24","100","71","87","85","62","3","40","15","5","95","7"
"2020-04-08","4","314","17","22","3","2","276","7","122","2","28","139","86","102","101","71","3","46","21","4","125","9"
"2020-04-09","4","345","21","23","3","3","321","8","132","4","36","152","98","117","119","82","3","59","21","4","145","9"
"2020-04-10","6","390","22","29","5","3","352","8","163","7","39","168","107","135","121","101","3","69","26","2","161","15"
"2020-04-11","7","435","22","29","5","3","412","9","183","11","49","177","115","152","132","119","3","78","27","2","195","18"
"2020-04-12","8","453","23","32","9","3","428","9","226","11","50","193","123","162","138","131","4","79","35","2","209","22"
"2020-04-13","8","482","24","35","9","3","433","9","236","11","53","204","127","162","141","136","4","85","38","2","217","24"
"2020-04-14","11","550","28","41","10","3","535","11","277","11","71","216","145","192","149","156","4","91","39","2","238","25"
"2020-04-15","13","608","45","49","10","3","590","14","312","14","76","248","167","212","166","182","4","101","41","2","269","30"
"2020-04-16","13","668","52","60","10","3","642","18","365","15","87","278","190","216","185","211","4","121","43","3","301","33"
"2020-04-17","17","714","54","64","14","3","684","22","420","16","101","309","206","232","201","221","4","135","54","3","330","36"
"2020-04-18","19","741","57","73","14","4","732","23","434","17","110","313","221","255","212","243","4","146","55","2","356","39"
"2020-04-19","19","767","58","74","14","4","740","24","612","18","113","329","226","257","217","250","4","158","62","0","372","44"
