"date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wuhan Evacuee","Wyoming"
"2020-03-16","-99.90 %","   .00 %"," 38.46 %","-99.84 %","-99.67 %","-99.46 %"," 25.00 %"," 14.29 %"," 37.50 %","-99.82 %","-99.80 %"," 16.67 %","-99.87 %","-99.92 %","-99.94 %","-99.91 %","-99.91 %","-99.84 %","-99.72 %"," 41.67 %"," 28.12 %"," 20.12 %","-99.92 %","-99.83 %","-99.94 %","-99.97 %","-98.93 %","-99.90 %"," 87.50 %"," 30.77 %"," 81.63 %","-99.83 %","-99.75 %","-99.92 %","-99.97 %","-99.88 %","-99.89 %","-99.39 %","-99.91 %","-99.92 %","  5.00 %","-99.85 %","-99.84 %","-99.84 %","-99.92 %"," 39.29 %"," 50.00 %","-99.91 %","-96.68 %","-##.## %","-99.80 %","","   .00 %"
"2020-03-17","-99.97 %"," ##.## %"," 11.11 %","-99.97 %","-99.91 %","-99.76 %"," ##.## %"," ##.## %","   .00 %","-99.97 %","-99.95 %"," 42.86 %","-99.98 %","-99.94 %","-99.97 %","-99.97 %","-99.97 %","-99.96 %","-99.88 %"," 88.24 %"," 46.34 %"," 10.66 %","-99.95 %","-99.93 %","-99.98 %","-99.99 %","-99.91 %","-99.95 %"," 24.44 %"," 52.94 %"," 50.00 %","-99.92 %","-99.62 %","-99.97 %","-99.98 %","-99.95 %","-99.98 %","-99.79 %","-99.93 %","-99.99 %","  9.52 %","-99.97 %","-99.94 %","-99.96 %","-99.99 %"," 30.77 %","   .00 %","-99.95 %","-98.70 %","-99.99 %","-99.93 %",""," ##.## %"
"2020-03-18","-99.97 %"," ##.## %"," 35.00 %","-99.96 %","-99.91 %","-99.74 %","   .00 %"," 18.75 %"," 40.91 %","-99.96 %","-99.94 %"," 40.00 %","-99.98 %","-99.95 %","-99.97 %","-99.97 %","-99.97 %","-99.96 %","-99.85 %"," 31.25 %"," 41.67 %","   .00 %","-99.94 %","-99.92 %","-99.97 %","-99.99 %","-99.92 %","-99.95 %"," -1.79 %","   .00 %","   .00 %","-99.92 %","-99.46 %","-99.97 %","-99.97 %","-99.95 %","-99.98 %","-99.80 %","-99.91 %","-99.99 %"," 43.48 %","-99.97 %","-99.95 %","-99.96 %","-99.98 %","   .00 %"," 50.00 %","-99.95 %","-98.86 %","-99.99 %","-99.93 %",""," 36.36 %"
"2020-03-19","-99.50 %"," 50.00 %"," 66.67 %","-99.00 %","-99.04 %","-98.87 %"," ##.## %"," 57.89 %"," 29.03 %","-99.20 %","-99.35 %"," 14.29 %","-99.58 %","-99.63 %","-99.81 %","-99.75 %","-99.63 %","-99.59 %","-98.97 %"," 23.81 %"," 25.88 %"," 50.46 %","-99.39 %","-99.59 %","-99.64 %","-99.75 %","-97.70 %","-99.77 %"," 72.73 %"," 69.23 %"," ##.## %","-99.51 %","-98.53 %","-99.50 %","-99.26 %","-99.64 %","-99.28 %","-97.78 %","-99.72 %","-99.85 %"," 33.33 %","-99.22 %","-99.76 %","-99.26 %","-99.55 %"," 56.86 %"," 22.22 %","-99.75 %","-93.18 %","-99.89 %","-99.00 %",""," 20.00 %"
"2020-03-20","-99.78 %"," 33.33 %"," 73.33 %","-99.53 %","-99.47 %","-98.88 %"," 22.01 %"," 26.67 %"," 77.50 %","-99.62 %","-99.47 %"," 62.50 %","-99.60 %","-99.59 %","-99.81 %","-99.84 %","-99.69 %","-99.69 %","-99.06 %","  7.69 %"," 39.25 %"," 25.91 %","-99.21 %","-99.68 %","-99.70 %","-99.75 %","-98.37 %","-99.81 %"," 20.00 %","   .00 %"," 19.95 %","-99.64 %","-97.89 %","-99.73 %","-99.46 %","-99.66 %","-99.63 %","-98.66 %","-99.67 %","-99.81 %"," 22.73 %","-99.64 %","-99.79 %","-99.45 %","-99.75 %"," -2.50 %"," 31.82 %","-99.80 %","-95.27 %","-99.76 %","-99.26 %","","  5.56 %"
"2020-03-21"," ##.## %"," 25.00 %"," 51.28 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," 18.42 %"," 38.03 %"," ##.## %"," ##.## %"," 42.31 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," 25.00 %"," 29.53 %"," 27.12 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," 41.23 %"," 25.00 %"," 49.10 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," 22.22 %"," ##.## %"," 40.00 %"," ##.## %"," ##.## %"," 74.36 %","   .00 %"," ##.## %"," 98.34 %","   .00 %"," ##.## %",""," 21.05 %"
"2020-03-22"," 19.85 %"," 33.33 %"," 28.81 %"," 35.25 %"," 20.67 %"," 51.54 %"," 68.56 %"," 24.44 %","  4.08 %"," 52.35 %"," 22.49 %"," 43.24 %"," 16.67 %"," 39.31 %"," 59.38 %"," 32.35 %"," 14.04 %"," 18.39 %"," 43.08 %"," 27.14 %"," 26.42 %"," 23.05 %"," 31.35 %"," 21.01 %"," 47.86 %"," 17.57 %"," 61.90 %"," 34.21 %"," 18.01 %"," 34.55 %"," 44.24 %"," 32.56 %"," 34.93 %"," 20.55 %","   .00 %"," 43.55 %"," 26.42 %"," 41.23 %"," 28.54 %","  9.52 %"," 25.76 %"," 14.62 %"," 50.00 %"," 36.12 %"," 10.67 %"," 19.12 %"," 79.31 %"," 41.03 %"," 11.38 %"," ##.## %"," 35.11 %","   .00 %"," 13.04 %"
"2020-03-23","-99.83 %"," 50.00 %"," 54.61 %","-99.66 %","-99.68 %","-98.72 %"," 26.91 %"," 21.43 %"," 17.65 %","-99.79 %","-99.69 %","  5.66 %","-99.77 %","-99.42 %","-99.68 %","-99.81 %","-99.78 %","-99.71 %","-99.17 %"," 20.22 %"," 18.85 %"," 20.28 %","-98.75 %","-99.66 %","-99.68 %","-99.75 %","-99.47 %","-99.84 %"," 28.95 %"," 36.49 %"," 48.59 %","-99.66 %","-95.13 %","-99.77 %","-99.69 %","-99.61 %","-99.85 %","-99.23 %","-99.48 %","-99.90 %"," 27.71 %","-99.73 %","-99.75 %","-99.57 %","-99.87 %"," 58.64 %"," 44.23 %","-99.77 %","-96.85 %","-99.83 %","-99.39 %","","   .00 %"
"2020-03-24","-98.58 %"," 13.33 %"," 38.72 %","-96.77 %","-97.62 %","-97.18 %"," 48.92 %"," 52.94 %"," 17.50 %","-97.41 %","-97.76 %"," 60.71 %","-97.08 %","-98.69 %","-98.90 %","-99.35 %","-98.97 %","-98.29 %","-96.42 %"," 10.28 %"," 20.34 %"," 49.16 %","-96.83 %","-98.89 %","-97.84 %","-98.04 %","-89.66 %","-99.52 %"," 13.47 %","   .00 %"," 29.22 %","-98.67 %","-93.03 %","-98.16 %","-98.57 %","-98.36 %","-98.33 %","-94.92 %","-98.74 %","-98.93 %"," 16.98 %","-96.93 %","-99.38 %","-96.50 %","-98.43 %"," 15.95 %"," 26.67 %","-99.31 %","-88.95 %","-98.87 %","-97.28 %",""," 11.54 %"
"2020-03-25","-99.05 %"," 20.59 %"," 23.01 %","-98.73 %","-98.78 %","-96.94 %"," 41.59 %"," 14.42 %"," 32.62 %","-99.01 %","-98.58 %","  1.11 %","-98.62 %","-98.70 %","-98.97 %","-99.52 %","-99.11 %","-98.77 %","-97.08 %"," 20.34 %"," 21.78 %"," 58.58 %","-96.80 %","-99.23 %","-98.69 %","-98.44 %","-94.00 %","-99.63 %"," 16.19 %","  6.93 %"," 19.78 %","-99.10 %","-92.19 %","-99.14 %","-98.77 %","-98.67 %","-98.87 %","-97.14 %","-98.64 %","-99.33 %","  6.45 %","-98.93 %","-99.41 %","-98.05 %","-99.31 %"," 14.09 %"," 31.58 %","-99.38 %","-92.41 %","-98.72 %","-97.91 %",""," 51.72 %"
