"date","Lakshadweep/Lakshadweep"
"2021-01-18","14"
"2021-01-19","21"
"2021-01-20","30"
"2021-01-21","48"
"2021-01-22","50"
"2021-01-23","57"
"2021-01-25","67"
"2021-01-26","69"
"2021-01-29","70"
"2021-01-30","79"
"2021-01-31","87"
"2021-02-01","99"
"2021-02-02","119"
"2021-02-03","122"
"2021-02-04","126"
"2021-02-05","141"
"2021-02-06","151"
"2021-02-07","153"
"2021-02-08","154"
"2021-02-09","166"
"2021-02-10","181"
"2021-02-11","187"
"2021-02-12","188"
"2021-02-13","224"
"2021-02-14","233"
"2021-02-15","234"
"2021-02-16","251"
"2021-02-17","261"
"2021-02-18","263"
"2021-02-21","266"
"2021-02-22","281"
"2021-02-23","302"
"2021-02-24","308"
