"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Lakshadweep","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-04-10","","","","","","   .00 %","","   .00 %","","-99.94 %","","","","","-99.97 %","-99.98 %","","-99.98 %","-99.98 %","","","","","-99.95 %","","-99.98 %","","","","","","","",""
"2020-04-11","","","","","","","","   .00 %","","-99.92 %","","","-99.94 %","","-99.99 %","-99.97 %","","-99.97 %","-99.98 %","","","","","-99.77 %","","-99.90 %","","","","-99.94 %","","","",""
"2020-04-12","","","","","","   .00 %","","   .00 %","","-99.99 %","","","   .00 %",""," ##.## %","   .00 %","","-99.99 %","   .00 %","","","","","","","","","","","-99.97 %","","   .00 %","",""
"2020-04-13","","","","","   .00 %","","","   .00 %","","-99.95 %","","","-99.94 %","","-99.98 %","-99.95 %","","-99.93 %","-99.98 %","","","","","-99.94 %","","   .00 %","","","-99.99 %","-99.93 %","","","",""
"2020-04-14","","","","","","","","   .00 %","","-99.92 %","","","-99.93 %","","-99.95 %","-99.94 %","","-99.93 %","-99.98 %","","","","","-99.94 %","","-99.98 %","","","-99.99 %","-99.93 %","","","",""
"2020-04-15","","","","","-99.97 %","","","   .00 %","","-99.97 %","","","-99.96 %","","-99.97 %","-99.98 %","","-99.97 %","-99.99 %","","","","","","","","","","","-99.96 %","","","",""
"2020-04-16","","","","","-99.93 %","","","   .00 %","","-99.98 %","","","-99.98 %","","-99.98 %","-99.99 %","","-99.99 %","-99.99 %","","","","","","","-99.98 %","","","-##.## %","-99.97 %","","","",""
"2020-04-17","   .00 %","","","","","","","   .00 %","","-99.87 %","","","-98.77 %","","-97.76 %","","","-99.48 %","-99.82 %","","","","","","","","","","","-99.49 %","","-99.82 %","",""
"2020-04-18","   .00 %","","","","","   .00 %","","   .00 %","","-99.90 %","","","-99.86 %","","-99.86 %","-99.66 %","","-99.92 %","-99.96 %","","","","","","","","","","","-99.88 %","","-99.97 %","",""
"2020-04-19","   .00 %","","","","-99.88 %","   .00 %","","   .00 %","","-99.92 %","","","-99.94 %","","-99.99 %","-99.96 %","","","-99.98 %","","","","","","","","-99.96 %","","-99.99 %","-99.94 %","","   .00 %","",""
"2020-04-20","   .00 %","","","","","","","   .00 %","","-99.94 %","","","-99.90 %","","-99.94 %","-99.83 %","","-99.95 %","-99.97 %","","","","","","","","-99.92 %","","","-99.91 %","","","",""
"2020-04-21","   .00 %","","","","-99.92 %","   .00 %","","   .00 %","","-99.95 %","","","","","-99.95 %","-99.96 %","","-99.94 %","-99.98 %","","","","","","","","-99.96 %","","","-99.94 %","","-99.99 %","",""
"2020-04-22","   .00 %","","","","","","","   .00 %","","-99.94 %","","","-99.92 %","","-99.96 %","-99.90 %","","-99.92 %","-99.97 %","","","","","","","","","","-99.99 %","-99.92 %","","-99.98 %","",""
"2020-04-23","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %",""," 50.00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %"," 10.00 %","","","","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %"
"2020-04-24","   .00 %","","","","-99.98 %","","","   .00 %","","-99.97 %","","","-99.97 %","","-99.98 %","","","-99.97 %","-99.99 %","","","","","","","","","","-##.## %","","","-##.## %","",""
"2020-04-25","   .00 %","","","","-99.36 %","   .00 %","","   .00 %","","-99.84 %","","","-99.50 %","","-99.56 %","-97.14 %","","-99.64 %","-99.91 %","","","","","","","-99.51 %","","","-99.95 %","-99.72 %","","","",""
"2020-04-26","","","","","-99.93 %","   .00 %","","   .00 %","","-99.95 %","","","-99.95 %","","-99.97 %","","","-99.95 %","-99.98 %","","","","","","","-99.99 %","","","-99.99 %","-99.94 %","","-99.99 %","",""
"2020-04-27","","","","","-98.96 %","   .00 %","","   .00 %","","-99.54 %","","","-99.76 %","","-99.88 %","-99.24 %","","-99.42 %","-99.86 %","","","","","-98.36 %","","-99.38 %","-99.10 %","","-99.99 %","-99.89 %","","-99.98 %","",""
"2020-04-28","   .00 %","","","","-99.92 %","   .00 %","","   .00 %","","-99.07 %","","","-99.85 %","","-99.93 %","-99.90 %","","-99.30 %","-99.83 %","","","","","-99.94 %","","","-99.38 %","","-99.98 %","-99.92 %","","-99.94 %","","-99.97 %"
"2020-04-29","","","","","","   .00 %","","   .00 %","","-96.28 %","","","-96.00 %","   .00 %","-89.39 %","-88.89 %","","-91.72 %","-97.44 %","","","","","   .00 %",""," ##.## %","-93.72 %","","-98.92 %","","","-97.39 %","   .00 %","-99.57 %"
"2020-04-30","   .00 %","","","","-99.63 %","   .00 %",""," ##.## %","","-98.30 %","-99.96 %","","-99.87 %","","-99.91 %","-99.97 %","","-98.98 %","-99.76 %","","","","","","","-99.06 %","-99.14 %","","-99.97 %","-99.76 %","","-99.88 %","","-99.86 %"
"2020-05-01","","-99.98 %","","","-99.61 %","   .00 %",""," 40.00 %","","-99.07 %","-99.99 %","","-99.92 %","","-99.96 %","-99.97 %","","-99.43 %","-99.84 %","","","","","-99.74 %","","-99.74 %","-99.74 %","","-99.98 %","-99.88 %","","-99.95 %","-99.33 %","-99.85 %"
"2020-05-02","   .00 %","-99.98 %","","","-99.94 %","   .00 %",""," 42.86 %","","-98.66 %","-99.98 %","","-99.89 %","","-99.93 %","-99.98 %","","-99.28 %","-99.75 %","","","","","-99.96 %","","-99.98 %","-99.55 %","","-99.96 %","-99.83 %","","-99.92 %","-99.97 %","-99.76 %"
"2020-05-03","   .00 %","   .00 %","","","-98.38 %","   .00 %","","-10.00 %",""," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""," ##.## %"," ##.## %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-90.85 %"
"2020-05-04","","-99.97 %","","","   .00 %","   .00 %","","   .00 %","","-95.21 %","-99.84 %","","-99.87 %","","-99.88 %","-99.88 %","","-98.12 %","-99.44 %","","","","","   .00 %","","   .00 %","-98.15 %","","-99.94 %","-99.66 %","","-99.72 %","","-98.47 %"
"2020-05-05","","-99.96 %","","","-99.94 %","   .00 %","","   .00 %","","-95.82 %","-99.94 %","-99.90 %","-99.84 %","","-99.89 %","","","-98.48 %","-99.52 %","","","","","-99.90 %","","-99.91 %","-98.34 %","","-99.92 %","-99.95 %","","-99.78 %","-99.94 %","-98.55 %"
"2020-05-06","","-99.97 %","","","","   .00 %",""," 11.11 %","","-97.32 %","-99.95 %","","-99.95 %","","-99.96 %","","","-99.11 %","-99.73 %","","","","","","","-99.81 %","-99.38 %","","-99.97 %","-99.89 %","","-99.89 %","","-99.14 %"
"2020-05-07","   .00 %","-99.88 %","","","-99.78 %","   .00 %","","   .00 %","","-91.76 %","-99.79 %","","-99.67 %","","-99.82 %","-99.87 %","","-96.56 %","-99.05 %","","","","","-99.78 %","","-99.77 %","-96.25 %","","-99.88 %","-99.66 %","","-99.59 %","","-97.12 %"
"2020-05-08","","-99.84 %","","-99.97 %","-99.94 %"," ##.## %",""," 20.00 %","","-91.24 %","-99.75 %","","-99.77 %","","-99.93 %","-99.80 %","","-96.30 %","-99.03 %","","","","","","","-99.96 %","-96.22 %","","-99.84 %","-99.69 %","","-99.52 %","-99.98 %","-97.22 %"
"2020-05-09","","-99.82 %","","-99.87 %","-99.85 %","   .00 %","","   .00 %","","-92.04 %","-99.81 %","","-99.87 %","","-99.84 %","-99.97 %","","-97.03 %","-99.12 %","","","","","-99.94 %","","-99.82 %","-97.14 %","","-99.84 %","-99.64 %","","-99.48 %","","-98.15 %"
"2020-05-10","","-99.81 %","","","-99.91 %"," 50.00 %",""," 41.67 %","","-92.57 %","-99.80 %","","-99.84 %","","-99.86 %","-99.95 %","","-97.60 %","-99.12 %","","","","","-99.96 %","","-99.94 %","-97.63 %","","-99.82 %","-99.78 %","","-99.53 %","-99.98 %","-98.06 %"
"2020-05-11","","-97.22 %","","-99.75 %","-99.89 %","   .00 %","","   .00 %","","-81.49 %","-98.33 %","","-97.77 %","","-98.50 %","","","-79.66 %","-95.21 %","","","","","-99.85 %","","-99.86 %","-86.14 %","","-98.82 %","-98.94 %","","-95.91 %","","-81.95 %"
"2020-05-12","","-99.84 %","","","-99.72 %","   .00 %",""," 76.47 %","","-95.32 %","-99.91 %","","-99.85 %","","-99.90 %","","","-98.07 %","   .00 %","","","","","-99.93 %","","-99.76 %","-98.70 %","","-99.78 %","-99.79 %","","-99.74 %","","-98.31 %"
"2020-05-13","","-97.30 %","","-99.76 %","-99.52 %","   .00 %",""," 66.67 %","","-79.09 %","-97.94 %","","-97.51 %","","-98.37 %","-97.50 %","","-78.74 %","-94.90 %","","","","","-99.83 %","","-99.77 %","-85.01 %","","-98.40 %","-97.40 %","   .00 %","-95.63 %","-99.92 %","-81.13 %"
"2020-05-14","","-99.59 %","","-99.78 %","-99.85 %","   .00 %",""," 18.00 %","   .00 %","-84.91 %","-98.98 %","","-99.28 %","","-99.58 %","-99.66 %","","-89.86 %","-97.22 %","","","","","-99.86 %","","-99.92 %","-92.13 %","","-99.44 %","-98.75 %","","-98.55 %","-99.96 %","-93.37 %"
"2020-05-15","","-99.67 %","","-99.79 %","-99.58 %","   .00 %",""," 13.56 %","","-85.36 %","-99.36 %","","-99.38 %","","-99.78 %","","","-92.83 %","-97.69 %","","","","","-99.83 %","","-99.79 %","-93.34 %","","-99.48 %","-99.40 %","","-98.82 %","-99.92 %","-94.79 %"
"2020-05-16","","-99.72 %","","   .00 %","   .00 %","   .00 %","","  8.96 %","   .00 %","-86.33 %","-99.39 %","-99.86 %","-99.49 %","","-99.85 %","-99.91 %","","-95.04 %","-98.18 %","","","","","   .00 %","","   .00 %","-95.35 %","","-99.53 %","-99.26 %","","-99.04 %","   .00 %","-96.26 %"
"2020-05-17","","-99.84 %","","-96.97 %","-96.02 %","",""," 26.03 %","   .00 %","-94.66 %","   .00 %","","   .00 %","","   .00 %","-99.98 %","","-98.34 %"," ##.## %","","","","","-96.43 %","","-94.62 %","   .00 %","","   .00 %","   .00 %","","   .00 %","-97.92 %","-98.48 %"
"2020-05-18","","-99.71 %","","-99.21 %","-99.33 %","   .00 %",""," 13.04 %","   .00 %","-84.67 %","-99.59 %","","-99.30 %","","-99.73 %","-99.77 %","","-95.04 %","-97.86 %","","","","","-99.70 %","","-99.66 %","-94.78 %","","-99.49 %","-99.28 %","","-98.86 %","-99.90 %","-96.27 %"
"2020-05-19","","-99.47 %","","-98.11 %","-99.58 %","   .00 %","","  5.77 %","   .00 %","-77.88 %","-97.73 %","-88.89 %","-98.78 %","","-99.31 %","-99.21 %","","-83.90 %","-94.59 %","","","","","-98.60 %","","-97.27 %","-86.98 %","","-98.90 %","-97.78 %","","-96.36 %","","-88.65 %"
"2020-05-20","","-99.66 %","","-99.36 %","-99.55 %","   .00 %","","  9.09 %","   .00 %","-84.70 %","-99.71 %","-99.73 %","-99.16 %","","-99.80 %","-99.91 %","","-95.41 %","-97.85 %","","","","","-99.56 %","","-99.73 %","-95.45 %","","-99.49 %","-99.03 %","","-98.79 %","-99.93 %","-97.28 %"
"2020-05-21","","-99.94 %","","-98.18 %","-98.88 %","   .00 %",""," 15.00 %","   .00 %","-77.50 %","-98.36 %","-96.15 %","-97.90 %","","-99.50 %","-98.72 %","","-86.01 %","-94.97 %","","","","","-99.15 %","","-98.11 %","-87.98 %","","-98.97 %","-97.15 %","","-96.79 %","","-91.62 %"
"2020-05-22","","-99.99 %","","-##.## %","-90.48 %","   .00 %",""," 10.14 %","   .00 %","-93.10 %","-99.86 %","-87.50 %","-99.66 %","","-99.91 %","-99.98 %","","-97.97 %","-98.98 %","   .00 %","","","","-90.41 %","","-94.58 %","-98.70 %","","-99.76 %","-99.34 %","","-99.53 %","-97.67 %","-98.39 %"
"2020-05-23","","-99.87 %","","-99.51 %","-99.43 %","   .00 %",""," 15.13 %","   .00 %","-83.23 %","-99.54 %","-99.72 %","-99.18 %","","-99.78 %","-99.97 %","","-95.14 %","-97.57 %","","","","","-99.77 %","","-99.72 %","-94.80 %","   .00 %","-99.36 %","-98.88 %","","-98.49 %","-99.93 %","-97.09 %"
"2020-05-24","","   .00 %","","   .00 %"," ##.## %"," 33.33 %",""," 17.14 %","   .00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","","","","   .00 %","","   .00 %","   .00 %",""," ##.## %"," ##.## %","","   .00 %","   .00 %","   .00 %"
"2020-05-25","","-99.99 %","","-99.52 %","-98.66 %","   .00 %","","  7.32 %","   .00 %","-81.71 %","-99.54 %","-99.87 %","-99.14 %","","-99.73 %","-99.89 %","","-94.36 %","-97.33 %","","","","","-99.57 %","","-99.73 %","-93.66 %","","-99.24 %","-98.09 %",""," ##.## %","-99.69 %","-96.95 %"
"2020-05-26","","-99.97 %","","-90.62 %"," ##.## %","   .00 %","   .00 %","  5.45 %","   .00 %","-80.50 %","-99.49 %","   .00 %","-98.85 %","   .00 %","-99.72 %","-99.87 %","","-94.09 %","-97.02 %","   .00 %","","","   .00 %","   .00 %",""," ##.## %","-94.07 %","","-99.13 %","-97.98 %","   .00 %","-98.21 %","   .00 %","-97.11 %"
"2020-05-27","","-87.78 %","","-70.00 %","-85.42 %","   .00 %","","  6.47 %","   .00 %","-57.32 %","-95.90 %","-50.00 %","-84.78 %","","-91.25 %","-85.19 %","","-55.46 %","-84.12 %","   .00 %","","","   .00 %","-87.04 %","","-92.16 %","-70.26 %","","-93.23 %","-88.58 %","","-82.16 %","-90.48 %","-63.84 %"
"2020-05-28","","-99.78 %","","-99.93 %","-99.92 %","   .00 %","","  5.26 %","   .00 %","-91.29 %","-99.84 %","-99.91 %","-99.49 %","","-99.91 %","-99.96 %","","-97.51 %","-98.61 %","","","","","-99.82 %","","-99.91 %","-98.30 %","","-99.63 %","-98.99 %","","-99.28 %","-99.94 %","-98.33 %"
"2020-05-29","","-99.08 %","","-99.43 %","-99.05 %","","-99.96 %"," 31.54 %","   .00 %","-69.74 %","-98.15 %","-99.74 %","-96.35 %","-99.78 %","-99.36 %","-96.33 %","","-79.71 %","-91.85 %","","","","","-99.42 %","","-99.54 %","-84.49 %","","-98.00 %","-93.47 %","","-94.43 %","-99.62 %","-88.93 %"
"2020-05-30","","-99.45 %","","-94.55 %","-92.96 %","   .00 %","-98.04 %","  5.26 %","   .00 %","-72.75 %","-98.48 %","-62.50 %","-97.66 %","-99.00 %","-99.53 %","-98.65 %","","-87.62 %","-94.15 %","","","","","-95.61 %","","-93.10 %","-88.92 %","","-98.45 %","-94.81 %","","-96.53 %","-94.59 %","-92.79 %"
