"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-03-22","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","",""
"2020-03-26"," 17.86 %","  3.33 %","   .00 %","   .00 %","  8.62 %"," 16.14 %","  5.00 %",""," 15.91 %"," 19.67 %","   .00 %",""
"2020-03-27"," 17.86 %","  3.33 %"," 20.00 %","   .00 %","  9.53 %"," 16.80 %"," 13.00 %",""," 19.84 %"," 19.67 %"," 20.00 %",""
"2020-03-28"," 20.36 %","  6.19 %"," 20.00 %","   .00 %"," 12.14 %"," 23.21 %"," 24.43 %",""," 22.23 %"," 31.10 %"," 20.00 %",""
"2020-03-29","  5.36 %","  2.86 %"," 20.00 %","   .00 %","  7.01 %"," 24.11 %"," 29.88 %",""," 18.02 %"," 26.25 %"," 20.00 %",""
"2020-03-30","  5.36 %","  7.86 %"," 30.00 %","   .00 %","  6.72 %"," 29.10 %"," 35.60 %",""," 19.17 %"," 29.58 %"," 30.00 %",""
"2020-03-31","  9.17 %"," 11.86 %"," 36.67 %","","  9.22 %"," 27.79 %"," 40.60 %",""," 19.91 %"," 34.52 %"," 36.67 %",""
"2020-04-01","  9.17 %"," 11.86 %"," 16.67 %","","  8.31 %"," 29.15 %"," 32.60 %",""," 15.98 %"," 34.52 %"," 16.67 %"," ##.## %"
"2020-04-02","  8.33 %"," 12.33 %"," 36.67 %","","  8.05 %",""," 25.61 %",""," 18.41 %"," 28.09 %"," 21.67 %"," ##.## %"
"2020-04-03","  8.33 %"," 12.33 %"," 36.67 %","","  6.52 %"," 31.31 %"," 20.16 %",""," 15.47 %"," 26.27 %"," 21.67 %"," ##.## %"
"2020-04-04","  9.87 %"," 11.62 %"," 29.17 %","   .00 %","  5.80 %"," 30.47 %"," 16.26 %",""," 14.57 %"," 18.51 %"," 11.67 %","-20.00 %"
"2020-04-05","  7.49 %","  7.62 %"," 24.72 %","   .00 %","  3.93 %"," 28.24 %","  7.93 %","","  9.59 %","  9.46 %","  5.00 %","   .00 %"
"2020-04-06","  8.67 %","  9.97 %"," 30.72 %","   .00 %","  3.93 %"," 23.10 %"," 14.60 %",""," 12.69 %"," 10.86 %","  9.00 %","-15.00 %"
"2020-04-07","  7.00 %","  6.64 %"," 10.72 %","   .00 %","  1.58 %"," 21.08 %"," 10.15 %","","  7.87 %","  5.86 %","  4.00 %","-15.00 %"
"2020-04-08"," 10.33 %","  6.64 %"," 10.72 %","   .00 %","  1.58 %"," 12.34 %"," 11.69 %","","  8.60 %","  5.86 %","  4.00 %","-15.00 %"
"2020-04-09","  8.80 %","  6.56 %","  9.76 %","   .00 %","  2.55 %","  9.58 %"," 11.30 %","","  7.27 %","  6.15 %","  4.00 %"," ##.## %"
"2020-04-10","  4.51 %","  6.56 %","  7.54 %","   .00 %","   .98 %","  5.77 %","  9.63 %","","  4.85 %","  2.26 %","  4.00 %"," ##.## %"
"2020-04-11","  3.33 %","  8.56 %","  5.82 %"," 20.00 %","   .98 %","  4.92 %","  4.97 %","","  4.51 %","  2.95 %","   .00 %"," ##.## %"
"2020-04-12","  3.33 %","  8.56 %","  7.00 %"," 20.00 %","   .98 %","  6.26 %","  6.48 %","","  5.10 %","  4.84 %","   .00 %"," ##.## %"
"2020-04-13","   .95 %","  8.56 %","  8.11 %"," 20.00 %","  1.91 %","  6.07 %","  5.51 %","","  6.35 %","  5.18 %","   .00 %"," ##.## %"
"2020-04-14","  2.77 %","  5.06 %","  8.68 %"," 20.00 %","   .93 %","  -.90 %","  4.63 %","","  7.24 %","  7.70 %","  3.33 %","-20.00 %"
"2020-04-15","  2.77 %","  5.06 %"," 13.44 %"," 20.00 %","   .49 %"," 12.90 %","  6.23 %","","  8.35 %","  7.70 %","  3.33 %","-40.00 %"
"2020-04-16","  2.77 %","   .71 %","  9.15 %","   .00 %","   .49 %"," 10.20 %","  4.23 %","","  5.59 %","  5.62 %","  3.33 %","-20.00 %"
"2020-04-17","  3.60 %","  2.78 %","  8.75 %","   .00 %","   .49 %"," 11.79 %","  4.44 %","","  7.50 %","  8.08 %","  9.05 %","-20.00 %"
"2020-04-18","  2.65 %","  1.53 %","  8.38 %","   .00 %","   .01 %"," 11.83 %","  4.79 %","","  6.29 %","  9.64 %"," 11.27 %","-40.00 %"
"2020-04-19","  1.63 %","   .82 %","  6.99 %","   .00 %","   .01 %"," 18.81 %","  4.67 %","","  4.93 %","  6.69 %","  7.94 %","-40.00 %"
"2020-04-20","  1.63 %","   .82 %","  2.91 %","   .00 %","   .45 %","  5.80 %","  3.50 %","","  4.24 %"," 10.30 %","  7.94 %","-20.00 %"
"2020-04-21","  3.17 %","   .82 %","  2.91 %","   .00 %","   .45 %","  6.53 %","  4.54 %","","  4.40 %"," 10.30 %","  7.94 %"," 30.00 %"
"2020-04-22","  2.34 %"," -1.25 %","  4.14 %","   .00 %","   .45 %","  5.36 %","  3.60 %","","  2.95 %","  7.22 %","  2.22 %"," 34.29 %"
"2020-04-23","  2.34 %","   .00 %","  4.62 %","   .00 %","   .44 %","  5.50 %","  4.22 %","","  3.43 %","  6.16 %","   .00 %"," 47.23 %"
"2020-04-24","  2.97 %","   .00 %","  3.90 %","   .00 %","   .88 %","  5.34 %","  4.14 %","","  3.49 %","  6.21 %","  2.00 %"," 32.68 %"
"2020-04-25","  3.63 %","   .00 %","  3.78 %","   .00 %","   .88 %","  5.27 %","  6.15 %","","  3.95 %","  3.07 %","  2.00 %"," 72.68 %"
"2020-04-26","  2.10 %","   .00 %","  3.78 %","   .00 %","  1.30 %","  5.66 %","  4.64 %","","  4.66 %","  3.54 %","  2.00 %"," 13.79 %"
"2020-04-27","  4.68 %","   .67 %","  2.89 %","   .00 %","  1.30 %","  4.76 %","  4.16 %","","  4.38 %","  2.28 %","  2.00 %"," 33.51 %"
"2020-04-28","  4.10 %","   .67 %","  2.74 %","   .00 %","   .86 %","  4.44 %","  5.14 %","","  3.80 %","  1.58 %","  2.00 %"," 33.29 %"
"2020-04-29","  2.68 %","   .67 %","  2.74 %","   .00 %","   .43 %","  4.34 %","  4.93 %","","  3.37 %","  2.00 %","   .00 %"," 47.84 %"
"2020-04-30","  2.01 %","   .67 %","  2.16 %","   .00 %","  1.26 %","  4.33 %","  6.91 %","","  3.14 %","  1.81 %","  1.82 %"," -3.59 %"
"2020-05-01","  3.77 %","  1.31 %","  2.16 %","   .00 %","  1.23 %","  4.20 %","  8.27 %","","  4.78 %","  1.91 %","  1.82 %"," 85.30 %"
"2020-05-02","  1.73 %","   .65 %","  1.05 %","   .00 %","  1.23 %","  4.26 %","  7.96 %","","  5.26 %","  2.46 %","  1.82 %"," 86.63 %"
