"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","  8.71 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 86.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 29.52 %","   .00 %","  2.86 %"," 17.62 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-27"," 11.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 90.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 44.52 %","   .00 %","  7.86 %"," 23.50 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-28"," 21.69 %","   .00 %"," 15.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 11.87 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 23.33 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 50.24 %","   .00 %"," 17.86 %"," 19.87 %","   .00 %","   .00 %"," 33.33 %","   .00 %","","   .00 %","   .00 %"
"2020-03-29"," 20.78 %","   .00 %"," 17.86 %"," 20.00 %","   .00 %"," 40.00 %","   .00 %","  5.87 %","   .00 %"," 46.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 29.33 %","   .00 %","   .00 %","   .00 %","  3.33 %","   .00 %"," 28.02 %","   .00 %"," 21.86 %"," 19.98 %","   .00 %","   .00 %"," 35.83 %","   .00 %","","   .00 %"," 20.00 %"
"2020-03-30"," 18.46 %","   .00 %"," 17.86 %"," 20.00 %","   .00 %"," 40.00 %","   .00 %","  5.87 %","   .00 %"," 46.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 29.33 %","   .00 %","   .00 %","   .00 %","  3.33 %","   .00 %"," 25.16 %","   .00 %"," 19.00 %"," 15.69 %","   .00 %","   .00 %"," 35.83 %","   .00 %","","   .00 %"," 20.00 %"
"2020-03-31"," 24.00 %",""," 22.86 %"," 20.00 %",""," 40.00 %","","  7.04 %",""," 46.67 %","","","",""," 20.00 %","","",""," 44.89 %","","",""," 23.33 %","   .00 %"," 34.25 %","   .00 %"," 31.22 %"," 20.40 %",""," 10.00 %"," 40.28 %","   .00 %","",""," 50.00 %"
"2020-04-01"," 21.08 %",""," 22.86 %"," 20.00 %",""," 40.00 %","","  2.43 %",""," 46.67 %","","","",""," 20.00 %","","",""," 56.14 %","","   .00 %",""," 23.33 %","   .00 %"," 28.62 %","   .00 %"," 26.22 %"," 14.52 %",""," 10.00 %"," 40.28 %","   .00 %","",""," 50.00 %"
"2020-04-02"," 10.21 %","","  7.86 %"," 30.00 %",""," 53.33 %","","  4.51 %","","  6.67 %","   .00 %","","","","   .00 %","","",""," 46.01 %","","   .00 %",""," 13.33 %","   .00 %"," 25.04 %","   .00 %"," 18.29 %"," 11.01 %",""," 10.00 %","  8.76 %","   .00 %","",""," 50.00 %"
"2020-04-03"," 15.79 %",""," 11.00 %"," 54.00 %",""," 17.33 %","","  6.41 %","","   .00 %","   .00 %","","","","   .00 %","","",""," 41.73 %","","   .00 %",""," 25.00 %","   .00 %"," 28.29 %","   .00 %"," 35.54 %","  7.56 %",""," 43.33 %","  7.93 %","   .00 %","",""," 30.00 %"
"2020-04-04"," 15.79 %","   .00 %"," 11.00 %"," 54.00 %",""," 17.33 %","","  5.55 %","","   .00 %","   .00 %","","","","   .00 %","","",""," 41.73 %",""," 20.00 %",""," 25.00 %","   .00 %"," 28.29 %","   .00 %"," 35.54 %","  9.23 %",""," 33.33 %","  7.93 %","   .00 %","",""," 30.00 %"
"2020-04-05"," 14.60 %","   .00 %","  6.00 %"," 66.73 %",""," 17.33 %",""," 10.73 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %",""," 30.09 %",""," 30.00 %","","  9.00 %","   .00 %"," 22.53 %","   .00 %"," 34.53 %","  8.37 %",""," 33.33 %","  3.48 %"," 20.00 %","","","  8.00 %"
"2020-04-06"," 15.90 %","   .00 %","  7.54 %"," 70.06 %",""," 17.33 %",""," 11.42 %","","   .00 %"," 40.00 %","","","","   .00 %","   .00 %","   .00 %",""," 21.02 %",""," 30.00 %","","  9.00 %","   .00 %"," 23.63 %","   .00 %"," 36.67 %","  9.02 %",""," 36.67 %","  3.48 %"," 20.00 %"," 13.33 %","","  8.00 %"
"2020-04-07"," 16.39 %","   .00 %","  8.97 %"," 41.97 %",""," 10.67 %",""," 11.42 %","","   .00 %"," 46.67 %","","","","   .00 %","   .00 %","   .00 %",""," 23.39 %",""," 30.00 %","","  9.00 %","   .00 %"," 25.88 %","   .00 %"," 37.05 %","  6.78 %",""," 36.67 %","  3.21 %"," 23.33 %"," 13.33 %","","  8.00 %"
"2020-04-08","  9.09 %","   .00 %","  2.97 %"," 17.97 %","","  6.67 %","","  9.52 %","","   .00 %"," 46.67 %","","","","   .00 %","   .00 %","   .00 %",""," 13.98 %",""," 30.00 %","","  4.00 %","   .00 %"," 20.36 %","   .00 %"," 15.80 %","  6.78 %","","  3.33 %","  1.54 %"," 23.33 %","-26.67 %","","  8.00 %"
"2020-04-09"," 10.27 %","   .00 %","  4.30 %"," 11.88 %","","  6.67 %",""," 12.67 %",""," 10.00 %"," 46.67 %","","","","   .00 %","   .00 %","   .00 %",""," 10.07 %",""," 10.00 %","","  7.33 %","   .00 %"," 13.77 %","   .00 %"," 18.15 %","  5.72 %",""," 13.33 %","  1.54 %"," 23.33 %","-20.00 %",""," 10.86 %"
