"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","0"
"2020-03-28","0","0","0","0","2","0"
"2020-03-29","0","0","0","0","3","0"
"2020-03-30","0","0","0","0","4","0"
"2020-03-31","0","0","0","0","8","0"
"2020-04-01","0","0","0","0","10","0"
"2020-04-02","0","0","0","0","12","0"
"2020-04-03","0","0","0","3","11","0"
"2020-04-04","0","0","0","3","14","0"
"2020-04-05","0","0","0","3","22","0"
"2020-04-06","0","0","0","3","24","0"
"2020-04-07","0","0","0","3","27","0"
"2020-04-08","0","0","0","3","32","0"
"2020-04-09","0","0","0","3","40","0"
"2020-04-10","0","0","0","3","40","0"
"2020-04-11","0","0","0","3","53","0"
"2020-04-12","0","0","0","3","60","0"
"2020-04-13","0","0","0","3","60","0"
"2020-04-14","0","0","0","3","77","0"
"2020-04-15","0","0","0","3","77","0"
"2020-04-16","0","0","0","3","84","0"
"2020-04-17","0","0","0","3","115","0"
"2020-04-18","0","0","0","3","134","0"
"2020-04-19","0","0","0","3","147","0"
"2020-04-20","0","0","0","3","152","0"
"2020-04-21","0","0","0","3","168","0"
"2020-04-22","0","0","0","3","178","0"
"2020-04-23","0","0","0","0","189","0"
"2020-04-24","0","0","0","0","202","0"
"2020-04-25","0","0","0","0","215","0"
"2020-04-26","0","0","0","0","226","0"
"2020-04-27","0","0","0","0","233","0"
"2020-04-28","0","0","0","0","239","0"
"2020-04-29","0","0","0","0","251","0"
"2020-04-30","0","0","0","0","266","0"
"2020-05-01","0","0","0","0","279","0"
"2020-05-02","0","0","0","0","296","0"
"2020-05-03","0","0","0","0","320","0"
"2020-05-04","0","0","0","0","341","0"
"2020-05-05","0","0","0","0","355","0"
"2020-05-06","0","0","0","0","370","0"
"2020-05-07","0","0","0","0","388","0"
"2020-05-08","0","0","0","0","399","0"
"2020-05-09","0","0","0","0","418","0"
"2020-05-10","0","0","0","0","422","0"
"2020-05-11","0","0","0","0","430","0"
"2020-05-12","0","0","0","0","444","0"
"2020-05-13","0","0","0","0","462","0"
"2020-05-14","0","0","0","0","468","0"
"2020-05-15","0","0","0","0","479","0"
"2020-05-16","0","0","0","0","489","0"
"2020-05-17","0","0","0","0","499","0"
"2020-05-18","0","0","0","0","506","0"
"2020-05-19","0","0","0","0","532","0"
"2020-05-20","0","0","0","0","538","0"
"2020-05-21","0","0","0","0","556","0"
"2020-05-22","0","0","0","0","579","0"
"2020-05-23","0","0","0","0","597","0"
"2020-05-24","0","0","0","0","608","0"
"2020-05-25","0","0","0","0","608","0"
"2020-05-26","0","0","0","0","634","0"
"2020-05-27","0","0","0","0","655","0"
"2020-05-28","0","0","0","0","677","0"
"2020-05-29","0","0","0","0","693","0"
"2020-05-30","0","0","0","0","711","0"
"2020-05-31","0","0","0","0","718","0"
"2020-06-01","0","0","0","0","720","0"
"2020-06-02","0","0","0","0","732","0"
"2020-06-03","0","0","0","0","742","0"
"2020-06-04","0","0","0","0","756","0"
"2020-06-05","0","0","0","0","772","0"
"2020-06-06","0","0","0","0","772","0"
"2020-06-07","0","0","0","0","772","0"
"2020-06-08","0","0","0","0","799","0"
"2020-06-09","0","0","0","0","808","0"
"2020-06-10","0","0","0","0","812","0"
"2020-06-11","0","0","0","0","823","0"
