"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-03-22","3","1","14","0","2","0","0","81","0","13","17","16","1","","3","1"
"2020-03-23","4","1","17","0","2","0","0","139","0","25","24","17","1","","3","2"
"2020-03-24","4","1","18","0","2","0","0","199","0","32","42","22","1","0","3","2"
"2020-03-25","7","1","23","0","2","0","0","251","0","37","49","23","1","0","4","3"
"2020-03-26","9","2","28","0","2","0","2","299","2","43","75","35","2","0","5","4"
"2020-03-27","11","2","41","0","4","0","2","399","4","49","102","36","2","0","9","4"
"2020-03-28","13","3","56","1","2","0","2","454","5","57","120","41","2","0","13","4"
"2020-03-29","13","3","62","1","2","0","2","545","6","62","153","51","2","0","12","5"
"2020-03-30","17","4","71","1","2","1","2","690","7","88","187","64","2","0","15","6"
"2020-03-31","16","4","81","1","2","1","2","788","7","91","202","62","2","0","21","9"
"2020-04-01","33","4","117","1","2","1","2","871","7","171","217","65","3","0","24","12"
"2020-04-02","35","4","146","2","2","1","2","961","8","198","237","69","3","0","34","13"
"2020-04-03","39","5","175","2","2","1","2","1049","9","245","280","77","3","0","35","13"
"2020-04-04","42","7","196","3","3","1","2","1171","12","274","326","89","4","0","43","14"
"2020-04-05","45","8","238","3","2","1","3","1326","16","307","372","103","4","0","45","13"
"2020-04-06","58","9","257","3","2","1","3","1433","20","359","415","106","4","0","49","13"
"2020-04-07","65","9","281","3","2","1","3","1495","23","378","415","120","5","0","57","13"
"2020-04-08","78","9","288","3","2","1","3","1559","23","404","464","124","6","0","58","14"
"2020-04-09","52","11","210","3","2","1","4","1689","27","286","512","137","7","0","62","15"
"2020-04-10","55","11","214","3","2","1","4","1741","28","287","543","138","7","0","62","16"
"2020-04-11","66","13","238","3","2","2","4","1891","30","321","591","146","8","0","63","15"
"2020-04-12","72","15","243","3","2","2","4","1960","30","335","622","163","8","0","63","20"
"2020-04-13","89","16","253","3","2","2","4","2020","40","345","668","168","10","0","65","20"
"2020-04-14","97","15","270","3","2","2","4","2056","45","355","685","175","10","0","70","20"
"2020-04-15","110","15","266","3","2","2","5","2146","45","390","700","182","12","0","66","20"
"2020-04-16","118","18","299","5","2","2","5","2264","51","410","760","197","14","0","68","24"
"2020-04-17","141","20","304","5","2","2","5","2404","51","435","819","212","14","0","69","28"
"2020-04-18","169","22","314","7","2","2","5","2491","52","452","856","235","16","0","72","29"
"2020-04-19","178","24","333","7","2","2","5","2589","54","459","913","247","19","0","72","29"
"2020-04-20","202","28","337","8","2","2","5","2636","56","473","941","256","20","0","71","31"
"2020-04-21","226","29","342","9","2","2","6","2738","59","485","963","268","23","0","72","32"
"2020-04-22","235","31","353","10","2","2","6","2846","62","527","973","283","28","0","73","42"
"2020-04-23","268","31","372","12","4","2","6","2970","69","564","1026","303","28","0","75","42"
"2020-04-24","296","34","391","11","7","2","8","3116","73","583","1060","317","30","0","75","42"
"2020-04-25","314","36","402","11","6","2","7","3234","81","612","1090","332","30","0","76","53"
"2020-04-26","336","36","420","11","7","2","7","3359","88","625","1136","342","30","0","76","59"
"2020-04-27","362","36","425","11","9","2","7","3457","96","628","1164","359","30","0","77","62"
"2020-04-28","380","37","439","11","9","2","7","3578","99","665","1188","365","31","0","77","67"
"2020-04-29","392","38","453","12","10","2","8","3723","105","682","1215","387","31","0","79","72"
"2020-04-30","449","39","486","13","16","2","14","3972","117","712","1241","397","33","0","79","85"
"2020-05-01","478","39","498","13","17","2","15","4156","122","741","1267","417","33","0","82","89"
"2020-05-02","507","39","512","14","17","2","14","4421","127","766","1300","435","34","0","87","89"
"2020-05-03","526","39","527","14","18","2","14","4585","135","777","1326","456","34","0","89","98"
"2020-05-04","549","39","540","14","18","2","14","4751","141","800","1346","468","34","0","93","115"
"2020-05-05","576","39","561","14","19","2","16","4929","147","869","1379","478","35","0","126","115"
"2020-05-06","612","40","588","15","19","2","18","5138","150","892","1425","497","37","0","140","134"
"2020-05-07","630","40","618","17","19","2","20","5196","158","912","1465","530","38","0","152","148"
"2020-05-08","671","41","659","19","18","2","22","5525","171","945","1520","566","38","0","170","159"
"2020-05-09","710","41","679","19","19","2","22","5779","178","981","1554","585","40","0","175","176"
"2020-05-10","716","41","699","19","19","2","23","5827","193","983","1585","600","44","0","177","191"
"2020-05-11","727","42","713","19","19","2","23","5988","198","1006","1602","620","45","0","180","199"
"2020-05-12","744","43","720","19","20","2","22","6219","207","1017","1623","636","51","0","206","207"
"2020-05-13","817","43","772","19","21","2","25","6341","213","1099","1661","643","50","0","227","283"
"2020-05-14","859","44","795","21","21","2","27","6599","220","1150","1696","650","62","0","243","285"
"2020-05-15","927","45","823","22","21","2","36","6821","242","1177","1750","670","69","0","254","310"
"2020-05-16","962","46","839","22","20","2","37","7096","250","1238","1781","678","72","0","260","363"
"2020-05-17","981","46","866","22","20","2","38","7240","250","1273","1814","693","75","0","262","363"
"2020-05-18","988","46","901","22","20","2","38","7340","251","1285","1825","702","78","0","267","443"
"2020-05-19","1023","46","943","22","20","3","38","7482","262","1320","1888","720","97","0","269","443"
"2020-05-20","1080","46","961","22","21","3","40","7644","267","1361","1903","724","102","0","273","459"
"2020-05-21","1121","51","972","22","21","3","45","7835","277","1421","1944","732","123","0","273","508"
"2020-05-22","1139","56","979","24","21","3","48","7950","288","1470","1974","749","131","0","284","508"
"2020-05-23","1144","58","1000","23","21","3","49","8177","303","1491","2002","751","143","0","284","604"
"2020-05-24","1191","59","1019","24","21","3","50","8277","304","1523","2027","755","169","0","285","670"
"2020-05-25","1191","59","1028","24","24","3","51","8379","319","1543","2046","764","186","0","288","670"
"2020-05-26","1214","64","1041","24","24","3","51","8448","329","1550","2075","766","187","0","291","797"
