"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-06-21","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","",""
"2020-06-25","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","",""
"2020-06-26","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","1","","","","","","","","","","","","","","1","","","","6","2","","","","","","","","","","","","1","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","","","","","","","","1","6","","","","","","","","1","","","","","","","","",""
"2020-07-08","","","","","1","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","1","","","","1",""
"2020-07-09","","","","","","","","","","","","","","","","","","","","","","10","3","","","","","","","","","","","","","","","1",""
"2020-07-10","1","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","1",""
"2020-07-11","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","","","1","","12","","","","","","","","2","","","","","","","","1",""
"2020-07-13","","","","","1","","","","","","","","","1","","","1","1","","1","2","24","3","","","","","","","2","","","","1","1","","1","",""
"2020-07-14","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","","","","","","","2","",""
"2020-07-16","","","","2","","","","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","","","2","","28","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","1","1","","","1","1","","2","","","0","","","1","1","","3","3","32","3","","","","","","","1","","","","1","1","","3","1",""
"2020-07-20","","","","","","","","","","","","","","","","","","","","","","32","","","","1","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","","","3","","","1","","","","","","","5","34","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","","","4","","35","","","","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","","","","","36","","1","","2","","","","","","","","","","","","",""
