"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-04-30","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","",""," ##.## %","","",""
"2020-05-01","","","","","","","","","","","","","","","","","","","","","","","","","",""," 50.00 %","","",""
"2020-05-03","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-05","","","","","","","","","","-87.50 %","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-10","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","   .00 %","","",""
"2020-05-12","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-05-14","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-15","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","",""
"2020-05-16","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-05-17"," ##.## %","   .00 %","","","","","","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","   .00 %","","","","   .00 %","   .00 %","",""
"2020-05-19","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","",""
"2020-05-20","-77.78 %","-66.67 %","","","","","","","","","","","","","","","","","","   .00 %","",""," 50.00 %","","-75.00 %","","","   .00 %","",""
"2020-05-21","-50.00 %","","","","","","   .00 %","","","","","","-50.00 %","","","","","","","","","","","   .00 %"," ##.## %","","","   .00 %","","   .00 %"
"2020-05-22"," ##.## %"," ##.## %","   .00 %","   .00 %","","","-57.14 %","","","   .00 %"," ##.## %","","-66.67 %",""," ##.## %",""," ##.## %","",""," ##.## %","","","","","-50.00 %","","","",""," ##.## %"
"2020-05-23","","-25.00 %","","","",""," ##.## %","","","-##.## %","","   .00 %","","   .00 %","","",""," ##.## %",""," ##.## %","",""," 33.33 %",""," ##.## %","",""," ##.## %","",""
"2020-05-24",""," 33.33 %"," ##.## %","","",""," ##.## %","","","","","","","","","","","-75.00 %","","-88.89 %","","","-75.00 %","","","","","","",""
"2020-05-25","","","-83.33 %","   .00 %","","","-83.33 %","","   .00 %","","-66.67 %","-50.00 %","","","","",""," ##.## %",""," ##.## %","","","","   .00 %","-90.00 %","","","-66.67 %","","-25.00 %"
"2020-05-26","   .00 %","","   .00 %"," ##.## %","","","-33.33 %","","","","","",""," ##.## %","","","","","","-10.00 %","","","",""," ##.## %","","   .00 %","",""," 33.33 %"
"2020-05-27","","   .00 %","","","","","-50.00 %","","","","","","","","","","","","","","","","   .00 %","","-91.67 %","","","","","-75.00 %"
"2020-05-28","","","","","   .00 %",""," ##.## %","","","","","",""," ##.## %","","","","   .00 %","","-59.26 %","",""," ##.## %","","-##.## %","","","",""," ##.## %"
"2020-05-29","","","   .00 %","","   .00 %","","-50.00 %","","-50.00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","-90.91 %","","",""," ##.## %","","","","","",""
"2020-05-30","   .00 %",""," ##.## %","","","","","","","","","","","","","",""," ##.## %","","","","","","   .00 %","","","","",""," ##.## %"
"2020-05-31","   .00 %","   .00 %","","","","","-50.00 %","","","","","","   .00 %"," 23.08 %","",""," ##.## %",""," ##.## %","","","","","   .00 %","   .00 %","",""," ##.## %","","-75.00 %"
"2020-06-01","-66.67 %","","","   .00 %","",""," ##.## %",""," ##.## %","   .00 %","   .00 %","","","-43.75 %","","","-20.00 %","","-94.44 %","   .00 %","",""," ##.## %"," 50.00 %","   .00 %","","","","","-##.## %"
"2020-06-02"," ##.## %","   .00 %","","","   .00 %","","-72.73 %","","","   .00 %","   .00 %","","   .00 %","","","","-25.00 %","-95.00 %","","-50.00 %","","","-##.## %","","","","","","",""
"2020-06-03","   .00 %"," ##.## %","-83.33 %","","","","-33.33 %","","","   .00 %","",""," ##.## %","-44.44 %","-33.33 %","",""," ##.## %","","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %"
"2020-06-04","   .00 %","-80.56 %","","   .00 %","",""," ##.## %","",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","   .00 %","","",""," ##.## %","","",""," ##.## %"," ##.## %"," ##.## %",""," ##.## %","   .00 %","",""
"2020-06-05",""," ##.## %","   .00 %","   .00 %","","","-11.76 %","","","-50.00 %","","","","","",""," ##.## %","   .00 %","","   .00 %","",""," ##.## %","-50.00 %","-75.00 %","","","","","   .00 %"
"2020-06-06","   .00 %","   .00 %","-##.## %","   .00 %","","","","",""," ##.## %","","","-72.41 %","-84.00 %","   .00 %","","-92.50 %","-##.## %","","   .00 %","","","-53.85 %","   .00 %"," ##.## %","","-50.00 %","   .00 %","","   .00 %"
"2020-06-07","","-60.00 %","   .00 %","   .00 %","","","   .00 %","",""," ##.## %","","","-75.00 %","-25.00 %"," ##.## %",""," ##.## %","","-80.65 %","","","","-83.33 %"," ##.## %","-75.00 %","","","","",""
"2020-06-08",""," ##.## %",""," ##.## %","",""," ##.## %","","","","",""," ##.## %","-66.67 %","-86.96 %",""," 54.55 %","   .00 %","","   .00 %","","   .00 %"," ##.## %","-83.33 %"," ##.## %",""," ##.## %"," ##.## %",""," ##.## %"
"2020-06-09","   .00 %","-80.00 %","","-66.67 %","","","","","","   .00 %","","","-90.91 %","","","","","","   .00 %","","","","","-12.50 %","-60.00 %","","","","",""
"2020-06-10","",""," ##.## %","   .00 %","   .00 %","","-83.33 %","","","   .00 %","",""," ##.## %","   .00 %","","","-88.24 %","-85.71 %","","   .00 %","","","","-71.43 %","","","","-80.00 %","",""
"2020-06-11","","","","   .00 %","   .00 %",""," ##.## %","",""," 50.00 %","","","-46.15 %"," ##.## %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","","","   .00 %"," ##.## %"," ##.## %","","-50.00 %","-50.00 %","",""
"2020-06-12","   .00 %","   .00 %","-80.00 %","","","","","","   .00 %","   .00 %","",""," -7.14 %","-50.00 %","","","-59.46 %","","","","","",""," 80.00 %","-83.33 %","","","","",""
"2020-06-13","   .00 %"," ##.## %"," 50.00 %","   .00 %","","","-81.82 %","   .00 %","   .00 %"," ##.## %","   .00 %","","-76.92 %","","   .00 %","","-13.33 %","   .00 %","   .00 %","","","",""," 66.67 %"," ##.## %","","","","",""
"2020-06-14","","-76.92 %"," ##.## %","-##.## %","","","-75.00 %","","","-33.33 %","   .00 %",""," ##.## %","   .00 %","",""," ##.## %","","","   .00 %","","","   .00 %","-60.00 %","","","","   .00 %","",""
"2020-06-15","","   .00 %","-92.86 %","","",""," ##.## %","","","-66.67 %","","","-72.73 %","",""," ##.## %","-70.21 %","   .00 %","   .00 %","   .00 %","","",""," 16.67 %","-53.85 %","","","   .00 %","",""
"2020-06-16","   .00 %"," ##.## %"," ##.## %","   .00 %","","","-85.71 %","",""," ##.## %"," ##.## %","","-66.67 %","   .00 %","   .00 %","","-##.## %","   .00 %","   .00 %","","   .00 %","",""," 57.14 %","   .00 %","","   .00 %","","",""
"2020-06-17","","-74.19 %","","   .00 %","","","","","","-66.67 %","-20.00 %",""," ##.## %","   .00 %","","","   .00 %",""," ##.## %","-83.33 %","","","   .00 %"," ##.## %","-83.33 %",""," ##.## %","   .00 %","","   .00 %"
"2020-06-18",""," 75.00 %","   .00 %","","","","   .00 %","","   .00 %"," ##.## %","","","   .00 %","-62.50 %","   .00 %","","   .00 %","   .00 %","-##.## %","-##.## %","","","-66.67 %","-76.00 %"," ##.## %","","","   .00 %","","   .00 %"
"2020-06-19","   .00 %","-42.86 %","-95.45 %","   .00 %","","","   .00 %","","","-91.67 %","",""," 63.64 %"," ##.## %","","","","-83.33 %","   .00 %","   .00 %","","",""," 50.00 %","-40.00 %","","","   .00 %","",""
"2020-06-20","",""," ##.## %","","","","-50.00 %","",""," ##.## %","   .00 %",""," 38.89 %","-66.67 %","","","   .00 %","-##.## %","   .00 %",""," ##.## %","","   .00 %","-55.56 %"," ##.## %","   .00 %","","","",""
"2020-06-21","","   .00 %","-83.33 %","   .00 %","","","","","","-50.00 %"," ##.## %","","-88.00 %"," ##.## %","",""," ##.## %","","   .00 %","","","","-71.43 %"," ##.## %","-75.44 %","","","-94.12 %","","   .00 %"
"2020-06-22","","","   .00 %","   .00 %","","","   .00 %","","","-66.67 %","","","-66.67 %","-87.50 %","   .00 %","","-84.62 %","","   .00 %","-50.00 %","","","","-35.29 %","  7.14 %","","   .00 %","","",""
"2020-06-23","","   .00 %"," ##.## %","","   .00 %","","","",""," ##.## %","   .00 %",""," ##.## %","","","   .00 %","-83.33 %","   .00 %","   .00 %","","-25.00 %","","   .00 %","-45.45 %"," 40.00 %","",""," ##.## %",""," 50.00 %"
"2020-06-24","","-50.00 %","","","","","","","","-90.91 %","   .00 %","","-16.67 %","","","","   .00 %","","","","","","-50.00 %","   .00 %","-90.48 %","","","",""," ##.## %"
"2020-06-25","","","-66.67 %","-50.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","-80.00 %","   .00 %","","","","","   .00 %","","",""," 33.33 %"," 50.00 %"," ##.## %","-33.33 %","   .00 %","","",""
"2020-06-26","","   .00 %"," 33.33 %","","","","","","","   .00 %","","",""," ##.## %","   .00 %","","   .00 %","   .00 %","","","",""," 25.00 %"," 55.56 %"," 25.00 %","","","-83.33 %","",""
"2020-06-27","","   .00 %"," ##.## %","","","","   .00 %","","","-42.86 %","","","   .00 %","","-66.67 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","-20.00 %","-85.71 %"," ##.## %","","","","",""
"2020-06-28","","   .00 %","-90.00 %","","",""," ##.## %","   .00 %","","-12.50 %","   .00 %","","-57.14 %",""," ##.## %","   .00 %","   .00 %","","","   .00 %","-66.67 %",""," ##.## %"," ##.## %","   .00 %","","","","","   .00 %"
"2020-06-29","   .00 %"," ##.## %",""," ##.## %","","",""," ##.## %",""," ##.## %","   .00 %","","   .00 %","   .00 %","-87.50 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","-83.33 %"," 80.00 %","-80.00 %","","","","","   .00 %"
"2020-06-30","","-87.50 %","   .00 %","-50.00 %","   .00 %","","","","","-96.67 %","","","","","",""," ##.## %","","","   .00 %","","",""," ##.## %","-80.00 %","","","   .00 %","","   .00 %"
"2020-07-01","   .00 %"," ##.## %","","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %"," ##.## %","","-##.## %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","-36.73 %"," ##.## %","","","","   .00 %"," ##.## %"
"2020-07-02","-80.00 %",""," ##.## %"," ##.## %","   .00 %",""," ##.## %","-50.00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","-50.00 %","-41.94 %","-##.## %","","","   .00 %","","-25.00 %"
"2020-07-03","","","-14.29 %","","-72.73 %","","-33.33 %"," 25.00 %","","   .00 %","","","","   .00 %","-75.00 %","","","","",""," ##.## %",""," ##.## %","-61.11 %","   .00 %","","   .00 %","",""," ##.## %"
"2020-07-04","   .00 %","   .00 %","","   .00 %","-33.33 %",""," ##.## %","-40.00 %",""," ##.## %","",""," ##.## %","   .00 %","","","","-50.00 %","   .00 %",""," ##.## %","","-40.00 %"," ##.## %","-85.71 %","   .00 %","","-33.33 %","",""
"2020-07-05","","","","","","   .00 %","-79.17 %","","","","","","-70.00 %","   .00 %","   .00 %","","   .00 %"," ##.## %","   .00 %","","","","-33.33 %","-53.12 %","","","   .00 %"," ##.## %","",""
"2020-07-06","","   .00 %","   .00 %","-66.67 %"," ##.## %",""," 80.00 %","   .00 %","","   .00 %","",""," 66.67 %","","   .00 %","","-63.64 %","","   .00 %","","   .00 %","",""," 26.67 %"," ##.## %","","   .00 %","-75.00 %","","   .00 %"
"2020-07-07","","-62.50 %","","-66.67 %","","   .00 %","   .00 %"," ##.## %",""," ##.## %","   .00 %",""," ##.## %","   .00 %","","","","","",""," ##.## %","","   .00 %"," ##.## %","-95.24 %","","","","   .00 %","   .00 %"
"2020-07-08","   .00 %","",""," ##.## %","-29.41 %",""," ##.## %"," ##.## %",""," ##.## %","-83.33 %","","-##.## %","   .00 %","   .00 %",""," 75.00 %","   .00 %","",""," ##.## %","","","-58.70 %"," ##.## %","   .00 %",""," ##.## %","","-87.50 %"
"2020-07-09","   .00 %","   .00 %"," ##.## %","-66.67 %",""," ##.## %","-70.00 %","-50.00 %","","-16.67 %","","","   .00 %","   .00 %","   .00 %",""," 28.57 %","","",""," 35.29 %","","   .00 %"," ##.## %","-90.00 %","","   .00 %","   .00 %",""," ##.## %"
"2020-07-10"," ##.## %"," ##.## %","-60.00 %","-50.00 %","",""," ##.## %"," ##.## %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","-88.89 %","","   .00 %","   .00 %"," -4.35 %","   .00 %","   .00 %","-40.35 %"," ##.## %","",""," 50.00 %","",""
"2020-07-11","","","","","   .00 %","","-53.85 %","","   .00 %","-80.00 %","","","","   .00 %","",""," ##.## %","   .00 %","","","-90.91 %","","","  5.88 %","","","","-66.67 %","","   .00 %"
"2020-07-12"," ##.## %","-91.18 %","-50.00 %","   .00 %","-66.67 %","-92.31 %","","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","","   .00 %","","","-25.00 %","",""," 50.00 %","","-85.71 %"," ##.## %","   .00 %","",""," 66.67 %",""," ##.## %"
"2020-07-13","-87.50 %","-33.33 %","","   .00 %","","","   .00 %",""," ##.## %"," 66.67 %"," ##.## %","-66.67 %","-94.12 %","   .00 %"," ##.## %","","","-66.67 %","   .00 %","   .00 %","-66.67 %","","   .00 %","-12.12 %"," ##.## %","","","-80.00 %","",""
"2020-07-14","-##.## %",""," ##.## %","","   .00 %","   .00 %"," ##.## %","   .00 %","","-96.00 %","-87.50 %","","   .00 %","   .00 %","-50.00 %"," 50.00 %","   .00 %","","",""," ##.## %",""," ##.## %","-80.46 %","-69.23 %"," ##.## %","   .00 %"," ##.## %","","   .00 %"
"2020-07-15","   .00 %","-50.00 %","-87.50 %","   .00 %","","","-35.71 %"," ##.## %","-14.29 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","","-##.## %"," ##.## %","-50.00 %","   .00 %","   .00 %","","  5.56 %","",""," ##.## %","-25.00 %","-94.44 %","","-35.71 %","","   .00 %"
"2020-07-16",""," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","","","   .00 %","",""," ##.## %"," ##.## %","   .00 %",""," ##.## %","","","","","   .00 %","   .00 %","-25.97 %"," ##.## %","",""," 55.56 %","",""
"2020-07-17"," ##.## %","-66.67 %","","","","","-46.88 %","   .00 %","-83.33 %"," 47.06 %","   .00 %","","-41.67 %","   .00 %","","","","   .00 %"," ##.## %","-66.67 %","   .00 %","","   .00 %"," ##.## %"," -4.35 %","",""," 21.43 %","",""
"2020-07-18",""," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 50.00 %"," ##.## %","-28.00 %","",""," 57.14 %","-60.00 %","   .00 %","   .00 %","-75.00 %"," ##.## %","","","   .00 %","   .00 %"," ##.## %","-80.31 %","-95.45 %","   .00 %","","-76.47 %","","   .00 %"
"2020-07-19",""," ##.## %","   .00 %"," ##.## %"," ##.## %","","-93.75 %"," 66.67 %","","-55.56 %","   .00 %","","-63.64 %","","","-66.67 %"," ##.## %","-66.67 %","","-66.67 %","","","-85.71 %"," 80.00 %"," ##.## %","",""," ##.## %","","-84.44 %"
"2020-07-20","",""," ##.## %","","","   .00 %"," ##.## %"," ##.## %"," 50.00 %"," 12.50 %","",""," ##.## %"," ##.## %","","   .00 %","","-50.00 %","-50.00 %","","",""," ##.## %"," 77.78 %"," ##.## %","   .00 %","   .00 %","-88.46 %","",""
"2020-07-21","","   .00 %","-60.00 %","   .00 %","-96.00 %","-71.43 %","-20.00 %","-86.96 %","","-11.11 %",""," ##.## %","-86.36 %","",""," ##.## %",""," ##.## %","","","   .00 %","","","-22.50 %","","-50.00 %","","-66.67 %","","   .00 %"
"2020-07-22","   .00 %","   .00 %","","   .00 %"," ##.## %"," ##.## %"," ##.## %","",""," ##.## %","   .00 %",""," ##.## %","   .00 %","","-91.30 %","",""," 66.67 %"," ##.## %","   .00 %","","   .00 %"," 41.94 %","   .00 %"," ##.## %","   .00 %","   .00 %",""," ##.## %"
"2020-07-23","-50.00 %","   .00 %","",""," 66.67 %","-88.89 %","-57.89 %","   .00 %","   .00 %","-78.57 %","-60.00 %","","-14.29 %"," ##.## %"," ##.## %","-50.00 %","   .00 %","   .00 %","-40.00 %"," 45.45 %","-20.00 %","",""," ##.## %"," ##.## %","","   .00 %"," ##.## %",""," 40.00 %"
"2020-07-24"," ##.## %"," ##.## %","   .00 %","   .00 %"," 80.00 %"," ##.## %","-75.00 %"," ##.## %"," ##.## %"," ##.## %","-75.00 %","","-75.00 %","-50.00 %",""," ##.## %"," ##.## %","","-66.67 %","","-75.00 %","","   .00 %"," 20.49 %"," 21.74 %",""," ##.## %"," 40.00 %","","-33.33 %"
"2020-07-25","","-42.86 %","-81.82 %","","-38.89 %",""," ##.## %","-50.00 %",""," ##.## %","",""," ##.## %"," ##.## %","   .00 %","-57.14 %","-14.29 %","","","","   .00 %","   .00 %","-10.00 %","-45.75 %","-35.71 %","","","",""," -7.14 %"
"2020-07-26","   .00 %"," ##.## %","","   .00 %"," 90.91 %"," 22.22 %","-15.38 %"," ##.## %","   .00 %","-22.22 %","","","-50.00 %",""," 50.00 %","","-91.67 %","   .00 %","   .00 %","   .00 %","","","-22.22 %"," 48.51 %","  5.56 %","-75.00 %","-75.00 %","   .00 %","","-53.85 %"
"2020-07-27","   .00 %","-22.22 %",""," 33.33 %","-90.48 %",""," ##.## %","","","-41.67 %","   .00 %","","-66.67 %",""," 66.67 %","",""," ##.## %"," ##.## %","","","","-14.29 %","-10.05 %"," -5.26 %","","","   .00 %","","-66.67 %"
"2020-07-28","","-42.86 %","   .00 %",""," ##.## %","","-75.00 %","   .00 %","   .00 %","-59.18 %"," 50.00 %","","-50.00 %","   .00 %","   .00 %","","   .00 %"," 50.00 %","-40.00 %"," 33.33 %"," ##.## %",""," 33.33 %","-11.73 %"," 11.11 %","","   .00 %"," ##.## %","","   .00 %"
"2020-07-29",""," ##.## %","-66.67 %","","-83.33 %","","-16.67 %","","   .00 %"," 10.00 %","-50.00 %",""," ##.## %","","-80.00 %","   .00 %","   .00 %",""," 33.33 %","","","","-62.50 %","-14.56 %"," ##.## %",""," ##.## %","-33.33 %","",""
"2020-07-30","","-77.78 %","   .00 %","","-66.67 %","   .00 %","-20.00 %","   .00 %"," 50.00 %","-40.91 %","-66.67 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","-75.00 %","   .00 %","-50.00 %","   .00 %","   .00 %","   .00 %","-66.67 %","-22.96 %","-73.42 %","","-33.33 %"," ##.## %",""," 50.00 %"
"2020-07-31","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","-41.67 %"," ##.## %",""," 46.15 %","   .00 %"," ##.## %","-92.00 %","-50.00 %",""," ##.## %"," ##.## %","-84.62 %"," ##.## %","","","   .00 %",""," 76.92 %"," 47.62 %","","-83.33 %","-87.50 %","","-66.67 %"
"2020-08-01"," 50.00 %"," 25.00 %","","   .00 %","-50.00 %",""," 28.57 %","","   .00 %"," ##.## %","   .00 %",""," ##.## %","","   .00 %","-95.65 %",""," ##.## %","-66.67 %"," 50.00 %","   .00 %","","   .00 %","-46.74 %","-35.48 %","",""," ##.## %","","   .00 %"
"2020-08-02",""," ##.## %","   .00 %","","-50.00 %","   .00 %","-33.33 %","-94.44 %","-##.## %","-65.45 %","","-93.33 %","-27.27 %","",""," ##.## %","-50.00 %","-40.00 %"," ##.## %","","",""," ##.## %","-31.63 %","-40.00 %","   .00 %","   .00 %","-57.14 %",""," ##.## %"
"2020-08-03","-66.67 %","","","   .00 %","","","","","   .00 %"," 94.74 %","   .00 %",""," ##.## %"," ##.## %","",""," 33.33 %","","   .00 %"," 33.33 %","   .00 %",""," -5.88 %","  2.99 %","-66.67 %","   .00 %","   .00 %","","","-66.67 %"
"2020-08-04","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-66.67 %"," 48.65 %","   .00 %","   .00 %","-81.48 %","-96.00 %"," 75.00 %"," ##.## %","","-33.33 %"," 10.00 %","-##.## %","   .00 %","","-81.25 %"," ##.## %"," ##.## %","   .00 %","   .00 %","   .00 %",""," ##.## %"
"2020-08-05",""," ##.## %","","   .00 %","-51.35 %","","-90.00 %","   .00 %","   .00 %","-10.91 %","   .00 %","","-60.00 %"," ##.## %","","-96.00 %","-75.00 %","-50.00 %"," 72.73 %","   .00 %"," ##.## %","   .00 %"," ##.## %"," -9.55 %","-27.27 %","","-90.91 %","   .00 %","","-75.00 %"
"2020-08-06","   .00 %","-21.43 %","-61.54 %","   .00 %"," 55.56 %"," ##.## %"," ##.## %","   .00 %"," ##.## %","  8.16 %"," ##.## %",""," ##.## %","-83.33 %",""," ##.## %"," ##.## %"," ##.## %","-68.42 %","   .00 %"," ##.## %"," ##.## %"," 90.00 %"," 35.92 %"," 93.75 %","   .00 %","   .00 %","-60.00 %",""," ##.## %"
"2020-08-07","-50.00 %","-18.18 %",""," ##.## %","-50.00 %","","-55.38 %","   .00 %","-50.00 %"," -7.55 %","-62.50 %","   .00 %","-50.00 %"," ##.## %","   .00 %","","-90.91 %","-70.00 %"," 16.67 %","   .00 %","-25.00 %",""," -5.26 %","-16.58 %","-38.71 %"," ##.## %"," ##.## %"," ##.## %",""," 36.84 %"
"2020-08-08","-33.33 %"," ##.## %","   .00 %"," 66.67 %","-14.29 %","   .00 %"," ##.## %","   .00 %"," ##.## %","-57.14 %"," ##.## %","","-16.67 %","-20.00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","-85.71 %","-75.00 %","-44.44 %","   .00 %","-11.11 %"," -9.94 %"," ##.## %"," ##.## %","-80.00 %","-50.00 %","","-73.08 %"
"2020-08-09","   .00 %","-10.00 %"," ##.## %","-80.00 %","-25.00 %","-66.67 %","-56.52 %","-50.00 %",""," 76.19 %","-75.00 %","","-40.00 %","-50.00 %","","   .00 %"," ##.## %","-33.33 %",""," ##.## %","","   .00 %","-43.75 %","-24.83 %","-90.00 %","-83.33 %",""," ##.## %",""," ##.## %"
"2020-08-10","   .00 %","-72.22 %","-90.91 %"," ##.## %","-55.56 %"," ##.## %","-76.67 %"," ##.## %","-84.62 %"," 10.81 %"," 50.00 %",""," ##.## %"," ##.## %",""," 20.00 %","","   .00 %","   .00 %",""," ##.## %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," 33.33 %","   .00 %"," 71.43 %","","-79.17 %"
"2020-08-11",""," 60.00 %",""," ##.## %"," 75.00 %","-58.33 %"," ##.## %"," ##.## %","   .00 %"," 43.90 %","-33.33 %","","-38.89 %","-##.## %",""," ##.## %","   .00 %","   .00 %","-70.00 %","   .00 %","   .00 %"," ##.## %","-52.46 %","-52.05 %","-10.00 %"," 75.00 %","   .00 %","-##.## %",""," ##.## %"
"2020-08-12","   .00 %"," 25.00 %",""," 64.29 %"," ##.## %","-60.00 %","   .00 %",""," 50.00 %","-47.46 %","   .00 %","","-18.18 %","   .00 %","",""," 22.22 %",""," 16.67 %","   .00 %"," 27.27 %"," 50.00 %"," 44.83 %"," 73.33 %"," ##.## %"," ##.## %"," 66.67 %","   .00 %","","-58.33 %"
"2020-08-13"," ##.## %"," 80.00 %","   .00 %","-95.65 %","-42.31 %","-50.00 %"," 52.94 %","-71.43 %","-66.67 %"," 38.71 %"," ##.## %","","-88.89 %","-84.62 %","   .00 %","-66.67 %","-90.91 %","   .00 %","-14.29 %","","  7.14 %","-66.67 %","-30.95 %","  7.14 %","-77.10 %"," 21.05 %","-50.00 %"," ##.## %",""," 20.00 %"
