"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","","","","","","","","",""
"2020-03-23","62","7","1","2","12","1","2","","1"
"2020-03-24","114","27","9","0","48","2","3","","0"
"2020-03-25","162","28","11","7","38","3","8","","0"
"2020-03-26","61","22","11","3","29","4","6","","1"
"2020-03-27","145","51","8","7","66","2","0","","0"
"2020-03-28","156","39","13","3","14","4","4","","0"
"2020-03-29","337","48","22","10","44","1","3","","4"
"2020-03-30","200","54","26","12","93","4","10","","3"
"2020-03-31","425","63","8","6","144","3","6","-99","1"
"2020-04-01","116","76","10","10","94","2","5","108","8"
"2020-04-02","146","70","10","8","36","0","6","-11","2"
"2020-04-03","584","140","32","17","244","11","12","44","6"
"2020-04-04","108","47","9","9","133","17","12","23","4"
"2020-04-05","226","25","15","10","138","0","3","-19","1"
"2020-04-06","669","131","33","25","306","8","9","42","8"
"2020-04-07","417","163","25","15","196","20","8","28","3"
"2020-04-08","0","0","0","0","0","0","0","0","0"
"2020-04-09","746","426","60","55","519","54","34","100","9"
"2020-04-10","298","144","31","35","200","17","7","15","7"
"2020-04-11","227","217","42","50","332","29","19","49","7"
"2020-04-12","127","82","15","9","231","5","11","45","0"
"2020-04-13","470","329","43","40","412","32","13","-10","17"
"2020-04-14","209","127","14","16","185","5","6","42","4"
"2020-04-15","267","200","30","24","215","9","15","4","2"
"2020-04-16","336","289","45","15","405","19","25","-3","-2"
"2020-04-17","330","156","34","28","357","37","17","-39","5"
"2020-04-18","217","181","24","26","223","23","12","30","5"
"2020-04-19","71","155","7","14","128","24","6","4","3"
"2020-04-20","886","472","39","22","401","17","23","-15","8"
"2020-04-21","152","128","4","28","221","13","6","-11","4"
"2020-04-22","1411","177","79","13","318","28","26","47","10"
"2020-04-23","125","175","29","20","253","22","28","-28","7"
"2020-04-24","219","267","57","16","222","29","16","0","10"
"2020-04-25","146","191","26","15","223","25","9","0","12"
"2020-04-26","156","228","30","12","206","25","23","0","6"
"2020-04-27","234","168","28","21","278","18","12","-38","7"
"2020-04-28","111","67","8","9","96","14","3","7","0"
"2020-04-29","111","164","19","13","116","10","5","16","1"
"2020-04-30","309","213","44","26","331","24","10","-45","21"
"2020-05-01","318","330","51","30","364","39","9","-91","14"
"2020-05-02","189","181","22","20","124","20","15","-59","11"
"2020-05-03","0","0","0","0","0","0","0","0","0"
"2020-05-04","444","61","11","6","86","18","3","51","6"
"2020-05-05","115","178","18","21","227","40","38","5","6"
"2020-05-06","95","179","20","8","82","23","11","-63","19"
"2020-05-07","224","220","29","22","259","38","9","-20","8"
"2020-05-08","200","154","16","11","209","13","8","17","-1"
"2020-05-09","151","201","12","14","204","20","10","-56","17"
"2020-05-10","206","158","11","9","118","7","3","54","4"
"2020-05-11","76","95","8","3","51","2","2","-27","1"
"2020-05-12","176","170","10","22","170","9","11","-10","10"
"2020-05-13","148","204","8","14","140","11","4","-13","6"
"2020-05-14","200","203","24","26","142","17","8","-15","4"
"2020-05-15","173","191","15","22","169","23","15","3","10"
"2020-05-16","131","173","16","13","194","16","53","19","3"
"2020-05-17","108","424","35","11","84","13","79","-47","9"
"2020-05-18","191","234","11","27","179","3","20","23","9"
"2020-05-19","83","93","10","11","89","4","35","-15","4"
"2020-05-20","197","184","9","18","160","16","16","-16","3"
"2020-05-21","32","65","4","7","76","7","1","-8","7"
"2020-05-22","138","164","-5","20","93","7","9","-6","12"
"2020-05-23","100","82","6","7","91","60","3","27","6"
"2020-05-24","125","141","27","11","58","76","8","-5","5"
"2020-05-25","99","155","15","2","112","-3","5","14","6"
"2020-05-26","142","76","14","14","104","32","9","33","6"
"2020-05-27","-41","45","0","35","3","-22","-6","-29","0"
"2020-05-28","39","116","6","21","74","14","7","-10","4"
"2020-05-29","56","68","9","8","43","1","5","8","5"
"2020-05-30","93","61","6","14","68","8","6","3","1"
"2020-05-31","47","89","16","0","14","2","3","5","3"
"2020-06-01","160","152","3","39","156","13","9","3","4"
"2020-06-02","67","88","2","11","46","3","3","14","5"
"2020-06-03","13","57","2","7","23","6","8","-3","-1"
"2020-06-04","54","43","2","10","34","4","3","-7","5"
"2020-06-05","71","41","3","-1","91","4","0","4","8"
"2020-06-06","106","70","4","4","144","4","5","10","11"
"2020-06-07","36","62","6","11","11","7","0","13","4"
"2020-06-08","36","35","7","2","32","1","-1","4","8"
"2020-06-09","16","15","6","7","15","2","10","14","2"
"2020-06-10","26","65","-2","5","36","8","5","18","7"
"2020-06-11","21","43","5","11","19","17","5","-11","4"
"2020-06-12","23","136","0","6","49","3","3","-4","12"
"2020-06-13","99","86","4","7","42","48","-1","10","10"
"2020-06-14","29","29","3","6","13","38","3","-29","2"
"2020-06-15","32","13","-1","4","21","4","0","72","2"
"2020-06-16","21","30","2","2","23","36","0","-2","2"
"2020-06-17","22","23","1","6","11","9","1","5","2"
"2020-06-18","17","38","3","5","16","3","3","-75","1"
"2020-06-19","27","36","1","8","31","-85","1","3","95"
"2020-06-20","44","34","19","4","38","6","2","3","8"
"2020-06-21","6","13","0","1","11","8","0","-3","4"
"2020-06-22","8","9","0","0","11","-3","0","-3","5"
