"date","Pennsylvania/Adams","Pennsylvania/Allegheny","Pennsylvania/Armstrong","Pennsylvania/Beaver","Pennsylvania/Bedford","Pennsylvania/Berks","Pennsylvania/Blair","Pennsylvania/Bradford","Pennsylvania/Bucks","Pennsylvania/Butler","Pennsylvania/Cambria","Pennsylvania/Cameron","Pennsylvania/Carbon","Pennsylvania/Centre","Pennsylvania/Chester","Pennsylvania/Clarion","Pennsylvania/Clearfield","Pennsylvania/Clinton","Pennsylvania/Columbia","Pennsylvania/Crawford","Pennsylvania/Cumberland","Pennsylvania/Dauphin","Pennsylvania/Delaware","Pennsylvania/Elk","Pennsylvania/Erie","Pennsylvania/Fayette","Pennsylvania/Forest","Pennsylvania/Franklin","Pennsylvania/Fulton","Pennsylvania/Greene","Pennsylvania/Huntingdon","Pennsylvania/Indiana","Pennsylvania/Jefferson","Pennsylvania/Juniata","Pennsylvania/Lackawanna","Pennsylvania/Lancaster","Pennsylvania/Lawrence","Pennsylvania/Lebanon","Pennsylvania/Lehigh","Pennsylvania/Luzerne","Pennsylvania/Lycoming","Pennsylvania/McKean","Pennsylvania/Mercer","Pennsylvania/Mifflin","Pennsylvania/Monroe","Pennsylvania/Montgomery","Pennsylvania/Montour","Pennsylvania/Northampton","Pennsylvania/Northumberland","Pennsylvania/Perry","Pennsylvania/Philadelphia","Pennsylvania/Pike","Pennsylvania/Potter","Pennsylvania/Schuylkill","Pennsylvania/Snyder","Pennsylvania/Somerset","Pennsylvania/Sullivan","Pennsylvania/Susquehanna","Pennsylvania/Tioga","Pennsylvania/Unassigned","Pennsylvania/Union","Pennsylvania/Venango","Pennsylvania/Warren","Pennsylvania/Washington","Pennsylvania/Wayne","Pennsylvania/Westmoreland","Pennsylvania/Wyoming","Pennsylvania/York"
"2020-04-01"," 33.33 %","  9.54 %","   .00 %","  3.85 %"," 50.00 %"," 37.27 %","   .00 %"," 14.29 %"," 10.76 %","  6.67 %"," 50.00 %","   .00 %"," 35.29 %","  3.85 %"," 15.09 %"," 33.33 %","   .00 %",""," 14.29 %"," 25.00 %","  5.56 %"," 31.11 %"," 15.38 %","","  7.14 %","   .00 %",""," 10.53 %","","   .00 %","   .00 %","   .00 %","","-33.33 %","  8.97 %"," 27.64 %","   .00 %"," 28.57 %"," 37.50 %"," 33.02 %"," 16.67 %","   .00 %","   .00 %","-50.00 %"," 17.80 %"," 13.86 %"," 44.44 %"," 27.35 %"," ##.## %","   .00 %"," 27.38 %"," 18.75 %","   .00 %"," 23.68 %"," 50.00 %"," 50.00 %",""," ##.## %","   .00 %","","-50.00 %","   .00 %","   .00 %","  6.06 %"," 40.00 %"," 18.03 %",""," 19.70 %"
"2020-04-02"," 50.00 %"," 17.70 %"," 40.00 %","  1.85 %","   .00 %"," 11.26 %","   .00 %","   .00 %"," 16.93 %","  7.81 %"," 33.33 %","   .00 %"," 13.04 %","  3.70 %"," 14.75 %","   .00 %","   .00 %",""," 37.50 %","   .00 %","  7.89 %"," 13.56 %"," 20.51 %",""," 13.33 %","  7.14 %","   .00 %","  9.52 %",""," 22.22 %"," ##.## %","   .00 %","","   .00 %"," 27.06 %"," 29.30 %"," 23.08 %"," 25.00 %"," 28.07 %"," 36.17 %","   .00 %","   .00 %"," 12.50 %","   .00 %"," 15.47 %"," 13.25 %"," 15.38 %"," 21.15 %"," 33.33 %"," ##.## %"," 25.37 %"," 19.30 %","   .00 %"," 14.89 %","   .00 %","   .00 %",""," 50.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  8.57 %"," 21.43 %"," 16.67 %","   .00 %"," 29.11 %"
"2020-04-03","  5.56 %"," 13.60 %"," 57.14 %"," 18.18 %","   .00 %"," 19.64 %","   .00 %"," 12.50 %"," 20.64 %","  8.70 %","   .00 %","   .00 %"," 30.77 %"," 14.29 %","  7.62 %","   .00 %"," 25.00 %","   .00 %"," 36.36 %","   .00 %","  9.76 %"," 17.91 %"," 15.32 %","","   .00 %"," 33.33 %","   .00 %"," 13.04 %","","   .00 %"," 50.00 %"," 16.67 %",""," ##.## %"," 10.19 %"," 14.29 %"," 18.75 %"," 20.00 %"," 21.92 %"," 26.04 %"," 14.29 %","   .00 %"," 11.11 %"," ##.## %"," 23.68 %"," 19.05 %","  6.67 %"," 23.28 %","   .00 %"," 33.33 %"," 15.71 %"," 22.06 %","   .00 %"," 16.67 %"," 33.33 %","   .00 %",""," 33.33 %"," 50.00 %",""," 50.00 %","   .00 %","   .00 %","  5.26 %"," 35.29 %"," 30.95 %"," ##.## %"," 18.63 %"
"2020-04-04"," 10.53 %"," 15.97 %","  9.09 %","  6.15 %"," 33.33 %"," 16.92 %"," 25.00 %"," 11.11 %"," 14.89 %"," 12.00 %"," 50.00 %","   .00 %"," 35.29 %"," 21.88 %"," 10.62 %","   .00 %"," 40.00 %","   .00 %"," 33.33 %","   .00 %"," 20.00 %"," 25.32 %"," 13.65 %",""," 11.76 %"," 15.00 %"," ##.## %","  3.85 %","","  9.09 %"," 33.33 %"," 28.57 %",""," 40.00 %"," 22.69 %"," 25.43 %"," 15.79 %"," 61.11 %"," 37.67 %"," 33.88 %"," 25.00 %","   .00 %"," 40.00 %"," ##.## %"," 21.91 %"," 12.23 %"," 18.75 %"," 26.18 %"," 12.50 %"," 25.00 %"," 23.79 %"," 16.87 %"," 50.00 %"," 22.22 %"," 50.00 %","   .00 %","   .00 %"," 25.00 %","   .00 %",""," 66.67 %","   .00 %","   .00 %"," 15.00 %"," 21.74 %"," 22.73 %"," ##.## %"," 19.01 %"
"2020-04-05","  4.76 %","  9.60 %","   .00 %"," 21.74 %","   .00 %"," 17.45 %","   .00 %","   .00 %"," 12.19 %","  3.57 %"," 16.67 %","   .00 %","  8.70 %"," 10.26 %","  7.60 %"," 25.00 %","   .00 %","   .00 %"," 10.00 %"," 40.00 %","  7.41 %"," 19.19 %"," 14.94 %","","   .00 %"," 17.39 %"," 50.00 %"," 11.11 %","   .00 %","   .00 %","   .00 %"," 44.44 %","","   .00 %"," 17.81 %"," 27.49 %","  4.55 %"," 21.84 %","  9.08 %"," 14.35 %","-10.00 %","   .00 %"," 28.57 %"," ##.## %","  9.09 %"," 13.14 %"," 94.74 %","  8.16 %"," 55.56 %","   .00 %","  6.02 %"," 17.53 %","   .00 %"," 16.88 %"," 33.33 %"," 33.33 %","   .00 %"," 20.00 %","   .00 %",""," 20.00 %","   .00 %","   .00 %","  8.70 %"," 17.86 %","  8.89 %","   .00 %"," 18.75 %"
"2020-04-06"," 13.64 %","  6.12 %","  8.33 %"," 14.29 %","   .00 %"," 18.12 %","   .00 %","   .00 %","  9.31 %","  4.60 %","   .00 %","   .00 %"," 18.00 %","  2.33 %"," 14.13 %"," 20.00 %","   .00 %"," ##.## %"," 18.18 %"," 28.57 %"," 17.24 %"," 11.86 %"," 16.10 %",""," 42.11 %","  7.41 %"," 33.33 %","  6.67 %","   .00 %","   .00 %","   .00 %"," 30.77 %",""," 57.14 %"," 10.47 %","  9.97 %","  4.35 %"," 16.98 %"," 14.71 %"," 14.57 %"," 11.11 %","   .00 %","   .00 %","   .00 %","  8.33 %"," 10.71 %","   .00 %"," 12.58 %","  7.14 %","   .00 %"," 16.90 %","  9.65 %","   .00 %"," 14.44 %","   .00 %"," 50.00 %","   .00 %","   .00 %"," ##.## %","","   .00 %"," 66.67 %","   .00 %","  6.00 %","  6.06 %","  6.80 %","   .00 %"," 10.53 %"
"2020-04-07"," 12.00 %","  7.32 %"," 38.46 %"," 20.83 %","   .00 %"," 13.19 %"," 20.00 %"," 40.00 %"," 12.46 %"," 17.58 %","   .00 %","   .00 %"," 13.56 %"," 25.00 %","  9.12 %"," 50.00 %","   .00 %","   .00 %"," 61.54 %","-11.11 %"," 13.24 %"," 17.42 %","  9.25 %","   .00 %","  7.41 %"," 10.34 %"," 25.00 %"," 21.88 %","   .00 %"," 25.00 %"," 25.00 %"," 23.53 %","   .00 %"," 27.27 %"," 23.68 %"," 20.10 %"," 20.83 %"," 16.94 %"," 13.92 %"," 15.67 %"," 20.00 %","   .00 %"," 44.44 %","-33.33 %","  6.64 %"," 10.49 %","   .00 %","  8.10 %"," 46.67 %"," 80.00 %"," 14.59 %","  8.80 %","   .00 %"," 15.53 %"," 12.50 %"," 16.67 %","   .00 %"," 83.33 %"," 25.00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","  7.55 %"," 14.29 %"," 12.74 %","   .00 %"," 15.34 %"
"2020-04-08"," 17.86 %","  4.50 %","  5.56 %"," 10.34 %","   .00 %"," 12.74 %","   .00 %","  7.14 %"," 14.45 %","  5.61 %"," 28.57 %","   .00 %"," 13.43 %","  3.64 %"," 11.34 %","-11.11 %","   .00 %","   .00 %"," 28.57 %","   .00 %","  9.09 %","  8.39 %"," 15.14 %","   .00 %","   .00 %","  9.38 %","   .00 %"," 10.26 %","   .00 %"," 13.33 %"," 20.00 %","   .00 %","   .00 %"," 28.57 %"," 13.19 %"," 14.49 %"," 10.34 %"," 16.55 %"," 15.10 %"," 15.48 %"," 25.00 %","   .00 %","  3.85 %"," 66.67 %"," 10.00 %"," 11.92 %","   .00 %"," 10.72 %","   .00 %"," 44.44 %"," 11.82 %","  8.82 %","   .00 %"," 14.29 %","   .00 %","   .00 %","   .00 %"," 27.27 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","  3.51 %"," 17.50 %","  3.39 %","   .00 %","  6.88 %"
"2020-04-09"," 15.15 %","  5.42 %","  5.26 %","   .78 %","   .00 %"," 48.08 %","   .00 %","   .00 %"," 14.09 %","   .00 %"," 11.11 %","   .00 %","  9.21 %","  3.51 %"," 13.94 %","   .00 %","   .00 %"," 33.33 %"," 20.37 %"," 62.50 %","  4.76 %","  7.14 %"," 18.18 %","   .00 %"," 10.34 %"," 28.57 %","   .00 %"," 20.93 %","   .00 %"," 23.53 %"," 33.33 %","   .00 %","   .00 %"," 27.78 %"," 17.29 %","  6.24 %"," 15.62 %"," 10.65 %"," 11.14 %","  9.44 %"," 13.33 %","   .00 %"," 11.11 %","   .00 %","  6.71 %"," 11.31 %","   .00 %"," 10.74 %","  9.09 %"," 15.38 %","  5.28 %"," 10.14 %","   .00 %","  9.56 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %"," 37.50 %","   .00 %","   .00 %","  6.78 %","  4.26 %","  3.83 %"," 20.00 %","  7.30 %"
"2020-04-10"," 13.16 %","  3.82 %"," 10.00 %","  7.75 %","-25.00 %"," 16.88 %"," 50.00 %","  6.67 %","  9.77 %","  8.85 %"," 10.00 %","   .00 %"," 12.05 %","  3.39 %"," 14.12 %"," 25.00 %"," 14.29 %"," 50.00 %"," 24.62 %","   .00 %","  9.09 %"," 10.56 %"," 12.68 %","   .00 %"," 12.50 %","  8.89 %","   .00 %","  9.62 %","   .00 %","   .00 %","   .00 %"," 23.81 %","   .00 %"," 30.43 %"," 10.90 %","  8.72 %"," 21.62 %"," 16.58 %","  6.55 %","  6.77 %","  5.88 %","   .00 %"," 20.00 %"," 10.00 %","  5.03 %"," 11.58 %","   .00 %","  4.74 %"," 20.83 %","  6.67 %","  9.78 %"," 16.56 %","   .00 %"," 10.07 %"," 33.33 %"," 42.86 %","   .00 %"," 37.50 %"," 10.00 %","   .00 %","  9.09 %","   .00 %","   .00 %","  4.76 %","  8.16 %","  6.32 %","   .00 %"," 13.20 %"
"2020-04-11","  2.33 %","  6.09 %"," 18.18 %","  2.88 %"," 66.67 %"," 29.17 %"," 11.11 %"," 12.50 %","  8.32 %","  4.07 %"," 18.18 %","   .00 %","  5.38 %"," 13.11 %","  9.69 %"," 50.00 %"," 12.50 %"," 16.67 %"," 22.22 %"," 15.38 %","  9.38 %","  7.04 %","  9.66 %","   .00 %","  8.33 %","  2.04 %","   .00 %","  3.51 %","   .00 %","  9.52 %"," 25.00 %"," 53.85 %","   .00 %"," 26.67 %"," 13.29 %","  7.72 %","  2.22 %","  6.42 %","  3.71 %","  3.55 %"," 11.11 %"," ##.## %","  5.56 %"," -9.09 %","  2.93 %","  8.68 %","   .00 %","  4.53 %","  6.90 %","   .00 %","  9.07 %","  9.47 %"," 33.33 %","  9.15 %"," 33.33 %","   .00 %","   .00 %","  4.55 %","  9.09 %","   .00 %"," 16.67 %"," 20.00 %","   .00 %","   .00 %","  7.55 %","  7.92 %"," 33.33 %","  3.53 %"
"2020-04-12","  9.09 %","  2.51 %","  3.85 %","  1.40 %","   .00 %"," 11.29 %","   .00 %","   .00 %","  5.69 %","  3.91 %","   .00 %","   .00 %","  4.08 %","  1.45 %","  5.64 %","   .00 %","   .00 %"," 14.29 %","  7.07 %","   .00 %","  4.76 %","  7.51 %","  5.56 %","   .00 %","   .00 %","  8.00 %","   .00 %","  8.47 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","  8.93 %"," 10.60 %","  6.52 %"," 16.38 %","  3.95 %","  2.84 %"," 15.00 %","   .00 %","  5.26 %"," 20.00 %","  2.71 %","  5.41 %","   .00 %","  4.14 %"," 19.35 %","   .00 %","  6.04 %","  1.92 %","   .00 %","  5.03 %"," 25.00 %"," 20.00 %","   .00 %","  8.70 %","  8.33 %","   .00 %"," 35.71 %","   .00 %","   .00 %","  3.03 %"," 10.53 %","  2.29 %"," 12.50 %","  4.78 %"
