"date","Alaska/Aleutians East","Alaska/Aleutians West","Alaska/Anchorage","Alaska/Bethel","Alaska/Bristol Bay","Alaska/Denali","Alaska/Dillingham","Alaska/Fairbanks North Star","Alaska/Haines","Alaska/Hoonah-Angoon","Alaska/Juneau","Alaska/Kenai Peninsula","Alaska/Ketchikan Gateway","Alaska/Kodiak Island","Alaska/Kusilvak","Alaska/Lake and Peninsula","Alaska/Matanuska-Susitna","Alaska/Nome","Alaska/North Slope","Alaska/Northwest Arctic","Alaska/Petersburg","Alaska/Prince of Wales-Hyder","Alaska/Sitka","Alaska/Skagway","Alaska/Soldotna","Alaska/Southeast Fairbanks","Alaska/Sterling","Alaska/Unassigned","Alaska/Valdez-Cordova","Alaska/Wrangell","Alaska/Yakutat","Alaska/Yukon-Koyukuk"
"2020-03-22","0","0","5","0","0","0","0","7","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","1","","0","0","0","0"
"2020-03-23","0","0","13","0","0","0","0","7","0","0","1","3","6","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0"
"2020-03-24","0","0","17","0","0","0","0","7","0","0","1","3","6","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","0","0"
"2020-03-25","0","0","17","0","0","0","0","10","0","0","2","4","8","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-26","0","0","28","0","0","0","0","11","0","0","2","4","11","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-27","0","0","30","0","0","0","0","10","0","0","3","4","11","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-28","0","0","43","0","0","0","0","19","0","0","4","5","12","0","0","0","2","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-29","0","0","54","0","0","0","0","23","0","0","4","7","12","0","0","0","2","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-30","0","0","59","0","0","0","0","28","0","0","5","7","13","0","0","0","2","0","0","0","0","0","0","0","","0","","0","0","0","0","0"
"2020-03-31","","","61","","","","","30","","","5","7","13","","","","3","","","","","","","","","","","0","","","",""
"2020-04-01","","","65","","","","","35","","","9","7","13","","","","3","","","","","","","","","","","0","","","",""
"2020-04-02","","","67","","","","","40","","","10","8","14","","","","4","","","","","","","","","","","0","","","",""
"2020-04-03","","","73","","","","","42","","","11","10","14","","","","4","","","","1","","","","","1","","0","","","","1"
"2020-04-04","","","81","","","","","46","","","12","11","14","","","","4","","","","1","","","","","1","","0","","","","1"
"2020-04-05","","","85","","","","","53","","","14","12","14","","","","4","","","","1","","","","","1","","0","","","","1"
"2020-04-06","","","88","","","","","53","","","14","13","14","","","","4","","","","2","","","","","1","","0","","","","1"
"2020-04-07","","","98","1","","","","65","","","14","13","14","","","","4","","","","2","","","","","1","","0","","","","1"
"2020-04-08","","","103","1","","","","71","","","14","13","14","","","","5","","","","2","","","","","1","","1","","","","1"
"2020-04-09","","","109","1","","","","73","","","14","14","14","","","","6","","","","2","","","","","1","","0","","","","1"
