"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-04-02","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-24","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-04",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-05",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-06",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-07","","  6.19 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-08",""," 13.33 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-10",""," 26.67 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-11",""," 20.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-12",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-13",""," 80.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-15",""," 50.00 %","","","","","","","-40.00 %","","","","","","","","","","","","","","","",""
"2020-06-16",""," 50.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-19","","","","","","","","","-40.00 %","","","","","","","","","","","","","","","",""
"2020-06-20","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-21","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-24","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-25","","","","","","","","","","","","","","",""," 53.38 %","","","","","","","","",""
"2020-06-26","","","","","","","","","","","","","","",""," 38.38 %","","","","","","","","",""
"2020-06-27","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","",""," 92.22 %","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","",""," 60.56 %","","","","","","","","",""
"2020-06-30","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","","","","","",""," 68.33 %","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","",""," 10.00 %",""," 73.53 %","","","","","","","","",""
"2020-07-08","","","","","","","","","","","","","","",""," 90.00 %","","","","","","","","",""
"2020-07-09","","","","","","","","","","","","","","",""," 90.67 %","","","","","","","","",""
"2020-07-10","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-11","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-13","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-14","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","",""," 93.33 %",""," 37.01 %","","","","","","","","",""
"2020-07-16","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","",""
"2020-07-17","","","","","","","","","","",""," 10.00 %",""," 74.76 %",""," 87.06 %","","","","","","","","",""
"2020-07-18","","","","","","","","","","",""," ##.## %","","",""," 55.34 %","","","","","","","","",""
"2020-07-19","","","","","","","","","",""," -3.33 %","","","",""," 69.13 %","","","","","","","","",""
"2020-07-20","","","","","","","","","","","",""," 48.00 %","",""," 73.94 %","","","","","","","","",""
"2020-07-21","","","","","","","","","",""," -3.33 %",""," 52.00 %","",""," 38.06 %","","","","","","","","",""
"2020-07-22","","",""," 67.38 %","","","","","",""," 36.67 %"," ##.## %","","",""," 22.17 %","","","","","","","","",""
"2020-07-23","","","","","","","","","",""," 23.33 %","","","",""," 33.89 %","","","","","","","","",""
"2020-07-24","","","","","","","","","",""," 33.33 %","",""," -4.90 %","","  6.73 %","","","","","","","","",""
"2020-07-25","","",""," 50.05 %","","","","","","",""," ##.## %","","",""," 12.49 %","","","","","","","",""," ##.## %"
"2020-07-26","","",""," 48.38 %","","","","","","","","","","","","-19.19 %","","","","","","","","",""
"2020-07-27",""," -4.17 %","","","","","","","-16.67 %","","","","","",""," ##.## %","","","","","","","",""," ##.## %"
