"date","Goa/Chicalim Vasco","Goa/North Goa","Goa/Other State","Goa/Sanquelim","Goa/South Goa"
"2020-06-26",""," 14.63 %","  4.17 %","","  1.97 %"
"2020-06-27",""," 23.40 %","   .00 %","","  4.27 %"
"2020-06-28","","  5.17 %","  6.00 %","","  2.91 %"
"2020-06-29",""," 37.70 %","  6.60 %","","  1.80 %"
"2020-06-30",""," 21.43 %","  2.65 %","","   .13 %"
"2020-07-01",""," 17.65 %","  7.76 %","","   .50 %"
"2020-07-02",""," 17.50 %","","","  4.26 %"
"2020-07-03",""," 23.40 %","","","  3.49 %"
"2020-07-04",""," 32.18 %","   .00 %","","  7.32 %"
"2020-07-05",""," 22.17 %","   .80 %","","   .76 %"
"2020-07-06","","  9.25 %","  3.17 %","","  2.69 %"
"2020-07-07",""," 13.03 %","  2.31 %","","   .94 %"
"2020-07-08","","  6.34 %","   .00 %","","  9.53 %"
"2020-07-09","","  6.50 %","   .00 %","","  5.11 %"
"2020-07-10","","  9.41 %","   .00 %","","  1.08 %"
"2020-07-11","","  6.51 %","  3.01 %","","  1.96 %"
"2020-07-12","","  8.52 %","  8.76 %","","  1.48 %"
"2020-07-13",""," 11.07 %","  1.34 %","","  9.64 %"
"2020-07-14","","  8.88 %","   .66 %","","  5.89 %"
"2020-07-15","","  6.66 %","  1.97 %","","  9.79 %"
"2020-07-16","","  9.52 %","   .00 %","","  1.08 %"
"2020-07-17","","  9.54 %","  1.94 %","","  3.07 %"
"2020-07-18","","   .00 %","  1.90 %","","  9.33 %"
"2020-07-19","","  1.17 %","  3.73 %","","   .00 %"
"2020-07-20","","   .64 %","  4.19 %","","  2.25 %"
"2020-07-21","","  3.07 %","   .00 %","","  4.17 %"
"2020-07-22","","  2.11 %","   .00 %","","  2.84 %"
"2020-07-23","","  3.76 %","  1.72 %","","  1.41 %"
"2020-07-24","","   .00 %","   .00 %","","   .00 %"
"2020-07-25","","   .00 %","   .00 %","","  2.13 %"
"2020-07-26","","   .00 %","   .00 %","","   .00 %"
"2020-07-27","","  7.25 %","  5.08 %","","  2.82 %"
"2020-07-28","","   .00 %","   .00 %","","   .25 %"
"2020-07-29","","   .00 %","   .00 %","","  1.93 %"
"2020-07-30","","   .87 %","   .00 %","","   .70 %"
"2020-07-31","","  2.05 %","   .00 %","","   .30 %"
"2020-08-01","","  4.98 %","   .00 %","","   .59 %"
"2020-08-02","","  6.26 %","   .00 %","","  2.74 %"
"2020-08-03","","  4.94 %","   .00 %","","  1.29 %"
"2020-08-04","","  2.17 %","   .00 %","","   .28 %"
"2020-08-05","","  6.38 %","   .54 %","","  4.78 %"
"2020-08-06","","  4.00 %","","","   .00 %"
"2020-08-07","","   .00 %","   .53 %","","  8.77 %"
"2020-08-08","","  9.93 %","   .00 %","","   .00 %"
"2020-08-09","","  5.46 %","   .00 %","","  9.84 %"
"2020-08-10","","  6.56 %","   .00 %","","   .71 %"
"2020-08-11","","  3.89 %","","","  2.86 %"
"2020-08-12",""," 10.42 %","   .53 %","","  5.46 %"
"2020-08-13",""," 12.32 %","   .53 %","","  2.74 %"
"2020-08-14","","  7.19 %","","","  2.94 %"
"2020-08-15","","  2.86 %","","","   .00 %"
"2020-08-16","","  2.14 %","","","   .00 %"
"2020-08-17","","   .71 %","   .00 %","","  1.88 %"
"2020-08-18","","  1.20 %","   .53 %","","   .41 %"
"2020-08-19","","  2.10 %","   .52 %","","   .00 %"
"2020-08-20","","   .09 %","  1.04 %","","  2.22 %"
"2020-08-21","","   .00 %","   .52 %","","   .00 %"
"2020-08-22","","   .00 %","","","   .00 %"
"2020-08-23","","   .00 %","   .51 %","","   .00 %"
"2020-08-24","","   .00 %","   .51 %","","   .00 %"
"2020-08-25","","   .00 %","","","  2.82 %"
"2020-08-26","","  6.52 %","","","  1.75 %"
"2020-08-27","","   .72 %","","","  2.43 %"
"2020-08-28","","  1.88 %","   .00 %","","  1.42 %"
"2020-08-29","","  4.59 %","   .51 %","","   .00 %"
"2020-08-30","","   .00 %","  1.01 %","","   .14 %"
"2020-08-31","","   .00 %","   .00 %","","   .00 %"
"2020-11-26","","","","   .00 %",""
"2020-11-27","   .00 %","","","",""
