"date","District of Columbia/District of Columbia"
"2020-03-22","   .00 %"
"2020-03-23","   .00 %"
"2020-03-24","   .00 %"
"2020-03-25","   .00 %"
"2020-03-26"," 50.00 %"
"2020-03-27","   .00 %"
"2020-03-28"," 33.33 %"
"2020-03-29"," 25.00 %"
"2020-03-30"," 80.00 %"
"2020-03-31","   .00 %"
"2020-04-01","   .00 %"
"2020-04-02"," 33.33 %"
"2020-04-03"," 25.00 %"
"2020-04-04"," 40.00 %"
"2020-04-05","  4.76 %"
"2020-04-06","  9.09 %"
"2020-04-07"," -8.33 %"
"2020-04-08"," 22.73 %"
"2020-04-09"," 18.52 %"
"2020-04-10"," 18.75 %"
"2020-04-11"," 23.68 %"
"2020-04-12","  6.38 %"
"2020-04-13","  4.00 %"
"2020-04-14"," 28.85 %"
"2020-04-15","  7.46 %"
"2020-04-16"," 12.50 %"
"2020-04-17","  6.17 %"
"2020-04-18","  5.81 %"
"2020-04-19","  5.49 %"
"2020-04-20","  9.38 %"
"2020-04-21","  6.67 %"
"2020-04-22"," 13.39 %"
"2020-04-23","  9.45 %"
"2020-04-24"," 10.07 %"
"2020-04-25","  7.84 %"
"2020-04-26","  7.88 %"
"2020-04-27","  3.93 %"
"2020-04-28","  2.70 %"
"2020-04-29","  7.89 %"
"2020-04-30","  9.27 %"
"2020-05-01","  3.12 %"
"2020-05-02","  3.90 %"
"2020-05-03","  4.58 %"
"2020-05-04","  2.79 %"
"2020-05-05","  2.33 %"
"2020-05-06","  4.92 %"
"2020-05-07","  2.89 %"
"2020-05-08","  6.67 %"
"2020-05-09","  2.30 %"
"2020-05-10","  3.86 %"
"2020-05-11","  1.55 %"
"2020-05-12","  2.44 %"
"2020-05-13","  4.17 %"
"2020-05-14","  2.29 %"
"2020-05-15","  2.79 %"
"2020-05-16","  1.90 %"
"2020-05-17","  2.13 %"
"2020-05-18","  2.35 %"
"2020-05-19","  2.04 %"
"2020-05-20","  1.75 %"
"2020-05-21","  1.23 %"
"2020-05-22","  1.46 %"
"2020-05-23","  2.15 %"
"2020-05-24","  1.17 %"
"2020-05-25","  1.85 %"
"2020-05-26","   .00 %"
"2020-05-27","  1.14 %"
"2020-05-28","  1.80 %"
"2020-05-29","  1.55 %"
"2020-05-30","   .43 %"
"2020-05-31","   .87 %"
"2020-06-01","   .43 %"
"2020-06-02","   .43 %"
"2020-06-03","   .64 %"
"2020-06-04","   .42 %"
"2020-06-05","   .84 %"
"2020-06-06","   .84 %"
"2020-06-07","  1.24 %"
"2020-06-08","   .41 %"
"2020-06-09","   .81 %"
"2020-06-10","   .81 %"
"2020-06-11","   .60 %"
"2020-06-12","   .80 %"
"2020-06-13","   .99 %"
"2020-06-14","   .78 %"
"2020-06-15","   .00 %"
"2020-06-16","   .97 %"
"2020-06-17","   .58 %"
"2020-06-18","   .76 %"
"2020-06-19","   .57 %"
"2020-06-20","   .19 %"
"2020-06-21","   .38 %"
"2020-06-22","   .38 %"
"2020-06-23","   .37 %"
"2020-06-24","   .74 %"
"2020-06-25","   .37 %"
"2020-06-26","   .55 %"
"2020-06-27","   .37 %"
"2020-06-28","   .36 %"
"2020-06-29","   .18 %"
"2020-06-30","   .00 %"
"2020-07-01","   .36 %"
"2020-07-02","   .18 %"
"2020-07-03","   .18 %"
"2020-07-04","   .36 %"
"2020-07-05","   .36 %"
"2020-07-06","   .36 %"
"2020-07-07","   .00 %"
"2020-07-08","   .53 %"
"2020-07-09","   .71 %"
"2020-07-10","   .00 %"
"2020-07-11","   .00 %"
"2020-07-12","   .00 %"
"2020-07-13","   .00 %"
"2020-07-14","   .00 %"
"2020-07-15","   .53 %"
"2020-07-16","   .53 %"
"2020-07-17","   .52 %"
"2020-07-18","   .17 %"
"2020-07-19","   .00 %"
"2020-07-20","   .17 %"
"2020-07-21","   .17 %"
"2020-07-22","   .00 %"
"2020-07-23","   .17 %"
"2020-07-24","   .00 %"
"2020-07-25","   .00 %"
"2020-07-26","   .00 %"
"2020-07-27","   .17 %"
"2020-07-28","   .17 %"
"2020-07-29","   .17 %"
"2020-07-30","   .00 %"
"2020-07-31","   .00 %"
"2020-08-01","   .00 %"
"2020-08-02","   .00 %"
"2020-08-03","   .34 %"
"2020-08-04","   .17 %"
"2020-08-05","   .00 %"
"2020-08-06","   .00 %"
"2020-08-07","   .34 %"
"2020-08-08","   .17 %"
"2020-08-09","   .17 %"
"2020-08-10","   .00 %"
"2020-08-11","   .34 %"
"2020-08-12","   .00 %"
"2020-08-13","   .17 %"
"2020-08-14","   .00 %"
"2020-08-15","   .51 %"
"2020-08-16","   .00 %"
"2020-08-17","   .00 %"
"2020-08-18","   .34 %"
"2020-08-19","   .17 %"
"2020-08-20","   .17 %"
"2020-08-21","   .17 %"
"2020-08-22","   .33 %"
"2020-08-23","   .00 %"
"2020-08-24","   .00 %"
