"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-03-16","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","",""
"2020-03-31","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","",""," 33.33 %","","","","","","","","","","","","",""
"2020-04-03","","","",""," ##.## %","","   .00 %","","","","","","   .00 %","","","","",""," ##.## %","","","","","","","","   .00 %","","","","",""
"2020-04-04","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","  3.12 %","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","   .00 %","","","","",""," ##.## %","","",""," 12.12 %","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","  5.41 %","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","",""," ##.## %","","  2.56 %","","","","","","","","","","","","","   .00 %"
"2020-04-13","","","","","","","","","","","","","","","","","","","  2.50 %","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""," ##.## %","","","","","","  9.76 %","","","","","","","","","","","","",""
"2020-04-18","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","",""," ##.## %",""," ##.## %","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","",""," 50.00 %"
"2020-04-21","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","",""," 37.50 %","","","","","","",""," 14.29 %","","","","","","","","","","","","","","","","","","",""
"2020-04-23","",""," 25.00 %","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","",""," 45.45 %","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %"
"2020-04-27","",""," 60.00 %",""," 18.75 %","","","","","","","","  5.56 %","","","","","","   .00 %","   .00 %","","","","","","","","","","",""," 66.67 %"
"2020-04-28","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-29","",""," 18.75 %","","","","","   .00 %","","","","","","   .00 %","","","","   .00 %","  2.22 %","","","","","","","","","","","","",""
"2020-04-30","","","  5.26 %","","","","","","","","",""," 89.47 %","","","","","","","","","","","","","","","","","","","   .00 %"
"2020-05-01","","   .00 %","   .00 %","","   .00 %","","","","","","",""," 25.00 %","","","","   .00 %","","   .00 %","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","   .00 %","","  6.67 %"," ##.## %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-05-03","","","  5.00 %","","   .00 %","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","",""
"2020-05-04","","","",""," 10.53 %","","","","","","","","  8.33 %","","","","","","","","","","","","","","","","","",""," 10.00 %"
"2020-05-05","",""," 14.29 %","","",""," ##.## %","","",""," ##.## %","","  1.92 %","","","","","","   .00 %","","","","","","","","","","","","","  9.09 %"
"2020-05-06","","","  4.17 %","","","","","","",""," ##.## %","   .00 %","  3.77 %","","",""," 50.00 %","","","","","   .00 %","","","","","","","","","",""
"2020-05-07","","","  8.00 %","","","","","","",""," 33.33 %"," 25.00 %","","","","","","","  6.52 %","",""," 33.33 %","","","","","","","","","",""
"2020-05-08","","","",""," 14.29 %","","","","",""," ##.## %","","","","",""," ##.## %","","","","","","","","","","","","","","","   .00 %"
"2020-05-09","   .00 %",""," 55.56 %","","  4.17 %","","","","",""," 66.20 %","","   .00 %","","","","","","","",""," ##.## %","","   .00 %","","","","","","","","  8.33 %"
"2020-05-10"," 15.38 %","","",""," 24.00 %","   .00 %","","","","","  5.93 %","","  9.09 %","","","","","","","","","","","","",""," ##.## %","","","","",""
"2020-05-11","",""," 35.71 %","","   .00 %","","","   .00 %","",""," 12.00 %","","  6.67 %","   .00 %","",""," 12.50 %","","   .00 %","","","","","","","","","","","",""," 23.08 %"
"2020-05-12","","","","",""," 33.33 %"," 50.00 %","","",""," 12.86 %","","   .00 %","","","","","","","",""," 12.50 %","","","",""," 33.33 %","","","","",""
"2020-05-13","",""," 57.89 %","","   .00 %","","","","",""," 32.91 %",""," 10.94 %","","","",""," ##.## %","   .00 %","   .00 %","","","","","","","","","","",""," 43.75 %"
"2020-05-14","",""," 13.33 %",""," 48.39 %",""," 33.33 %"," ##.## %","",""," 25.71 %",""," 26.76 %","","",""," ##.## %","","  6.12 %","","","",""," ##.## %","",""," ##.## %","","","",""," 13.04 %"
"2020-05-15","","","   .00 %","","   .00 %",""," ##.## %","","","","  4.92 %",""," 34.44 %","","",""," 18.18 %","   .00 %","  5.77 %","",""," 22.22 %",""," 50.00 %","",""," 28.57 %","","","","",""
"2020-05-16","","","   .00 %","","","","   .00 %","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17",""," ##.## %"," 16.67 %",""," 60.87 %",""," ##.## %","","","","  5.42 %","","   .00 %","","","","  3.85 %"," ##.## %","  5.45 %","","","","","","",""," 38.89 %","","   .00 %","","","  3.85 %"
"2020-05-18",""," 50.00 %","   .00 %","",""," 25.00 %","  4.55 %","","","","  5.14 %","   .00 %"," 13.22 %","","","   .00 %"," 11.11 %","","  1.72 %","","","   .00 %",""," 50.00 %","",""," 16.00 %","","","","","   .00 %"
"2020-05-19"," 13.33 %","","  1.68 %",""," 28.38 %",""," 17.39 %","","","","   .00 %"," ##.## %"," 22.63 %","","",""," 26.67 %","","  6.78 %","","","",""," 11.11 %","",""," 13.79 %",""," ##.## %","","",""
"2020-05-20","","","   .83 %","","   .00 %"," ##.## %"," 33.33 %",""," ##.## %","","  1.95 %","","  3.57 %","",""," 50.00 %","  5.26 %",""," 11.11 %","","   .00 %","   .00 %","","","",""," 33.33 %","","","","","   .00 %"
"2020-05-21"," 11.76 %","","   .00 %","","   .00 %","   .00 %"," 25.00 %","","","","  1.28 %","  7.14 %","  2.87 %",""," ##.## %","","","","",""," 50.00 %"," 27.27 %",""," ##.## %","","","  2.27 %",""," 66.67 %","","","   .00 %"
"2020-05-22","   .00 %","","  4.10 %","","  3.16 %","   .00 %"," 24.44 %","","","","  1.58 %",""," 25.70 %","","","","   .00 %"," 37.50 %","  4.29 %","","","",""," 28.57 %","","","  6.67 %","","","","","  3.70 %"
"2020-05-23",""," 50.00 %","   .79 %","","   .00 %","","  1.79 %","","","   .00 %","  5.90 %","","  6.22 %"," ##.## %",""," 66.67 %","","","",""," ##.## %","   .00 %","   .00 %"," 18.52 %","",""," 35.42 %","","","",""," 17.86 %"
"2020-05-24"," 31.58 %"," 77.78 %","","","","","  3.51 %",""," 50.00 %","","  2.05 %","  3.33 %","   .00 %",""," 30.77 %","","","   .00 %","  4.11 %",""," 25.00 %","",""," 40.62 %","   .00 %",""," 24.62 %","","","",""," 12.12 %"
"2020-05-25"," -4.00 %"," 50.00 %","  3.91 %","   .00 %","  8.16 %","",""," ##.## %"," 33.33 %"," ##.## %","  1.44 %"," 32.26 %","   .42 %","","-11.76 %"," 20.00 %"," 37.50 %","  9.09 %","  6.58 %"," ##.## %"," 90.00 %","  7.14 %","","   .00 %","","","   .00 %","","","","","   .00 %"
"2020-05-26","  4.17 %"," 58.33 %","  3.01 %","","   .00 %",""," 27.12 %",""," 75.00 %","","  1.42 %","","   .83 %"," 20.00 %",""," ##.## %"," 10.91 %"," 66.67 %","  4.94 %","","","   .00 %","","  6.67 %","","","  4.94 %","","","","   .00 %","   .00 %"
"2020-05-27",""," 42.11 %","  1.46 %","","   .00 %",""," 14.67 %","","","","  2.79 %"," 14.63 %","   .00 %","","","","","   .00 %"," 15.29 %","","","  6.67 %","","  4.17 %"," ##.## %","","   .00 %","","","","","  5.41 %"
