"date","Goa/North Goa","Goa/Other State","Goa/South Goa"
"2020-03-25","   .00 %","",""
"2020-04-04","-66.67 %","",""
"2020-05-14","","","   .00 %"
"2020-05-16","","","-37.50 %"
"2020-05-17","",""," 80.00 %"
"2020-05-18","","","   .00 %"
"2020-05-19","","","-11.11 %"
"2020-05-20","","","-50.00 %"
"2020-05-21","","","-50.00 %"
"2020-05-22","","","   .00 %"
"2020-05-23","","","-50.00 %"
"2020-05-24","",""," ##.## %"
"2020-05-25","","",""
"2020-05-30","","","   .00 %"
"2020-05-31","","","   .00 %"
"2020-06-01","",""," ##.## %"
"2020-06-02","",""," ##.## %"
"2020-06-03","",""," ##.## %"
"2020-06-04","","","-14.89 %"
"2020-06-05","","","-25.00 %"
"2020-06-06","",""," ##.## %"
"2020-06-07","","","-51.61 %"
"2020-06-08","",""," 50.00 %"
"2020-06-09","","","-35.56 %"
"2020-06-10","","   .00 %","-17.24 %"
"2020-06-11",""," ##.## %","-##.## %"
"2020-06-12","","-90.20 %","   .00 %"
"2020-06-13","","   .00 %"," 38.46 %"
"2020-06-14","-##.## %","-60.00 %","-35.19 %"
"2020-06-15","","-50.00 %","-51.43 %"
"2020-06-16","   .00 %"," ##.## %"," 76.47 %"
"2020-06-17","   .00 %","","-46.67 %"
"2020-06-18"," ##.## %",""," ##.## %"
"2020-06-19"," ##.## %","   .00 %","-90.00 %"
"2020-06-20","","   .00 %"," ##.## %"
"2020-06-21","   .00 %"," ##.## %"," ##.## %"
"2020-06-22","-57.14 %"," 75.00 %","-48.94 %"
"2020-06-23","-33.33 %","","-45.83 %"
"2020-06-24"," ##.## %","","-84.62 %"
"2020-06-25","-60.00 %","   .00 %"," ##.## %"
"2020-06-26"," 50.00 %","-42.86 %","-26.32 %"
"2020-06-27"," 83.33 %",""," ##.## %"
"2020-06-28","-72.73 %","   .00 %","-29.03 %"
"2020-06-29"," ##.## %"," 16.67 %","-36.36 %"
"2020-06-30","-21.74 %","-57.14 %","-92.86 %"
"2020-07-01","   .00 %"," ##.## %"," ##.## %"
"2020-07-02"," 16.67 %",""," ##.## %"
"2020-07-03"," 57.14 %","","-14.71 %"
"2020-07-04"," 69.70 %",""," ##.## %"
"2020-07-05"," -8.93 %","   .00 %","-88.89 %"
"2020-07-06","-49.02 %"," ##.## %"," ##.## %"
"2020-07-07"," 53.85 %","-25.00 %","-64.00 %"
"2020-07-08","-45.00 %",""," ##.## %"
"2020-07-09","  9.09 %","   .00 %","-41.30 %"
"2020-07-10"," 54.17 %","   .00 %","-77.78 %"
"2020-07-11","-24.32 %","   .00 %"," 83.33 %"
"2020-07-12"," 39.29 %"," ##.## %","-22.73 %"
"2020-07-13"," 41.03 %","-83.33 %"," ##.## %"
"2020-07-14","-10.91 %","-50.00 %","-33.04 %"
"2020-07-15","-18.37 %"," ##.## %"," 76.00 %"
"2020-07-16"," 52.50 %","","-87.88 %"
"2020-07-17","  9.84 %","   .00 %"," ##.## %"
"2020-07-18","","   .00 %"," ##.## %"
"2020-07-19","   .00 %"," ##.## %",""
"2020-07-20","-44.44 %"," 16.67 %","   .00 %"
"2020-07-21"," ##.## %",""," 89.47 %"
"2020-07-22","-29.17 %","   .00 %","-29.17 %"
"2020-07-23"," 82.35 %","   .00 %","-49.02 %"
"2020-07-24","","",""
"2020-07-25","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %",""
"2020-07-27","   .00 %","   .00 %","   .00 %"
"2020-07-28","","","-90.74 %"
"2020-07-29","   .00 %","   .00 %"," ##.## %"
"2020-07-30","   .00 %","   .00 %","-63.16 %"
"2020-07-31"," ##.## %","   .00 %","-57.14 %"
"2020-08-01"," ##.## %","   .00 %"," ##.## %"
"2020-08-02"," 31.91 %","   .00 %"," ##.## %"
"2020-08-03","-16.13 %","   .00 %","-51.79 %"
"2020-08-04","-53.85 %","   .00 %","-77.78 %"
"2020-08-05"," ##.## %","   .00 %"," ##.## %"
"2020-08-06","-33.33 %","",""
"2020-08-07","","   .00 %","   .00 %"
"2020-08-08","   .00 %","",""
"2020-08-09","-39.52 %","   .00 %","   .00 %"
"2020-08-10"," 26.67 %","   .00 %","-92.05 %"
"2020-08-11","-36.84 %",""," ##.## %"
"2020-08-12"," ##.## %","   .00 %"," 96.10 %"
"2020-08-13"," 30.54 %","   .00 %","-47.02 %"
"2020-08-14","-34.40 %",""," 10.00 %"
"2020-08-15","-57.34 %","",""
"2020-08-16","-22.95 %","","   .00 %"
"2020-08-17","-65.96 %","","   .00 %"
"2020-08-18"," 68.75 %","   .00 %","-77.59 %"
"2020-08-19"," 77.78 %","   .00 %",""
"2020-08-20","-95.83 %"," ##.## %","   .00 %"
"2020-08-21","","-50.00 %",""
"2020-08-22","   .00 %","","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %"
"2020-08-25","   .00 %","","   .00 %"
"2020-08-26","   .00 %","","-36.26 %"
"2020-08-27","","",""
"2020-08-28","   .00 %","","   .00 %"
"2020-08-29","   .00 %","","   .00 %"
"2020-08-30","","","   .00 %"
"2020-08-31","   .00 %","","   .00 %"
