"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","","",""
"2020-04-01","","","",""
"2020-04-02","","","",""
"2020-04-10","","","",""
"2020-04-25","","","",""
"2020-04-27","","","",""
"2020-05-02","","","",""
"2020-05-03","","","",""
"2020-05-08","","","",""
"2020-05-10","","","",""
"2020-05-13","","","   .00 %",""
"2020-05-14","",""," 40.00 %",""
"2020-05-16","","","",""
"2020-05-19","",""," 53.33 %",""
"2020-05-20","","","",""
"2020-05-22","",""," 41.33 %",""
"2020-05-24","",""," ##.## %",""
"2020-05-25","",""," ##.## %",""
"2020-05-28","",""," ##.## %",""
"2020-05-29","",""," 99.33 %",""
"2020-05-31","",""," ##.## %",""
"2020-06-01","",""," 20.18 %",""
"2020-06-03","",""," 36.62 %",""
"2020-06-05","",""," 25.71 %",""
"2020-06-06","",""," 60.38 %",""
"2020-06-07","",""," 15.38 %",""
"2020-06-08","",""," 14.87 %",""
"2020-06-09","",""," -2.08 %",""
"2020-06-10","",""," 68.83 %",""
"2020-06-11","",""," 39.17 %",""
"2020-06-12","",""," 28.26 %",""
"2020-06-13","",""," 66.92 %",""
"2020-06-14","",""," 84.04 %",""
"2020-06-15","",""," 14.04 %",""
"2020-06-16","",""," 25.71 %",""
"2020-06-17"," 20.00 %",""," 61.62 %",""
"2020-06-18","",""," 28.87 %",""
"2020-06-19"," 10.00 %",""," 15.80 %",""
"2020-06-20"," 10.00 %",""," 72.46 %",""
"2020-06-21","",""," 53.26 %",""
"2020-06-22","",""," 20.86 %",""
"2020-06-23","",""," 19.24 %",""
"2020-06-24","",""," 85.04 %",""
"2020-06-25","",""," 30.10 %",""
"2020-06-26","",""," 36.36 %",""
"2020-06-27","",""," 72.04 %",""
"2020-06-28","",""," 62.39 %",""
"2020-06-29","",""," 15.06 %",""
"2020-06-30","",""," 13.33 %",""
"2020-07-01","",""," 15.32 %",""
"2020-07-02","",""," 27.05 %",""
"2020-07-03","",""," 26.05 %",""
"2020-07-04","  6.67 %",""," 68.43 %",""
"2020-07-05","",""," 66.85 %",""
"2020-07-06",""," 37.33 %"," 86.55 %"," 82.00 %"
"2020-07-07",""," 37.33 %"," 35.91 %",""
"2020-07-08","",""," 84.08 %"," ##.## %"
"2020-07-09","",""," 23.95 %",""
"2020-07-10","",""," 42.87 %",""
"2020-07-11","",""," 18.75 %"," ##.## %"
"2020-07-12","",""," 38.38 %",""
"2020-07-13","-14.00 %",""," -2.99 %",""
"2020-07-14","  6.00 %","","  5.57 %"," ##.## %"
"2020-07-15","","","  -.21 %"," 82.00 %"
"2020-07-16"," ##.## %",""," 31.71 %"," 94.00 %"
"2020-07-17"," 97.00 %",""," 14.76 %","  2.57 %"
"2020-07-18","",""," 14.21 %"," 29.24 %"
"2020-07-19"," 83.67 %",""," 34.18 %"," -5.05 %"
"2020-07-20"," ##.## %",""," 28.38 %",""
"2020-07-21"," ##.## %","","  2.81 %",""
"2020-07-22"," ##.## %",""," 12.64 %",""
"2020-07-23"," ##.## %",""," 24.07 %",""
"2020-07-24"," ##.## %","","  -.68 %",""
"2020-07-25"," ##.## %","","  7.85 %",""
"2020-07-26"," ##.## %","","  9.53 %",""
"2020-07-27","","","   .95 %",""
"2020-07-28","","","  6.39 %"," ##.## %"
"2020-07-29","",""," 14.42 %",""
"2020-07-30","","","  4.92 %",""
"2020-07-31","","","  5.95 %",""
"2020-08-01","","","  5.85 %",""
"2020-08-02"," 20.09 %",""," 11.92 %",""
"2020-08-03"," 25.81 %","","  3.13 %",""
"2020-08-04"," 25.25 %",""," 14.51 %",""
"2020-08-05"," 72.11 %",""," 13.43 %",""
"2020-08-06"," 85.59 %",""," 18.71 %",""
"2020-08-07"," 49.45 %","","  9.91 %",""
"2020-08-08"," 99.73 %",""," 13.85 %",""
"2020-08-09"," ##.## %","","  6.22 %"," ##.## %"
"2020-08-10"," 27.34 %","","  2.05 %"," ##.## %"
"2020-08-11"," ##.## %","","  9.09 %"," ##.## %"
"2020-08-12","",""," 15.98 %"," ##.## %"
"2020-08-13"," ##.## %","","  8.83 %"," ##.## %"
"2020-08-14"," 57.86 %",""," 14.21 %"," ##.## %"
"2020-08-15"," ##.## %",""," 16.37 %",""
"2020-08-16"," ##.## %",""," 14.72 %",""
"2020-08-17","",""," -3.49 %",""
"2020-08-18","","","  5.81 %",""
"2020-08-19","","","  2.00 %",""
"2020-08-20","",""," 11.14 %"," ##.## %"
"2020-08-21","","","  -.44 %"," ##.## %"
"2020-08-22"," ##.## %",""," 13.91 %"," ##.## %"
"2020-08-23"," ##.## %",""," 10.81 %"," ##.## %"
"2020-08-24"," ##.## %","","  5.48 %"," 38.92 %"
"2020-08-25"," ##.## %",""," 11.21 %"," 31.48 %"
"2020-08-26"," ##.## %",""," 14.88 %"," ##.## %"
"2020-08-27"," ##.## %"," 84.00 %","  6.18 %"," ##.## %"
"2020-08-28"," ##.## %","","  8.23 %"," ##.## %"
"2020-08-29","  9.30 %"," 74.00 %"," 11.48 %"," ##.## %"
"2020-08-30"," -8.35 %"," 60.67 %","   .81 %"," ##.## %"
"2020-08-31"," 12.76 %"," ##.## %"," -5.27 %"," 61.94 %"
"2020-09-01"," -5.74 %",""," -2.74 %"," ##.## %"
"2020-09-02"," -5.42 %",""," -1.03 %"," ##.## %"
"2020-09-03"," 85.88 %","","  3.45 %"," ##.## %"
"2020-09-04"," 91.21 %","","  6.13 %"," ##.## %"
"2020-09-05"," 82.32 %","","  8.82 %"," ##.## %"
"2020-09-06"," ##.## %","","  8.70 %"," ##.## %"
"2020-09-07"," ##.## %",""," ##.## %"," ##.## %"
