"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 20.67 %"," 22.49 %"," 20.55 %"," 28.77 %"," 26.67 %"," 36.67 %"," 31.05 %"," 34.64 %"," 30.94 %"," 21.48 %"," 23.55 %"," 29.73 %"," 28.08 %"," 22.91 %"," 32.95 %"," 35.23 %"," 20.00 %"," 30.26 %"," 35.30 %"," 49.33 %"," 30.79 %"," 30.11 %"
"2020-03-27"," 28.67 %"," 27.45 %"," 28.05 %"," 34.79 %"," 30.00 %"," 61.67 %"," 38.17 %"," 38.88 %"," 37.87 %"," 28.14 %"," 27.15 %"," 35.08 %"," 33.39 %"," 27.74 %"," 37.83 %"," 39.49 %"," 30.00 %"," 35.07 %"," 41.83 %"," 56.18 %"," 34.82 %"," 34.63 %"
"2020-03-28"," 28.95 %"," 25.22 %"," 26.49 %"," 30.69 %"," 30.00 %"," 66.11 %"," 32.73 %"," 31.88 %"," 33.68 %"," 29.11 %"," 27.80 %"," 31.76 %"," 27.90 %"," 20.60 %"," 35.38 %"," 34.93 %"," 30.00 %"," 32.03 %"," 41.75 %"," 43.24 %"," 32.93 %"," 34.80 %"
"2020-03-29"," 37.19 %"," 25.80 %"," 27.86 %"," 26.28 %"," 25.71 %"," 46.11 %"," 30.27 %"," 30.88 %"," 34.31 %"," 22.97 %"," 28.65 %"," 28.59 %"," 25.97 %"," 23.16 %"," 34.71 %"," 31.63 %"," 30.00 %"," 24.46 %"," 40.71 %"," 36.82 %"," 31.05 %"," 31.76 %"
"2020-03-30"," 21.35 %"," 25.32 %"," 30.07 %"," 26.90 %"," 19.05 %"," 37.93 %"," 33.48 %"," 31.40 %"," 39.07 %"," 26.91 %"," 25.03 %"," 29.72 %"," 27.92 %"," 26.74 %"," 33.07 %"," 34.27 %"," 30.00 %"," 25.18 %"," 35.01 %"," 33.46 %"," 36.83 %"," 32.05 %"
"2020-03-31"," 26.07 %"," 19.31 %"," 26.10 %"," 25.77 %"," 15.71 %"," 41.26 %"," 25.81 %"," 28.32 %"," 29.59 %"," 20.26 %"," 19.48 %"," 20.50 %"," 18.04 %"," 21.85 %"," 21.41 %"," 26.70 %"," 70.00 %"," 18.24 %"," 22.08 %"," 20.84 %"," 27.23 %"," 19.96 %"
"2020-04-01"," 23.87 %"," 18.38 %"," 23.85 %"," 25.09 %"," 29.05 %"," 26.26 %"," 22.49 %"," 30.22 %"," 26.44 %"," 17.72 %"," 20.73 %"," 18.54 %"," 15.55 %"," 19.42 %"," 20.19 %"," 25.53 %"," 71.67 %"," 16.30 %"," 19.49 %"," 18.48 %"," 26.63 %"," 20.70 %"
"2020-04-02"," 24.59 %"," 17.41 %"," 20.77 %"," 22.93 %"," 39.96 %"," 24.78 %"," 19.34 %"," 27.40 %"," 24.25 %"," 16.48 %"," 18.26 %"," 16.95 %"," 13.33 %"," 19.79 %"," 17.08 %"," 23.83 %"," 72.72 %"," 16.32 %"," 17.22 %"," 15.07 %"," 22.24 %"," 18.03 %"
"2020-04-03"," 25.15 %"," 17.55 %"," 21.04 %"," 20.10 %"," 40.12 %"," 28.01 %"," 20.18 %"," 20.82 %"," 23.96 %"," 17.61 %"," 19.29 %"," 17.79 %"," 14.96 %"," 18.17 %"," 17.34 %"," 21.82 %"," 77.72 %"," 16.80 %"," 17.73 %"," 10.45 %"," 22.83 %"," 21.76 %"
"2020-04-04"," 28.21 %"," 18.34 %"," 21.53 %"," 19.26 %"," 42.85 %"," 28.41 %"," 18.06 %"," 19.60 %"," 21.61 %"," 16.78 %"," 18.85 %"," 18.11 %"," 14.98 %"," 17.66 %"," 18.08 %"," 21.34 %"," 77.72 %"," 17.01 %"," 15.90 %","  1.34 %"," 19.21 %"," 21.90 %"
"2020-04-05"," 31.52 %"," 16.38 %"," 22.16 %"," 19.57 %"," 46.99 %"," 25.41 %"," 16.54 %"," 17.05 %"," 19.64 %"," 14.33 %"," 19.65 %"," 18.26 %"," 15.64 %"," 16.55 %"," 16.43 %"," 20.22 %"," 18.52 %"," 15.12 %"," 15.16 %","  1.60 %"," 17.88 %"," 20.98 %"
"2020-04-06"," 27.53 %"," 14.54 %"," 20.53 %"," 17.43 %"," 32.40 %"," 19.11 %"," 14.74 %"," 13.41 %"," 18.26 %"," 12.53 %"," 17.43 %"," 16.99 %"," 14.44 %"," 15.88 %"," 14.58 %"," 20.41 %","  9.16 %"," 13.92 %"," 13.10 %"," -4.45 %"," 17.37 %"," 17.77 %"
"2020-04-07"," 24.35 %"," 13.04 %"," 20.16 %"," 16.51 %"," 23.61 %"," 18.34 %"," 14.21 %"," 13.02 %"," 17.01 %"," 12.49 %"," 16.87 %"," 16.12 %"," 13.79 %"," 15.80 %"," 14.15 %"," 18.83 %","  9.49 %"," 13.56 %"," 13.11 %","-13.48 %"," 16.88 %"," 17.32 %"
"2020-04-08"," 18.89 %"," 10.20 %"," 17.05 %"," 15.61 %"," 19.00 %"," 17.65 %"," 12.82 %"," 13.23 %"," 14.00 %"," 11.52 %"," 15.49 %"," 14.42 %"," 11.82 %"," 13.85 %"," 11.20 %"," 14.81 %","  7.71 %"," 12.67 %"," 11.22 %","-20.64 %"," 14.25 %"," 14.30 %"
"2020-04-09"," 14.40 %","  7.72 %"," 13.54 %"," 15.54 %"," 18.07 %"," 23.18 %"," 11.13 %"," 14.02 %"," 11.00 %"," 10.84 %"," 14.68 %"," 12.42 %","  9.51 %"," 10.36 %","  9.08 %"," 10.49 %"," 11.60 %"," 11.82 %"," 10.70 %","-22.69 %"," 12.34 %"," 11.94 %"
"2020-04-10"," 11.80 %","  7.64 %"," 11.82 %"," 14.08 %","  8.56 %"," 21.04 %"," 10.03 %"," 12.60 %"," 10.33 %","  9.22 %"," 14.45 %"," 11.41 %","  8.24 %","  9.06 %","  8.49 %","  9.29 %"," 12.20 %"," 12.85 %","  9.15 %","-29.08 %"," 11.71 %"," 11.64 %"
"2020-04-11"," 11.78 %","  6.43 %","  9.82 %"," 12.89 %","  8.72 %"," 19.66 %","  9.32 %"," 11.89 %","  9.30 %","  7.44 %"," 14.19 %"," 10.65 %","  7.50 %","  8.44 %","  7.50 %","  7.12 %"," 14.24 %"," 12.76 %","  9.36 %","-19.03 %","  9.84 %"," 11.08 %"
