"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-09-08","  4.94 %","   .00 %","  5.42 %","  4.92 %"
"2020-09-09","  4.66 %","   .00 %","  4.50 %","  3.39 %"
"2020-09-10","  3.41 %","   .00 %","  3.57 %","  2.56 %"
"2020-09-11","  1.05 %","   .00 %","  3.33 %","  1.90 %"
"2020-09-12","  1.05 %","","  2.82 %","  1.90 %"
"2020-09-13","  1.05 %","   .00 %","  3.05 %","   .61 %"
"2020-09-14","  1.00 %","   .00 %","  2.90 %","   .61 %"
"2020-09-15","  1.00 %","   .00 %","  3.15 %","   .59 %"
"2020-09-16","  2.90 %","   .00 %","  2.92 %","  1.16 %"
"2020-09-17","  5.51 %","   .00 %","  3.15 %","  1.16 %"
"2020-09-18","  6.28 %","   .00 %","  2.47 %","  1.16 %"
"2020-09-19","  7.50 %","   .00 %","  2.42 %","  1.16 %"
"2020-09-20","  7.50 %","   .00 %","  2.35 %","   .57 %"
"2020-09-21","  6.27 %","   .00 %","  2.09 %","  1.11 %"
"2020-09-22","  3.66 %","   .00 %","  1.78 %","  1.64 %"
"2020-09-23","  2.89 %","   .00 %","  1.86 %","  2.15 %"
"2020-09-24","  1.96 %","   .00 %","  1.62 %","  2.15 %"
"2020-09-25","  2.56 %","   .00 %","  1.34 %","  2.65 %"
"2020-09-26","  1.90 %","   .00 %","  1.32 %","  1.54 %"
"2020-09-27","  3.66 %","   .00 %","  1.54 %","  1.01 %"
"2020-09-28","  4.20 %","   .00 %","  1.24 %","   .50 %"
"2020-09-29","  2.91 %","   .00 %","  1.14 %","   .50 %"
"2020-09-30","  2.83 %","   .00 %","  1.03 %","   .00 %"
"2020-10-01","  2.83 %","   .00 %","   .93 %","   .00 %"
"2020-10-02","  1.58 %","   .00 %","   .68 %","   .49 %"
"2020-10-03","  1.54 %","   .00 %","   .68 %","   .49 %"
"2020-10-04","  3.49 %","   .00 %","   .63 %","   .49 %"
"2020-10-05","  3.41 %","   .00 %","   .63 %","   .49 %"
"2020-10-06","  3.41 %","   .00 %","   .53 %","   .49 %"
"2020-10-07","  2.90 %"," 60.00 %","   .40 %","   .00 %"
"2020-10-08","  3.70 %"," 60.00 %","   .44 %","   .00 %"
"2020-10-09","  1.75 %"," 60.00 %","   .48 %","   .00 %"
"2020-10-10","  1.30 %"," 60.00 %","   .39 %","   .00 %"
"2020-10-11","  1.30 %"," 60.00 %","   .48 %","   .00 %"
"2020-10-12","  1.30 %","   .00 %","   .47 %","   .00 %"
"2020-10-13","   .82 %","   .00 %","   .39 %","   .00 %"
"2020-10-14","   .82 %","   .00 %","   .34 %","   .00 %"
"2020-10-15","  1.21 %","   .00 %","   .34 %","   .00 %"
"2020-10-16","  1.21 %","   .00 %","   .21 %","   .00 %"
"2020-10-17","  1.21 %","   .00 %","   .25 %","   .00 %"
"2020-10-18","   .39 %","   .00 %","   .25 %","   .00 %"
"2020-10-19","   .39 %","   .00 %","   .25 %","   .00 %"
"2020-10-20","   .00 %","  5.00 %","   .25 %","   .00 %"
"2020-10-21","   .38 %","  9.00 %","   .25 %","   .00 %"
"2020-10-22","   .76 %","  9.00 %","   .17 %","   .00 %"
"2020-10-23","   .76 %","  9.00 %","   .25 %","   .00 %"
"2020-10-24","   .76 %","  9.00 %","   .29 %","   .00 %"
"2020-10-25","  1.13 %","  4.00 %","   .29 %","   .00 %"
"2020-10-26","   .75 %","   .00 %","   .25 %","   .00 %"
"2020-10-27","   .37 %","   .00 %","   .21 %","   .00 %"
"2020-10-28","   .37 %","   .00 %","   .21 %","   .00 %"
"2020-10-29","   .37 %","  3.33 %","   .16 %","   .00 %"
"2020-10-30","   .00 %","  3.33 %","   .12 %","   .00 %"
"2020-10-31","   .00 %","  3.33 %","   .12 %","   .00 %"
"2020-11-01","   .00 %","  3.33 %","   .25 %","   .00 %"
"2020-11-02","   .00 %","  3.33 %","   .16 %","   .00 %"
"2020-11-03","   .00 %","   .00 %","   .16 %","   .00 %"
"2020-11-04","   .00 %","   .00 %","   .16 %","   .48 %"
"2020-11-05","   .00 %","   .00 %","   .20 %","   .48 %"
"2020-11-06","   .00 %","   .00 %","   .08 %","   .48 %"
"2020-11-07","   .00 %","   .00 %","   .12 %","   .94 %"
"2020-11-08","   .36 %","   .00 %","   .08 %","   .94 %"
"2020-11-09","   .36 %","   .00 %","   .12 %","   .47 %"
"2020-11-10","   .72 %","   .00 %","   .12 %","   .47 %"
"2020-11-11","   .72 %","   .00 %","   .16 %","   .47 %"
"2020-11-12","  1.07 %","   .00 %","   .16 %","   .00 %"
"2020-11-13","  1.05 %","   .00 %","   .16 %","   .00 %"
"2020-11-14","  1.05 %","   .00 %","   .12 %","   .00 %"
"2020-11-15","   .70 %","   .00 %","   .08 %","   .00 %"
"2020-11-16","","   .00 %","   .04 %","   .00 %"
"2020-11-17","   .70 %","   .00 %","   .00 %","   .00 %"
"2020-11-18","   .34 %","   .00 %","   .00 %","   .00 %"
"2020-11-19","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-11-20","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-11-21","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-11-22","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-11-23","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-11-24","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-25","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-26","","   .00 %","   .00 %","   .00 %"
"2020-11-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-28","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-29","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-30","   .00 %","  2.86 %","   .00 %",""
"2020-12-01","   .00 %","  2.86 %","   .04 %","   .00 %"
"2020-12-26","   .00 %","  2.86 %","   .08 %","   .00 %"
"2020-12-27","   .34 %","  2.86 %","   .08 %","   .00 %"
"2020-12-28","   .34 %","  2.86 %","   .08 %","   .00 %"
"2020-12-29","   .34 %","   .00 %","   .16 %","   .00 %"
"2020-12-30","   .34 %","   .00 %","   .12 %","   .00 %"
"2020-12-31","   .34 %","   .00 %","   .08 %","   .00 %"
"2021-01-01","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-02","   .00 %","   .00 %","   .08 %",""
"2021-01-03","   .00 %","   .00 %","   .00 %",""
"2021-01-04","   .00 %","   .00 %","   .08 %",""
"2021-01-05","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-06","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-07","   .33 %","   .00 %","   .08 %","   .00 %"
"2021-01-08","   .33 %","   .00 %","   .08 %",""
"2021-01-09","   .33 %","   .00 %","   .00 %","   .00 %"
"2021-01-10","   .66 %","   .00 %","   .04 %","   .00 %"
"2021-01-11","   .66 %","   .00 %","   .04 %",""
"2021-01-12","   .33 %","   .00 %","   .08 %",""
"2021-01-13","   .33 %","   .00 %","   .08 %","   .00 %"
"2021-01-14","   .33 %","   .00 %","   .12 %","   .00 %"
"2021-01-15","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-16","   .00 %","  2.50 %","   .12 %",""
"2021-01-17","   .00 %","  2.50 %","   .08 %","   .00 %"
"2021-01-18","   .00 %","  2.50 %","   .12 %",""
"2021-01-19","   .00 %","  2.50 %","   .08 %","   .00 %"
"2021-01-20","   .00 %","  2.50 %","   .08 %",""
"2021-01-21","   .00 %","   .00 %","   .04 %",""
"2021-01-22","   .00 %","   .00 %","   .04 %","   .00 %"
"2021-01-23","   .00 %","   .00 %","   .04 %","   .00 %"
"2021-01-24","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-25","","   .00 %","   .08 %","   .00 %"
"2021-01-26","   .00 %","   .00 %","   .08 %","   .00 %"
"2021-01-27","   .00 %","   .00 %","   .12 %","   .00 %"
"2021-01-28","   .32 %","   .00 %","   .08 %","   .00 %"
"2021-01-29","   .32 %","   .00 %","   .04 %",""
"2021-01-30","   .32 %","   .00 %","   .04 %",""
"2021-01-31","   .32 %","   .00 %","   .08 %",""
"2021-02-01","   .32 %","   .00 %","   .16 %","   .00 %"
"2021-02-02","   .00 %","   .00 %","   .16 %",""
"2021-02-03","   .00 %","  2.22 %","   .16 %",""
"2021-02-04","   .00 %","  2.22 %","   .16 %",""
"2021-02-05","   .00 %","  2.22 %","   .19 %","   .00 %"
"2021-02-06","   .00 %","  2.22 %","   .08 %",""
"2021-02-07","   .00 %","  2.22 %","   .08 %",""
"2021-02-08","   .32 %","   .00 %","   .08 %",""
"2021-02-09","   .32 %","   .00 %","   .08 %","   .00 %"
"2021-02-10","   .32 %","   .00 %","   .04 %","   .00 %"
"2021-02-11","   .32 %","   .00 %","   .04 %",""
"2021-02-12","   .32 %","   .00 %","   .04 %",""
"2021-02-13","   .00 %","   .00 %","   .04 %",""
"2021-02-14","   .00 %","   .00 %","   .08 %",""
"2021-02-15","   .00 %","   .00 %","   .08 %",""
"2021-02-16","   .00 %","   .00 %","   .08 %",""
