"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 40.00 %","   .00 %"," 24.05 %"," 33.33 %","  5.00 %"," 50.62 %","   .00 %"," 26.67 %"," 50.00 %","   .00 %"," 21.33 %","",""," 13.48 %","   .00 %"," 27.89 %"," 13.61 %","  8.94 %"," 15.22 %"," 45.89 %"," 13.33 %"," 30.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 11.92 %"," 20.00 %"," 21.11 %","   .00 %"," 10.48 %"," 32.36 %"," 20.00 %"," 19.74 %","-10.70 %","   .00 %"," 20.00 %",""," 62.11 %"," 30.00 %"," 34.81 %"
"2020-03-27"," 40.00 %","   .00 %"," 48.26 %"," 37.33 %","  5.00 %"," 62.28 %","   .00 %"," 26.67 %"," 50.00 %","   .00 %"," 35.62 %","   .00 %",""," 17.11 %","   .00 %"," 27.89 %"," 13.61 %","  8.94 %"," 15.22 %"," 45.89 %"," 13.33 %"," 30.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 16.76 %"," 20.00 %"," 21.11 %","   .00 %"," 13.92 %"," 37.14 %"," 20.00 %"," 19.74 %","-11.28 %","   .00 %"," 20.00 %",""," 63.51 %"," 43.33 %"," 36.45 %"
"2020-03-28"," 53.33 %","   .00 %"," 42.54 %"," 19.00 %","  5.00 %"," 57.86 %","   .00 %"," 35.24 %"," 50.00 %","   .00 %"," 22.29 %","   .00 %",""," 14.12 %","   .00 %"," 29.08 %"," 13.61 %"," 12.78 %"," 20.68 %"," 45.89 %"," 13.33 %"," 38.00 %","   .00 %"," 20.00 %"," 40.00 %","   .00 %","   .00 %"," 13.21 %"," 30.00 %"," 24.44 %","   .00 %"," 12.32 %"," 43.16 %"," 30.00 %"," 22.24 %","-28.97 %","   .00 %"," 40.00 %",""," 17.11 %"," 27.33 %"," 41.30 %"
"2020-03-29"," 53.33 %","   .00 %"," 49.21 %"," 19.00 %","  5.00 %"," 59.81 %","   .00 %"," 35.24 %"," 50.00 %","   .00 %"," 28.95 %","   .00 %",""," 16.85 %","   .00 %"," 32.33 %"," 10.58 %"," 13.57 %"," 24.49 %"," 40.89 %"," 13.33 %"," 38.00 %","   .00 %"," 20.00 %"," 40.00 %","   .00 %","   .00 %"," 18.75 %"," 36.67 %"," 18.92 %","   .00 %","  8.64 %"," 34.16 %"," 30.00 %"," 26.68 %","-24.41 %","   .00 %"," 45.00 %",""," 19.86 %"," 27.33 %"," 44.19 %"
"2020-03-30"," 61.33 %","   .00 %"," 58.97 %","  7.21 %","  9.00 %"," 55.20 %","   .00 %"," 43.24 %"," 30.00 %","   .00 %"," 47.20 %","   .00 %",""," 16.97 %","   .00 %"," 24.51 %","  9.62 %"," 10.36 %"," 24.66 %"," -8.61 %","  6.19 %"," 46.57 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," 16.28 %"," 36.67 %"," 18.00 %","   .00 %"," 11.41 %"," 36.59 %"," 30.00 %"," 23.05 %"," 10.32 %","   .00 %"," 29.00 %",""," 13.19 %"," 34.00 %"," 27.59 %"
"2020-03-31"," 38.48 %",""," 44.76 %"," 10.06 %"," 10.67 %"," 20.97 %","   .00 %"," 16.57 %","   .00 %","   .00 %"," 45.04 %","",""," 13.88 %"," 20.00 %"," 11.02 %","  8.03 %","  8.71 %"," 18.09 %","  2.50 %","  5.36 %"," 16.57 %","   .00 %"," 30.00 %"," 40.00 %","",""," 16.07 %"," 16.67 %","  9.46 %","   .00 %","  9.88 %"," 15.99 %"," 16.67 %"," 15.43 %","  3.26 %",""," 29.00 %",""," 10.28 %"," 24.00 %"," 23.54 %"
"2020-04-01"," 40.01 %",""," 24.82 %","  7.31 %"," 10.67 %"," 11.72 %","   .00 %"," 16.57 %","   .00 %","   .00 %"," 30.75 %","",""," 10.25 %"," 20.00 %"," 11.59 %","  9.28 %","  8.71 %"," 18.09 %","  2.50 %","  5.36 %"," 16.57 %","   .00 %"," 34.00 %"," 40.00 %","",""," 11.23 %"," 16.67 %"," 10.61 %","   .00 %","  7.66 %"," 14.44 %"," 16.67 %"," 15.43 %","  5.96 %",""," 32.33 %","","  8.88 %"," 15.67 %"," 21.90 %"
"2020-04-02"," 35.25 %",""," 28.89 %","  6.82 %"," 10.67 %"," 10.30 %","   .00 %"," 13.71 %","  4.00 %","   .00 %"," 35.60 %","",""," 10.86 %"," 20.00 %","  7.50 %"," 11.63 %","  5.17 %"," 15.07 %","  4.72 %","  5.36 %","  8.57 %","   .00 %"," 50.67 %","   .00 %","",""," 17.65 %"," 16.67 %","  9.62 %","   .00 %","  8.74 %"," 11.46 %"," 11.67 %"," 14.18 %"," 28.66 %",""," 15.19 %",""," 11.89 %"," 13.67 %"," 24.88 %"
"2020-04-03"," 35.25 %",""," 23.15 %","  9.04 %"," 10.67 %","  9.26 %","   .00 %"," 13.71 %","  4.00 %","   .00 %"," 30.89 %","","","  8.68 %"," 20.00 %","  5.13 %","  8.00 %","  5.37 %"," 14.15 %","  4.72 %","  5.36 %"," 12.57 %","   .00 %"," 54.30 %","  6.67 %","","   .00 %"," 13.14 %"," 10.00 %","  9.26 %","   .00 %","  8.76 %"," 12.78 %"," 11.67 %"," 12.48 %"," 37.79 %","   .00 %"," 10.19 %","","  9.95 %"," 13.67 %"," 12.16 %"
"2020-04-04"," 27.25 %","   .00 %","  8.92 %"," 11.51 %","  6.67 %","  9.26 %","   .00 %","  5.71 %"," 14.00 %","   .00 %","  5.08 %","","","  5.61 %"," 30.00 %","  3.06 %","  6.46 %","  6.15 %"," 12.59 %","  2.22 %","  2.50 %","  5.67 %","   .00 %"," 54.30 %"," 16.67 %","","   .00 %"," 14.85 %"," 10.00 %","  9.91 %","   .00 %","  7.19 %","  9.14 %"," 11.67 %"," 12.73 %"," 13.23 %","   .00 %","  6.19 %",""," 11.81 %","  7.00 %"," 15.24 %"
