"date","Andaman and Nicobar Islands/North and Middle Andaman","Andaman and Nicobar Islands/South Andaman"
"2020-03-26","",""
"2020-03-27","",""
"2020-03-28","",""
"2020-03-30","",""
"2020-04-08","",""
"2020-04-17","",""
"2020-04-18","","1"
"2020-04-19","","-1"
"2020-04-20","","0"
"2020-04-21","","0"
"2020-04-22","","0"
"2020-04-23","","3"
"2020-04-24","","3"
"2020-04-25","","-3"
"2020-04-28","",""
"2020-04-30","",""
"2020-05-02","",""
"2020-05-03","",""
"2020-05-07","",""
"2020-06-09","",""
"2020-06-10","","0"
"2020-06-16","","2"
"2020-06-26","","11"
