"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-07-08","","","","","","","-40.00 %","","","","   .00 %"
"2020-07-10","   .00 %","","","","","","","","","",""
"2020-07-11","-95.45 %","","","","","","-66.67 %","   .00 %","","",""
"2020-07-12"," ##.## %","","","","","","","","","",""
"2020-07-13","-50.00 %","   .00 %","","","","","","","","",""
"2020-07-14"," ##.## %","","","","","","","","","",""
"2020-07-16"," ##.## %","","","",""," ##.## %"," ##.## %","   .00 %","","","   .00 %"
"2020-07-17","-70.59 %","   .00 %","","","","","","","   .00 %","",""
"2020-07-18","-60.00 %","","","","","","","","","",""
"2020-07-20"," ##.## %","","","","","","","","","",""
"2020-07-22"," 38.46 %","","","","","","-60.00 %","","","",""
"2020-07-23","-61.11 %","   .00 %","","","   .00 %","","","","","",""
"2020-07-24","","","","","","","   .00 %","","","",""
"2020-07-25"," ##.## %","","","","   .00 %","","","","","",""
"2020-07-26","","","","","","","","","","",""
"2020-07-28","   .00 %","","","","","","","","","",""
"2020-07-29","-56.52 %","","","","","-88.89 %","","","","",""
"2020-07-30"," 30.00 %","","","","-##.## %","","-83.33 %","","","",""
"2020-07-31","","","","","","","","","","",""
"2020-08-01","   .00 %","","","","","","   .00 %","","   .00 %","","   .00 %"
"2020-08-02"," ##.## %","","","","","","   .00 %","","","",""
"2020-08-03","-82.14 %","","   .00 %","","   .00 %","   .00 %"," ##.## %","","","","   .00 %"
"2020-08-04","","","","","","","-50.00 %","","","",""
"2020-08-05","   .00 %","","","","","","","","","","   .00 %"
"2020-08-06"," ##.## %","   .00 %","","","   .00 %","   .00 %","-83.33 %","","","   .00 %",""
"2020-08-07","-92.86 %","","",""," ##.## %","","","","","",""
"2020-08-08"," ##.## %","-50.00 %","","","-84.21 %","","","","","",""
"2020-08-09"," ##.## %","-##.## %","",""," ##.## %","   .00 %","","","","",""
"2020-08-10","-92.31 %","   .00 %","","","-75.00 %",""," ##.## %","","","",""
"2020-08-11","-50.00 %","","","","-50.00 %","","","","","",""
"2020-08-12"," ##.## %","","",""," ##.## %","","   .00 %","","","",""
"2020-08-13","","   .00 %","","","","","","","","",""
"2020-08-14","   .00 %","","","","-90.00 %","","-60.00 %","","","",""
"2020-08-15"," ##.## %","","",""," ##.## %",""," 50.00 %","","","",""
"2020-08-16"," 85.19 %","","","","-46.15 %","","","","","",""
"2020-08-17","-88.00 %","","","","-78.57 %","   .00 %","","","",""," ##.## %"
"2020-08-18"," ##.## %","","   .00 %",""," 66.67 %","","   .00 %","","","",""
"2020-08-19"," 31.25 %","","",""," ##.## %"," ##.## %","-75.00 %","   .00 %","","",""
"2020-08-20","-76.19 %","","","","-14.29 %","","","-##.## %","","",""
"2020-08-21"," ##.## %","","","","-41.67 %","","   .00 %","","   .00 %","",""
"2020-08-22","-58.33 %","","","","-71.43 %","","","","","","-50.00 %"
"2020-08-23","-40.00 %","","",""," ##.## %","","   .00 %","","","",""
"2020-08-24","","","","","","","","","","",""
"2020-08-25"," ##.## %","","","","-81.82 %","","   .00 %","   .00 %","","",""
"2020-08-26","-80.65 %","","",""," 50.00 %","",""," 50.00 %","",""," ##.## %"
"2020-08-27","-33.33 %","","","","","","   .00 %","","","",""
"2020-08-28"," ##.## %","","","","","","-66.67 %","-33.33 %","","",""
"2020-08-29","","   .00 %","","","","","","","","",""
"2020-08-30","   .00 %","","","","   .00 %","","","   .00 %","","",""
"2020-08-31","","","",""," 50.00 %","","","","","",""
"2020-09-01","","","","","-33.33 %","","   .00 %","","","",""
"2020-09-02","   .00 %","","","","-50.00 %","","","","","",""
"2020-09-03"," ##.## %","","",""," ##.## %","","","","","",""
"2020-09-04","-76.47 %","","","","-33.33 %","","   .00 %","","","","   .00 %"
"2020-09-05"," ##.## %","","","","","   .00 %","   .00 %"," 50.00 %"," ##.## %","",""
"2020-09-06"," ##.## %","","",""," ##.## %","","-##.## %","","","",""
"2020-09-07","-70.37 %","","",""," 20.00 %","","   .00 %","","","","   .00 %"
"2020-09-08"," ##.## %","","",""," ##.## %","","","","",""," ##.## %"
