"date","Maryland/Allegany","Maryland/Anne Arundel","Maryland/Baltimore","Maryland/Baltimore City","Maryland/Calvert","Maryland/Caroline","Maryland/Carroll","Maryland/Cecil","Maryland/Charles","Maryland/Dorchester","Maryland/Frederick","Maryland/Garrett","Maryland/Harford","Maryland/Howard","Maryland/Kent","Maryland/Montgomery","Maryland/Prince George's","Maryland/Queen Anne's","Maryland/Somerset","Maryland/St. Mary's","Maryland/Talbot","Maryland/Unassigned","Maryland/Washington","Maryland/Wicomico","Maryland/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-31","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-04-01","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-02","   .00 %"," 40.00 %"," 40.00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," ##.## %"," 39.05 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-03","   .00 %"," 46.67 %"," 40.00 %"," 20.00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," ##.## %"," 29.05 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-04","   .00 %"," 56.67 %"," 46.67 %"," 30.00 %","   .00 %","   .00 %"," 49.00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," ##.## %"," 17.94 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-05","   .00 %"," 56.67 %"," 56.67 %"," 33.33 %","   .00 %","   .00 %"," 35.67 %","   .00 %"," 20.00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," ##.## %"," 19.22 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-06","   .00 %"," 63.33 %"," 73.33 %"," 36.19 %","   .00 %","   .00 %"," 40.67 %","   .00 %"," 20.00 %","   .00 %"," 46.67 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," ##.## %"," 27.97 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %","   .00 %"
"2020-04-07","   .00 %"," 23.33 %"," 33.33 %"," 38.69 %","   .00 %","   .00 %"," 32.67 %","   .00 %"," 20.00 %","   .00 %","  6.67 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 30.22 %"," 24.86 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-08","   .00 %"," 26.67 %"," 36.97 %"," 20.91 %","   .00 %","   .00 %"," 30.17 %","   .00 %"," 20.00 %","   .00 %","  6.67 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 24.99 %"," 29.48 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-09","   .00 %"," 16.67 %"," 34.92 %"," 14.91 %","   .00 %","   .00 %"," 26.17 %","   .00 %"," 30.00 %","   .00 %","  6.67 %","   .00 %","   .00 %"," 13.33 %","   .00 %"," 28.06 %"," 21.84 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-10","   .00 %"," 23.33 %"," 31.17 %"," 19.91 %","   .00 %","   .00 %"," 20.61 %","   .00 %"," 16.67 %","   .00 %"," 31.67 %","   .00 %","   .00 %"," 13.33 %","   .00 %"," 21.84 %"," 21.93 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-11","   .00 %"," 20.42 %"," 19.26 %"," 22.94 %","   .00 %","   .00 %"," 21.93 %","   .00 %"," 21.67 %","   .00 %"," 29.44 %","   .00 %","   .00 %"," 17.33 %","   .00 %"," 13.79 %"," 16.99 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-04-12","   .00 %"," 28.84 %"," 22.34 %"," 22.26 %","   .00 %","   .00 %","  9.93 %","   .00 %"," 37.67 %","   .00 %"," 31.26 %","   .00 %","   .00 %"," 17.33 %","   .00 %"," 15.02 %"," 16.38 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-04-13","   .00 %"," 20.32 %"," 19.37 %"," 21.70 %","   .00 %","   .00 %","  9.83 %","   .00 %"," 39.89 %","   .00 %"," 31.26 %","   .00 %","-20.00 %"," 24.00 %","   .00 %"," 13.11 %"," 14.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
