"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-03-22","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","",""
"2020-03-26"," 35.83 %"," 29.44 %","   .00 %"," 28.86 %","   .00 %"," 16.67 %","   .00 %"," 45.00 %","   .00 %"," 10.00 %"," 11.67 %",""," 31.33 %","  8.00 %"," 17.67 %"
"2020-03-27"," 37.50 %"," 36.72 %"," 20.00 %"," 32.86 %","   .00 %"," 26.67 %","   .00 %"," 49.00 %","   .00 %"," 16.67 %"," 11.67 %"," 55.00 %"," 37.05 %","  8.00 %"," 18.84 %"
"2020-03-28"," 20.58 %"," 36.72 %"," 20.00 %"," 27.11 %","   .00 %"," 30.00 %","   .00 %"," 59.00 %","   .00 %"," 21.67 %","  9.00 %"," 58.33 %"," 29.27 %"," 13.71 %","  8.84 %"
"2020-03-29"," 16.58 %"," 13.05 %"," 20.00 %"," 24.39 %","   .00 %"," 35.71 %","   .00 %"," 45.67 %","   .00 %"," 21.67 %","  4.00 %"," 58.33 %"," 33.27 %"," 18.16 %","  3.84 %"
"2020-03-30"," 14.08 %","  8.61 %"," 20.00 %"," 16.89 %","   .00 %"," 25.71 %","   .00 %"," 25.67 %","   .00 %"," 11.67 %","  4.00 %"," ##.## %"," 19.94 %"," 10.16 %","  1.18 %"
"2020-03-31"," 14.47 %"," 11.11 %"," 20.00 %"," 15.60 %",""," 27.94 %",""," 22.33 %","  6.67 %"," 19.67 %","  4.00 %"," 46.19 %"," 16.94 %"," 10.16 %","  1.18 %"
"2020-04-01"," 13.67 %","  3.83 %"," 10.00 %"," 13.18 %",""," 21.01 %",""," 18.33 %","  6.67 %"," 13.00 %"," 17.33 %"," 56.65 %"," 11.22 %"," 19.25 %","   .00 %"
"2020-04-02"," 12.26 %","  2.72 %"," 16.67 %"," 11.43 %",""," 19.01 %","","  9.87 %","  6.67 %","  8.00 %"," 17.33 %"," 40.45 %"," 13.00 %"," 16.04 %","  2.22 %"
"2020-04-03"," 14.21 %","  3.74 %"," 16.67 %"," 11.63 %",""," 19.55 %","","  7.49 %","  6.67 %"," 10.86 %"," 25.67 %"," 44.45 %"," 12.33 %"," 14.92 %","  2.22 %"
"2020-04-04"," 15.46 %","  7.95 %"," 21.67 %"," 16.26 %",""," 21.45 %","","  7.49 %","  6.67 %"," 10.86 %"," 33.90 %","  1.12 %"," 12.33 %"," 18.73 %","  3.22 %"
"2020-04-05"," 11.93 %","  6.32 %"," 25.67 %"," 12.40 %",""," 16.04 %","","  5.82 %","   .00 %","  2.86 %"," 36.40 %"," 16.90 %","  8.29 %"," 23.53 %","  4.17 %"
"2020-04-06"," 11.06 %","  7.16 %"," 15.67 %"," 11.85 %",""," 14.45 %","","  7.00 %","   .00 %","  2.86 %"," 23.81 %"," 23.75 %","  8.29 %"," 17.02 %","  4.17 %"
"2020-04-07"," 12.89 %","  9.87 %"," 15.67 %"," 11.88 %",""," 15.87 %","   .00 %","  6.57 %","   .00 %","  2.86 %"," 21.95 %"," 19.47 %","  6.10 %"," 16.24 %","  3.77 %"
"2020-04-08","  8.28 %","  7.51 %"," 15.67 %","  9.39 %","","  9.62 %","   .00 %","  2.29 %","   .00 %","   .00 %"," 13.62 %"," ##.## %","  2.77 %"," 12.90 %","  3.77 %"
"2020-04-09","  8.31 %","  6.27 %"," 10.67 %","  6.59 %","   .00 %","  8.93 %"," 40.00 %","  2.29 %","  5.00 %","   .00 %","  7.32 %"," ##.## %","  2.77 %"," 11.20 %","  2.77 %"
"2020-04-10","  4.78 %","  5.40 %","  6.67 %","  4.47 %","   .00 %","  5.45 %"," 40.00 %","  2.29 %","  5.00 %","   .00 %","  4.82 %"," ##.## %","  1.82 %","  6.40 %","  1.82 %"
"2020-04-11","  6.38 %","  4.56 %","  6.67 %","  4.33 %","   .00 %"," 29.69 %"," 40.00 %","  3.22 %","  5.00 %","   .00 %","  4.67 %"," ##.## %","  5.15 %","  7.63 %","  2.65 %"
"2020-04-12","  3.25 %","  2.96 %","   .00 %","  3.45 %","   .00 %"," 27.18 %"," 40.00 %","  2.11 %","  5.00 %","   .00 %","  3.10 %"," ##.## %","  3.33 %","  7.51 %","   .83 %"
"2020-04-13","  3.61 %","  3.61 %","  2.50 %","  3.89 %","   .00 %"," 27.67 %"," 40.00 %","  3.06 %","  5.00 %","   .00 %","  4.76 %"," 91.66 %","  3.33 %","  7.89 %","  2.43 %"
"2020-04-14","  2.33 %","   .65 %","  2.50 %","  2.07 %","   .00 %"," 26.70 %","   .00 %","  3.06 %","   .00 %","   .00 %","-13.07 %"," ##.## %","  4.05 %","  6.51 %","  2.43 %"
"2020-04-15","  2.33 %","   .65 %","  2.50 %","  2.07 %","   .00 %"," 26.70 %","   .00 %","  3.06 %","   .00 %","   .00 %"," 64.43 %"," 44.51 %","  4.05 %","  6.51 %","  2.43 %"
"2020-04-16","   .73 %","  1.27 %","  2.50 %","  1.45 %","   .00 %","  1.46 %","   .00 %","   .95 %","   .00 %","   .00 %"," 64.87 %"," 60.78 %","   .71 %","  3.05 %","  4.56 %"
"2020-04-17","   .72 %","  1.27 %","  4.72 %","   .76 %","   .00 %","  1.68 %","   .00 %","   .95 %","   .00 %","   .00 %"," 64.29 %"," 61.38 %","  1.40 %","  2.14 %","  5.85 %"
"2020-04-18","  1.76 %","  3.05 %","  2.22 %","   .64 %","   .00 %","  1.64 %","   .00 %","   .91 %","   .00 %","  2.50 %"," 63.12 %"," 58.53 %","  2.07 %","  2.77 %","  4.86 %"
"2020-04-19","  1.76 %","  3.05 %","  6.22 %","   .69 %"," 20.00 %","  1.62 %","   .00 %","   .91 %","   .00 %","  2.50 %"," 79.49 %","-18.97 %","  2.00 %","  2.04 %","  6.62 %"
"2020-04-20","  1.76 %","  3.05 %","  6.22 %","   .69 %"," 20.00 %","  2.06 %","   .00 %","   .91 %","   .00 %","  2.50 %","  1.99 %"," -4.67 %","  2.00 %","  2.04 %","  6.62 %"
"2020-04-21","  1.76 %","  2.42 %","  6.22 %","   .73 %"," 20.00 %","  1.37 %","   .00 %","   .91 %","  4.00 %","  2.50 %","  1.43 %","-19.21 %","  2.00 %","  2.32 %","  4.20 %"
"2020-04-22","  1.40 %","  2.42 %","  4.00 %","   .78 %"," 20.00 %","   .90 %","   .00 %","   .91 %","  4.00 %","  2.50 %","  1.43 %","-12.55 %","  1.94 %","  2.25 %","  2.91 %"
"2020-04-23","   .00 %","   .00 %","  4.00 %","   .57 %"," 20.00 %","   .01 %","   .00 %","  1.74 %","  4.00 %","   .00 %","   .94 %","-12.55 %","  1.27 %","  1.25 %","  2.31 %"
