"date","Bihar/ARWAL","Bihar/AURANGABAD","Bihar/Araria","Bihar/Arwal","Bihar/Aurangabad","Bihar/BEGUSARAI","Bihar/BHAGALPUR","Bihar/BHOJPUR","Bihar/Banka","Bihar/Begusarai","Bihar/Bhagalpur","Bihar/Bhojpur","Bihar/Buxar","Bihar/Darbhanga","Bihar/EAST CHAMPARAN","Bihar/East Champaran","Bihar/GAYA","Bihar/GOPALGANJ","Bihar/Gaya","Bihar/Gopalganj","Bihar/Jamui","Bihar/Jehanabad","Bihar/KAIMUR","Bihar/KHAGARIA","Bihar/Kaimur","Bihar/Katihar","Bihar/Khagaria","Bihar/Kishanganj","Bihar/Lakhisarai","Bihar/MUZAFFARPUR","Bihar/Madhepura","Bihar/Madhubani","Bihar/Munger","Bihar/Muzaffarpur","Bihar/NALANDA","Bihar/NAWADA","Bihar/Nalanda","Bihar/Nawada","Bihar/Other State","Bihar/PATNA","Bihar/Patna","Bihar/Purnia","Bihar/Rajmahal","Bihar/Rohtas","Bihar/SARAN","Bihar/SIWAN","Bihar/SUPAUL","Bihar/Saharsa","Bihar/Samastipur","Bihar/Saran","Bihar/Sheikhpura","Bihar/Sheohar","Bihar/Sitamarhi","Bihar/Siwan","Bihar/Supaul","Bihar/VAISHALI","Bihar/Vaishali","Bihar/West Champaran","Bihar/bhagalpur","Bihar/gaya"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","",""," 33.33 %","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","",""," 25.00 %","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","",""
"2020-04-01","","","","","","","","","","   .00 %","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","",""," ##.## %"," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","",""," 25.00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 20.00 %","","","","","",""
"2020-04-04","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 66.67 %","","","","","",""
"2020-04-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","",""," 66.67 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","  7.41 %","","","","","",""
"2020-04-11","","","","","","","","",""," 40.00 %","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","",""," 14.29 %","","","","","","","","","","","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 16.67 %","","",""," ##.## %","","",""," 20.00 %","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-04-16","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","",""," 12.50 %","","","","","","","","","","","","","","","","","","","","","","","","","",""," 16.67 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," 16.67 %","","","","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","","","","   .00 %"," ##.## %","","","","","","","","","","","","","","","","","","",""," 18.75 %","","",""," 57.14 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","",""," 36.84 %","","","","","","",""," 14.29 %","","","   .00 %","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","   .00 %",""," ##.## %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""," 10.71 %","","",""," ##.## %","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","",""," 15.38 %","","","","","","",""," 50.00 %","",""," ##.## %","","","","","","","","","","  3.45 %","","","","","",""
"2020-04-24","","","","","   .00 %","","",""," ##.## %","","",""," ##.## %","","","","","","","","","","","","","","","","","","   .00 %",""," ##.## %","","","","  9.68 %","","","","  8.33 %","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-25","","","","   .00 %","","","","","","",""," ##.## %"," 25.00 %","","","","",""," 20.00 %","","","","",""," 75.00 %","","","","","","","","  4.92 %","","","","","","",""," 26.92 %","",""," 28.57 %","","","","",""," 50.00 %","","","","","",""," ##.## %","","",""
"2020-04-26","","",""," ##.## %","","","","","","","","","","",""," ##.## %","","",""," ##.## %","","   .00 %","","","","","","","","","","","  4.69 %","","","","","","","","","",""," 66.67 %","","","","","","","","","","","","","","","",""
"2020-04-27","","","",""," ##.## %","","","","","",""," ##.## %","","   .00 %","","","","","","","","","","","","","",""," ##.## %","","","   .00 %"," 32.84 %","","","","  2.94 %"," 33.33 %","",""," 18.18 %","   .00 %",""," ##.## %","","","","",""," 33.33 %","","","","","","","","","",""
"2020-04-28","","","   .00 %","","","","",""," 50.00 %","   .00 %","","","  4.00 %","","","","","",""," 50.00 %",""," ##.## %","",""," 28.57 %","","","","","","","","  2.25 %","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-04-29","","","",""," 14.29 %","","","",""," 22.22 %",""," 22.22 %"," 53.85 %"," ##.## %","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","  7.69 %","","","  9.68 %","","","","","","","",""," ##.## %","","",""," 50.00 %","   .00 %","",""
"2020-04-30","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","  3.30 %","","","","   .00 %","","","","  4.76 %","",""," 32.35 %","","","","",""," 50.00 %","",""," ##.## %","   .00 %","","","","","",""
"2020-05-01","","","","","","","","","","","","  9.09 %"," 27.50 %","","","   .00 %","","","","","","","",""," 33.33 %","   .00 %","","","","",""," ##.## %","   .00 %","","","","  2.86 %","","","","","",""," 15.56 %","","","","","","","","","","","","","","","",""
"2020-05-02","",""," ##.## %","","","","","","","",""," 50.00 %","  3.92 %","","","","","","","","","","",""," 12.50 %"," ##.## %","","","","","","","   .00 %","","","","   .00 %","","","","   .00 %","","","   .00 %","","","","",""," 16.67 %","","","   .00 %","","","","","","",""
"2020-05-03","","",""," 25.00 %"," 62.50 %","","","","",""," ##.## %","","  5.66 %","",""," 80.00 %","","","","","","","","","  3.70 %"," 25.00 %","","","","","   .00 %","","  7.45 %","","","","","","","","   .00 %","","","","","","","",""," 14.29 %","","   .00 %","   .00 %","  3.33 %","","","   .00 %"," ##.## %","",""
"2020-05-04","","","","","","","","",""," 18.18 %","","","","","","","","","","","","","","","  7.14 %","","","","","",""," 27.78 %","   .00 %","","","","","   .00 %","","","","","","","","","","","   .00 %","   .00 %","","","","","","",""," 10.00 %","",""
"2020-05-05","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","  3.33 %"," ##.## %","","","","","","","   .00 %","","","","   .00 %","   .00 %","","","","","","   .00 %","","","","","","","","","","  3.23 %","","","","","",""
"2020-05-06","","","","","","","","","","","  9.09 %","","","","","","","","","","","","","","  3.23 %","","","","","","","  4.35 %","","","","","","","","","  4.55 %"," ##.## %","","","","","","","","",""," ##.## %","","","","","","","",""
