"date","Utah/Bear River","Utah/Beaver","Utah/Box Elder","Utah/Cache","Utah/Carbon","Utah/Central Utah","Utah/Daggett","Utah/Davis","Utah/Duchesne","Utah/Emery","Utah/Garfield","Utah/Grand","Utah/Iron","Utah/Juab","Utah/Kane","Utah/Millard","Utah/Morgan","Utah/Out of UT","Utah/Piute","Utah/Rich","Utah/Salt Lake","Utah/San Juan","Utah/Sanpete","Utah/Sevier","Utah/Southeast Utah","Utah/Southwest","Utah/Southwest Utah","Utah/Summit","Utah/Tooele","Utah/TriCounty","Utah/Uintah","Utah/Unassigned","Utah/Utah","Utah/Wasatch","Utah/Washington","Utah/Washington County","Utah/Wayne","Utah/Weber","Utah/Weber-Morgan","Utah/unassigned"
"2020-03-22","","0","1","2","0","","0","19","0","0","0","0","0","0","0","0","0","","0","0","80","0","0","0","","","","43","3","","0","","6","8","0","","0","0","",""
"2020-03-23","","0","1","3","0","","0","29","0","0","0","0","0","0","0","0","0","13","0","0","109","0","0","0","","","","65","2","","0","","11","11","5","","0","8","",""
"2020-03-24","","0","1","3","0","","0","31","0","0","0","0","0","0","0","0","0","13","0","0","124","0","0","0","","","","82","2","","0","","13","15","5","","0","9","",""
"2020-03-25","","0","0","0","0","","0","35","0","0","0","0","0","0","0","0","0","14","0","0","151","0","0","0","","","","89","3","","0","","18","15","5","","0","10","",""
"2020-03-26","","0","0","0","0","","0","39","0","0","0","0","0","0","0","0","0","14","0","0","178","0","0","0","","","","95","4","","0","","24","20","8","","0","14","",""
"2020-03-27","","0","0","0","0","","0","50","0","0","0","0","0","0","0","0","0","14","0","0","218","0","0","0","","","","102","5","","0","","26","28","9","","0","20","",""
"2020-03-28","","0","4","5","0","","0","59","0","0","0","0","0","0","0","0","0","14","0","0","276","1","0","0","","","","127","8","","0","","30","36","13","","0","29","",""
"2020-03-29","","1","5","5","0","","0","69","0","0","1","4","2","0","0","0","0","14","0","0","321","4","0","0","","","","151","9","","0","","50","39","8","","0","37","",""
"2020-03-30","","0","7","0","0","","0","77","0","0","0","0","0","0","0","0","0","19","0","0","360","4","0","0","","","","167","9","","0","","57","44","15","","0","39","",""
"2020-03-31","","","7","7","","","","84","","","1","1","6","","","","","22","","","396","4","","","","","","172","12","","1","","70","50","14","","","41","",""
"2020-04-01","","","7","7","","","","84","","","1","1","6","","","","","22","","","396","4","","","","","","172","12","","1","","70","50","14","","","41","",""
"2020-04-02","","","7","7","","","","103","1","","1","1","7","","1","","","22","","","476","11","","","","","","204","13","","1","","105","61","18","","","53","",""
"2020-04-03","","","10","15","1","","","122","1","1","1","1","10","","1","","","","","","541","12","","","","","","222","16","","1","","150","69","21","2","","58","",""
"2020-04-04","","","10","16","1","","","137","1","1","1","1","12","","1","","","","","","650","12","","","","","","230","17","","1","","186","70","22","3","","63","",""
"2020-04-05","","","10","19","1","","","142","1","1","1","1","12","","1","","","","","","741","12","","","","","","256","19","","1","2","216","78","22","5","","67","",""
"2020-04-06","","","11","22","1","","","154","1","2","1","1","13","","2","","","","","","777","12","","","","","","260","22","","2","0","223","79","26","5","","71","",""
"2020-04-07","","","13","24","1","","","158","1","2","1","1","13","","2","","","","","","807","12","","","","","","265","22","","2","0","236","80","31","","","75","",""
"2020-04-08","","","13","28","2","","","163","2","2","1","1","13","","2","","","","","","858","13","","","","","","273","23","","4","0","267","82","31","","","77","",""
"2020-04-09","","","12","29","2","","","170","2","2","1","1","13","","2","","","","","","858","6","","","","","","273","23","","4","0","267","82","32","","","77","",""
"2020-04-10","","","12","30","2","","","180","3","2","1","1","13","","3","","","","","","1011","6","","","","","","296","28","","5","0","283","96","41","","","90","","0"
"2020-04-11","","","12","34","2","","","193","3","2","1","1","13","","3","","","","","","1071","8","","","","","","300","31","","6","","295","98","41","","","93","","0"
"2020-04-12","","","13","33","2","","","199","3","2","1","1","13","","3","","","","","","1126","8","","","","","","304","31","","6","","313","103","42","","","96","","4"
"2020-04-13","","","13","36","2","","","204","3","2","1","1","15","","3","","","","","","1157","9","","","","","","306","34","","6","","322","103","43","","","103","",""
"2020-04-14","","","13","36","2","","","211","3","3","1","1","15","","3","","","","","","1187","9","","","","","","306","34","","6","0","335","102","45","","","105","",""
"2020-04-15","","","15","37","2","","","217","3","3","1","1","15","","3","","","","","","1285","9","","","","","","306","37","","6","0","352","102","47","","","107","",""
"2020-04-16","","","15","37","2","","","220","3","3","1","1","15","","3","","","","","","1377","9","","","","","","308","38","","6","0","387","103","47","","","108","",""
"2020-04-17","","","54","","","","","227","","","","","","","","","","","","","1456","17","","","","","","311","38","","","0","403","103","74","","","110","",""
"2020-04-18","","","52","","","","","230","","","","","","","","","","","","","1547","18","","","","","","316","39","","","0","417","109","77","","","112","",""
"2020-04-19","54","","","","","15","","236","","","","","","","","","","","","","1615","22","","","6","","66","318","42","10","","0","455","111","","","","","119",""
"2020-04-20","55","","","","","17","","242","","","","","","","","","","","","","1671","29","","","7","","70","331","41","10","","0","498","118","","","","","124",""
"2020-04-21","55","","","","","17","","243","","","","","","","","","","","","","1714","34","","","7","","70","335","41","10","","0","523","122","","","","","126",""
"2020-04-22","55","","","","","20","","249","","","","","","","","","","","","","1795","34","","","7","","70","341","42","9","","0","570","123","","","","","130",""
