"date","West Bengal/Alipurduar","West Bengal/Bankura","West Bengal/Birbhum","West Bengal/Cooch Behar","West Bengal/Dakshin Dinajpur","West Bengal/Darjeeling","West Bengal/Hooghly","West Bengal/Howrah","West Bengal/Jalpaiguri","West Bengal/Jhargram","West Bengal/Kalimpong","West Bengal/Kolkata","West Bengal/Malda","West Bengal/Murshidabad","West Bengal/Nadia","West Bengal/North 24 Parganas","West Bengal/Other State","West Bengal/Paschim Bardhaman","West Bengal/Paschim Medinipur","West Bengal/Purba Bardhaman","West Bengal/Purba Medinipur","West Bengal/Purulia","West Bengal/South 24 Parganas","West Bengal/Uttar Dinajpur","West Bengal/other State"
"2020-03-17","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","   .00 %","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","",""," ##.## %","","","","   .00 %","","","","","","","","",""
"2020-05-05","","","","","","","","","","",""," ##.## %","","","","   .00 %","","","","","   .00 %","","","",""
"2020-05-06","","","","","","","   .00 %"," ##.## %","","",""," ##.## %","","","","  1.11 %","","","","","   .00 %","","   .00 %","",""
"2020-05-07","","","","","","",""," ##.## %","","",""," ##.## %","","","","  3.22 %","","","","","   .00 %","","   .00 %","",""
"2020-05-08","","","","","","","   .00 %","  3.16 %","","","","  4.22 %","","","","  3.22 %","","","","","   .00 %","","   .00 %","",""
"2020-05-09","","","","","","","   .00 %","  3.16 %","","","","  5.89 %","","","","  5.12 %","","   .00 %","","","","","   .00 %","",""
"2020-05-10","","","","","","","   .00 %","  3.96 %","","","","  6.46 %","","","","  6.86 %","","   .00 %","","","   .00 %","","   .00 %","",""
"2020-05-11","","","","","","","   .00 %","  2.90 %","","","","  6.50 %","   .00 %","","","  7.35 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","",""
"2020-05-12","","","   .00 %","","","","   .00 %","  3.77 %","","","","  6.37 %","   .00 %","","","  5.98 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","",""
"2020-05-13","","","   .00 %","","","","   .00 %","  4.44 %","","","","  5.51 %","","","   .00 %","  6.70 %","","","   .00 %","","   .00 %",""," 20.00 %","",""
"2020-05-14","","","","","","","   .00 %","  5.98 %","","","","  4.69 %","","","   .00 %","  4.79 %","   .00 %","   .00 %","","   .00 %","   .00 %",""," 20.00 %","",""
"2020-05-15","","","","","","","   .00 %","  5.50 %","","","","  3.66 %","","","","  5.12 %","","","","   .00 %","   .00 %",""," 20.00 %","",""
"2020-05-16","","","","","","","   .00 %","  7.50 %","","","","  3.58 %","   .00 %","","","  3.52 %","   .00 %","","","   .00 %","   .00 %",""," 30.00 %","",""
"2020-05-17","","","","","","","   .00 %","  6.63 %","","","","  3.44 %","","","","  2.78 %","   .00 %","   .00 %","   .00 %","   .00 %","",""," 30.00 %","",""
"2020-05-18","","","   .00 %","","","","   .00 %","  4.97 %","","","","  3.32 %","   .00 %","","   .00 %","  2.07 %","","   .00 %","","   .00 %","   .00 %",""," 16.67 %","   .00 %",""
"2020-05-19","","","   .00 %","","","","  5.00 %","  3.43 %","","","","  2.95 %","   .00 %","   .00 %","   .00 %","  2.07 %","   .00 %","   .00 %","","   .00 %","",""," 21.67 %","   .00 %",""
"2020-05-20","","","   .00 %","","","","  9.00 %","  2.61 %","","","","  2.27 %","   .00 %","","   .00 %","   .62 %","   .00 %","","   .00 %","   .00 %","",""," 21.67 %","   .00 %",""
"2020-05-21","","","","","","","  9.00 %","  1.19 %","","","","  2.23 %","","   .00 %","   .00 %","  1.84 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 11.67 %","",""
"2020-05-22","","","   .00 %","","","","  9.00 %","  1.19 %","","","","  1.92 %","   .00 %","   .00 %","   .00 %","  2.98 %","","","","   .00 %","   .00 %",""," 11.67 %","   .00 %",""
"2020-05-23","","","   .00 %","","","","  9.00 %","  2.34 %","","","","  1.52 %","   .00 %","   .00 %","   .00 %","  2.98 %","   .00 %","   .00 %","","   .00 %","","","  5.00 %","   .00 %",""
