"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","","","",""
"2020-03-23","1","5","6",""
"2020-03-24","4","27","5",""
"2020-03-25","4","8","3",""
"2020-03-26","3","7","1",""
"2020-03-27","4","19","10",""
"2020-03-28","4","25","22",""
"2020-03-29","0","11","7",""
"2020-03-30","2","15","15",""
"2020-03-31","7","41","7","0"
"2020-04-01","7","29","13",""
"2020-04-02","2","19","4","0"
"2020-04-03","11","34","12","0"
"2020-04-04","14","121","8","0"
"2020-04-05","18","36","26","0"
"2020-04-06","42","60","8","0"
"2020-04-07","19","75","51","0"
"2020-04-08","54","65","69","0"
"2020-04-09","13","65","15","0"
"2020-04-10","16","50","42","9"
"2020-04-11","25","56","68","4"
"2020-04-12","26","73","60","-13"
"2020-04-13","7","39","87","0"
"2020-04-14","41","28","88","11"
"2020-04-15","16","27","39","6"
"2020-04-16","7","29","20","0"
"2020-04-17","32","97","113","5"
"2020-04-18","33","105","75","8"
"2020-04-19","0","0","0","0"
"2020-04-20","13","24","169","1"
"2020-04-21","29","74","84","-1"
"2020-04-22","44","49","178","-2"
"2020-04-23","36","37","60","-25"
"2020-04-24","19","97","17","1"
"2020-04-25","21","18","96","-1"
"2020-04-26","46","95","311","6"
"2020-04-27","27","30","69","2"
"2020-04-28","76","72","244","21"
"2020-04-29","15","16","55","-6"
"2020-04-30","16","17","47","-1"
"2020-05-01","14","95","76","-1"
"2020-05-02","20","35","67","-2"
"2020-05-03","28","39","102","1"
"2020-05-04","12","31","36","1"
"2020-05-05","14","45","23","1"
"2020-05-06","44","108","244","11"
"2020-05-07","54","43","70","-6"
"2020-05-08","18","54","102","-2"
"2020-05-09","22","91","54","-1"
"2020-05-10","0","0","0","0"
"2020-05-11","59","115","101","13"
"2020-05-12","16","50","114","-4"
"2020-05-13","24","56","131","0"
"2020-05-14","31","64","167","9"
"2020-05-15","31","59","62","-2"
"2020-05-16","30","48","93","3"
"2020-05-17","21","15","81","6"
"2020-05-18","22","56","122","-1"
"2020-05-19","19","107","43","-1"
"2020-05-20","15","88","56","-2"
"2020-05-21","28","120","46","-2"
"2020-05-22","15","79","42","7"
"2020-05-23","0","0","0","0"
"2020-05-24","44","177","55","4"
"2020-05-25","16","127","15","-2"
"2020-05-26","12","72","14","3"
"2020-05-27","6","20","8","-4"
"2020-05-28","18","47","11","-1"
"2020-05-29","9","54","4","-2"
"2020-05-30","31","94","60","1"
"2020-05-31","4","35","38","-1"
"2020-06-01","4","80","19","4"
"2020-06-02","10","45","27","-2"
"2020-06-03","1","20","6","0"
"2020-06-04","3","22","9","0"
"2020-06-05","11","12","8","-4"
"2020-06-06","31","58","20","-37"
"2020-06-07","15","75","4","3"
"2020-06-08","2","25","7","-4"
"2020-06-09","9","30","8","1"
"2020-06-10","8","14","12","2"
"2020-06-11","13","32","6","-1"
"2020-06-12","1","53","10","3"
"2020-06-13","10","35","12","-1"
"2020-06-14","3","28","5","-1"
"2020-06-15","8","58","10","0"
"2020-06-16","8","41","12","2"
"2020-06-17","6","36","1","-2"
"2020-06-18","5","48","2","0"
"2020-06-19","18","52","39","3"
"2020-06-20","4","47","17","2"
"2020-06-21","7","78","8","1"
"2020-06-22","7","35","6","-3"
"2020-06-23","4","15","8","0"
"2020-06-24","4","23","13","2"
"2020-06-25","2","71","16","2"
"2020-06-26","5","49","-19","2"
"2020-06-27","17","31","23","3"
"2020-06-28","11","54","66","4"
"2020-06-29","9","106","29","6"
"2020-06-30","18","34","44","2"
"2020-07-01","9","14","9","4"
"2020-07-02","17","104","89","11"
"2020-07-03","14","94","68","16"
"2020-07-04","5","57","7","4"
"2020-07-05","11","64","49","8"
"2020-07-06","15","91","49","10"
"2020-07-07","23","66","25","7"
"2020-07-08","6","28","11","3"
"2020-07-09","5","43","20","1"
"2020-07-10","20","62","37","2"
"2020-07-11","14","44","31","2"
"2020-07-12","19","27","17","-2"
"2020-07-13","9","38","26","2"
"2020-07-14","8","63","11","8"
"2020-07-15","11","44","23","3"
"2020-07-16","11","31","18","4"
"2020-07-17","91","46","73","13"
"2020-07-18","17","47","20","8"
"2020-07-19","5","42","40","3"
"2020-07-20","13","55","29","8"
"2020-07-21","4","81","32","5"
"2020-07-22","8","25","10","3"
"2020-07-23","33","65","32","2"
"2020-07-24","44","112","101","21"
"2020-07-25","-11","6","-20","-2"
"2020-07-26","26","66","18","5"
"2020-07-27","8","80","23","5"
"2020-07-28","7","28","35","0"
"2020-07-29","10","94","11","11"
"2020-07-30","9","61","8","9"
"2020-07-31","16","51","25","7"
"2020-08-01","16","49","22","2"
"2020-08-02","16","25","26","5"
"2020-08-03","16","70","17","3"
"2020-08-04","11","56","12","3"
"2020-08-05","12","48","93","6"
"2020-08-06","9","50","8","2"
"2020-08-07","21","38","17","4"
"2020-08-08","9","31","18","-1"
"2020-08-09","10","45","18","0"
"2020-08-10","7","37","9","6"
"2020-08-11","12","33","19","1"
"2020-08-12","13","33","14","6"
"2020-08-13","83","70","47","2"
"2020-08-14","61","71","239","2"
"2020-08-15","12","40","5","-1"
"2020-08-16","10","34","9","2"
"2020-08-17","11","56","16","2"
"2020-08-18","7","37","12","1"
"2020-08-19","2","44","4","0"
"2020-08-20","20","44","8","3"
"2020-08-21","4","32","14","2"
"2020-08-22","14","34","7","3"
"2020-08-23","8","55","3","1"
"2020-08-24","2","39","4","2"
