"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","",""," 64.76 %"
"2020-04-30","","","","","","","","","","",""," 64.76 %"
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","  4.76 %"
"2020-05-03","","","","","","","","","","","","  1.43 %"
"2020-05-04","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","",""
"2020-05-06","","",""," 21.67 %","","","","","","","",""
"2020-05-07",""," 16.67 %","","","","","","","","","",""
"2020-05-08",""," 19.17 %",""," 25.67 %","","","","","","","","  1.33 %"
"2020-05-09","","",""," 19.00 %","","","","","","","",""
"2020-05-10",""," 15.83 %",""," 15.19 %","","","","","","","",""
"2020-05-11","","",""," 17.69 %","","","","","","","",""
"2020-05-12","","",""," 26.02 %","","","","","","","",""
"2020-05-13","","",""," 23.36 %","","","","","","","",""
"2020-05-14","",""," 45.00 %"," 21.27 %","","","","",""," 40.00 %","",""
"2020-05-15","","",""," 19.59 %","","","","","","","","  2.58 %"
"2020-05-16",""," 15.83 %"," 49.00 %"," 18.20 %","","","","","","","",""
"2020-05-17","",""," 55.67 %","  4.87 %","","","","","","","",""
"2020-05-18",""," 17.50 %"," 48.17 %","  4.59 %","","","","","","","","  2.58 %"
"2020-05-19","",""," 28.17 %","  4.34 %","","","","","","","","  3.76 %"
"2020-05-20",""," 10.83 %"," 23.17 %"," 15.54 %","","","","","","","",""
"2020-05-21","","  8.33 %"," 66.86 %"," 17.96 %","","","","","",""," 20.16 %",""
"2020-05-22","",""," 66.56 %"," 18.96 %","","","","","","","",""
"2020-05-23","",""," 54.06 %"," 20.77 %","","",""," 73.33 %","",""," 27.30 %","  4.87 %"
"2020-05-24"," 37.86 %","  3.21 %"," 54.75 %"," 20.60 %","","",""," 75.33 %","",""," 25.02 %"," 14.06 %"
"2020-05-25"," 45.36 %","  8.92 %"," 55.08 %"," 11.42 %","","","","","","","",""
"2020-05-26","","  9.47 %"," 12.30 %","  8.92 %","","","",""," 70.00 %","",""," 13.50 %"
"2020-05-27"," 38.08 %","","  9.89 %","  8.91 %","","",""," 55.33 %"," 70.00 %","",""," 14.17 %"
"2020-05-28"," 23.08 %","","  9.89 %","  7.30 %","","",""," 57.15 %","",""," 22.31 %",""
"2020-05-29","",""," 10.96 %","  7.94 %","","","","","","",""," 13.64 %"
"2020-05-30","",""," 11.84 %","  6.11 %","","",""," 17.15 %","",""," 24.92 %"," 15.03 %"
"2020-05-31","","","  7.68 %","  7.13 %","","","","","",""," 16.88 %","  5.06 %"
"2020-06-01",""," 13.47 %","  3.92 %","","","","","  5.48 %","",""," 11.07 %","  4.91 %"
"2020-06-02"," 23.08 %","","  3.92 %","  6.84 %","","","","  6.56 %",""," 40.00 %","","  4.24 %"
"2020-06-03"," 21.34 %"," 14.31 %","  2.52 %","  6.49 %","","","","  9.23 %"," 72.22 %","","","  4.12 %"
