"date","Idaho/Ada","Idaho/Adams","Idaho/Bannock","Idaho/Bear Lake","Idaho/Benewah","Idaho/Bingham","Idaho/Blaine","Idaho/Boise","Idaho/Bonner","Idaho/Bonneville","Idaho/Boundary","Idaho/Butte","Idaho/Camas","Idaho/Canyon","Idaho/Caribou","Idaho/Cassia","Idaho/Clark","Idaho/Clearwater","Idaho/Custer","Idaho/Elmore","Idaho/Franklin","Idaho/Fremont","Idaho/Gem","Idaho/Gooding","Idaho/Idaho","Idaho/Jefferson","Idaho/Jerome","Idaho/Kootenai","Idaho/Latah","Idaho/Lemhi","Idaho/Lewis","Idaho/Lincoln","Idaho/Madison","Idaho/Minidoka","Idaho/Nez Perce","Idaho/Oneida","Idaho/Owyhee","Idaho/Payette","Idaho/Power","Idaho/Shoshone","Idaho/Teton","Idaho/Twin Falls","Idaho/Unassigned","Idaho/Valley","Idaho/Washington"
"2020-03-22","11","0","0","0","0","2","21","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","2","1","","0","0"
"2020-03-23","13","0","2","0","0","2","35","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0","2","1","","1","0"
"2020-03-24","19","0","2","0","0","2","36","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","2","0","0","0","0","0","0","0","2","1","","1","0"
"2020-03-25","24","0","2","0","0","2","40","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","2","0","8","0","0","0","0","2","0","1","0","0","0","0","0","2","1","","1","0"
"2020-03-26","39","0","3","0","0","2","66","0","0","0","0","0","0","13","0","1","0","0","1","0","0","1","0","0","1","2","0","9","0","0","0","0","2","0","1","0","0","1","0","0","2","1","","1","0"
"2020-03-27","54","0","2","0","0","1","93","0","0","0","0","0","0","23","0","1","0","0","1","0","0","1","0","0","1","2","0","10","0","0","0","0","2","0","4","0","0","4","0","0","2","3","","1","0"
"2020-03-28","76","0","3","0","0","1","99","0","0","1","0","0","0","23","0","1","0","0","1","0","0","1","1","0","1","2","0","11","0","0","0","1","2","0","4","0","0","1","0","0","2","2","","1","0"
"2020-03-29","92","0","3","0","0","1","114","0","1","1","0","0","0","22","0","1","0","0","1","0","0","1","1","0","1","2","0","26","0","0","0","1","2","0","4","0","1","1","0","0","2","2","","1","0"
"2020-03-30","113","0","3","0","0","1","130","0","1","2","0","0","0","40","0","1","0","0","1","0","0","1","3","0","1","2","0","26","0","0","0","1","2","0","4","0","1","1","0","0","2","3","","1","0"
"2020-03-31","195","","4","","","2","192","","1","2","","","1","48","","1","","","1","1","","1","4","","1","2","2","29","","","","2","5","1","9","","1","1","","","2","5","","2",""
"2020-04-01","195","","4","","","2","228","","1","2","","","1","53","","1","","","2","3","","1","5","","2","3","2","30","1","","","3","4","1","9","","1","1","","","2","7","","2",""
"2020-04-02","312","1","4","","","2","256","","1","2","","","1","68","","1","","","2","3","","1","4","1","2","3","7","31","1","","","5","4","1","14","","1","3","","","3","31","9","2",""
"2020-04-03","307","1","4","","","2","351","","1","3","","","1","79","","3","","","2","9","","1","6","1","1","3","8","37","1","","1","5","4","1","13","","2","5","","","3","32","","3","1"
"2020-04-04","360","1","5","","","2","405","","2","5","","","1","89","","4","","","2","10","","1","7","1","2","3","11","37","1","","1","7","4","1","13","","2","5","","","3","33","","3","1"
"2020-04-05","385","1","5","","","2","410","","2","6","","","1","99","1","4","","","2","11","","1","7","1","3","3","13","40","1","","1","9","4","1","13","","2","5","","","4","37","0","3","1"
"2020-04-06","402","1","5","","","2","410","","2","6","","","1","101","1","4","","","2","11","","1","7","1","2","4","13","42","1","","1","9","4","3","13","","2","6","","","4","37","0","2","1"
"2020-04-07","419","1","5","","","2","423","","3","6","","","1","104","1","5","","","2","12","","2","8","3","3","4","18","43","2","","0","12","4","3","15","","2","6","","","5","53","0","2","1"
