"date","Hawaii/Hawaii","Hawaii/Honolulu","Hawaii/Kalawao","Hawaii/Kauai","Hawaii/Maui","Hawaii/Out of HI","Hawaii/Unassigned"
"2020-03-22","0","41","0","3","9","",""
"2020-03-23","3","41","0","3","9","",""
"2020-03-24","2","58","0","1","9","","20"
"2020-03-25","2","58","0","1","9","","21"
"2020-03-26","4","68","0","2","13","","8"
"2020-03-27","5","76","0","5","14","","6"
"2020-03-28","10","108","0","11","16","","4"
"2020-03-29","10","108","0","11","16","","4"
"2020-03-30","12","123","0","12","20","","8"
"2020-03-31","15","139","","12","25","","13"
"2020-04-01","15","157","","12","25","","15"
"2020-04-02","18","182","","12","26","","18"
"2020-04-03","20","237","","13","36","2","11"
"2020-04-04","22","266","","15","38","2","8"
"2020-04-05","22","281","","16","43","2","7"
"2020-04-06","23","292","","17","44","2","9"
"2020-04-07","23","312","","18","48","2","7"
"2020-04-08","23","312","","18","48","2","7"
"2020-04-09","28","334","","18","57","2","3"
"2020-04-10","28","334","","18","57","2","3"
"2020-04-11","31","343","","19","66","2","4"
"2020-04-12","39","350","","21","84","2","3"
"2020-04-13","40","352","","21","86","2","3"
"2020-04-14","41","358","","21","88","","3"
"2020-04-15","41","369","","21","92","","1"
"2020-04-16","41","369","","21","92","6","1"
"2020-04-17","41","373","","21","95","6","5"
"2020-04-18","61","382","","21","104","6","0"
"2020-04-19","62","385","","21","106","6","0"
"2020-04-20","64","385","","21","108","6","0"
"2020-04-21","64","385","","21","110","6","0"
"2020-04-22","67","388","","21","110","6","0"
"2020-04-23","68","389","","21","112","6","0"
"2020-04-24","69","392","","21","113","6","0"
"2020-04-25","69","395","","21","113","7","0"
"2020-04-26","70","396","","21","112","7","0"
"2020-04-27","70","396","","21","113","7","0"
"2020-04-28","70","396","","21","115","7","0"
"2020-04-29","70","399","","21","115","8","0"
"2020-04-30","73","399","","21","116","9","0"
"2020-05-01","73","400","","21","116","9","0"
"2020-05-02","73","400","","21","117","9","0"
"2020-05-03","74","400","","21","116","9","0"
"2020-05-04","75","400","","21","116","9","0"
"2020-05-05","74","404","","21","116","10","0"
"2020-05-06","74","405","","21","116","10","0"
"2020-05-07","74","408","","21","116","10","0"
"2020-05-08","74","408","","21","116","10","0"
"2020-05-09","75","407","","21","117","11","0"
"2020-05-10","75","408","","21","117","11","0"
"2020-05-11","75","410","","21","117","11","0"
"2020-05-12","75","411","","21","117","11","0"
"2020-05-13","75","414","","21","117","11","0"
"2020-05-14","75","414","","21","117","10","0"
"2020-05-15","76","414","","21","117","10","0"
"2020-05-16","76","415","","21","117","10","0"
"2020-05-17","77","415","","21","117","10","0"
"2020-05-18","77","415","","21","117","10","0"
"2020-05-19","78","415","","21","117","10","0"
"2020-05-20","79","416","","21","117","10","0"
"2020-05-21","82","416","","21","118","10","0"
"2020-05-22","81","414","","20","117","10","0"
"2020-05-23","81","414","","20","118","10","0"
"2020-05-24","81","414","","20","118","10","0"
"2020-05-25","81","414","","20","118","10","0"
"2020-05-26","81","414","","20","118","10","0"
"2020-05-27","82","414","","20","118","10","0"
"2020-05-28","82","417","","20","118","10","0"
"2020-05-29","82","419","","20","118","10","0"
"2020-05-30","81","421","","20","119","10","0"
"2020-05-31","81","421","","20","120","10","0"
"2020-06-01","81","421","","20","120","10","0"
"2020-06-02","81","422","","20","120","10","0"
"2020-06-03","81","423","","20","119","10","0"
"2020-06-04","81","424","","20","119","11","0"
"2020-06-05","81","431","","21","120","11","0"
"2020-06-06","81","439","","21","120","12","0"
"2020-06-07","81","441","","21","120","12","0"
"2020-06-08","81","442","","21","120","12","0"
"2020-06-09","81","448","","21","120","12","0"
"2020-06-10","81","451","","21","120","12","0"
"2020-06-11","81","458","","21","120","12","0"
"2020-06-12","81","472","","21","120","12","0"
"2020-06-13","81","489","","21","120","12","0"
"2020-06-14","82","493","","21","120","12","0"
"2020-06-15","82","501","","21","120","12","0"
"2020-06-16","82","501","","21","120","12","0"
"2020-06-17","83","508","","21","120","12","0"
"2020-06-18","83","526","","21","120","12","0"
"2020-06-19","83","551","","22","121","12","0"
"2020-06-20","83","551","","22","121","12","0"
"2020-06-21","85","566","","29","122","12","0"
"2020-06-22","85","568","","29","122","12","0"
"2020-06-23","85","571","","29","122","12","0"
"2020-06-24","86","584","","29","122","14","0"
"2020-06-25","86","595","","34","122","14","0"
"2020-06-26","86","608","","34","122","16","0"
"2020-06-27","86","613","","35","122","16","0"
"2020-06-28","87","636","","37","123","16","0"
"2020-06-29","87","638","","37","122","16","0"
"2020-06-30","87","652","","38","123","16","1"
"2020-07-01","87","659","","38","125","17","0"
"2020-07-02","90","676","","38","125","17","0"
"2020-07-03","91","701","","38","127","18","0"
"2020-07-04","93","720","","40","128","18","0"
"2020-07-05","93","744","","40","128","18","0"
"2020-07-06","94","750","","40","128","18","0"
"2020-07-07","95","788","","42","128","18","0"
"2020-07-08","96","808","","42","130","18","0"
