"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","",""
"2020-03-23","6","3","1","","0","0","13","0","3","2","33","0","7","7","28","29","5"
"2020-03-24","10","11","6","","0","1","45","4","9","2","72","0","47","32","80","32","31"
"2020-03-25","11","34","36","","0","1","59","4","21","3","142","0","93","37","108","74","56"
"2020-03-26","16","2","23","","0","0","70","2","10","6","92","0","70","37","106","108","37"
"2020-03-27","33","32","39","","0","1","103","8","35","3","147","0","101","49","183","36","53"
"2020-03-28","33","14","50","","0","4","122","15","93","10","157","0","97","85","212","53","72"
"2020-03-29","15","32","29","","0","0","98","2","18","7","139","0","58","53","97","104","46"
"2020-03-30","25","11","55","","0","0","83","8","54","9","160","0","80","55","175","29","53"
"2020-03-31","18","9","43","","","0","131","12","99","23","199","","110","79","258","-156","43"
"2020-04-01","64","12","60","","","3","101","11","121","12","242","","91","102","251","-82","130"
"2020-04-02","28","30","58","","","1","154","13","71","21","288","","109","60","272","19","104"
"2020-04-03","31","27","93","","","4","199","4","115","12","332","","107","124","287","-57","158"
"2020-04-04","16","13","84","","","0","162","6","72","11","266","","154","153","246","61","90"
"2020-04-05","17","5","58","","","1","106","5","35","3","164","","72","65","229","-59","63"
"2020-04-06","36","10","63","","","0","147","7","121","19","318","","111","104","271","31","99"
"2020-04-07","22","10","46","","","1","188","11","108","11","237","","210","127","316","-17","95"
"2020-04-08","18","3","67","","","-1","262","-1","84","6","358","","186","133","355","-6","124"
"2020-04-09","21","23","159","","","1","233","11","195","13","500","","229","180","441","-20","165"
"2020-04-10","20","25","92","","","3","334","7","118","17","402","","209","170","493","-74","217"
