"date","Wyoming/Albany","Wyoming/Big Horn","Wyoming/Campbell","Wyoming/Carbon","Wyoming/Converse","Wyoming/Crook","Wyoming/Fremont","Wyoming/Goshen","Wyoming/Hot Springs","Wyoming/Johnson","Wyoming/Laramie","Wyoming/Lincoln","Wyoming/Natrona","Wyoming/Niobrara","Wyoming/Park","Wyoming/Platte","Wyoming/Sheridan","Wyoming/Sublette","Wyoming/Sweetwater","Wyoming/Teton","Wyoming/Uinta","Wyoming/Unassigned","Wyoming/Washakie","Wyoming/Weston","Wyoming/unassigned"
"2020-03-22","0","0","1","1","0","0","10","0","0","0","6","0","1","0","1","0","4","0","0","2","0","","0","0",""
"2020-03-23","0","0","1","1","0","0","10","0","0","0","6","0","1","0","1","0","4","0","0","2","0","","0","0",""
"2020-03-24","0","0","1","2","0","0","10","0","0","0","7","0","2","0","1","0","4","0","0","2","0","","0","0",""
"2020-03-25","1","0","1","3","0","0","13","0","0","0","11","0","4","0","1","0","4","0","1","5","0","","0","0",""
"2020-03-26","1","0","1","3","0","0","14","0","0","1","14","0","6","0","1","0","4","0","1","7","0","","0","0",""
"2020-03-27","1","0","1","3","0","0","17","1","0","4","17","0","8","0","1","0","5","0","1","10","0","","1","0",""
"2020-03-28","1","0","1","3","1","0","20","1","0","5","19","0","8","0","1","0","6","1","1","13","0","","1","0",""
"2020-03-29","1","0","1","3","1","0","23","1","0","5","19","0","8","0","1","0","6","1","1","14","0","","1","0",""
"2020-03-30","1","0","1","3","1","0","24","1","0","5","20","0","10","0","1","0","8","1","1","16","0","","1","0",""
"2020-03-31","1","","2","3","1","","25","1","","7","22","","12","","1","","10","1","2","20","","","1","",""
"2020-04-01","3","","4","3","2","","25","1","","7","29","","15","","1","","10","1","2","26","","","1","",""
"2020-04-02","3","","6","3","2","","26","1","","8","36","","19","","1","","10","1","3","29","1","","1","","0"
"2020-04-03","4","","6","3","3","","27","2","","8","37","1","21","","1","","10","1","3","32","1","","2","","0"
"2020-04-04","4","","7","4","3","","36","2","","8","42","1","23","","1","","11","1","4","36","2","","2","","0"
"2020-04-05","4","","7","4","3","","37","2","","8","43","2","23","","1","","12","1","5","39","2","","4","","0"
"2020-04-06","4","","9","4","4","1","38","3","","8","44","4","25","","1","","12","1","5","40","3","","4","","0"
"2020-04-07","4","","9","4","4","1","38","3","","8","47","4","26","","1","1","12","1","5","41","3","0","4","",""
"2020-04-08","4","","9","4","4","1","38","3","","8","48","4","26","","1","0","12","1","6","44","3","0","5","",""
"2020-04-09","4","","9","4","4","3","38","3","","8","53","4","27","","1","0","12","1","6","45","3","0","5","",""
"2020-04-10","4","","9","4","4","3","38","3","","9","54","4","27","1","1","0","12","1","6","50","4","0","5","",""
"2020-04-11","5","","11","4","6","3","39","3","1","10","58","5","32","1","1","0","12","1","7","53","4","0","5","",""
