"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","   .00 %","   .00 %","   .00 %",""
"2020-03-23"," 20.00 %"," 12.82 %"," 50.00 %",""
"2020-03-24"," 66.67 %"," 61.36 %"," 27.78 %",""
"2020-03-25"," 40.00 %"," 11.27 %"," 13.04 %",""
"2020-03-26"," 21.43 %","  8.86 %","  3.85 %",""
"2020-03-27"," 23.53 %"," 22.09 %"," 37.04 %","   .00 %"
"2020-03-28"," 19.05 %"," 23.81 %"," 59.46 %",""
"2020-03-29","   .00 %","  8.46 %"," 11.86 %",""
"2020-03-30","  8.00 %"," 10.64 %"," 22.73 %",""
"2020-03-31"," 25.93 %"," 26.28 %","  8.64 %","   .00 %"
"2020-04-01"," 20.59 %"," 14.72 %"," 14.77 %",""
"2020-04-02","  4.88 %","  8.41 %","  3.96 %","   .00 %"
"2020-04-03"," 25.58 %"," 13.88 %"," 11.43 %","   .00 %"
"2020-04-04"," 25.93 %"," 43.37 %","  6.84 %","   .00 %"
"2020-04-05"," 26.47 %","  9.00 %"," 20.80 %","   .00 %"
"2020-04-06"," 48.84 %"," 13.76 %","  5.30 %","   .00 %"
"2020-04-07"," 14.84 %"," 15.12 %"," 32.08 %","   .00 %"
"2020-04-08"," 36.73 %"," 11.38 %"," 32.86 %","   .00 %"
"2020-04-09","  6.47 %"," 10.22 %","  5.38 %","   .00 %"
"2020-04-10","  7.48 %","  7.13 %"," 14.29 %","   .00 %"
"2020-04-11"," 10.87 %","  7.46 %"," 20.24 %"," 44.44 %"
"2020-04-12"," 10.20 %","  9.05 %"," 14.85 %","-##.## %"
"2020-04-13","  2.49 %","  4.43 %"," 18.75 %","   .00 %"
"2020-04-14"," 14.24 %","  3.05 %"," 15.97 %","   .00 %"
"2020-04-15","  4.86 %","  2.85 %","  6.10 %"," 54.55 %"
"2020-04-16","  2.03 %","  2.98 %","  2.95 %","   .00 %"
"2020-04-17","  9.09 %","  9.67 %"," 16.19 %"," 29.41 %"
"2020-04-18","  8.59 %","  9.55 %","  9.25 %"," 36.36 %"
"2020-04-19","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-20","  3.12 %","  1.99 %"," 19.07 %","  3.33 %"
"2020-04-21","  6.74 %","  6.02 %","  7.96 %"," -3.23 %"
"2020-04-22","  9.59 %","  3.76 %"," 15.63 %"," -6.67 %"
"2020-04-23","  7.16 %","  2.74 %","  4.56 %","-89.29 %"
"2020-04-24","  3.53 %","  6.98 %","  1.23 %"," 33.33 %"
"2020-04-25","  3.76 %","  1.21 %","  6.89 %","-25.00 %"
"2020-04-26","  7.94 %","  6.32 %"," 20.87 %"," ##.## %"
"2020-04-27","  4.32 %","  1.88 %","  3.83 %"," 22.22 %"
"2020-04-28"," 11.66 %","  4.42 %"," 13.05 %"," ##.## %"
"2020-04-29","  2.06 %","   .94 %","  2.60 %","-18.75 %"
"2020-04-30","  2.15 %","   .99 %","  2.17 %"," -3.85 %"
"2020-05-01","  1.84 %","  5.48 %","  3.43 %"," -4.00 %"
"2020-05-02","  2.59 %","  1.91 %","  2.92 %"," -8.33 %"
"2020-05-03","  3.53 %","  2.09 %","  4.32 %","  4.55 %"
"2020-05-04","  1.46 %","  1.63 %","  1.46 %","  4.35 %"
"2020-05-05","  1.68 %","  2.33 %","   .92 %","  4.17 %"
"2020-05-06","  5.19 %","  5.46 %","  9.68 %"," 44.00 %"
"2020-05-07","  6.06 %","  2.06 %","  2.53 %","-16.67 %"
"2020-05-08","  1.90 %","  2.54 %","  3.60 %"," -6.67 %"
"2020-05-09","  2.28 %","  4.17 %","  1.84 %"," -3.57 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-11","  5.99 %","  5.05 %","  3.38 %"," 48.15 %"
"2020-05-12","  1.53 %","  2.09 %","  3.69 %","-10.00 %"
"2020-05-13","  2.26 %","  2.30 %","  4.09 %","   .00 %"
"2020-05-14","  2.86 %","  2.56 %","  5.01 %"," 25.00 %"
"2020-05-15","  2.78 %","  2.30 %","  1.77 %"," -4.44 %"
"2020-05-16","  2.62 %","  1.83 %","  2.61 %","  6.98 %"
"2020-05-17","  1.79 %","   .56 %","  2.21 %"," 13.04 %"
"2020-05-18","  1.84 %","  2.09 %","  3.26 %"," -1.92 %"
"2020-05-19","  1.56 %","  3.91 %","  1.11 %"," -1.96 %"
"2020-05-20","  1.21 %","  3.09 %","  1.43 %"," -4.00 %"
"2020-05-21","  2.23 %","  4.09 %","  1.16 %"," -4.17 %"
"2020-05-22","  1.17 %","  2.59 %","  1.05 %"," 15.22 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-24","  3.40 %","  5.65 %","  1.36 %","  7.55 %"
"2020-05-25","  1.19 %","  3.84 %","   .37 %"," -3.51 %"
"2020-05-26","   .88 %","  2.10 %","   .34 %","  5.45 %"
"2020-05-27","   .44 %","   .57 %","   .19 %"," -6.90 %"
"2020-05-28","  1.31 %","  1.33 %","   .27 %"," -1.85 %"
"2020-05-29","   .65 %","  1.51 %","   .10 %"," -3.77 %"
"2020-05-30","  2.21 %","  2.59 %","  1.44 %","  1.96 %"
"2020-05-31","   .28 %","   .94 %","   .90 %"," -1.92 %"
"2020-06-01","   .28 %","  2.13 %","   .45 %","  7.84 %"
"2020-06-02","   .69 %","  1.17 %","   .63 %"," -3.64 %"
"2020-06-03","   .07 %","   .52 %","   .14 %","   .00 %"
"2020-06-04","   .21 %","   .56 %","   .21 %","   .00 %"
"2020-06-05","   .76 %","   .31 %","   .19 %"," -7.55 %"
"2020-06-06","  2.12 %","  1.47 %","   .46 %","-75.51 %"
"2020-06-07","  1.00 %","  1.88 %","   .09 %"," 25.00 %"
"2020-06-08","   .13 %","   .61 %","   .16 %","-26.67 %"
"2020-06-09","   .59 %","   .73 %","   .18 %","  9.09 %"
"2020-06-10","   .53 %","   .34 %","   .28 %"," 16.67 %"
"2020-06-11","   .85 %","   .77 %","   .14 %"," -7.14 %"
"2020-06-12","   .06 %","  1.27 %","   .23 %"," 23.08 %"
"2020-06-13","   .65 %","   .83 %","   .27 %"," -6.25 %"
"2020-06-14","   .19 %","   .66 %","   .11 %"," -6.67 %"
"2020-06-15","   .51 %","  1.35 %","   .23 %","   .00 %"
"2020-06-16","   .51 %","   .94 %","   .27 %"," 14.29 %"
"2020-06-17","   .38 %","   .82 %","   .02 %","-12.50 %"
"2020-06-18","   .32 %","  1.09 %","   .05 %","   .00 %"
"2020-06-19","  1.14 %","  1.16 %","   .88 %"," 21.43 %"
"2020-06-20","   .25 %","  1.04 %","   .38 %"," 11.76 %"
"2020-06-21","   .44 %","  1.71 %","   .18 %","  5.26 %"
"2020-06-22","   .43 %","   .75 %","   .13 %","-15.00 %"
"2020-06-23","   .25 %","   .32 %","   .18 %","   .00 %"
"2020-06-24","   .25 %","   .49 %","   .29 %"," 11.76 %"
"2020-06-25","   .12 %","  1.50 %","   .35 %"," 10.53 %"
"2020-06-26","   .31 %","  1.02 %","  -.42 %","  9.52 %"
"2020-06-27","  1.04 %","   .64 %","   .51 %"," 13.04 %"
"2020-06-28","   .67 %","  1.11 %","  1.45 %"," 15.38 %"
"2020-06-29","   .54 %","  2.15 %","   .63 %"," 20.00 %"
"2020-06-30","  1.08 %","   .68 %","   .95 %","  5.56 %"
"2020-07-01","   .53 %","   .28 %","   .19 %"," 10.53 %"
"2020-07-02","  1.00 %","  2.05 %","  1.90 %"," 26.19 %"
"2020-07-03","   .82 %","  1.81 %","  1.42 %"," 30.19 %"
"2020-07-04","   .29 %","  1.08 %","   .14 %","  5.80 %"
"2020-07-05","   .63 %","  1.20 %","  1.01 %"," 10.96 %"
"2020-07-06","   .86 %","  1.69 %","  1.00 %"," 12.35 %"
"2020-07-07","  1.31 %","  1.20 %","   .50 %","  7.69 %"
"2020-07-08","   .34 %","   .50 %","   .22 %","  3.06 %"
"2020-07-09","   .28 %","   .77 %","   .40 %","   .99 %"
"2020-07-10","  1.11 %","  1.10 %","   .74 %","  1.96 %"
"2020-07-11","   .77 %","   .77 %","   .61 %","  1.92 %"
"2020-07-12","  1.04 %","   .47 %","   .33 %"," -1.89 %"
"2020-07-13","   .49 %","   .66 %","   .51 %","  1.92 %"
"2020-07-14","   .43 %","  1.09 %","   .21 %","  7.55 %"
"2020-07-15","   .59 %","   .75 %","   .45 %","  2.63 %"
"2020-07-16","   .59 %","   .53 %","   .35 %","  3.42 %"
"2020-07-17","  4.82 %","   .78 %","  1.41 %"," 10.74 %"
"2020-07-18","   .86 %","   .79 %","   .38 %","  5.97 %"
"2020-07-19","   .25 %","   .70 %","   .76 %","  2.11 %"
"2020-07-20","   .65 %","   .91 %","   .55 %","  5.52 %"
"2020-07-21","   .20 %","  1.32 %","   .60 %","  3.27 %"
"2020-07-22","   .40 %","   .40 %","   .19 %","  1.90 %"
"2020-07-23","  1.63 %","  1.04 %","   .60 %","  1.24 %"
"2020-07-24","  2.14 %","  1.78 %","  1.87 %"," 12.88 %"
"2020-07-25","  -.52 %","   .09 %","  -.36 %"," -1.09 %"
"2020-07-26","  1.24 %","  1.03 %","   .33 %","  2.75 %"
"2020-07-27","   .38 %","  1.23 %","   .42 %","  2.67 %"
"2020-07-28","   .33 %","   .43 %","   .63 %","   .00 %"
"2020-07-29","   .47 %","  1.43 %","   .20 %","  5.73 %"
"2020-07-30","   .42 %","   .91 %","   .14 %","  4.43 %"
"2020-07-31","   .74 %","   .76 %","   .45 %","  3.30 %"
"2020-08-01","   .74 %","   .72 %","   .39 %","   .91 %"
"2020-08-02","   .73 %","   .37 %","   .46 %","  2.26 %"
"2020-08-03","   .73 %","  1.02 %","   .30 %","  1.33 %"
"2020-08-04","   .50 %","   .81 %","   .21 %","  1.31 %"
"2020-08-05","   .54 %","   .69 %","  1.64 %","  2.59 %"
"2020-08-06","   .40 %","   .71 %","   .14 %","   .84 %"
"2020-08-07","   .93 %","   .54 %","   .29 %","  1.67 %"
