"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-08-08","   .40 %","   .43 %","   .31 %","  -.41 %"
"2020-08-09","   .44 %","   .63 %","   .31 %","   .00 %"
"2020-08-10","   .31 %","   .51 %","   .15 %","  2.47 %"
"2020-08-11","   .52 %","   .46 %","   .32 %","   .40 %"
"2020-08-12","   .56 %","   .45 %","   .24 %","  2.40 %"
"2020-08-13","  3.58 %","   .96 %","   .80 %","   .78 %"
"2020-08-14","  2.54 %","   .96 %","  4.03 %","   .78 %"
"2020-08-15","   .49 %","   .54 %","   .08 %","  -.38 %"
"2020-08-16","   .40 %","   .45 %","   .15 %","   .77 %"
"2020-08-17","   .44 %","   .74 %","   .26 %","   .77 %"
"2020-08-18","   .28 %","   .49 %","   .19 %","   .38 %"
"2020-08-19","   .08 %","   .58 %","   .06 %","   .00 %"
"2020-08-20","   .80 %","   .57 %","   .13 %","  1.14 %"
"2020-08-21","   .16 %","   .42 %","   .23 %","   .75 %"
"2020-08-22","   .55 %","   .44 %","   .11 %","  1.12 %"
"2020-08-23","   .31 %","   .71 %","   .05 %","   .37 %"
"2020-08-24","   .08 %","   .50 %","   .06 %","   .73 %"
