"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","","","","","",""
"2020-03-23","","","","","",""
"2020-03-24","","","","","",""
"2020-03-25","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %"
"2020-03-31","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %"
"2020-04-01","   .00 %","   .00 %","   .00 %","   .00 %"," 41.67 %","   .00 %"
"2020-04-02","   .00 %","   .00 %","   .00 %","   .00 %"," 45.67 %","   .00 %"
"2020-04-03","   .00 %","   .00 %","   .00 %","   .00 %"," 34.00 %","   .00 %"
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %"," 32.79 %","   .00 %"
"2020-04-05","   .00 %","   .00 %","   .00 %","   .00 %"," 24.22 %","   .00 %"
"2020-04-06","   .00 %","   .00 %","   .00 %","   .00 %"," 21.03 %","   .00 %"
"2020-04-07","   .00 %","   .00 %","   .00 %","   .00 %"," 19.53 %","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %"," 24.91 %","   .00 %"
"2020-04-09","   .00 %","   .00 %","   .00 %","   .00 %"," 24.45 %","   .00 %"
"2020-04-10","   .00 %","   .00 %","   .00 %","   .00 %"," 13.02 %","   .00 %"
"2020-04-11","   .00 %","   .00 %","   .00 %","   .00 %"," 17.70 %","   .00 %"
"2020-04-12","   .00 %","   .00 %","   .00 %","   .00 %"," 17.85 %","   .00 %"
"2020-04-13","   .00 %","   .00 %","   .00 %","   .00 %"," 14.14 %","   .00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","   .00 %"," 14.81 %","   .00 %"
"2020-04-15","   .00 %","   .00 %","   .00 %","   .00 %"," 14.81 %","   .00 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %"," 10.13 %","   .00 %"
"2020-04-17","   .00 %","   .00 %","   .00 %","   .00 %"," 14.87 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","   .00 %","   .00 %"," 18.17 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","   .00 %","   .00 %"," 14.44 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","   .00 %"," 15.12 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","   .00 %","   .00 %"," 15.41 %","   .00 %"
"2020-04-22","   .00 %","   .00 %","   .00 %","   .00 %","  9.22 %","   .00 %"
"2020-04-23","   .00 %","   .00 %","   .00 %","-20.00 %","  7.15 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","   .00 %","-20.00 %","  6.59 %","   .00 %"
"2020-04-25","   .00 %","   .00 %","   .00 %","-20.00 %","  7.19 %","   .00 %"
"2020-04-26","   .00 %","   .00 %","   .00 %","-20.00 %","  6.11 %","   .00 %"
"2020-04-27","   .00 %","   .00 %","   .00 %","-20.00 %","  5.54 %","   .00 %"
"2020-04-28","   .00 %","   .00 %","   .00 %","   .00 %","  4.82 %","   .00 %"
"2020-04-29","   .00 %","   .00 %","   .00 %","   .00 %","  4.45 %","   .00 %"
"2020-04-30","   .00 %","   .00 %","   .00 %","   .00 %","  4.36 %","   .00 %"
"2020-05-01","   .00 %","   .00 %","   .00 %","   .00 %","  4.31 %","   .00 %"
"2020-05-02","   .00 %","   .00 %","   .00 %","   .00 %","  4.91 %","   .00 %"
"2020-05-03","   .00 %","   .00 %","   .00 %","   .00 %","  6.02 %","   .00 %"
"2020-05-04","   .00 %","   .00 %","   .00 %","   .00 %","  6.33 %","   .00 %"
"2020-05-05","   .00 %","   .00 %","   .00 %","   .00 %","  5.95 %","   .00 %"
"2020-05-06","   .00 %","   .00 %","   .00 %","   .00 %","  5.82 %","   .00 %"
"2020-05-07","   .00 %","   .00 %","   .00 %","   .00 %","  5.57 %","   .00 %"
"2020-05-08","   .00 %","   .00 %","   .00 %","   .00 %","  4.52 %","   .00 %"
"2020-05-09","   .00 %","   .00 %","   .00 %","   .00 %","  4.16 %","   .00 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %","  3.53 %","   .00 %"
"2020-05-11","   .00 %","   .00 %","   .00 %","   .00 %","  3.06 %","   .00 %"
"2020-05-12","   .00 %","   .00 %","   .00 %","   .00 %","  2.74 %","   .00 %"
"2020-05-13","   .00 %","   .00 %","   .00 %","   .00 %","  2.98 %","   .00 %"
"2020-05-14","   .00 %","   .00 %","   .00 %","   .00 %","  2.29 %","   .00 %"
"2020-05-15","   .00 %","   .00 %","   .00 %","   .00 %","  2.57 %","   .00 %"
"2020-05-16","   .00 %","   .00 %","   .00 %","   .00 %","  2.61 %","   .00 %"
"2020-05-17","   .00 %","   .00 %","   .00 %","   .00 %","  2.37 %","   .00 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .00 %","  1.84 %","   .00 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .00 %","  2.60 %","   .00 %"
"2020-05-20","   .00 %","   .00 %","   .00 %","   .00 %","  2.36 %","   .00 %"
"2020-05-21","   .00 %","   .00 %","   .00 %","   .00 %","  2.61 %","   .00 %"
"2020-05-22","   .00 %","   .00 %","   .00 %","   .00 %","  3.03 %","   .00 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %","  3.37 %","   .00 %"
"2020-05-24","   .00 %","   .00 %","   .00 %","   .00 %","  2.71 %","   .00 %"
"2020-05-25","   .00 %","   .00 %","   .00 %","   .00 %","  2.49 %","   .00 %"
"2020-05-26","   .00 %","   .00 %","   .00 %","   .00 %","  2.67 %","   .00 %"
"2020-05-27","   .00 %","   .00 %","   .00 %","   .00 %","  2.51 %","   .00 %"
"2020-05-28","   .00 %","   .00 %","   .00 %","   .00 %","  2.56 %","   .00 %"
"2020-05-29","   .00 %","   .00 %","   .00 %","   .00 %","  2.66 %","   .00 %"
"2020-05-30","   .00 %","   .00 %","   .00 %","   .00 %","  3.18 %","   .00 %"
"2020-05-31","   .00 %","   .00 %","   .00 %","   .00 %","  2.52 %","   .00 %"
"2020-06-01","   .00 %","   .00 %","   .00 %","   .00 %","  1.92 %","   .00 %"
"2020-06-02","   .00 %","   .00 %","   .00 %","   .00 %","  1.58 %","   .00 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","  1.38 %","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","  1.24 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","  1.46 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","  1.41 %","   .00 %"
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","  1.07 %","   .00 %"
