"date","Michigan/Alcona","Michigan/Alger","Michigan/Allegan","Michigan/Alpena","Michigan/Antrim","Michigan/Arenac","Michigan/Baraga","Michigan/Barry","Michigan/Bay","Michigan/Benzie","Michigan/Berrien","Michigan/Branch","Michigan/Calhoun","Michigan/Cass","Michigan/Charlevoix","Michigan/Cheboygan","Michigan/Chippewa","Michigan/Clare","Michigan/Clinton","Michigan/Crawford","Michigan/Delta","Michigan/Dickinson","Michigan/Eaton","Michigan/Emmet","Michigan/Federal Correctional Institution (FCI)","Michigan/Genesee","Michigan/Gladwin","Michigan/Gogebic","Michigan/Grand Traverse","Michigan/Gratiot","Michigan/Hillsdale","Michigan/Houghton","Michigan/Huron","Michigan/Ingham","Michigan/Ionia","Michigan/Iosco","Michigan/Iron","Michigan/Isabella","Michigan/Jackson","Michigan/Kalamazoo","Michigan/Kalkaska","Michigan/Kent","Michigan/Keweenaw","Michigan/Lake","Michigan/Lapeer","Michigan/Leelanau","Michigan/Lenawee","Michigan/Livingston","Michigan/Luce","Michigan/Mackinac","Michigan/Macomb","Michigan/Manistee","Michigan/Marquette","Michigan/Mason","Michigan/Mecosta","Michigan/Menominee","Michigan/Michigan Department of Corrections (MDOC)","Michigan/Midland","Michigan/Missaukee","Michigan/Monroe","Michigan/Montcalm","Michigan/Montmorency","Michigan/Muskegon","Michigan/Newaygo","Michigan/Oakland","Michigan/Oceana","Michigan/Ogemaw","Michigan/Ontonagon","Michigan/Osceola","Michigan/Oscoda","Michigan/Otsego","Michigan/Ottawa","Michigan/Out of MI","Michigan/Presque Isle","Michigan/Roscommon","Michigan/Saginaw","Michigan/Sanilac","Michigan/Schoolcraft","Michigan/Shiawassee","Michigan/St. Clair","Michigan/St. Joseph","Michigan/Tuscola","Michigan/Unassigned","Michigan/Van Buren","Michigan/Washtenaw","Michigan/Wayne","Michigan/Wexford"
"2020-03-22","0","0","1","0","0","0","0","1","1","0","3","0","2","0","2","0","0","1","2","0","0","0","2","1","","14","1","0","1","0","0","0","0","11","0","0","0","0","1","0","0","22","0","0","0","1","0","8","0","0","140","0","0","0","0","0","","5","0","6","1","0","0","0","277","0","0","0","0","0","1","6","","0","1","2","0","0","0","7","0","1","","0","35","477","1"
"2020-03-23","0","0","1","0","0","0","0","1","2","0","5","0","3","0","2","0","1","1","2","0","0","0","2","1","","23","1","0","1","0","0","0","0","12","0","0","0","0","1","3","0","28","0","0","0","1","0","9","0","0","175","0","0","0","0","0","","5","0","7","1","0","1","1","329","0","0","0","0","0","3","11","4","0","1","2","0","0","0","7","0","1","","0","42","638","1"
"2020-03-24","0","0","1","0","0","0","0","1","2","0","8","0","4","0","3","0","1","1","5","0","0","0","3","2","","34","2","0","3","0","1","0","0","15","0","0","0","2","6","3","1","31","0","0","1","1","0","13","0","0","225","1","1","0","0","0","","5","0","12","1","0","3","2","428","0","0","0","0","0","5","15","6","0","1","8","0","0","0","8","0","1","","0","50","876","1"
"2020-03-25","0","0","1","0","0","0","0","1","3","0","10","0","6","0","4","0","1","1","6","0","0","0","3","2","","46","2","0","3","0","2","0","0","18","0","1","0","2","12","5","2","36","0","0","1","1","3","16","1","0","281","1","1","0","0","0","","6","0","18","2","0","3","2","543","0","0","0","0","0","6","16","7","0","1","9","2","0","0","10","0","2","","2","72","1122","1"
"2020-03-26","0","0","1","0","0","0","0","1","4","0","11","0","7","1","4","0","1","1","7","0","0","0","4","2","","63","2","0","3","0","5","0","0","22","2","1","0","3","17","10","2","41","0","0","3","1","5","21","0","0","347","1","1","0","1","0","","6","1","21","3","0","3","2","668","1","1","0","0","0","7","18","7","0","1","10","1","0","1","13","0","2","","2","92","1389","1"
"2020-03-27","0","0","1","0","0","0","0","1","4","0","18","0","9","1","4","0","1","1","8","1","0","0","8","3","","91","2","1","3","1","6","0","1","26","2","1","0","4","16","11","4","45","0","0","4","1","8","31","0","0","404","1","1","0","1","0","","8","1","28","3","0","6","1","824","1","1","0","0","0","7","21","8","0","1","14","2","0","2","15","0","2","","3","150","1810","1"
"2020-03-28","0","0","2","0","0","0","0","1","4","0","22","0","11","2","4","0","0","1","13","1","0","0","8","4","","110","2","1","5","2","7","0","1","32","2","1","0","4","20","15","4","53","0","0","4","1","11","41","0","0","534","1","1","0","1","0","","8","1","34","3","0","7","1","1018","1","1","0","1","0","14","23","15","0","1","19","2","0","2","16","0","4","47","4","185","2316","1"
"2020-03-29","0","0","2","0","0","0","0","1","5","0","29","0","15","4","4","1","0","1","14","1","0","0","8","4","","127","3","1","6","3","10","0","3","43","2","1","0","4","24","19","4","72","0","0","4","1","15","59","0","0","620","1","2","0","1","0","","8","1","38","3","0","13","1","1170","2","1","0","2","0","17","25","18","0","1","24","2","0","5","20","0","4","77","4","233","2704","1"
"2020-03-30","0","0","2","0","2","0","0","1","9","0","32","0","17","4","4","1","0","1","19","1","1","0","15","4","","150","2","1","7","3","12","1","3","73","4","1","0","5","37","24","5","96","0","0","6","1","15","64","0","0","728","1","3","0","2","0","","9","1","45","4","0","18","1","1365","2","4","0","2","0","17","28","17","0","1","36","5","0","8","25","3","5","78","4","266","3195","2"
"2020-03-31","","","3","","3","1","","2","9","","35","2","17","4","4","1","1","1","24","1","1","0","21","5","","185","2","2","7","3","14","1","3","91","4","1","","6","47","24","7","108","","","8","1","18","80","","","853","1","4","","3","","","10","1","49","5","","18","1","1591","2","1","","2","2","19","31","20","","1","51","7","1","8","32","4","9","93","7","305","3735","2"
"2020-04-01","","","5","","4","1","","2","10","","38","2","23","6","4","2","1","1","33","1","3","0","27","7","","249","2","2","8","3","19","1","3","121","6","1","","7","56","30","7","119","","","8","1","22","102","","1","1088","1","4","","3","","","12","1","58","10","","18","1","1910","2","1","","2","2","19","31","42","","1","71","7","0","11","41","5","11","142","10","401","4470","2"
"2020-04-02","","","5","","4","1","","4","16","","40","5","25","6","5","3","1","1","43","1","4","1","37","6","","349","2","3","9","5","24","1","4","128","5","1","","8","67","34","7","125","","","21","1","24","113","","1","1332","1","5","","3","","","15","1","79","10","","26","2","2183","2","2","","3","2","19","35","48","","1","82","8","0","17","53","8","14","178","12","438","5069","3"
"2020-04-03","","","6","","4","2","","5","18","","52","6","31","6","5","6","1","2","49","1","5","1","47","6","","422","2","3","11","5","26","1","4","152","6","1","","9","69","40","8","136","","","22","1","24","121","1","2","1560","1","7","","4","","","16","1","95","12","","30","2","2540","3","2","","3","2","20","37","74","1","2","90","10","","18","66","10","15","215","12","477","6096","4"
"2020-04-04","","","10","","4","3","","5","24","","56","10","34","6","7","7","1","1","54","1","5","1","53","7","","464","3","3","12","4","37","2","4","168","6","2","","10","81","45","8","153","","","27","1","27","129","1","2","1838","4","11","","4","","","17","1","101","13","","31","2","2785","3","2","","4","2","22","39","83","","2","103","13","","22","85","9","20","252","12","501","6762","4"
"2020-04-05","","","14","","4","3","","6","30","1","58","13","42","7","7","8","2","1","55","1","7","1","55","13","","504","4","3","12","4","44","1","4","172","8","3","","12","90","53","8","165","","","45","1","31","135","1","2","2003","4","14","","6","","","18","1","108","14","","31","2","3035","3","3","1","3","2","24","44","83","0","5","118","13","0","23","94","10","22","349","14","518","7518","5"
"2020-04-06","","","15","","5","3","","7","30","0","60","15","41","7","8","8","1","3","56","2","7","2","57","13","","568","4","3","14","5","46","1","4","178","8","3","","16","103","58","8","177","","","49","2","32","143","1","2","2159","6","15","","6","","","22","1","117","15","","33","2","3380","3","3","1","3","2","26","44","91","1","5","139","14","0","24","110","11","22","371","16","539","8270","5"
"2020-04-07","","","18","","6","3","","7","31","0","64","16","43","9","8","10","1","2","73","5","7","2","61","14","","638","4","3","15","6","55","1","4","189","9","4","","22","114","64","10","187","","","56","3","32","155","1","3","2414","9","19","1","8","","","22","1","129","16","","41","3","3736","3","3","0","3","2","28","52","118","1","6","153","17","0","24","129","14","26","409","17","559","9045","7"
