"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","","","","","",""
"2020-03-23","","","","","",""
"2020-03-24","","","","","",""
"2020-03-25","","","","","",""
"2020-03-26","  -.71 %","  5.71 %","  9.17 %"," 23.11 %"," 72.75 %"," 11.11 %"
"2020-03-27","  -.71 %","  5.71 %","  9.17 %"," 23.11 %"," 95.78 %"," 11.11 %"
"2020-03-28","-15.00 %","  5.71 %","  6.67 %"," 15.00 %"," ##.## %"," 11.11 %"
"2020-03-29","  5.00 %"," 45.71 %"," 18.33 %"," 29.29 %"," 32.07 %"," 23.97 %"
"2020-03-30","  5.00 %"," 45.71 %"," 18.33 %"," 29.29 %"," 65.12 %"," 23.97 %"
"2020-03-31"," 23.33 %"," 42.96 %"," 15.88 %"," 20.95 %"," 65.35 %"," 17.20 %"
"2020-04-01"," 29.05 %"," 48.12 %"," 15.88 %"," 29.89 %"," 39.71 %"," 15.06 %"
"2020-04-02"," 32.38 %"," 58.38 %"," 24.57 %"," 37.67 %"," 19.57 %"," 22.26 %"
"2020-04-03"," 12.38 %"," 18.38 %"," 12.91 %"," 23.38 %"," 45.41 %","  9.40 %"
"2020-04-04"," 12.38 %"," 18.38 %"," 12.91 %"," 23.38 %"," 18.43 %","  9.40 %"
"2020-04-05"," 11.90 %"," 23.21 %"," 12.33 %"," 20.21 %"," 16.66 %"," 13.29 %"
"2020-04-06","  7.02 %"," 20.49 %"," 13.87 %"," 13.18 %"," 27.16 %"," 17.52 %"
"2020-04-07","  5.29 %"," 13.06 %","  9.94 %","  8.53 %"," 38.43 %"," 16.73 %"
"2020-04-08","  8.25 %"," 19.16 %"," 11.48 %"," 15.28 %"," 17.45 %"," 31.02 %"
"2020-04-09","  8.25 %"," 19.16 %"," 11.48 %"," 15.28 %"," 24.66 %"," 31.02 %"
"2020-04-10","  9.27 %"," 13.40 %","  7.84 %"," 14.75 %"," 19.72 %"," 22.78 %"
"2020-04-11","  9.52 %"," 13.35 %"," 12.73 %"," 19.60 %"," 23.63 %"," 24.03 %"
"2020-04-12","  7.92 %"," 10.52 %","  7.97 %"," 16.47 %"," 32.10 %"," 17.62 %"
"2020-04-13","  4.95 %","  4.43 %","  6.43 %","  9.72 %"," 36.58 %","  3.33 %"
"2020-04-14","  4.95 %","  4.43 %","  6.43 %","  9.72 %"," 28.51 %","  3.33 %"
"2020-04-15","  6.21 %"," 11.26 %"," 11.56 %"," 17.39 %"," 23.45 %","  5.05 %"
"2020-04-16","  5.54 %","  9.29 %","  5.35 %"," 11.80 %"," 15.49 %","  3.03 %"
"2020-04-17","  8.34 %"," 13.30 %","  7.27 %"," 17.89 %","  3.27 %"," 10.81 %"
"2020-04-18","  8.34 %"," 13.30 %","  7.27 %"," 17.89 %"," 12.29 %","  7.07 %"
"2020-04-19","  9.04 %"," 14.44 %","  7.27 %"," 20.19 %"," -1.88 %","  7.18 %"
"2020-04-20","  6.62 %","  8.73 %","  2.91 %"," 12.73 %","  5.09 %","  6.99 %"
"2020-04-21","  6.51 %","  9.41 %","  3.25 %"," 12.91 %","  4.45 %","  6.79 %"
"2020-04-22","  9.59 %","  6.74 %","  2.06 %","  8.63 %","  4.84 %","  4.65 %"
"2020-04-23"," 11.19 %","  7.71 %","  2.59 %"," 10.03 %"," -1.70 %","  7.49 %"
"2020-04-24"," 11.96 %","  8.15 %","  3.79 %","  8.90 %","  2.83 %","  8.63 %"
"2020-04-25"," 10.23 %","  6.27 %","  3.98 %","  7.09 %","  7.28 %","  7.85 %"
"2020-04-26"," 10.68 %","  6.39 %","  4.19 %","  7.16 %","  2.57 %","  7.44 %"
"2020-04-27","  5.51 %","  6.53 %","  3.90 %","  5.97 %","  5.59 %","  2.55 %"
"2020-04-28","  3.92 %","  5.87 %","  3.38 %","  4.90 %","  4.95 %","  4.11 %"
"2020-04-29","  7.67 %","  5.13 %","  3.63 %","  5.36 %","  -.74 %","  3.56 %"
"2020-04-30","  6.41 %","  4.65 %","  2.80 %","  5.08 %"," -1.50 %","  3.20 %"
"2020-05-01","  5.52 %","  3.95 %","  2.83 %","  4.58 %","   .30 %","  3.34 %"
"2020-05-02","  5.08 %","  3.63 %","  2.52 %","  4.70 %","   .07 %","  2.93 %"
"2020-05-03","  6.19 %","  3.97 %","  2.78 %","  4.96 %"," -2.76 %","  2.61 %"
"2020-05-04","  1.24 %","  3.30 %","  1.71 %","  3.66 %","  1.30 %","  2.30 %"
"2020-05-05","  1.52 %","  2.50 %","  1.57 %","  2.57 %","  5.85 %","  1.93 %"
"2020-05-06","  1.66 %","  1.98 %","   .77 %","  1.66 %","  9.38 %","  1.08 %"
"2020-05-07","  1.37 %","   .82 %","   .64 %","   .92 %"," 12.55 %","   .74 %"
"2020-05-08","   .26 %","   .17 %","   .38 %","   .31 %"," 16.00 %","   .39 %"
"2020-05-09","   .00 %","   .00 %","   .00 %","   .00 %"," 17.00 %","   .00 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %"," 14.34 %","   .00 %"
"2020-05-11","  2.21 %","  4.44 %","  2.61 %","  4.30 %"," -1.10 %","  2.37 %"
"2020-05-12","  2.32 %","  4.23 %","  2.94 %","  4.59 %"," -4.26 %","  2.62 %"
"2020-05-13","  2.32 %","  5.01 %","  4.24 %","  5.30 %"," -9.27 %","  3.30 %"
"2020-05-14","  2.32 %","  5.01 %","  4.24 %","  5.30 %"," -7.67 %","  3.30 %"
"2020-05-15","  2.32 %","  5.01 %","  4.24 %","  5.30 %"," -6.67 %","  3.30 %"
"2020-05-16","   .12 %","   .57 %","  1.63 %","  1.00 %","  7.93 %","   .93 %"
"2020-05-17","   .00 %","   .78 %","  1.30 %","   .71 %"," 10.16 %","   .68 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .00 %"," 13.98 %","   .00 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .00 %"," 12.07 %","   .00 %"
"2020-05-20","  3.02 %","  1.70 %","   .91 %","  1.90 %","  3.16 %","  1.74 %"
"2020-05-21","  3.63 %","  2.03 %","  1.20 %","  2.27 %","   .11 %","  2.13 %"
"2020-05-22","  4.12 %","  2.26 %","  1.49 %","  2.58 %"," -3.13 %","  2.60 %"
"2020-05-23","  4.50 %","  2.66 %","  2.81 %","  2.97 %"," -4.73 %","  2.72 %"
"2020-05-24","  4.50 %","  2.82 %","  2.99 %","  3.13 %"," -6.09 %","  2.76 %"
"2020-05-25","  1.48 %","  1.13 %","  2.08 %","  1.24 %","  -.49 %","  1.02 %"
"2020-05-26","   .87 %","   .79 %","  1.78 %","   .87 %","  1.46 %","   .63 %"
"2020-05-27","  1.32 %","   .94 %","  2.11 %","  1.06 %","  -.23 %","   .45 %"
"2020-05-28","   .85 %","   .65 %","   .96 %","   .84 %","   .58 %","   .45 %"
"2020-05-29","  1.03 %","   .76 %","  1.37 %","   .83 %","   .80 %","   .53 %"
"2020-05-30","  1.03 %","   .76 %","  1.37 %","   .83 %","  3.15 %","   .53 %"
