"date","Oregon/Baker","Oregon/Benton","Oregon/Clackamas","Oregon/Clatsop","Oregon/Columbia","Oregon/Coos","Oregon/Crook","Oregon/Curry","Oregon/Deschutes","Oregon/Douglas","Oregon/Gilliam","Oregon/Grant","Oregon/Harney","Oregon/Hood River","Oregon/Jackson","Oregon/Jefferson","Oregon/Josephine","Oregon/Klamath","Oregon/Lake","Oregon/Lane","Oregon/Lincoln","Oregon/Linn","Oregon/Malheur","Oregon/Marion","Oregon/Morrow","Oregon/Multnomah","Oregon/Polk","Oregon/Sherman","Oregon/Tillamook","Oregon/Umatilla","Oregon/Unassigned","Oregon/Union","Oregon/Wallowa","Oregon/Wasco","Oregon/Washington","Oregon/Wheeler","Oregon/Yamhill"
"2020-03-22","0","4","12","0","0","0","0","0","10","1","0","1","0","0","2","0","1","1","0","4","0","19","0","22","0","19","1","0","0","2","","1","0","0","55","0","6"
"2020-03-23","0","4","14","0","0","0","0","0","10","1","0","1","0","1","2","0","1","1","0","4","0","20","0","30","0","21","3","0","0","2","","1","0","0","69","0","6"
"2020-03-24","0","4","17","1","0","0","0","0","10","1","0","1","0","1","3","0","1","1","0","4","0","21","0","32","0","25","3","0","0","2","","1","0","0","76","0","6"
"2020-03-25","0","6","21","1","0","0","0","0","10","3","0","1","0","1","4","0","2","1","0","5","1","25","0","43","0","33","3","0","0","2","","1","0","0","96","0","7"
"2020-03-26","0","6","21","2","0","0","0","0","15","3","0","1","0","1","4","0","4","1","0","7","1","26","0","57","0","45","6","0","1","2","","1","0","1","104","0","7"
"2020-03-27","0","6","31","2","1","0","0","0","18","4","0","1","0","1","6","0","4","2","0","10","1","28","0","83","1","67","10","0","1","3","","1","0","2","122","0","11"
"2020-03-28","0","8","36","3","1","0","0","0","20","4","0","1","0","1","8","0","5","2","0","9","1","32","0","94","1","81","11","0","1","4","","1","0","2","140","0","13"
"2020-03-29","0","8","39","3","1","0","0","0","23","4","0","1","0","2","19","0","6","4","0","10","1","36","0","109","1","91","13","0","2","4","","1","0","3","154","0","13"
"2020-03-30","0","9","40","3","1","0","0","0","25","8","0","1","0","2","20","0","10","4","0","12","1","36","0","123","1","100","15","0","3","4","","1","0","5","168","0","14"
"2020-03-31","","12","50","3","1","","","","24","9","","1","","3","21","","10","5","","16","2","37","1","141","1","116","18","","3","5","","1","1","7","186","","16"
"2020-04-01","","13","56","3","1","","","","27","10","","1","","2","22","","10","5","","18","3","37","1","151","1","134","18","","3","5","","1","1","7","189","","17"
"2020-04-02","","15","61","3","1","","","","32","9","","1","","3","27","","12","8","","21","4","37","1","164","1","160","18","","3","5","","3","1","7","211","","18"
"2020-04-03","","17","66","4","1","","1","","36","9","","1","","3","27","","12","13","","21","4","37","2","178","2","175","20","","3","5","","3","1","7","228","","23"
"2020-04-04","","17","66","4","1","","1","","36","9","","1","","3","27","","12","13","","21","4","37","2","178","2","175","20","","3","5","","3","1","7","228","","23"
"2020-04-05","","19","84","4","6","","1","","39","11","","1","","2","33","","13","15","","27","4","43","2","198","2","233","24","1","3","7","","3","1","7","259","","26"
"2020-04-06","","19","84","4","6","","1","","39","11","","1","","2","33","","13","15","","27","4","43","2","198","2","233","24","1","3","7","","3","1","7","259","","26"
"2020-04-07","","21","90","4","8","","1","2","40","12","","1","","2","39","","16","18","","29","4","44","2","209","2","243","26","1","3","8","","3","1","7","271","","25"
"2020-04-08","","21","97","5","8","","1","2","44","12","","1","","2","39","","16","19","","30","4","45","2","215","2","258","28","1","3","8","","3","1","7","282","","25"
"2020-04-09","","21","109","5","10","","1","3","50","12","","1","","3","44","","16","20","","33","4","49","2","235","5","302","29","1","4","11","0","3","1","7","311","","29"
"2020-04-10","","21","109","5","10","","1","3","50","12","","1","","3","44","","16","20","","33","4","49","2","235","5","302","29","1","4","11","0","4","1","7","311","","29"
"2020-04-11","","21","116","6","10","","1","3","51","12","","1","","4","44","","17","24","","34","4","49","2","246","5","317","29","1","4","11","","3","1","7","320","","28"
"2020-04-12","","23","125","6","10","","1","3","54","14","","1","","4","46","","18","25","","37","4","52","4","276","5","374","30","1","4","16","1","4","1","10","348","","30"
"2020-04-13","","23","132","6","12","1","1","3","54","16","","1","","4","47","","19","25","","41","4","52","4","280","5","398","30","1","4","16","0","4","1","10","360","","30"
"2020-04-14","","24","135","6","11","1","1","3","55","19","","1","","4","47","1","19","26","","42","4","52","4","289","5","420","30","1","5","16","0","4","1","10","365","","32"
"2020-04-15","","25","142","6","14","1","1","3","55","20","","1","","4","47","1","19","26","","44","4","53","4","294","5","430","30","1","5","17","0","4","1","10","364","","32"
"2020-04-16","","27","150","6","14","1","1","3","59","22","","1","","4","47","1","19","29","","45","4","54","5","309","5","448","30","1","5","22","0","4","1","10","376","","33"
"2020-04-17","","27","153","6","14","1","1","3","61","22","","1","","4","48","1","19","29","","46","4","57","5","317","5","467","31","1","6","23","0","4","1","10","383","","35"
"2020-04-18","","27","154","6","14","1","1","4","63","22","","1","","4","49","1","19","31","","46","4","59","5","335","5","493","32","1","6","25","0","4","1","10","387","","34"
"2020-04-19","","27","161","6","14","1","1","4","64","22","","1","","4","49","1","19","30","","48","4","59","5","358","5","514","32","1","6","26","0","4","1","10","399","","34"
"2020-04-20","","28","171","6","14","1","1","4","64","23","","1","","4","49","1","19","31","","48","5","61","5","371","5","520","33","1","6","27","0","4","1","10","408","","35"
"2020-04-21","","28","173","6","14","2","1","4","64","23","","1","","4","48","1","19","33","","48","5","62","5","381","5","542","33","1","6","29","0","4","1","11","415","","35"
"2020-04-22","","27","183","6","14","3","1","4","66","23","","1","","4","48","2","19","33","","48","5","63","5","388","5","566","33","1","6","29","0","4","1","11","425","","35"
"2020-04-23","","27","191","6","14","4","1","4","70","24","","1","","5","48","2","19","36","","48","5","67","6","397","5","582","33","1","6","30","0","4","1","12","443","","35"
"2020-04-24","","27","196","6","14","4","1","4","70","23","","1","","5","48","2","19","36","","50","5","67","6","417","5","596","33","1","6","32","0","4","1","12","451","","35"
"2020-04-25","","28","201","6","14","8","1","4","71","23","","1","","5","49","5","19","36","","50","5","71","6","432","5","623","37","1","6","35","0","4","1","12","459","","35"
"2020-04-26","","29","204","6","14","12","1","4","73","23","","1","","5","49","6","20","36","","50","5","74","6","436","5","652","38","1","6","36","0","4","1","12","466","","36"
"2020-04-27","","29","204","6","14","14","1","4","75","23","","1","","5","49","6","20","36","","50","5","79","7","447","5","664","38","1","6","36","0","4","1","12","475","","37"
"2020-04-28","","29","205","6","14","15","1","4","75","23","","1","1","5","49","6","20","37","","50","5","81","7","456","6","677","38","1","6","37","0","4","1","13","474","","38"
"2020-04-29","","29","206","6","14","15","1","4","75","23","","1","1","6","49","10","20","37","","50","5","82","7","474","6","696","39","1","6","45","0","4","1","13","481","","39"
"2020-04-30","","30","214","6","14","20","1","4","76","23","","1","1","6","49","10","20","38","","50","5","86","8","491","6","707","39","1","6","50","0","4","1","13","491","","39"
"2020-05-01","","32","222","7","14","21","1","4","76","24","","1","1","6","49","10","21","39","","50","5","87","10","508","8","720","42","1","6","57","0","4","1","13","500","","39"
"2020-05-02","","32","224","7","14","21","1","4","78","24","","1","1","7","49","13","21","39","","54","5","87","12","523","9","734","41","1","6","61","0","4","1","13","509","","39"
