"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-04-01","","   .00 %","","","","","   .00 %"," 10.34 %","  6.25 %","","","   .00 %","   .00 %","","","   .00 %",""," ##.## %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %",""," 27.27 %","","","","","","   .00 %"," 33.33 %",""," 50.00 %"
"2020-04-02","","   .00 %","","","","","   .00 %","   .00 %"," 26.47 %","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","","   .00 %","   .00 %","","","","-##.## %","","","   .00 %",""," 28.57 %","","","","","   .00 %","   .00 %","  8.33 %",""," 33.33 %"
"2020-04-03","","   .00 %","","","","","   .00 %","   .00 %","  6.98 %","","","   .00 %","   .00 %","   .00 %","","   .00 %",""," 20.00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %",""," 14.29 %"," 37.50 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","  5.56 %","","","","","   .00 %","   .00 %","  7.69 %",""," 25.00 %"
"2020-04-04","","   .00 %","","","","","   .00 %","  6.25 %","  4.35 %","","","   .00 %","   .00 %","   .00 %","","   .00 %",""," 66.67 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 18.18 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"," 15.79 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-05","","   .00 %","","","","","   .00 %","  8.82 %"," 12.50 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 10.00 %","   .00 %","","","","","","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," 46.15 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %"," 13.64 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-06","","   .00 %","","","","","   .00 %","  2.70 %"," 20.37 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.25 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," ##.## %","   .00 %","","","","","   .00 %"," ##.## %"," 14.29 %","","   .00 %"
"2020-04-07","","   .00 %","","","","   .00 %","   .00 %","  2.63 %","  7.69 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","  5.88 %","  5.26 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 50.00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-08","","   .00 %","","","","   .00 %","   .00 %","  7.69 %"," 10.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %"," 12.00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-09","","   .00 %","","","","   .00 %","   .00 %","  9.52 %","  7.79 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","  5.56 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","  3.57 %","","   .00 %","","","   .00 %","   .00 %"," 18.75 %",""," 20.00 %"
"2020-04-10","","   .00 %","","","","   .00 %","   .00 %","  4.35 %","  6.02 %","","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-11","","   .00 %","","","","   .00 %","   .00 %","  2.08 %","  7.95 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %","","   .00 %","","   .00 %","   .00 %","",""," ##.## %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.45 %","","   .00 %","","","","   .00 %","  5.26 %",""," 33.33 %"
"2020-04-12","","   .00 %","","","","   .00 %","   .00 %","  2.04 %"," 12.63 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  6.67 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-13","","   .00 %","","","","   .00 %","   .00 %","  2.00 %","  8.41 %","","","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","  5.26 %"," 28.57 %","","   .00 %","","   .00 %","   .00 %","",""," 50.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  6.25 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-14","","   .00 %","","","","   .00 %","   .00 %","  1.96 %","  6.03 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  9.09 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-15","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  9.76 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 66.67 %","   .00 %","","","","","","   .00 %","   .00 %"," 12.50 %"," 50.00 %","   .00 %","   .00 %","  7.41 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-16","","   .00 %","","","","   .00 %","   .00 %","  3.85 %"," 12.59 %","","","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %",""," 15.00 %","   .00 %","","","","","","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""," 33.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","  8.82 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-17","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-18",""," 50.00 %","","","","   .00 %","   .00 %"," 12.96 %"," 29.61 %","","","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""," 25.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.70 %","","   .00 %","","","","   .00 %","   .00 %",""," 25.00 %"
"2020-04-19","","   .00 %","","","","   .00 %","   .00 %","  3.28 %","  7.61 %","","","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %",""," 34.34 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %","  3.45 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.63 %","","   .00 %","","","","   .00 %","   .00 %","","-10.00 %"
"2020-04-20","","   .00 %","","","","   .00 %","   .00 %","   .00 %"," 16.04 %","","","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","","  3.76 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""," ##.## %","","","","   .00 %","   .00 %","","   .00 %"
