"date","Wisconsin/Adams","Wisconsin/Ashland","Wisconsin/Barron","Wisconsin/Bayfield","Wisconsin/Brown","Wisconsin/Buffalo","Wisconsin/Burnett","Wisconsin/Calumet","Wisconsin/Chippewa","Wisconsin/Clark","Wisconsin/Columbia","Wisconsin/Crawford","Wisconsin/Dane","Wisconsin/Dodge","Wisconsin/Door","Wisconsin/Douglas","Wisconsin/Dunn","Wisconsin/Eau Claire","Wisconsin/Florence","Wisconsin/Fond du Lac","Wisconsin/Forest","Wisconsin/Grant","Wisconsin/Green","Wisconsin/Green Lake","Wisconsin/Iowa","Wisconsin/Iron","Wisconsin/Jackson","Wisconsin/Jefferson","Wisconsin/Juneau","Wisconsin/Kenosha","Wisconsin/Kewaunee","Wisconsin/La Crosse","Wisconsin/Lafayette","Wisconsin/Langlade","Wisconsin/Lincoln","Wisconsin/Manitowoc","Wisconsin/Marathon","Wisconsin/Marinette","Wisconsin/Marquette","Wisconsin/Menominee","Wisconsin/Milwaukee","Wisconsin/Monroe","Wisconsin/Oconto","Wisconsin/Oneida","Wisconsin/Outagamie","Wisconsin/Ozaukee","Wisconsin/Pepin","Wisconsin/Pierce","Wisconsin/Polk","Wisconsin/Portage","Wisconsin/Price","Wisconsin/Racine","Wisconsin/Richland","Wisconsin/Rock","Wisconsin/Rusk","Wisconsin/Sauk","Wisconsin/Sawyer","Wisconsin/Shawano","Wisconsin/Sheboygan","Wisconsin/St. Croix","Wisconsin/Taylor","Wisconsin/Trempealeau","Wisconsin/Unassigned","Wisconsin/Vernon","Wisconsin/Vilas","Wisconsin/Walworth","Wisconsin/Washburn","Wisconsin/Washington","Wisconsin/Waukesha","Wisconsin/Waupaca","Wisconsin/Waushara","Wisconsin/Winnebago","Wisconsin/Wood"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","9","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","1","0","2","0","0","0","1","0","0","0","1","0","0","0","1","0","0","","0","0","0","0","1","1","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","2","0","0","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","","0","0","1","0","2","0","0","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","1","0","0","16","1","0","0","0","1","0","0","0","1","0","0","2","0","0","1","0","1","0","5","0","0","0","0","0","0","0","0","82","1","0","0","2","4","0","0","0","0","0","2","0","1","0","2","0","0","1","0","0","0","","0","0","1","0","4","11","0","0","0","0"
"2020-03-26","0","0","0","0","1","0","0","0","0","0","0","0","46","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","1","5","0","2","0","0","0","0","0","0","0","0","22","0","0","0","0","2","0","0","0","1","0","1","0","4","0","1","0","0","0","0","0","0","","0","1","0","0","4","14","1","0","1","0"
"2020-03-27","0","0","0","1","1","0","0","0","2","1","1","0","24","3","0","1","1","1","0","1","0","0","2","0","0","1","0","1","1","4","0","2","0","0","0","0","0","1","0","0","64","0","0","0","0","8","0","1","0","0","0","1","0","4","0","1","0","0","0","0","0","0","","0","1","0","0","2","5","0","0","0","1"
"2020-03-28","0","0","0","0","1","0","0","0","1","1","1","0","14","0","0","1","0","0","0","2","0","0","1","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","130","0","0","1","0","3","0","0","0","0","0","7","2","0","0","3","0","0","1","0","0","0","-61","0","0","1","0","4","11","0","0","1","0"
"2020-03-29","0","0","0","0","0","0","0","0","0","0","2","0","11","2","0","0","1","3","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","65","0","0","0","2","1","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","1","0"
"2020-03-30","0","0","0","0","1","0","0","0","3","0","0","0","9","0","0","0","0","0","0","1","0","0","1","0","0","0","2","2","0","1","0","1","0","0","0","0","1","0","2","0","11","0","0","2","3","2","0","2","0","0","0","4","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","3","10","0","0","2","0"
"2020-03-31","","1","","0","2","1","","0","1","0","5","","22","2","1","0","0","1","","1","","1","1","","0","0","0","1","0","7","","3","","","","","1","0","0","","93","1","1","0","3","7","","1","","0","","5","0","1","","0","","","3","1","","","0","","0","0","","6","8","0","","1","0"
"2020-04-01","","0","","1","2","0","","1","2","2","0","1","1","3","0","1","0","1","","2","","0","1","","0","0","0","1","1","17","","0","","","","","2","1","0","","70","0","0","0","0","3","","0","","0","","2","0","1","","1","","","1","1","","","0","","0","6","","4","6","1","","8","0"
"2020-04-02","1","0","","0","6","1","","1","1","1","1","0","23","0","1","0","0","2","","4","","0","0","","0","0","0","0","0","13","","0","","","","","3","0","0","1","89","1","0","0","2","1","","0","","1","","7","0","2","","2","","","4","0","","1","0","","0","3","","2","13","0","","5","0"
"2020-04-03","0","0","1","0","7","0","","0","3","0","3","0","14","1","0","0","2","2","","2","","0","1","","0","0","0","1","0","14","","0","","","","","1","0","0","0","154","0","0","0","5","3","7","0","","1","","6","0","1","1","2","","","4","1","","0","0","","0","0","","6","21","0","","0","0"
"2020-04-04","0","0","0","0","0","0","","0","0","0","0","0","17","0","0","0","0","0","","0","","0","0","","0","0","0","0","0","0","","0","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","","","0","0","","0","0","","0","0","","0","0","0","","0","0"
"2020-04-05","0","0","3","0","5","0","","1","2","0","1","1","11","0","2","0","0","5","1","13","","0","1","","0","0","1","1","1","17","","2","","","","2","3","0","0","0","167","3","0","0","2","6","-7","0","","0","","13","1","8","2","0","","1","1","0","","0","0","","1","5","","5","13","0","","-4","0"
"2020-04-06","1","0","0","0","10","0","","0","0","1","2","0","7","1","0","0","0","0","1","0","","1","0","","0","0","1","0","0","6","1","1","","","","0","0","1","0","0","66","1","0","0","1","6","0","0","","0","","3","0","6","0","0","","1","0","0","","0","0","","0","0","","0","6","0","1","4","0"
"2020-04-07","0","0","0","0","2","0","","0","0","0","2","0","2","0","3","0","0","0","0","1","","0","0","","1","0","0","1","0","8","0","0","1","","","0","0","0","0","0","67","-2","0","2","3","4","0","0","","1","","9","0","3","0","2","","1","9","0","","0","0","","0","1","","2","6","0","0","0","0"
"2020-04-08","0","0","0","0","0","0","","0","0","0","0","0","14","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","15","0","0","0","","","0","0","0","0","0","93","0","0","0","0","4","0","0","","0","","0","0","0","0","0","","0","2","0","","0","0","","0","0","","4","0","0","0","0","0"
"2020-04-09","0","0","1","0","9","0","","0","1","0","2","0","4","1","1","0","2","0","0","5","","1","0","","0","0","3","4","0","8","0","1","1","","","1","0","0","0","0","68","1","2","0","1","1","0","0","","0","","18","0","10","0","1","1","1","-1","0","","0","0","","0","7","","0","18","1","1","1","0"
"2020-04-10","0","0","1","0","5","0","","0","1","0","-1","1","6","2","0","0","1","0","0","3","","0","0","","0","0","3","2","0","12","0","2","0","","","-1","0","0","0","0","91","2","0","0","3","0","0","0","1","0","","16","1","4","0","4","0","1","2","0","","0","0","","0","7","","4","9","0","0","0","0"
"2020-04-11","0","0","0","0","5","1","","0","0","0","0","0","14","0","1","0","1","0","0","0","","1","0","","0","1","0","1","0","16","0","0","1","","","0","1","0","0","0","78","0","0","0","0","1","0","0","0","0","1","5","1","2","0","0","0","0","1","1","","0","0","","0","0","","4","8","0","0","0","0"
"2020-04-12","0","1","0","0","8","0","","0","2","1","0","0","7","1","0","0","0","0","0","2","","1","0","","1","0","0","1","1","10","2","0","0","","","0","0","0","0","0","57","0","0","1","0","0","0","0","2","0","0","12","0","3","0","1","0","0","0","1","","0","0","","0","2","","0","8","1","0","2","0"
"2020-04-13","1","0","0","0","9","0","","1","0","0","1","0","6","0","0","0","0","0","0","3","","0","0","1","0","0","0","1","1","9","1","0","0","","","0","1","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","1","","0","0","","0","1","","2","9","0","0","0","0"
"2020-04-14","0","0","0","0","20","1","","0","0","0","0","0","4","0","0","0","0","0","0","2","","2","0","0","0","0","0","0","0","4","0","0","0","","","1","0","1","0","0","52","0","1","0","0","1","0","0","0","0","0","18","1","-1","0","2","1","1","0","0","","0","1","","0","7","","0","6","0","0","2","0"
"2020-04-15","0","0","0","0","17","0","","0","0","1","2","0","7","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","18","1","0","0","","","0","0","0","1","0","75","2","0","0","2","4","0","0","0","0","0","3","1","3","0","3","0","0","1","0","","0","0","","0","4","","5","14","0","0","2","0"
"2020-04-16","0","0","0","0","25","0","","0","0","1","0","0","1","0","0","0","0","1","0","0","","2","0","0","0","0","1","0","0","4","1","0","0","","","1","0","0","0","0","77","2","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","1","","0","-1","","0","22","1","1","7","0","0","1","0"
"2020-04-17","1","0","0","0","41","0","","0","0","2","0","0","7","1","0","0","0","0","0","2","","3","0","0","1","0","0","3","0","10","2","0","0","","","0","2","0","0","0","66","1","0","0","0","1","0","0","1","0","0","14","1","0","0","0","0","0","1","0","","0","0","","0","4","0","2","10","0","0","2","0"
"2020-04-18","0","0","0","0","24","0","","0","1","2","0","0","-1","-1","0","1","0","0","0","1","","2","0","0","0","0","0","0","3","18","0","0","0","","","1","1","1","0","0","52","0","0","0","2","1","0","0","0","0","0","7","0","5","1","1","0","0","1","0","","0","0","","0","14","0","1","4","0","0","4","0"
"2020-04-19","0","0","0","0","11","0","","1","-1","2","0","0","3","0","0","0","0","0","0","0","","3","0","0","0","0","1","5","0","12","0","0","0","","","0","0","0","0","0","85","0","0","0","2","0","0","0","0","0","0","4","0","6","0","1","0","0","1","0","","0","0","","0","0","0","2","6","0","0","3","0"
"2020-04-20","0","0","0","0","70","0","","0","0","0","0","0","3","0","0","0","0","0","0","3","","5","0","0","0","0","0","0","0","9","0","0","0","","","1","0","0","0","0","41","0","1","0","0","1","0","0","0","0","0","6","0","6","0","1","0","0","3","0","","0","0","","0","-3","0","2","4","0","0","0","0"
"2020-04-21","0","0","0","0","29","0","","0","0","1","0","0","18","0","0","0","0","0","0","0","","0","0","0","1","0","0","0","0","7","0","1","0","","","0","0","1","0","0","43","0","0","0","0","0","0","1","0","0","0","11","0","3","0","0","0","0","0","0","","0","0","","0","4","0","1","5","0","0","0","0"
"2020-04-22","0","0","0","0","88","0","","0","0","1","0","0","4","1","0","0","0","1","0","0","","2","0","0","0","0","0","3","1","14","0","-1","1","","","0","0","0","0","0","70","0","0","0","2","0","0","0","0","0","0","13","1","3","0","2","0","0","1","1","","0","0","","0","4","0","1","4","1","0","2","0"
"2020-04-23","0","0","0","0","53","0","","0","0","0","0","0","1","0","0","1","0","0","0","1","","1","1","0","0","0","0","2","0","16","2","0","0","","","0","0","2","0","0","78","1","0","0","1","0","0","0","0","0","0","17","1","13","0","1","0","0","0","1","","0","0","","0","6","0","2","2","1","0","3","0"
"2020-04-24","0","0","0","0","150","0","","1","0","1","0","0","8","1","0","0","0","0","0","1","","1","0","0","0","0","0","1","0","20","-1","0","0","","","2","0","0","0","0","49","0","0","0","5","0","0","0","0","0","0","14","0","21","0","1","0","2","1","0","","1","0","1","0","13","0","1","9","1","0","0","0"
"2020-04-25","0","0","0","0","115","0","","0","0","0","0","0","6","2","1","0","0","1","0","0","","1","1","0","0","0","0","1","1","15","1","1","0","","","0","1","-1","0","0","94","0","1","0","0","2","0","0","0","0","0","26","0","31","0","0","0","0","-1","0","","0","0","0","0","19","0","1","10","0","0","2","0"
"2020-04-26","0","0","0","0","56","0","","0","0","0","0","0","4","6","0","0","0","1","0","2","","2","0","0","0","0","0","0","0","10","0","0","0","","","1","0","0","0","0","104","0","1","0","3","3","0","1","0","0","0","15","1","0","0","2","1","0","1","0","","0","0","0","0","3","0","0","8","0","0","0","0"
"2020-04-27","0","0","0","0","77","0","","2","0","0","0","0","7","1","0","0","0","0","0","0","","1","0","1","0","0","0","0","1","1","0","0","0","","","1","-1","0","0","0","45","0","1","0","1","1","0","0","0","0","0","3","0","13","0","2","0","0","1","0","","0","0","0","0","3","0","2","6","0","0","0","0"
"2020-04-28","0","0","0","0","67","0","","1","1","1","0","0","5","2","2","0","0","2","0","0","","1","0","0","0","0","0","3","0","8","1","1","0","","","0","0","0","0","0","48","0","0","0","3","0","0","0","0","0","0","35","0","14","0","2","0","0","0","0","","0","0","0","0","1","0","2","8","0","0","0","0"
"2020-04-29","0","0","0","0","51","0","","2","0","0","0","0","7","1","0","0","0","0","0","0","","3","0","0","0","0","0","3","1","15","3","0","0","","","0","0","0","0","0","93","0","0","0","4","0","0","1","0","1","0","9","0","5","0","0","0","2","0","0","","0","0","0","0","17","0","1","8","1","0","3","0"
"2020-04-30","0","0","0","0","86","0","","1","1","0","0","0","4","0","0","0","0","1","0","0","","2","1","0","0","0","0","0","3","28","0","1","0","","","0","1","1","0","0","125","0","2","0","0","2","0","0","0","0","0","38","1","15","0","1","0","0","1","3","","1","0","0","0","5","0","1","7","0","0","2","0"
"2020-05-01","0","0","0","0","118","0","","1","1","0","1","0","2","3","0","0","0","0","0","2","","4","1","1","0","0","1","1","0","86","-1","0","2","","1","0","0","2","0","0","104","0","4","0","8","0","0","0","0","0","0","38","0","24","0","13","0","5","2","0","","0","0","0","0","10","0","1","14","2","0","9","0"
"2020-05-02","0","0","1","0","97","0","","2","0","0","1","1","3","2","2","0","1","6","0","2","","2","0","0","0","0","-1","0","1","44","2","1","0","","0","2","1","0","0","0","103","0","1","0","1","1","0","0","0","1","0","15","0","21","0","6","0","1","2","0","","0","0","0","0","12","0","1","6","0","0","5","0"
"2020-05-03","0","0","0","0","86","0","","2","2","1","0","1","3","0","1","0","2","2","0","0","","5","2","0","0","0","0","0","0","13","3","0","0","","0","0","0","1","0","0","97","0","3","0","5","3","0","0","0","0","0","27","1","19","0","1","0","0","1","2","","0","0","0","0","14","0","1","4","0","0","2","0"
"2020-05-04","0","0","0","0","90","1","","1","0","0","1","1","5","1","0","0","0","5","0","2","","0","1","2","0","0","0","0","0","12","4","2","0","","0","1","0","0","0","0","52","0","0","0","5","2","0","0","0","1","0","22","0","27","0","1","1","0","1","2","","1","0","1","0","14","0","3","7","0","0","3","0"
"2020-05-05","0","0","0","0","97","1","","1","0","0","2","1","2","1","3","0","1","1","0","2","","7","4","0","0","0","0","0","0","25","0","1","0","","0","2","2","0","0","0","57","0","2","0","4","1","0","1","0","0","0","78","0","12","0","1","0","1","2","1","","0","0","0","0","1","0","2","1","0","2","11","0"
"2020-05-06","0","0","0","0","108","0","","0","2","1","0","0","2","2","0","1","0","3","0","6","1","5","0","0","3","0","0","1","1","9","3","0","2","","0","1","0","2","0","0","116","0","3","0","6","0","0","0","1","0","0","24","0","10","0","3","0","0","4","2","","1","0","0","0","3","0","1","6","0","0","2","0"
