"date","New York/Albany","New York/Allegany","New York/Bronx","New York/Broome","New York/Cattaraugus","New York/Cayuga","New York/Chautauqua","New York/Chemung","New York/Chenango","New York/Clinton","New York/Columbia","New York/Cortland","New York/Delaware","New York/Dutchess","New York/Erie","New York/Essex","New York/Franklin","New York/Fulton","New York/Genesee","New York/Greene","New York/Hamilton","New York/Herkimer","New York/Jefferson","New York/Kings","New York/Lewis","New York/Livingston","New York/Madison","New York/Monroe","New York/Montgomery","New York/Nassau","New York/New York City","New York/Niagara","New York/Oneida","New York/Onondaga","New York/Ontario","New York/Orange","New York/Orleans","New York/Oswego","New York/Otsego","New York/Putnam","New York/Queens","New York/Rensselaer","New York/Richmond","New York/Rockland","New York/Saratoga","New York/Schenectady","New York/Schoharie","New York/Schuyler","New York/Seneca","New York/St. Lawrence","New York/Steuben","New York/Suffolk","New York/Sullivan","New York/Tioga","New York/Tompkins","New York/Ulster","New York/Unassigned","New York/Warren","New York/Washington","New York/Wayne","New York/Westchester","New York/Wyoming","New York/Yates"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","  6.96 %","   .00 %","   .00 %"," 53.54 %","   .00 %","   .00 %","   .00 %"," 36.67 %"," 10.00 %"," 25.33 %","  7.55 %"," 10.00 %"," 61.33 %"," 18.70 %"," 32.45 %"," 11.67 %","   .00 %","   .00 %"," 40.00 %"," 25.00 %","   .00 %"," 19.67 %"," 40.00 %","   .00 %","   .00 %"," 10.00 %"," 80.71 %"," 17.35 %"," 11.67 %"," 15.93 %"," 18.18 %","  9.56 %"," 31.00 %"," 20.60 %"," 24.44 %"," 26.27 %","   .00 %"," 20.00 %"," 30.00 %"," 35.77 %","   .00 %"," 19.67 %","   .00 %"," 22.27 %"," 17.25 %"," 15.05 %"," 20.00 %","   .00 %","   .00 %"," 60.00 %"," 47.50 %"," 22.24 %"," 39.43 %"," 20.00 %","  9.39 %"," 40.03 %"," 53.04 %"," 20.00 %"," 46.67 %"," 26.19 %"," 27.25 %"," 35.00 %","   .00 %"
"2020-03-27","  8.84 %","   .00 %","   .00 %"," 56.04 %","   .00 %","   .00 %","   .00 %"," 48.10 %"," 16.67 %"," 25.33 %"," 10.05 %"," 16.67 %"," 64.19 %"," 22.39 %"," 36.24 %"," 11.67 %"," 20.00 %","   .00 %"," 50.00 %"," 29.00 %","   .00 %"," 25.38 %"," 40.00 %","   .00 %","   .00 %"," 10.00 %"," 98.49 %"," 19.78 %"," 11.67 %"," 19.73 %"," 21.56 %"," 22.41 %"," 31.00 %"," 22.77 %"," 29.90 %"," 30.50 %"," 10.00 %"," 20.00 %"," 43.33 %"," 39.39 %","   .00 %"," 19.67 %","   .00 %"," 26.62 %"," 19.71 %"," 16.34 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %"," 49.32 %"," 26.99 %"," 43.58 %"," 20.00 %"," 17.21 %"," 45.16 %"," 53.04 %"," 80.00 %"," 56.67 %"," 33.69 %"," 31.43 %"," 35.00 %","   .00 %"
"2020-03-28","  9.04 %","   .00 %","   .00 %"," 61.59 %","   .00 %","   .00 %"," 30.00 %"," 49.91 %"," 36.67 %"," 27.15 %"," 12.27 %"," 31.67 %"," 64.19 %"," 21.29 %"," 31.13 %"," 11.67 %"," 50.00 %","   .00 %"," 53.33 %"," 32.33 %","   .00 %"," 25.38 %"," 50.00 %","   .00 %","   .00 %"," 56.67 %"," ##.## %"," 20.29 %"," 15.67 %"," 17.80 %"," 19.36 %"," 31.11 %"," 41.38 %"," 22.95 %"," 32.76 %"," 23.20 %"," 10.00 %"," 45.00 %"," 51.33 %"," 42.99 %","   .00 %"," 22.85 %","   .00 %"," 26.62 %"," 23.13 %"," 18.15 %"," 43.33 %","   .00 %","   .00 %"," 80.00 %"," 30.98 %"," 23.24 %"," 46.08 %"," 60.00 %"," 27.21 %"," 52.30 %","-20.00 %"," 92.50 %"," 66.67 %"," 35.51 %"," 22.44 %"," 35.00 %","   .00 %"
"2020-03-29","  7.07 %"," 40.00 %","   .00 %"," 26.81 %"," 60.00 %","   .00 %"," 38.00 %"," 44.91 %"," 44.17 %"," 18.82 %"," 11.10 %"," 34.52 %"," 24.19 %"," 20.91 %"," 30.96 %"," 11.67 %"," 54.00 %","   .00 %"," 59.05 %"," 12.33 %","   .00 %"," 20.94 %"," 33.33 %","   .00 %","   .00 %"," 46.67 %"," 52.15 %"," 15.80 %"," 15.67 %"," 17.59 %"," 17.81 %"," 31.92 %"," 23.99 %"," 26.88 %"," 25.26 %"," 20.25 %"," 10.00 %"," 47.22 %"," 59.90 %"," 12.07 %","   .00 %","  9.85 %","   .00 %"," 27.26 %"," 14.09 %"," 11.77 %"," 43.33 %","   .00 %","   .00 %"," 90.00 %"," 17.14 %"," 21.73 %"," 32.19 %"," 60.00 %"," 29.21 %"," 35.37 %","   .00 %"," 80.19 %"," 26.67 %"," 15.51 %"," 17.19 %"," 17.86 %","   .00 %"
"2020-03-30","  7.42 %"," 43.33 %","   .00 %"," 26.50 %"," 70.00 %"," 10.00 %"," 38.00 %"," 44.91 %"," 46.83 %"," 11.64 %"," 13.99 %"," 29.52 %"," 18.36 %"," 20.74 %"," 30.95 %","  5.00 %"," 54.00 %","   .00 %"," 39.05 %"," 20.90 %","   .00 %"," 19.94 %"," 44.76 %","   .00 %","   .00 %"," 52.67 %"," 46.11 %"," 16.00 %","  9.00 %"," 17.47 %"," 16.03 %"," 29.50 %"," 30.15 %"," 23.39 %"," 17.48 %"," 17.64 %"," 16.67 %"," 57.22 %"," 53.90 %"," 14.78 %","   .00 %"," 10.24 %","   .00 %"," 21.14 %"," 11.12 %","  7.82 %"," 27.33 %"," 20.00 %","   .00 %"," 91.67 %"," 19.49 %"," 20.74 %"," 21.23 %"," 63.33 %"," 31.71 %"," 24.25 %","   .00 %"," 80.19 %"," 20.00 %"," 17.18 %"," 14.97 %"," 17.86 %","   .00 %"
"2020-03-31","  5.75 %"," 49.05 %",""," 19.13 %"," 70.00 %"," 16.67 %"," 38.00 %"," 24.91 %"," 49.19 %"," 14.34 %","  8.72 %"," 29.52 %"," 19.45 %"," 20.59 %"," 19.71 %","   .00 %"," 54.00 %","   .00 %"," 23.49 %"," 15.90 %","   .00 %"," 11.94 %"," 24.76 %","","   .00 %"," 55.74 %"," 43.73 %"," 11.81 %","  4.00 %"," 16.91 %"," 14.56 %"," 26.16 %"," 24.15 %"," 17.82 %"," 13.03 %"," 15.79 %"," 21.67 %"," 37.22 %"," 43.90 %"," 12.40 %","","  4.34 %",""," 19.21 %","  8.31 %","  6.52 %"," 27.33 %"," 20.00 %",""," 47.05 %"," 11.99 %"," 19.72 %"," 15.04 %"," 46.19 %"," 27.02 %"," 22.04 %","   .00 %"," 80.19 %"," 20.00 %"," 14.32 %"," 11.00 %","  2.86 %",""
