"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi","Uttarakhand/lmora"
"2020-03-15","","","","","   .00 %","","","","","","","","",""
"2020-03-19","","","",""," ##.## %","","","","","","","","",""
"2020-03-25","","","","","","","","   .00 %","","","","","",""
"2020-03-28","","","",""," 50.00 %","","","","","","","","",""
"2020-03-29","","","",""," 33.33 %","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","   .00 %","",""
"2020-04-03","","","",""," ##.## %","","","","","","","","",""
"2020-04-04","","","","","","   .00 %","   .00 %","","","","","","",""
"2020-04-05","","","",""," 30.00 %",""," 20.00 %","","","","","","",""
"2020-04-06","   .00 %","","",""," 15.38 %",""," 33.33 %","","","","","","",""
"2020-04-08","","","","","  6.67 %"," ##.## %","","","","",""," 33.33 %","",""
"2020-04-14","","","","",""," 66.67 %","","","","","","","",""
"2020-04-17","","","",""," 12.50 %",""," 12.50 %","","","","","","",""
"2020-04-18","","","","",""," 40.00 %","","","","","","","",""
"2020-04-19","","","",""," 11.11 %","","","","","","","","",""
"2020-04-20","","","",""," 10.00 %","","","","","","","","",""
"2020-04-23","","","","","  4.55 %","","","","","","","","",""
"2020-04-24","","","","","",""," 11.11 %","","","","","","",""
"2020-04-28","","","",""," 13.04 %","","","","","","","","",""
"2020-04-29","","","","","   .00 %","","","","","",""," 25.00 %","",""
"2020-04-30","","","","","   .00 %","   .00 %","   .00 %","","","",""," 40.00 %","",""
"2020-05-01","","","","","   .00 %","","","","","","","","",""
"2020-05-02","","","","","  7.69 %","","","","","","","","",""
"2020-05-03","","","","","","","","","","",""," 14.29 %","",""
"2020-05-05","","","","","  3.57 %","","","","","","","","",""
"2020-05-08","","","","","   .00 %"," 14.29 %","","","","",""," 12.50 %","",""
"2020-05-09","","","","","","-12.50 %","   .00 %","","","",""," 44.44 %","   .00 %",""
"2020-05-10","","","","","  3.45 %","","","","","","","","",""
"2020-05-12","","","","","",""," 10.00 %","","","","","","",""
"2020-05-13"," ##.## %","","","","  3.33 %","","  9.09 %","","","","","","",""
"2020-05-14","","","","","  9.68 %","   .00 %","   .00 %","","","",""," 23.08 %","",""
"2020-05-15","","","","","  2.94 %",""," 16.67 %"," ##.## %","","","","   .00 %","",""
