"date","Alaska/Aleutians East","Alaska/Aleutians West","Alaska/Anchorage","Alaska/Bethel","Alaska/Bristol Bay","Alaska/Denali","Alaska/Dillingham","Alaska/Fairbanks North Star","Alaska/Haines","Alaska/Hoonah-Angoon","Alaska/Juneau","Alaska/Kenai Peninsula","Alaska/Ketchikan Gateway","Alaska/Kodiak Island","Alaska/Kusilvak","Alaska/Lake and Peninsula","Alaska/Matanuska-Susitna","Alaska/Nome","Alaska/North Slope","Alaska/Northwest Arctic","Alaska/Petersburg","Alaska/Prince of Wales-Hyder","Alaska/Sitka","Alaska/Skagway","Alaska/Soldotna","Alaska/Southeast Fairbanks","Alaska/Sterling","Alaska/Unassigned","Alaska/Valdez-Cordova","Alaska/Wrangell","Alaska/Yakutat","Alaska/Yukon-Koyukuk"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %"," 30.77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 42.86 %","   .00 %","   .00 %"," ##.## %"," 33.33 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %"," 64.71 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.50 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .00 %"," -9.09 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," 43.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 90.00 %","   .00 %","   .00 %"," 33.33 %"," 25.00 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 25.58 %","   .00 %","   .00 %","   .00 %","   .00 %"," 21.05 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","  9.26 %","   .00 %","   .00 %","   .00 %","   .00 %"," 21.74 %","   .00 %","   .00 %"," 25.00 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","","","  3.39 %","","","","","  7.14 %","","","   .00 %","   .00 %","   .00 %","","",""," 50.00 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-01","","","  6.56 %","","","",""," 16.67 %","",""," 80.00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-02","","","  3.08 %","","","",""," 14.29 %","",""," 11.11 %"," 14.29 %","  7.69 %","","",""," 33.33 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-03","","","  8.96 %","","","","","  5.00 %","",""," 10.00 %"," 25.00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-04","",""," 10.96 %","","","","","  9.52 %","","","  9.09 %"," 10.00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-05","","","  4.94 %","","","",""," 15.22 %","",""," 16.67 %","  9.09 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-06","","","  3.53 %","","","","","   .00 %","","","   .00 %","  8.33 %","   .00 %","","","","   .00 %","","",""," ##.## %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-07","",""," 11.36 %","   .00 %","","",""," 22.64 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-08","","","  5.10 %","   .00 %","","","","  9.23 %","","","   .00 %","   .00 %","   .00 %","","",""," 25.00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-09","","","  5.83 %","   .00 %","","","","  2.82 %","","","   .00 %","  7.69 %","   .00 %","","",""," 20.00 %","","","","   .00 %","","","","","   .00 %","","-##.## %","","","","   .00 %"
"2020-04-10","","","  2.75 %","   .00 %","","","","  4.11 %","","","  7.14 %","  7.14 %","   .00 %","","",""," 50.00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-11","","","  8.04 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","",""," 11.11 %","","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-12","","","  4.96 %","   .00 %","","","","  3.95 %","","","  6.67 %","   .00 %","  7.14 %","","",""," 40.00 %","","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-13","","","  3.15 %","   .00 %","","","","   .00 %","","","  6.25 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-14","","","  3.82 %","   .00 %","","","","   .00 %","","","  5.88 %","   .00 %","   .00 %","","","","  7.14 %","","","","   .00 %"," ##.## %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-15","","","  2.21 %","   .00 %","","","","   .00 %","",""," 16.67 %","  6.67 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-16","","","  2.88 %","   .00 %","","","","   .00 %","","","  9.52 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-17","","","  4.90 %","   .00 %","","","","   .00 %","","","  4.35 %","  6.25 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-18","","","   .67 %","   .00 %","","","","   .00 %","","","   .00 %"," 11.76 %","   .00 %","   .00 %","",""," 13.33 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-19","","","  1.99 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","  5.88 %","   .00 %","",""," 50.00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-20","","","   .65 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","  5.56 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-21","","","  3.23 %","   .00 %","","","","   .00 %","","","  8.33 %","   .00 %","  6.67 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-22","","","  2.50 %","   .00 %","","","","   .00 %","","","  3.85 %","   .00 %","   .00 %","   .00 %","","","  5.26 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-23","","","  1.22 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-24","","","  1.20 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-25","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-26","","","   .00 %","   .00 %","","","","  1.27 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-27","","","  1.79 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","  5.00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-28","","","  2.34 %","   .00 %","","","","  1.25 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","",""," 33.33 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-29","","","  2.29 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %"
