"date","Lakshadweep/Lakshadweep"
"2021-01-18",""
"2021-01-19","7"
"2021-01-20","9"
"2021-01-21","18"
"2021-01-22","2"
"2021-01-23","7"
"2021-01-25","10"
"2021-01-26","2"
"2021-01-29","1"
"2021-01-30","9"
"2021-01-31","8"
"2021-02-01","12"
"2021-02-02","20"
"2021-02-03","3"
"2021-02-04","4"
"2021-02-05","15"
"2021-02-06","10"
"2021-02-07","2"
"2021-02-08","1"
"2021-02-09","12"
"2021-02-10","15"
"2021-02-11","6"
"2021-02-12","1"
"2021-02-13","36"
"2021-02-14","9"
"2021-02-15","1"
"2021-02-16","17"
"2021-02-17","10"
"2021-02-18","2"
"2021-02-21","3"
"2021-02-22","15"
"2021-02-23","21"
"2021-02-24","6"
"2021-02-25","9"
"2021-02-26","2"
"2021-02-27","26"
"2021-02-28","23"
"2021-03-01","15"
"2021-03-02","10"
"2021-03-03","7"
"2021-03-04","12"
"2021-03-05","43"
"2021-03-06","5"
"2021-03-07","13"
"2021-03-08","8"
"2021-03-09","15"
"2021-03-10","15"
"2021-03-11","45"
"2021-03-12","18"
"2021-03-13","16"
"2021-03-14","1"
