"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-05-25","","","","-50.00 %"," 50.00 %","-80.00 %","-50.00 %","-75.00 %","-40.00 %","-87.93 %","-66.67 %","","","   .00 %","   .00 %",""," 75.00 %",""," 50.00 %","","   .00 %","-25.33 %","-70.00 %","",""," 33.33 %","-50.00 %","","-50.00 %"," ##.## %","   .00 %","-93.33 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","",""," ##.## %","","","","","","","   .00 %"," ##.## %"," ##.## %","","","","","","","",""
"2020-05-26","","","","","","   .00 %","   .00 %"," ##.## %","  6.67 %"," ##.## %"," ##.## %","","   .00 %","",""," 50.00 %","",""," 11.11 %","","","-30.36 %","-66.67 %","   .00 %","","-75.00 %","   .00 %","   .00 %"," ##.## %","-83.33 %"," ##.## %","","","","   .00 %","","","","   .00 %","   .00 %","","","","","","","","-66.67 %","-33.33 %",""," 18.18 %","","","","","","","","","",""
"2020-05-27","","","","","-66.67 %","","",""," 65.62 %","","","   .00 %"," ##.## %","   .00 %","   .00 %","","","","-80.00 %","",""," ##.## %"," ##.## %","","","-50.00 %"," ##.## %","   .00 %",""," 50.00 %","   .00 %","   .00 %","","","",""," ##.## %","","   .00 %"," ##.## %","   .00 %","   .00 %","","","",""," ##.## %","","","","-50.00 %","","","","","","","","","",""
"2020-05-28","","","","","","   .00 %","","   .00 %","-67.92 %","","","","","","","   .00 %","","","-50.00 %","",""," -1.27 %"," 66.67 %","","   .00 %"," ##.## %","   .00 %","","   .00 %","",""," 36.00 %","","","","","","   .00 %","-50.00 %","-70.00 %","-83.33 %","   .00 %","","","","   .00 %",""," ##.## %","","   .00 %"," 92.31 %","","","","","","","","","",""
"2020-05-29","","","   .00 %","","","","   .00 %",""," 29.41 %","   .00 %"," ##.## %"," ##.## %","","","-87.50 %","","","","","","","  7.69 %","   .00 %","","","-50.00 %","","   .00 %","   .00 %","   .00 %","-66.67 %","-76.47 %","","","","","-75.00 %"," ##.## %"," ##.## %"," ##.## %","","   .00 %","","","","","","","","","-24.00 %","-66.67 %","   .00 %","","","","","","","",""
"2020-05-30","","","","","","   .00 %",""," 50.00 %"," 22.73 %","   .00 %","","","-50.00 %","","","   .00 %","   .00 %","","   .00 %","","","  3.57 %"," 40.00 %","",""," ##.## %","   .00 %","","   .00 %"," ##.## %","   .00 %"," ##.## %","",""," ##.## %","","","",""," -7.41 %","","",""," 50.00 %",""," ##.## %","   .00 %","-33.33 %","","","-89.47 %","","","","","","","","","",""
"2020-05-31","",""," ##.## %","",""," ##.## %","   .00 %",""," 66.67 %"," 25.00 %","   .00 %","-66.67 %"," 66.67 %","   .00 %","","","-66.67 %","   .00 %","   .00 %","","","-36.78 %","-28.57 %","","","","-75.00 %","","","","","-85.71 %","","","-28.57 %",""," ##.## %","","","-68.00 %",""," ##.## %","","",""," ##.## %","","","",""," ##.## %","   .00 %","   .00 %","","","","","","","",""
"2020-06-01","","","","","","","-66.67 %",""," -2.22 %","-60.00 %"," ##.## %"," ##.## %","-80.00 %","","   .00 %","","",""," ##.## %","",""," -3.64 %","-40.00 %","","","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","-83.33 %","","","-40.00 %","","","   .00 %","","   .00 %","","","","-66.67 %","","",""," 50.00 %","","   .00 %"," 80.00 %","","-71.43 %","","","","","","","",""
"2020-06-02","","","-91.67 %","   .00 %","","","   .00 %","   .00 %","-54.55 %","","","","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","","   .00 %","","","-41.51 %"," ##.## %","","","-62.50 %","-93.33 %","","","   .00 %","   .00 %"," ##.## %","","","-66.67 %","   .00 %"," 50.00 %","-66.67 %","   .00 %"," 12.50 %","   .00 %","","   .00 %","   .00 %","","","-50.00 %","","","","-77.78 %","","","","","","","","","",""
"2020-06-03","","","   .00 %","","",""," ##.## %","   .00 %"," ##.## %","   .00 %","","-75.00 %","","","-87.50 %",""," ##.## %","   .00 %"," ##.## %","","","-12.90 %","-10.00 %","","",""," ##.## %","","   .00 %","   .00 %","","-50.00 %","","","","","-66.67 %"," ##.## %","   .00 %","-11.11 %","","","","","   .00 %","   .00 %","","","","","-50.00 %"," ##.## %","   .00 %","","","","","","","",""
"2020-06-04","","","   .00 %","","","","   .00 %"," ##.## %"," 41.46 %"," ##.## %","","","",""," ##.## %","","-50.00 %","","-74.07 %","",""," 33.33 %","-66.67 %",""," ##.## %","","","",""," 50.00 %","","-16.67 %","","","","   .00 %","","-33.33 %","   .00 %"," 25.00 %","   .00 %","","","","","-20.00 %","","",""," ##.## %"," ##.## %","-50.00 %"," ##.## %","","","","","","","",""
"2020-06-05","   .00 %","","   .00 %","   .00 %","","   .00 %","-66.67 %"," ##.## %","-10.34 %","","   .00 %","   .00 %","","","-33.33 %","   .00 %"," ##.## %","","-57.14 %","",""," 50.00 %"," 33.33 %","","","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %"," ##.## %","","","","","","-50.00 %","","-10.00 %","   .00 %","","","","","","   .00 %","","",""," ##.## %","","-75.00 %","","","","","","","",""
"2020-06-06","",""," ##.## %","","","",""," 55.56 %"," -1.92 %","   .00 %","   .00 %","","",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","","-35.19 %","-75.00 %","   .00 %","","-71.43 %","-75.00 %","","   .00 %","-87.50 %","","-52.63 %","","","   .00 %",""," ##.## %"," ##.## %","   .00 %","-22.22 %","","","","   .00 %"," ##.## %","   .00 %","-75.00 %","","   .00 %",""," 33.33 %","","   .00 %","","","","","","","",""
"2020-06-07","   .00 %","","","","","   .00 %","   .00 %","-57.14 %","-23.53 %","","-60.00 %","","   .00 %","","-12.50 %","","",""," 20.00 %","","","-22.86 %"," ##.## %","",""," ##.## %"," ##.## %","",""," ##.## %","","-55.56 %","","","   .00 %"," ##.## %","","-71.43 %","","-42.86 %","","","","","-65.00 %"," ##.## %","","","","","-50.00 %","","","","","","","","","",""
"2020-06-08","","","   .00 %"," ##.## %","   .00 %","-75.00 %","   .00 %"," ##.## %"," 28.21 %","   .00 %"," ##.## %"," ##.## %","","","-57.14 %","   .00 %","","","  8.33 %","",""," 33.33 %","","",""," 75.00 %","-60.00 %","","   .00 %","-10.00 %",""," ##.## %","","","   .00 %","-50.00 %","   .00 %"," ##.## %","   .00 %","-50.00 %","","","","","","-83.33 %","   .00 %","   .00 %","",""," ##.## %","","","","","","","","","",""
"2020-06-09","","",""," ##.## %","   .00 %","","",""," 16.00 %","-50.00 %","","","   .00 %","   .00 %","","","","","-61.54 %","",""," 25.00 %","   .00 %","","","-57.14 %"," 75.00 %","","","-44.44 %","","-87.50 %","","",""," ##.## %","-37.50 %","","   .00 %"," ##.## %","","","","","","-33.33 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-10","","","","",""," ##.## %","   .00 %","-92.86 %","-18.97 %","-71.43 %",""," ##.## %","   .00 %",""," ##.## %","   .00 %","","   .00 %"," ##.## %","",""," 13.33 %","-77.78 %","","","","-42.86 %","","","-60.00 %","   .00 %"," ##.## %","","","","-66.67 %","-20.00 %"," ##.## %","","-37.50 %","","   .00 %","","","   .00 %"," 50.00 %","","","","","-83.33 %","","","","","","","","","",""
"2020-06-11","","","   .00 %","-50.00 %","-75.00 %","",""," ##.## %"," 80.85 %","-50.00 %","","-90.91 %","","","-88.89 %","   .00 %","","","-58.33 %","   .00 %","","-19.61 %","","   .00 %","-50.00 %","   .00 %","-25.00 %","",""," ##.## %","","-70.00 %","","",""," ##.## %","-50.00 %","","","","","","","","","-66.67 %"," ##.## %","",""," ##.## %"," ##.## %","","   .00 %","","","","","","","",""
"2020-06-12","","","","","","","   .00 %","-50.00 %","-17.65 %","   .00 %","   .00 %","","",""," ##.## %","-50.00 %","   .00 %","-50.00 %"," ##.## %"," ##.## %",""," 21.95 %","   .00 %","","","   .00 %","","","","-83.33 %","","-33.33 %","","","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %"," ##.## %","-66.67 %","   .00 %","","","-28.57 %","   .00 %","","","","","","","","",""
"2020-06-13","","","","-87.50 %","","",""," 50.00 %","-10.00 %","","","   .00 %","","   .00 %","   .00 %"," ##.## %","","","-87.50 %","-25.00 %",""," 14.00 %","-40.00 %","",""," 50.00 %","   .00 %","",""," ##.## %","   .00 %"," ##.## %","","","","-75.00 %","   .00 %","   .00 %",""," ##.## %","","","","   .00 %","","-66.67 %","","","","-66.67 %","-20.00 %","   .00 %","   .00 %","","","","","","","",""
"2020-06-14","","","   .00 %","","","   .00 %","   .00 %","","-20.63 %","   .00 %"," ##.## %","","   .00 %","","-16.67 %","-75.00 %","   .00 %",""," ##.## %","","","-40.35 %","-77.78 %",""," ##.## %","","","",""," ##.## %","","-16.67 %","   .00 %","","","   .00 %","   .00 %","   .00 %",""," 25.00 %","   .00 %","","","","-40.00 %","","","",""," ##.## %"," 87.50 %","","","","","","","","","",""
"2020-06-15","","","-50.00 %","   .00 %","","","   .00 %","   .00 %","-20.00 %","-66.67 %","   .00 %","","",""," ##.## %","","","   .00 %","-66.67 %"," ##.## %","","-82.35 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","-50.00 %","   .00 %","-50.00 %"," ##.## %","","   .00 %","   .00 %","-50.00 %"," ##.## %","","   .00 %","","","","","","   .00 %","","","","-##.## %","-40.00 %","","","","","","","","","",""
"2020-06-16","   .00 %","","","   .00 %","","   .00 %","",""," 20.00 %"," ##.## %","","   .00 %","","","-54.55 %"," ##.## %","","   .00 %"," 50.00 %","-75.00 %",""," ##.## %","   .00 %","","-75.00 %"," ##.## %","-85.71 %","","","",""," ##.## %"," ##.## %","","","","","-80.00 %","","   .00 %","","","","","-66.67 %","   .00 %","   .00 %","","","   .00 %"," ##.## %","","   .00 %","","","","","","","",""
"2020-06-17","","","","","","-50.00 %","","   .00 %","  2.08 %","","   .00 %","","","","","-66.67 %","",""," ##.## %","",""," ##.## %","-87.50 %","","","-50.00 %"," ##.## %","","   .00 %","   .00 %",""," 30.00 %","","","   .00 %","   .00 %","   .00 %"," 75.00 %","   .00 %"," 60.00 %","","","","   .00 %","","-50.00 %","","","","","-83.33 %","   .00 %","","","","","","","","",""
"2020-06-18","","","","   .00 %","   .00 %"," ##.## %",""," 60.00 %","  2.04 %","   .00 %","","   .00 %","","","   .00 %","","","","-50.00 %","   .00 %","   .00 %"," 29.55 %"," ##.## %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","-69.23 %","","","","","-33.33 %"," 28.57 %","   .00 %","-25.00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %",""," 33.33 %","   .00 %","","","","","","","","",""
"2020-06-19","","","","   .00 %","","","   .00 %",""," 10.00 %","   .00 %","","   .00 %","",""," 50.00 %"," ##.## %","","","-80.00 %","",""," -3.51 %","-16.67 %","","   .00 %","   .00 %","   .00 %",""," ##.## %","","","-50.00 %","",""," ##.## %","   .00 %"," ##.## %","-66.67 %","","-66.67 %","","","   .00 %","","   .00 %","","","","",""," 25.00 %","","","","","","","","","",""
"2020-06-20","","","","","",""," 50.00 %","-25.00 %","-63.64 %","   .00 %","   .00 %","","",""," ##.## %","","","   .00 %"," ##.## %","-50.00 %","","-23.64 %"," 20.00 %",""," ##.## %","   .00 %","   .00 %","","","   .00 %"," 33.33 %","   .00 %","","","-50.00 %","   .00 %","","   .00 %","   .00 %"," 50.00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","-20.00 %","","   .00 %","","","","","","","",""
"2020-06-21","","","","","","   .00 %","-33.33 %","-50.00 %"," ##.## %","","   .00 %","   .00 %","-50.00 %","   .00 %","-50.00 %","   .00 %","","","","",""," -2.38 %"," ##.## %","",""," ##.## %"," ##.## %","","","-20.00 %","","","","","","-83.33 %","   .00 %","-66.67 %",""," 66.67 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","","","","","","",""
"2020-06-22","","","","   .00 %","   .00 %","","-50.00 %"," ##.## %","-51.06 %","   .00 %"," ##.## %","   .00 %","","","","-50.00 %","","","   .00 %","   .00 %","","  7.32 %"," -7.69 %","","   .00 %","","-72.22 %","   .00 %",""," ##.## %","-75.00 %","   .00 %","-75.00 %","",""," ##.## %",""," ##.## %","   .00 %"," 20.00 %","",""," ##.## %","","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %"," 25.00 %","","","","","","","","","",""
"2020-06-23","   .00 %","","",""," ##.## %","   .00 %","   .00 %","-88.89 %"," 26.09 %","",""," ##.## %","","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","",""," 22.73 %","-58.33 %","","","   .00 %","-80.00 %","",""," ##.## %"," ##.## %","-90.91 %","","","","-16.67 %","-94.44 %","","","-83.33 %","   .00 %","   .00 %","","   .00 %"," ##.## %","   .00 %"," ##.## %","","-50.00 %","","-20.00 %","","","","","","","","","",""
"2020-06-24","","","   .00 %","","","-66.67 %",""," ##.## %"," 55.17 %","   .00 %","   .00 %","","   .00 %","","","-20.00 %","",""," 83.33 %","   .00 %","","-37.04 %"," 40.00 %","","",""," ##.## %","","   .00 %","-17.39 %","-50.00 %"," ##.## %","",""," ##.## %","   .00 %","","   .00 %",""," ##.## %"," ##.## %","","","",""," ##.## %","","-50.00 %","","-85.71 %","-75.00 %","","","","","","","","","",""
"2020-06-25","","","","",""," 66.67 %"," ##.## %","-86.36 %","-28.89 %","","   .00 %","","   .00 %","","   .00 %"," 50.00 %","","","-72.73 %","",""," 35.29 %","-14.29 %","   .00 %","","   .00 %","","","   .00 %","-47.37 %","","-25.00 %","","","","","   .00 %","-50.00 %"," ##.## %","-33.33 %","   .00 %","","","   .00 %","-75.00 %","-33.33 %","   .00 %","","","","   .00 %","","   .00 %","","","","","","","",""
"2020-06-26","","","","",""," 60.00 %",""," ##.## %"," -3.12 %","","   .00 %","-72.73 %","   .00 %","","   .00 %","-16.67 %","","   .00 %"," ##.## %","","","-21.74 %","-66.67 %","",""," ##.## %","   .00 %","","-75.00 %"," ##.## %","","-66.67 %","","","   .00 %","","   .00 %"," ##.## %"," 66.67 %"," 83.33 %","","","-57.14 %"," ##.## %"," ##.## %","","","",""," ##.## %"," ##.## %","","   .00 %","","","","","","","",""
"2020-06-27","","","","","","-87.50 %","","-30.77 %"," 32.26 %","   .00 %","   .00 %","-33.33 %","   .00 %",""," 50.00 %","-20.00 %","",""," 44.44 %","   .00 %","","-11.11 %"," ##.## %","","   .00 %","-66.67 %","-37.50 %",""," ##.## %","-50.00 %","","","","","-66.67 %","   .00 %"," ##.## %","","","-18.18 %","   .00 %","","","-66.67 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","","","","","","","",""
"2020-06-28","","","","","-50.00 %"," ##.## %"," ##.## %","-11.11 %","-14.63 %","",""," ##.## %"," ##.## %","   .00 %","-66.67 %","-25.00 %","   .00 %","-50.00 %"," 30.77 %","   .00 %",""," 25.00 %"," 50.00 %","   .00 %",""," 50.00 %","-60.00 %","","-66.67 %"," ##.## %","","   .00 %","","","   .00 %","","","   .00 %","-20.00 %","   .00 %","   .00 %","","",""," 50.00 %","   .00 %","   .00 %","",""," 50.00 %","","","","","","","","","","",""
"2020-06-29","","","","   .00 %"," ##.## %"," ##.## %","","-37.50 %","-31.43 %","","","-42.86 %","   .00 %","   .00 %"," ##.## %","","","","-82.35 %","","   .00 %"," 22.50 %","-88.89 %","",""," ##.## %"," ##.## %",""," ##.## %","-48.94 %","   .00 %"," 33.33 %","","","","   .00 %","   .00 %"," 25.00 %","-50.00 %"," ##.## %",""," ##.## %","","","-66.67 %","   .00 %","   .00 %","","","-66.67 %","   .00 %","","   .00 %","","","","","","","",""
"2020-06-30","","   .00 %","","","-75.00 %","","   .00 %"," ##.## %","  4.17 %"," ##.## %","","","   .00 %","","-80.00 %"," ##.## %","",""," ##.## %","",""," -8.16 %"," ##.## %","","   .00 %","-16.67 %","","","-33.33 %"," ##.## %","","","   .00 %","","","   .00 %"," ##.## %","-80.00 %","-50.00 %","-52.63 %","-50.00 %","","","",""," ##.## %","-50.00 %","",""," ##.## %","   .00 %","","","","","","","","","",""
"2020-07-01","","","","   .00 %"," ##.## %","   .00 %"," ##.## %"," 83.33 %"," 64.00 %","-50.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","",""," ##.## %"," 78.57 %","-50.00 %","","-44.44 %","-20.00 %","","","-60.00 %","   .00 %","","   .00 %"," 23.73 %","","   .00 %","   .00 %","","","   .00 %","-75.00 %"," ##.## %","   .00 %"," 22.22 %"," ##.## %","","","","   .00 %","-25.00 %","","","","-25.00 %","",""," ##.## %","","","","","","","",""
"2020-07-02","","","","   .00 %","","   .00 %"," ##.## %","-54.55 %"," 31.71 %","","-50.00 %",""," 50.00 %"," ##.## %","   .00 %","","","","   .00 %","","","-24.00 %"," 75.00 %","",""," 50.00 %","",""," ##.## %","-21.92 %","   .00 %","-66.67 %","","","   .00 %","","","   .00 %","   .00 %"," -9.09 %","   .00 %","-50.00 %","   .00 %","","   .00 %","-66.67 %","","","   .00 %","","   .00 %","   .00 %","-80.00 %","","","","","","","",""
"2020-07-03","","","",""," 33.33 %","-50.00 %","-75.00 %","   .00 %"," -9.26 %","   .00 %","","   .00 %","-66.67 %",""," ##.## %","   .00 %","   .00 %","   .00 %","-28.00 %"," ##.## %",""," 21.05 %"," 57.14 %","   .00 %","","-33.33 %","   .00 %","","   .00 %","-96.49 %","","   .00 %","","","","   .00 %","   .00 %","-40.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","-66.67 %",""," ##.## %","","","","","","","",""
"2020-07-04",""," ##.## %","","",""," ##.## %"," 50.00 %","-40.00 %","  4.08 %"," ##.## %","","-50.00 %"," ##.## %","-78.57 %"," ##.## %","   .00 %",""," 50.00 %"," 55.56 %","",""," 47.83 %","-36.36 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","",""," ##.## %","","   .00 %","   .00 %",""," ##.## %",""," 50.00 %","-33.33 %","   .00 %","   .00 %","","","",""," ##.## %"," ##.## %"," ##.## %","","-50.00 %"," ##.## %","   .00 %",""," 50.00 %","","","","","","","",""
"2020-07-05","   .00 %","","","   .00 %"," 50.00 %","-42.86 %"," ##.## %"," ##.## %"," 19.61 %","","",""," ##.## %","-66.67 %","-90.91 %","   .00 %","","-33.33 %"," ##.## %","-50.00 %","   .00 %","-32.35 %","   .00 %","   .00 %","   .00 %"," 60.00 %","-55.56 %","","   .00 %","-53.85 %",""," ##.## %","","","-36.36 %","   .00 %","   .00 %"," 50.00 %"," ##.## %","-10.00 %"," 50.00 %","-80.00 %","","","-66.67 %","   .00 %"," 80.00 %","",""," 50.00 %"," ##.## %","","-33.33 %","","","","","","","",""
"2020-07-06","   .00 %","","","   .00 %","-83.33 %"," 75.00 %","-87.50 %","-43.75 %","  6.56 %"," ##.## %","   .00 %","","","","   .00 %"," 50.00 %","","-50.00 %","-14.06 %"," ##.## %","   .00 %"," 86.96 %","   .00 %","-50.00 %",""," 12.50 %"," 25.00 %",""," ##.## %","-22.22 %","   .00 %"," ##.## %","","","","   .00 %",""," ##.## %","-50.00 %","-22.22 %","-33.33 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %","   .00 %","","-55.56 %"," 50.00 %",""," ##.## %","","","","","","","",""
"2020-07-07","   .00 %","-75.00 %",""," 50.00 %"," ##.## %"," 85.71 %"," ##.## %","   .00 %","-30.77 %","-62.50 %","","   .00 %","-75.00 %",""," ##.## %","-33.33 %","",""," 10.91 %","","   .00 %"," 81.40 %","   .00 %"," ##.## %","-85.71 %"," 55.56 %"," ##.## %","","-80.00 %"," 28.57 %","","-75.00 %","","","","   .00 %","   .00 %"," 14.29 %","","-85.71 %","","-60.00 %","","   .00 %","   .00 %","-25.00 %","-52.38 %","-80.00 %","   .00 %"," 75.00 %","","","-20.00 %","","","","","","","",""
"2020-07-08","","","","","","-76.92 %"," ##.## %","-11.11 %"," 55.56 %","",""," ##.## %","","   .00 %","-50.00 %"," 50.00 %",""," ##.## %"," 11.48 %","   .00 %","","-43.59 %"," 57.14 %","-50.00 %","","-35.71 %","-50.00 %","","   .00 %"," ##.## %","   .00 %","-66.67 %","","","   .00 %","","","-37.50 %","   .00 %","","-50.00 %"," ##.## %","",""," ##.## %","-66.67 %"," 50.00 %",""," ##.## %","-14.29 %","-33.33 %","","-75.00 %","","","","","","","",""
"2020-07-09"," ##.## %","   .00 %","","","   .00 %","","   .00 %","-62.50 %","-24.29 %","   .00 %","   .00 %","-50.00 %","   .00 %",""," ##.## %","","","","-14.71 %","   .00 %","   .00 %","  2.27 %"," ##.## %","-50.00 %","","-55.56 %","-40.00 %",""," ##.## %","-93.04 %",""," ##.## %","","","",""," ##.## %","-20.00 %","   .00 %","   .00 %"," ##.## %","-66.67 %","   .00 %",""," ##.## %"," ##.## %","-66.67 %","   .00 %",""," ##.## %","-50.00 %",""," ##.## %","","","","","","","",""
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","-75.00 %","   .00 %"," 50.00 %"," ##.## %","  7.55 %","-75.00 %"," ##.## %"," ##.## %",""," 16.67 %","   .00 %","-33.33 %","","-66.67 %","  3.45 %","   .00 %"," ##.## %"," -2.22 %","-45.45 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","","-64.29 %","-62.50 %","   .00 %","-57.14 %","   .00 %","","","   .00 %","-83.33 %"," 50.00 %","-50.00 %","-14.29 %","","","   .00 %","   .00 %"," 37.50 %","   .00 %"," ##.## %","","-83.33 %","-76.47 %"," ##.## %","","-40.00 %","","","","","","","",""
"2020-07-11","   .00 %"," ##.## %","","-33.33 %","   .00 %"," ##.## %","-50.00 %"," ##.## %"," 26.32 %",""," 50.00 %","","   .00 %","-57.14 %"," ##.## %","   .00 %","",""," -3.33 %","   .00 %","-33.33 %"," ##.## %"," 83.33 %","-70.00 %","-50.00 %"," 75.00 %"," 50.00 %","   .00 %"," ##.## %"," ##.## %",""," ##.## %","","","-50.00 %","","   .00 %"," 66.67 %","","-16.67 %",""," 50.00 %","   .00 %","","-27.27 %","-33.33 %"," ##.## %","","   .00 %"," 50.00 %","   .00 %"," ##.## %","   .00 %","","","","","","","",""
"2020-07-12","   .00 %"," 50.00 %",""," 50.00 %"," ##.## %"," 81.82 %"," 33.33 %","-81.25 %"," 31.94 %"," ##.## %","   .00 %","   .00 %"," ##.## %","","-90.91 %"," 50.00 %","","   .00 %","-68.97 %"," ##.## %","   .00 %"," -5.62 %","  9.09 %","   .00 %","","-35.71 %"," 58.33 %","","-16.67 %","",""," 28.57 %","","","","   .00 %"," ##.## %","-30.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","-50.00 %","-25.00 %","-50.00 %","-93.94 %","   .00 %"," ##.## %","-16.67 %"," 75.00 %","-92.31 %"," ##.## %","","","","","","","",""
"2020-07-13"," ##.## %"," ##.## %","","","   .00 %",""," ##.## %"," ##.## %"," -7.37 %","-57.14 %","","   .00 %"," ##.## %"," 66.67 %"," ##.## %"," 33.33 %","","-66.67 %"," ##.## %","-33.33 %","-50.00 %","  9.52 %"," 25.00 %","-33.33 %"," ##.## %"," 33.33 %","-42.11 %","","   .00 %","   .00 %"," ##.## %","-88.89 %","   .00 %","","   .00 %","","-42.86 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," 28.57 %","","-30.77 %","","","","","","","",""
"2020-07-14","","   .00 %","-50.00 %","   .00 %","-66.67 %","   .00 %","-14.29 %"," 50.00 %"," 17.05 %","-66.67 %"," 33.33 %","-66.67 %"," 20.00 %"," 20.00 %","-42.86 %"," ##.## %","","   .00 %"," 72.73 %","-12.50 %"," ##.## %","-44.57 %"," 13.33 %"," ##.## %"," 16.67 %"," 25.00 %"," ##.## %",""," 50.00 %"," ##.## %","-33.33 %"," ##.## %"," ##.## %","","   .00 %",""," ##.## %","-42.86 %","-92.86 %"," ##.## %"," ##.## %","-42.86 %","   .00 %"," ##.## %"," 26.67 %"," 40.00 %"," 90.00 %","-90.00 %"," ##.## %"," 33.33 %"," 44.44 %","   .00 %","-55.56 %","","","","","","","",""
"2020-07-15","   .00 %","-87.50 %","","-50.00 %","","-70.59 %","-41.67 %"," 26.67 %","-13.59 %",""," 50.00 %"," ##.## %","-83.33 %"," ##.## %"," ##.## %","-10.00 %",""," ##.## %","-80.00 %"," 14.29 %","-83.33 %"," 82.35 %","  8.82 %","-40.00 %",""," 66.67 %","-65.22 %"," ##.## %"," 46.67 %","-30.61 %","-50.00 %"," ##.## %","-50.00 %","","","   .00 %","-91.30 %"," 75.00 %"," ##.## %","-33.33 %"," 25.00 %","-25.00 %",""," ##.## %"," 42.11 %"," ##.## %","-78.95 %","","-83.33 %","-25.00 %"," -7.69 %"," 50.00 %"," 50.00 %","","","","","","","",""
"2020-07-16","-83.33 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," ##.## %","","","-25.84 %"," ##.## %"," 33.33 %"," 50.00 %","   .00 %","-41.67 %"," 21.43 %"," 88.89 %",""," 33.33 %"," ##.## %","-37.50 %"," ##.## %"," 46.24 %"," 35.14 %"," 66.67 %","","-24.00 %"," ##.## %","","-36.36 %","-33.82 %","   .00 %","-70.00 %","-66.67 %","","   .00 %","   .00 %"," 50.00 %"," 14.29 %"," ##.## %"," 12.50 %","-80.00 %"," ##.## %","",""," 18.52 %","-78.57 %"," ##.## %","   .00 %","   .00 %","  6.67 %","-50.00 %",""," 50.00 %","","","","","","","",""
