"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-04-15","   .00 %","   .00 %","","",""," 66.67 %","","","-43.75 %","","","","",""," ##.## %","","","","","","-80.00 %"," 60.24 %","","","","-90.00 %"," ##.## %","","","","","","","","","",""," ##.## %","","","","","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-16","-66.67 %","","","","","","",""," ##.## %","","","","","","-75.00 %"," ##.## %","","","","",""," 22.56 %","-50.00 %","",""," ##.## %","",""," ##.## %","","","","","",""," 33.33 %","","","","","","","","","-66.67 %","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","-96.55 %","","","","","","-50.00 %"," 33.33 %","","","",""," ##.## %","-17.79 %","","","","","","","-80.00 %","","","","","","","","","","","","","","","","","   .00 %","","","","","-75.00 %","","","","","","","","","",""
"2020-04-18",""," ##.## %","","","","-60.00 %","",""," ##.## %","","","","","",""," ##.## %","","","",""," 33.33 %","-62.69 %"," ##.## %","","","","","","","","","","","","","","","-90.00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","",""
"2020-04-19","","","","","","","","","-93.75 %","","","","","","","","","","","","",""," 33.33 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","",""," ##.## %","","","","","","","-14.29 %","","","","","-75.00 %","-86.00 %","-75.00 %","","","","-90.91 %","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21"," ##.## %","","","","","","","","-22.50 %","","","","","","   .00 %","","","","","",""," ##.## %"," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-22","","","","","","","","","-41.94 %","","","","","","","","","","-##.## %","","","-52.94 %","","","","","","","","","","","","","","-93.33 %","","","","","","","","","","","","","",""," 33.33 %","","","","","","","","","",""
"2020-04-23","","","","","","","",""," 11.11 %","","","","",""," ##.## %","","","","","","   .00 %"," ##.## %","   .00 %","","","-88.24 %"," ##.## %","","","","","","","","","","","",""," ##.## %","","","","","","","","","","   .00 %"," ##.## %","","","","","","","","","",""
"2020-04-24","","","","","","","",""," 85.00 %","","","","","","","","","","","","   .00 %"," ##.## %","-50.00 %","","","","   .00 %","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","-37.14 %","","","","","","","","","",""
