"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/RiBhoi","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","1","","","","","","","","",""
"2020-04-15","","","7","","","","","","","","",""
"2020-04-16","","","9","","","","","","","","",""
"2020-04-18","","","11","","","","","","","","",""
"2020-04-21","","","12","","","","","","","","",""
"2020-05-01","","","12","","","","","","","","",""
"2020-05-09","","","13","","","","","","","","",""
"2020-05-13","","","13","","","","","","","","",""
"2020-05-18","","","13","","","","","","","","",""
"2020-05-20","","","","","","","","","","1","",""
"2020-05-25","","","","1","","","","","","","",""
"2020-05-26","","","18","","","","","","","","",""
"2020-05-28","","","","","","","","","","2","",""
"2020-05-29","","","19","","","","","3","","3","","1"
"2020-06-01","","","","","","","","4","","","",""
"2020-06-02","","","","","","","","","","5","",""
"2020-06-03","","","21","","","","","","","","1",""
"2020-06-07","","","24","","","","","","","","",""
"2020-06-08","","","","","","","","","","","4",""
"2020-06-09","","","","","","1","","5","","","5",""
"2020-06-10","","","25","","","","","","","","",""
"2020-06-12","","","25","1","","","","","","5","",""
"2020-06-13","","","","","","","","","","5","",""
"2020-06-14","","","","","","","","5","","","",""
"2020-06-16","","","","","","","","","","5","",""
"2020-06-17","","","25","","","0","","5","","","",""
"2020-06-18","","","","","","","","","","","5",""
"2020-06-22","","","","","","","","7","","","",""
"2020-06-23","","","","","","","","","","","5",""
"2020-06-26","","","26","","","1","","","","","",""
"2020-06-28","","","28","","","","","","","","",""
"2020-06-29","","","29","","","","","","","","",""
"2020-06-30","","1","","","","","","","","6","",""
"2020-07-01","","","31","","","","","","","","",""
"2020-07-02","","","","","","4","","","","","",""
"2020-07-03","","","33","","","5","","","","7","",""
"2020-07-04","","","36","","","10","","","","","",""
"2020-07-05","","","37","","","11","","","","","",""
"2020-07-06","","","49","","","14","","","","8","",""
"2020-07-07","","","55","","","","","","","","",""
"2020-07-08","","","59","","","16","","7","","","",""
"2020-07-09","","","72","","","","","","","","",""
"2020-07-10","","","136","","","","","","","","",""
"2020-07-16","1","2","307","2","","24","2","7","","12","","1"
"2020-07-17","","","326","","","31","","","","","",""
"2020-07-18","","","333","","","35","","","","15","",""
"2020-07-19","","","364","","","36","","8","","","",""
"2020-07-20","","","380","","","","","","","18","",""
"2020-07-21","","","393","","","43","","","","18","6",""
"2020-07-22","","4","412","","","","","","","","10",""
"2020-07-23","","","425","","","","","11","","21","",""
"2020-07-24","","6","473","","","43","","","","","13",""
"2020-07-25","","10","527","","","","","","","","14",""
"2020-07-26","","15","564","3","","52","","","","","15","4"
