"date","Maryland/Allegany","Maryland/Anne Arundel","Maryland/Baltimore","Maryland/Baltimore City","Maryland/Calvert","Maryland/Caroline","Maryland/Carroll","Maryland/Cecil","Maryland/Charles","Maryland/Dorchester","Maryland/Frederick","Maryland/Garrett","Maryland/Harford","Maryland/Howard","Maryland/Kent","Maryland/Montgomery","Maryland/Prince George's","Maryland/Queen Anne's","Maryland/Somerset","Maryland/St. Mary's","Maryland/Talbot","Maryland/Unassigned","Maryland/Washington","Maryland/Wicomico","Maryland/Worcester"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %"," 11.11 %"," 25.00 %"," 29.17 %","-50.00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","  8.33 %","   .00 %"," 13.25 %"," 17.50 %","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %"," ##.## %","   .00 %"
"2020-03-24","   .00 %"," 20.00 %"," 20.00 %"," 32.26 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.38 %","   .00 %"," 13.83 %"," 34.04 %","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-03-25","   .00 %"," 29.17 %"," 21.43 %"," 29.27 %","   .00 %","   .00 %","   .00 %"," 33.33 %"," 60.00 %","   .00 %"," 75.00 %","   .00 %","   .00 %"," 16.67 %","   .00 %"," 18.69 %"," 20.63 %","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","   .00 %"
"2020-03-26","   .00 %"," 32.26 %"," 58.82 %"," 35.85 %"," ##.## %","   .00 %"," 40.00 %","   .00 %"," 25.00 %","   .00 %"," ##.## %","   .00 %"," 80.00 %"," 40.00 %","   .00 %"," 29.13 %"," 32.89 %"," ##.## %","   .00 %"," ##.## %","   .00 %","","   .00 %"," 25.00 %","   .00 %"
"2020-03-27","   .00 %"," 53.66 %"," 27.16 %"," 22.22 %"," 28.57 %","   .00 %"," 28.57 %"," ##.## %"," 70.00 %","   .00 %","  7.14 %","   .00 %"," ##.## %"," 26.53 %"," ##.## %"," 26.83 %"," 46.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %"," 39.68 %"," 36.89 %"," 27.27 %","-11.11 %","   .00 %"," 11.11 %"," 44.44 %"," 23.53 %","   .00 %"," 46.67 %","   .00 %"," 16.67 %"," 17.74 %","   .00 %"," 22.60 %"," 32.43 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","   .00 %"," 20.00 %"," 20.00 %","   .00 %"
"2020-03-29","   .00 %"," 12.50 %"," 14.89 %"," 15.18 %"," 25.00 %"," ##.## %"," ##.## %","   .00 %"," 33.33 %","   .00 %","  9.09 %","   .00 %","  9.52 %"," 10.96 %"," 50.00 %"," 18.04 %"," 26.02 %","   .00 %","   .00 %"," 12.50 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %"," 11.11 %"," 14.81 %"," 17.83 %"," 20.00 %"," 33.33 %","   .00 %","   .00 %"," 17.86 %","   .00 %","  8.33 %","   .00 %","  4.35 %"," 18.52 %","   .00 %"," 13.29 %"," 19.03 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 16.67 %","   .00 %"," 50.00 %"
"2020-03-31",""," 15.45 %"," 22.04 %"," 23.03 %"," 25.00 %","   .00 %"," 12.20 %","  7.69 %"," 21.21 %",""," 26.92 %","   .00 %","  4.17 %"," 21.88 %","   .00 %"," 13.78 %"," 15.99 %","   .00 %","   .00 %"," 66.67 %","-25.00 %",""," 57.14 %"," 16.67 %","   .00 %"
"2020-04-01",""," 24.41 %"," 27.31 %"," 18.18 %"," 20.00 %","   .00 %","  4.35 %"," 14.29 %"," 40.00 %","   .00 %","  6.06 %","   .00 %"," 36.00 %"," 21.37 %","   .00 %"," 15.21 %"," 18.18 %"," 75.00 %"," ##.## %"," 26.67 %"," 33.33 %","   .00 %"," 36.36 %","   .00 %"," 33.33 %"
"2020-04-02","   .00 %"," 30.38 %"," 22.15 %"," 19.91 %"," 22.22 %","   .00 %","  9.38 %"," 25.00 %"," 23.21 %","   .00 %"," 28.57 %","   .00 %","  8.82 %","  7.04 %"," 66.67 %"," 11.41 %"," 17.37 %"," 14.29 %","   .00 %"," 42.11 %","   .00 %","   .00 %"," 13.33 %","   .00 %"," 25.00 %"
"2020-04-03"," ##.## %"," 20.87 %"," 20.96 %"," 18.11 %"," 36.36 %","   .00 %"," 22.86 %"," 25.00 %"," 30.43 %","   .00 %"," 20.00 %","   .00 %"," 10.81 %","  9.21 %","   .00 %"," 13.65 %"," 19.03 %"," 50.00 %","   .00 %"," 11.11 %"," 25.00 %","   .00 %"," 58.82 %","   .00 %","   .00 %"
