"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-09-08","","  2.05 %","  1.29 %","  6.16 %","",""," 25.00 %","  3.17 %","  6.06 %","   .00 %","  7.06 %","  3.03 %"," 14.06 %","  1.47 %","","  7.14 %","   .00 %","","   .97 %","   .47 %","","  8.00 %","   .64 %","   .00 %","  5.02 %"
"2020-09-09","","  2.01 %","  1.27 %","  3.04 %","","   .00 %"," 10.00 %","  6.15 %","  1.71 %",""," 16.48 %","   .74 %","  9.59 %","   .97 %","","  2.96 %","  5.00 %","   .00 %","   .96 %","  1.40 %","","   .00 %","  2.55 %","  2.69 %","  3.07 %"
"2020-09-10","   .00 %","   .00 %","   .00 %","  3.22 %","","","  9.09 %","   .00 %","  2.25 %","  2.82 %","  9.43 %","   .00 %"," 13.75 %","   .48 %","","  3.90 %","   .00 %","","   .00 %","   .92 %","","  4.94 %","  1.24 %","   .24 %","   .33 %"
"2020-09-11","","  1.08 %","   .84 %","  2.60 %","",""," 33.33 %","  7.25 %","  1.10 %","","  3.45 %","  2.19 %","  9.89 %","   .48 %","   .00 %","  4.35 %","","  2.38 %","   .48 %","","","  4.71 %","  1.23 %","   .24 %","  3.30 %"
"2020-09-12","  1.30 %","  3.90 %","","  1.52 %","",""," 25.00 %","  5.41 %","   .54 %","  4.11 %","  1.67 %","","  2.00 %","   .47 %","","  3.13 %","","","  3.32 %","  1.37 %",""," 11.24 %","  1.21 %","","   .64 %"
"2020-09-13","  1.28 %","  1.19 %","   .41 %","  1.50 %","","","","   .00 %","  2.70 %","  9.21 %"," 13.11 %","  4.29 %","  5.88 %","   .00 %","  3.57 %","  3.49 %","   .00 %","","  1.83 %","   .00 %"," ##.## %","  3.03 %","","   .47 %","   .63 %"
"2020-09-14","","  3.37 %","   .41 %","  2.46 %","","","","  2.56 %","   .53 %","  3.61 %","  3.62 %","  4.11 %","  8.33 %","","  6.90 %","  3.99 %","   .00 %","  2.33 %","  2.25 %","   .90 %","","  1.96 %","   .60 %","  2.36 %","  1.89 %"
"2020-09-15"," -1.27 %","  1.63 %","","  1.20 %","",""," -5.00 %","   .00 %","  1.05 %","  4.65 %","  1.40 %","   .00 %","  5.98 %","   .94 %","  3.23 %","  4.57 %","   .00 %","","  3.08 %","   .89 %","","   .00 %","  1.19 %","  3.46 %","  1.24 %"
"2020-09-16","  6.41 %","  1.93 %","  3.29 %","  2.84 %","","","   .00 %","  2.50 %","   .00 %","  3.33 %","  6.21 %","   .00 %"," 10.48 %","   .00 %","","  5.35 %","","","  2.14 %","  2.65 %","","  2.88 %","   .59 %","   .00 %","  4.89 %"
"2020-09-17","  9.64 %","   .16 %","   .40 %","   .92 %","",""," 21.05 %","  1.22 %","  2.59 %","  1.08 %","   .00 %","   .00 %","  7.30 %","   .93 %","","  3.72 %","","","  1.67 %","   .00 %","","   .93 %","  1.17 %","  2.45 %","  2.33 %"
"2020-09-19","","  2.99 %","  3.97 %","  1.60 %","","","  4.35 %","   .00 %","  1.01 %"," 13.83 %","  3.90 %","","  4.08 %","  1.39 %","  9.38 %","  4.45 %","","","   .00 %","  2.16 %","","  1.85 %","  1.16 %","  1.30 %"," 11.68 %"
"2020-09-20","","   .31 %","  1.15 %","   .00 %","","","  4.17 %","  3.61 %","   .00 %","  5.61 %","   .62 %","  1.97 %","   .00 %","","  8.57 %","  2.79 %","","","   .41 %","   .84 %","","   .00 %","","  3.86 %","  3.57 %"
"2020-09-21","  1.10 %","  2.74 %","   .75 %","  1.80 %","",""," 12.00 %","  2.33 %","","  6.19 %","   .62 %","  7.10 %","  1.96 %","  1.37 %"," 31.58 %","  3.83 %","","   .00 %","  3.28 %","   .00 %","","  2.73 %","  2.86 %","   .62 %","  2.46 %"
"2020-09-22","  7.61 %","  3.26 %","   .00 %","  1.77 %",""," 25.00 %","  7.14 %","  2.27 %","   .50 %","  1.67 %","  1.23 %","  3.01 %","  4.49 %","   .45 %","  6.00 %","  4.79 %","","","  2.38 %","   .42 %","","  3.54 %"," 11.67 %","   .41 %","  2.16 %"
"2020-09-23","  6.06 %","  2.44 %","   .37 %","  2.82 %",""," 40.00 %","   .00 %","   .00 %","  3.98 %","  4.92 %","  3.05 %","  1.17 %","   .00 %","  3.59 %"," 16.98 %","  5.82 %","","  2.27 %","   .39 %","   .42 %","","  5.13 %","  3.48 %","  1.23 %","  1.88 %"
"2020-09-24","","  1.26 %","  1.12 %","  2.11 %","","","   .00 %","   .00 %","  1.91 %"," 20.31 %","   .00 %","","  5.52 %","   .87 %","  1.61 %","  5.26 %"," 14.29 %","  2.22 %","   .39 %","  9.13 %","","  1.63 %","  5.29 %","   .20 %","   .92 %"
"2020-09-25","   .00 %","  3.04 %","   .37 %","  1.24 %","",""," 20.00 %","  4.44 %","  2.35 %","   .00 %","  1.18 %","  1.16 %","  6.40 %","  2.58 %","  1.59 %","  3.70 %","","   .00 %","  1.15 %","  1.14 %","   .00 %","  4.00 %","  2.74 %","  7.86 %","   .92 %"
"2020-09-26","","  1.88 %","   .37 %","  4.29 %"," 33.33 %",""," 27.78 %","","","  3.25 %","   .58 %","  2.29 %","  2.73 %","   .42 %","","  2.60 %","","","  4.56 %","  1.13 %","","  1.54 %","  3.11 %","  1.87 %","  1.59 %"
"2020-09-27","  1.90 %","   .13 %","","  1.57 %",""," ##.## %","  8.70 %","   .00 %","   .46 %","  1.26 %","   .00 %","  3.91 %","   .53 %","   .83 %","","  1.83 %","","","   .73 %","   .74 %","   .00 %","","  1.29 %","   .18 %","  2.90 %"
"2020-09-28","   .93 %","  1.05 %","   .73 %","  2.31 %","",""," 12.00 %","","  5.94 %","   .00 %","  2.33 %"," 11.29 %","  1.06 %","  1.65 %","  3.12 %","  5.38 %","","","   .00 %","  1.85 %","","","  5.11 %","  1.65 %","  5.21 %"
"2020-09-29","","  1.56 %","","  2.26 %","","","  8.93 %","  1.06 %","   .86 %","   .62 %","  1.14 %","  6.28 %","  2.09 %","  2.44 %","  1.52 %","  2.67 %","","  4.35 %","  1.81 %","  3.62 %","","","  8.10 %","   .00 %","  3.92 %"
"2020-09-30","   .00 %","  1.92 %","   .73 %","  1.29 %",""," 12.00 %"," 14.75 %","  5.26 %","   .43 %","  1.85 %","   .00 %","  2.73 %","   .51 %","  1.19 %","  2.99 %","  3.21 %","","","  1.42 %","  2.80 %","","  1.52 %","  4.87 %","  2.34 %","  2.98 %"
"2020-10-01","   .00 %","  1.01 %","  1.08 %","   .91 %","","  3.57 %","  7.14 %","   .00 %","  8.51 %","  3.03 %","  3.37 %","  6.19 %","  2.04 %","  1.57 %","  1.45 %","  2.23 %","  4.17 %","  4.17 %","  2.10 %","  3.40 %","","  1.49 %","  2.50 %","   .35 %","  4.62 %"
"2020-10-02"," 34.26 %","   .25 %","   .71 %","   .90 %","","","  6.67 %","  2.00 %","   .39 %","   .59 %","  3.80 %","   .42 %","  1.50 %","   .00 %","   .00 %","  2.16 %","   .00 %","","  2.05 %","  1.32 %","","  3.68 %","   .35 %","  1.23 %","  3.31 %"
"2020-10-03","   .69 %","  1.99 %","   .35 %","  1.79 %"," ##.## %","","  1.25 %","  3.92 %","  3.52 %","  2.92 %","  1.57 %","   .83 %","  3.94 %","  3.09 %","  5.71 %","  1.84 %","  4.00 %","","   .67 %","  4.55 %","","   .00 %","   .35 %","   .87 %","  2.50 %"
"2020-10-04","","  1.83 %","  2.47 %","   .53 %","",""," -4.94 %","  5.66 %","   .75 %","   .57 %","   .52 %","  1.23 %","  3.32 %","   .00 %","   .00 %","  1.18 %","","   .00 %","  2.33 %","  1.24 %","","  3.55 %","   .00 %","  1.20 %","  1.74 %"
"2020-10-05","  2.74 %","  2.39 %","  1.03 %","  1.57 %","","  3.45 %","  3.90 %","   .89 %"," 11.24 %","  2.82 %","   .51 %","  3.25 %","  2.29 %","   .37 %","  2.70 %","  1.61 %","","  6.00 %","  2.61 %","  2.76 %","","   .00 %","  1.73 %","   .34 %","  7.18 %"
"2020-10-06","   .67 %","  3.27 %","   .00 %","  2.92 %","","","","  7.08 %","   .67 %","   .55 %","  3.06 %","  1.18 %","  4.04 %","  1.49 %","","  2.02 %","","","   .32 %","  4.78 %","","  3.42 %","  1.36 %","   .51 %","  3.67 %"
