"date","West Virginia/Barbour","West Virginia/Berkeley","West Virginia/Boone","West Virginia/Braxton","West Virginia/Brooke","West Virginia/Cabell","West Virginia/Calhoun","West Virginia/Clay","West Virginia/Doddridge","West Virginia/Fayette","West Virginia/Gilmer","West Virginia/Grant","West Virginia/Greenbrier","West Virginia/Hampshire","West Virginia/Hancock","West Virginia/Hardy","West Virginia/Harrison","West Virginia/Jackson","West Virginia/Jefferson","West Virginia/Kanawha","West Virginia/Lewis","West Virginia/Lincoln","West Virginia/Logan","West Virginia/Marion","West Virginia/Marshall","West Virginia/Mason","West Virginia/McDowell","West Virginia/Mercer","West Virginia/Mineral","West Virginia/Mingo","West Virginia/Monongalia","West Virginia/Monroe","West Virginia/Morgan","West Virginia/Nicholas","West Virginia/Ohio","West Virginia/Pendleton","West Virginia/Pleasants","West Virginia/Pocahontas","West Virginia/Preston","West Virginia/Putnam","West Virginia/Raleigh","West Virginia/Randolph","West Virginia/Ritchie","West Virginia/Roane","West Virginia/Summers","West Virginia/Taylor","West Virginia/Tucker","West Virginia/Tyler","West Virginia/Unassigned","West Virginia/Upshur","West Virginia/Wayne","West Virginia/Webster","West Virginia/Wetzel","West Virginia/Wirt","West Virginia/Wood","West Virginia/Wyoming"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","0","0","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","4","0","0","0","0","2","0","0","2","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","","0","0","0","0","0","0","0"
"2020-03-25","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","4","0","0","0","0","2","0","0","2","0","0","16","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","","0","0","0","0","0","1","0"
"2020-03-26","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","4","3","5","0","0","1","1","2","0","0","2","0","0","18","0","0","0","2","0","0","0","2","2","1","0","0","0","0","0","2","0","","0","0","0","0","0","1","0"
"2020-03-27","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","15","0","0","1","2","3","1","0","2","0","0","24","0","0","0","1","0","0","0","1","2","2","0","0","0","0","0","2","0","","1","0","0","0","0","2","0"
"2020-03-28","0","9","0","0","0","0","0","0","0","0","0","0","1","0","1","0","4","6","4","17","0","0","1","3","3","3","0","2","0","0","23","0","0","0","6","0","1","0","1","3","3","0","0","0","0","0","2","0","","1","0","0","0","0","2","0"
"2020-03-29","0","10","0","0","0","0","0","0","0","0","0","0","2","0","3","0","5","7","4","19","0","0","1","5","4","3","0","2","0","0","29","0","0","0","6","0","1","0","1","3","3","0","0","0","0","0","2","0","","1","0","0","0","0","2","0"
"2020-03-30","0","14","0","0","0","1","0","0","0","0","0","0","3","0","3","0","10","8","6","23","0","0","2","5","4","3","0","2","0","0","31","0","1","0","9","0","1","0","2","4","3","1","0","2","0","0","2","0","","1","0","0","1","1","2","0"
"2020-03-31","","16","","","","1","","","","","","","3","","3","1","11","9","8","31","","","2","5","4","3","","2","","","31","","1","","10","","1","","3","4","3","1","","2","","","2","","","1","","","1","1","2",""
"2020-04-01","1","21","","","","1","","","","","","","3","","6","1","14","11","9","37","","","3","8","4","3","","2","","","32","","1","","11","","1","","3","5","3","1","","2","","","2","","","1","","","2","1","2",""
"2020-04-02","1","27","","","","3","","","","","","","3","","5","2","17","11","12","39","","","4","10","4","3","","3","","","35","","1","","10","","1","","3","5","3","2","","2","","","3","","0","1","","","2","1","3",""
"2020-04-03","1","37","","","","5","","","","","","","3","","5","2","17","11","12","40","","","4","11","4","3","","3","2","","35","","1","","11","1","1","","4","5","3","2","","2","","","3","","","1","","","2","1","5",""
"2020-04-04","2","49","","","","5","","","","","","","3","","6","2","19","13","17","48","","","5","13","4","4","","3","2","","40","","1","","11","1","1","","5","5","4","3","","2","","","3","","","1","","","2","1","7",""
"2020-04-05","2","54","","","","5","","","","","","","3","","6","2","24","14","21","51","","","5","14","5","4","","3","2","","49","","3","","18","1","1","","5","6","4","3","","2","","","3","","","1","","","2","1","10",""
"2020-04-06","2","54","","","","7","","","","","","","3","","6","2","25","16","22","56","1","","6","17","5","4","","4","2","","53","","3","","15","1","1","","4","8","4","3","","2","","1","3","","","1","","","2","1","11",""
"2020-04-07","3","57","","","1","11","","","","1","","","3","","7","2","25","19","31","61","1","","7","25","5","6","2","5","3","","60","","4","2","19","1","1","","6","10","4","3","","2","","3","3","1","","1","","","2","1","13","1"
"2020-04-08","4","66","1","1","1","12","","","","1","","","3","1","7","2","29","19","38","69","1","","8","30","5","6","3","6","3","","68","","4","2","18","1","1","","6","10","4","3","","2","","3","3","1","21","1","","","3","1","14","1"
"2020-04-09","5","82","1","1","2","17","","","","1","","","3","2","7","2","29","20","45","73","1","","8","31","5","7","4","7","3","","76","","4","2","20","1","1","","6","10","5","3","","2","","3","3","1","0","2","","","3","1","14","1"
"2020-04-10","4","89","1","1","3","21","","","","3","","","3","3","7","2","28","23","46","82","2","","8","32","6","7","4","8","3","","78","1","5","2","21","1","1","","6","10","5","3","","2","","3","3","3","0","3","17","","3","2","18","1"
"2020-04-11","4","89","1","1","3","21","","","","2","","","3","4","7","2","28","23","46","82","2","","8","32","6","7","4","8","4","","78","1","6","2","21","1","1","","6","10","5","4","","2","","3","3","3","0","3","17","","3","2","18","1"
"2020-04-12","4","92","1","1","3","22","","","","2","","","3","4","7","2","28","23","49","83","2","","8","32","6","8","5","8","4","","81","1","6","2","21","1","1","","6","11","5","4","","2","1","3","4","3","0","3","17","","3","2","18","1"
"2020-04-13","4","92","1","1","3","23","","","","2","","1","3","4","7","2","28","27","49","86","2","","8","34","6","8","5","8","4","1","83","1","6","2","25","1","1","","6","11","5","4","","2","1","3","4","3","0","3","17","","3","2","18","1"
"2020-04-14","4","100","1","1","3","26","","","","2","","1","3","5","7","2","28","30","52","85","2","","8","38","6","10","6","8","5","1","81","1","6","2","23","1","1","","6","12","6","4","","2","1","4","4","3","0","3","19","","3","2","21","1"
"2020-04-15","4","99","1","1","3","28","","","","2","","1","3","7","7","2","28","33","54","88","2","1","8","41","7","9","6","8","6","1","83","1","6","3","22","1","1","","6","13","6","4","","2","1","4","4","3","0","3","61","","3","2","22","1"
