"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-03-22","0","0","0","1","0","0","0","0","0","0","0","","0","0","1"
"2020-03-23","0","0","0","1","0","0","0","0","0","0","0","3","0","0","1"
"2020-03-24","0","0","0","4","0","0","0","0","0","0","0","2","0","0","1"
"2020-03-25","0","0","0","4","0","0","0","0","0","0","0","3","0","0","1"
"2020-03-26","0","0","0","4","0","0","0","0","0","0","0","4","0","0","1"
"2020-03-27","0","0","0","4","0","0","0","0","0","0","0","5","0","0","1"
"2020-03-28","0","0","0","4","0","0","0","0","0","0","0","7","0","0","1"
"2020-03-29","0","0","0","4","0","0","0","0","0","0","0","7","0","0","1"
"2020-03-30","0","0","0","4","0","0","0","0","0","0","0","7","0","0","1"
"2020-03-31","0","0","0","4","","0","","0","0","0","0","8","0","0","1"
"2020-04-01","0","0","0","4","","0","","0","0","0","0","11","0","0","1"
"2020-04-02","0","0","0","4","","0","","0","0","0","0","12","0","0","1"
"2020-04-03","0","0","0","4","","0","","0","0","0","0","12","0","0","1"
"2020-04-04","0","0","0","4","","0","","0","0","0","0","15","0","0","1"
"2020-04-05","0","0","0","4","","0","","0","0","0","0","17","0","0","1"
"2020-04-06","0","0","0","4","","0","","0","0","0","0","18","0","0","1"
"2020-04-07","0","0","0","4","","0","0","0","0","0","0","18","0","0","1"
"2020-04-08","0","0","0","4","","0","0","0","0","0","0","18","0","0","1"
"2020-04-09","0","1","0","15","0","3","0","1","0","0","0","0","0","1","2"
"2020-04-10","0","1","0","15","0","3","0","1","0","0","0","1","0","1","2"
"2020-04-11","0","1","0","16","0","3","0","2","0","0","0","0","0","1","2"
"2020-04-12","1","1","0","17","0","3","0","2","0","0","0","0","0","1","2"
"2020-04-13","1","1","0","18","0","3","0","2","0","0","0","0","0","1","2"
"2020-04-14","1","1","0","19","0","3","0","2","0","0","0","0","0","1","2"
"2020-04-15","1","1","0","19","0","3","0","2","0","0","0","0","0","1","2"
"2020-04-16","1","1","0","22","0","3","0","2","0","0","0","0","0","2","2"
"2020-04-17","1","1","0","22","0","3","0","2","0","0","1","0","1","2","2"
"2020-04-18","2","1","0","23","0","3","0","2","0","0","1","1","1","2","2"
"2020-04-19","2","1","0","23","0","3","0","2","0","0","1","1","1","2","2"
