"date","Goa/Chicalim Vasco","Goa/North Goa","Goa/Other State","Goa/Sanquelim","Goa/South Goa"
"2020-03-25","","","","",""
"2020-04-04","","","","",""
"2020-05-14","","","","",""
"2020-05-16","","","","",""
"2020-05-17","","","","",""
"2020-05-18","","","","",""
"2020-05-19","","","",""," 39.69 %"
"2020-05-20","","","",""," 41.74 %"
"2020-05-21","","","",""," 30.17 %"
"2020-05-22","","","",""," 17.21 %"
"2020-05-23","","","","","  9.46 %"
"2020-05-24","","","","","  8.88 %"
"2020-05-25","","","","","  6.83 %"
"2020-05-30","","","","","  6.24 %"
"2020-05-31","","","","","  5.68 %"
"2020-06-01","","","","","  5.91 %"
"2020-06-02","","","","","  3.23 %"
"2020-06-03","","","",""," 16.86 %"
"2020-06-04","","","",""," 23.41 %"
"2020-06-05","","","",""," 26.93 %"
"2020-06-06","","","",""," 32.94 %"
"2020-06-07","","","",""," 33.45 %"
"2020-06-08","","","",""," 23.07 %"
"2020-06-09","","","",""," 17.97 %"
"2020-06-10","","","",""," 15.48 %"
"2020-06-11","","","","","  7.70 %"
"2020-06-12","","","","","  7.48 %"
"2020-06-13","","","","","  6.98 %"
"2020-06-14","",""," ##.## %","","  6.75 %"
"2020-06-15","",""," ##.## %","","  6.09 %"
"2020-06-16","","","  6.75 %","","  8.40 %"
"2020-06-17",""," 11.67 %","","","  6.81 %"
"2020-06-18",""," 23.67 %","  4.93 %","","  5.54 %"
"2020-06-19",""," 34.50 %","  3.53 %","","  4.11 %"
"2020-06-20","","","  3.17 %","","  3.98 %"
"2020-06-21",""," 43.83 %","  3.90 %","","  4.33 %"
"2020-06-22",""," 46.56 %","  3.26 %","","  4.46 %"
"2020-06-23",""," 43.16 %","","","  3.38 %"
"2020-06-24",""," 38.57 %","  3.26 %","","  3.30 %"
"2020-06-25",""," 23.23 %","  4.57 %","","  3.27 %"
"2020-06-26",""," 16.82 %","  5.14 %","","  2.12 %"
"2020-06-27",""," 18.78 %","  4.11 %","","  2.24 %"
"2020-06-28",""," 18.21 %","  3.61 %","","  2.43 %"
"2020-06-29",""," 18.35 %","  4.93 %","","  2.74 %"
"2020-06-30",""," 20.47 %","  3.89 %","","  2.21 %"
"2020-07-01",""," 21.07 %","  4.60 %","","  1.92 %"
"2020-07-02",""," 19.89 %","","","  1.92 %"
"2020-07-03",""," 23.54 %","","","  2.03 %"
"2020-07-04",""," 22.43 %","  4.60 %","","  3.14 %"
"2020-07-05",""," 22.58 %","  3.56 %","","  3.26 %"
"2020-07-06",""," 20.90 %","  2.88 %","","  3.70 %"
"2020-07-07",""," 20.01 %","  2.81 %","","  3.04 %"
"2020-07-08",""," 16.60 %","  1.26 %","","  4.25 %"
"2020-07-09",""," 11.46 %","  1.26 %","","  3.81 %"
"2020-07-10","","  8.91 %","  1.10 %","","  3.87 %"
"2020-07-11","","  8.36 %","  1.06 %","","  3.72 %"
"2020-07-12","","  7.46 %","  2.35 %","","  3.83 %"
"2020-07-13","","  8.40 %","  2.62 %","","  3.85 %"
"2020-07-14","","  8.88 %","  2.75 %","","  4.01 %"
"2020-07-15","","  8.33 %","  3.15 %","","  5.75 %"
"2020-07-16","","  8.93 %","  2.55 %","","  5.58 %"
"2020-07-17","","  9.13 %","  1.18 %","","  5.89 %"
"2020-07-18","","  6.92 %","  1.29 %","","  5.83 %"
"2020-07-19","","  5.38 %","  1.91 %","","  4.65 %"
"2020-07-20","","  4.17 %","  2.35 %","","  3.15 %"
"2020-07-21","","  2.88 %","  2.35 %","","  3.77 %"
"2020-07-22","","  1.40 %","  1.96 %","","  3.72 %"
"2020-07-23","","  2.15 %","  1.93 %","","  2.13 %"
"2020-07-24","","  1.92 %","  1.18 %","","  2.13 %"
"2020-07-25","","  1.79 %","   .34 %","","  2.11 %"
"2020-07-26","","  1.17 %","   .34 %","","  1.28 %"
"2020-07-27","","  2.20 %","  1.36 %","","  1.27 %"
"2020-07-28","","  1.45 %","  1.02 %","","  1.04 %"
