"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 69.23 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 43.18 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.16 %","   .00 %","   .00 %"
"2020-03-28","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," 75.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %","  4.88 %","   .00 %","   .00 %"
"2020-03-29","   .00 %"," 76.92 %","   .00 %","   .00 %","   .00 %","   .00 %"," 85.71 %","   .00 %"," 50.00 %","   .00 %","   .00 %"," ##.## %"," 33.33 %"," ##.## %"," 50.00 %"," 42.86 %","   .00 %"," 50.00 %","   .00 %","-34.88 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 62.50 %","   .00 %","   .00 %"
"2020-03-31","   .00 %","-82.61 %","-##.## %"," ##.## %","   .00 %","   .00 %","-69.23 %","-##.## %","-71.43 %","   .00 %","   .00 %","-##.## %","-75.00 %","-87.50 %","-83.33 %","-90.00 %","   .00 %","-83.33 %","-##.## %"," ##.## %","-##.## %","-##.## %"
"2020-04-01","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," ##.## %","   .00 %","-##.## %","   .00 %","   .00 %"
"2020-04-02","   .00 %"," 60.00 %"," 60.00 %"," ##.## %","   .00 %","   .00 %"," 43.48 %","   .00 %"," 51.72 %","   .00 %"," 33.33 %"," 77.78 %"," 58.33 %"," 60.00 %"," 65.22 %"," 46.67 %","   .00 %"," 13.33 %"," 16.67 %","   .00 %"," 17.24 %","   .00 %"
"2020-04-03","   .00 %"," 10.00 %"," 12.50 %"," 16.67 %","   .00 %","   .00 %"," 19.19 %"," 50.00 %"," 34.09 %","   .00 %"," 25.00 %"," 16.67 %"," 26.32 %","  7.50 %"," 18.42 %"," 54.55 %"," ##.## %"," 35.29 %"," 14.29 %","   .00 %"," 32.35 %","   .00 %"
"2020-04-04","   .00 %"," 35.61 %"," 11.11 %"," 14.29 %","   .00 %"," ##.## %"," 31.36 %","   .00 %"," 32.20 %","   .00 %"," ##.## %"," 35.71 %"," 12.50 %"," 18.60 %"," 24.44 %"," 11.76 %","   .00 %","  4.35 %"," 12.50 %"," ##.## %"," 46.67 %"," ##.## %"
"2020-04-05","   .00 %","  5.59 %"," 10.00 %","   .00 %","   .00 %","   .00 %"," 10.97 %","   .00 %"," 11.54 %"," ##.## %"," 23.08 %","  5.26 %","  7.41 %","  7.84 %"," 10.71 %"," 10.53 %","   .00 %","  8.33 %","   .00 %"," -7.14 %","  7.58 %","   .00 %"
"2020-04-06","   .00 %","  5.82 %","   .00 %","   .00 %"," 50.00 %","   .00 %","  8.14 %","   .00 %","  5.75 %","   .00 %"," 18.75 %","  8.75 %","  6.90 %","  9.09 %"," 14.52 %"," 26.19 %","   .00 %"," 19.23 %"," 22.22 %","  7.69 %","  9.86 %"," 16.67 %"
"2020-04-07"," ##.## %"," 31.50 %"," 18.18 %"," 50.00 %","-33.33 %","   .00 %"," 24.73 %"," 66.67 %"," 11.96 %","   .00 %"," 26.32 %"," 14.94 %"," 14.52 %"," 45.00 %"," 19.72 %"," 16.98 %"," 50.00 %"," 29.03 %"," 36.36 %","-64.29 %"," 21.79 %","   .00 %"
