"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","","",""
"2020-05-30","","","","","","","","","","","",""
"2020-05-31","","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","","",""
"2020-06-04","","","","","","","","","","","",""
"2020-06-06","8","","","","","","","","","","",""
"2020-06-07","8","","","","","","","","","","",""
"2020-06-08","8","","","","","","","","","","",""
"2020-06-09","8","","2","","","","","","","","",""
"2020-06-10","12","","10","","","","","","","","",""
"2020-06-11","19","","10","","","","","","","","",""
"2020-06-12","27","","10","","","","","","","","",""
"2020-06-13","54","","","","","","","","","","",""
"2020-06-14","0","","0","","","","","","","","",""
"2020-06-15","0","","","","","","","","","","",""
"2020-06-16","","","0","","","","","","","","",""
"2020-06-17","0","","","","","","","","","","",""
"2020-06-18","4","","","","","","","2","","","",""
"2020-06-19","4","","0","","","","","","","","",""
"2020-06-20","","","0","","","","","","","","",""
"2020-06-21","","","0","","","","","","","","",""
"2020-06-22","4","","","","","","","2","","","",""
"2020-06-23","4","","0","","","","","2","","","",""
"2020-06-24","9","","2","","","","","","","","",""
"2020-06-25","17","","4","","","","","4","","","",""
"2020-06-26","","","","","","","","6","","","",""
"2020-06-27","19","","4","","","","","6","","","",""
"2020-06-28","19","","4","","","","","6","","","",""
"2020-06-29","","","","","","","","6","","","",""
"2020-06-30","19","","","","","","","","","","",""
"2020-07-01","19","","4","","","","","6","","","",""
"2020-07-02","19","","4","","","","","6","","","",""
"2020-07-03","29","","14","","","","","16","1","","",""
"2020-07-04","","","14","","","","","16","","","",""
"2020-07-05","29","","14","","","","","16","","","",""
"2020-07-06","29","","","","","","","","","","",""
"2020-07-07","","","14","","","","","","","","",""
"2020-07-08","29","","14","","","","","","","","",""
"2020-07-09","","","","","","","","16","1","","",""
"2020-07-10","29","","14","","","","","16","1","","",""
"2020-07-11","","","14","","","","","","","","",""
"2020-07-12","29","","15","","","","","21","9","","",""
"2020-07-13","29","","15","","","","","","","","",""
"2020-07-14","29","","15","","","","","21","","","",""
"2020-07-15","30","","16","","","","","","","","",""
"2020-07-16","30","","16","","","","","64","","","",""
"2020-07-17","30","","","","","","","78","","","",""
"2020-07-18","30","","16","","","","","78","","","",""
"2020-07-19","30","","16","","","","","","","","",""
"2020-07-20","30","","16","","","","","","","","",""
"2020-07-21","30","","","","","","","78","","","",""
"2020-07-22","30","","16","","","","","78","","","",""
"2020-07-23","63","4","38","2","4","33","46","270","10","44","10","6"
"2020-07-24","63","","45","","","","","270","","44","",""
"2020-07-25","60","","45","","4","33","","273","15","43","",""
"2020-07-26","61","","50","4","","33","","","","","",""
"2020-07-27","65","","51","","5","33","","286","","","11",""
"2020-07-28","65","","54","","","33","","291","15","43","11",""
"2020-07-29","65","","55","","","35","","301","16","47","",""
"2020-07-30","65","","55","5","5","64","","","","","",""
"2020-07-31","65","","55","","7","","","309","","","",""
"2020-08-01","65","","58","","","","","310","","","","7"
"2020-08-02","65","","66","","","64","","","16","","11","7"
"2020-08-03","65","","75","","","","","","","","","7"
"2020-08-04","65","","","","","64","","","18","","",""
"2020-08-05","65","","73","","9","69","","328","","","","10"
"2020-08-06","153","","83","","11","99","","","18","50","","11"
"2020-08-07","153","","83","","","","","","","","","16"
"2020-08-08","205","","92","","13","","","","23","","12","16"
"2020-08-09","205","","93","","","99","","328","29","","16","16"
"2020-08-10","237","","105","","","122","","328","","","18",""
"2020-08-11","238","","116","","","","","","","50","",""
"2020-08-12","312","","121","","12","170","","","","","18","18"
"2020-08-13","311","","148","","","170","","","","","","18"
"2020-08-14","349","","162","","15","170","","329","30","","20","18"
"2020-08-15","403","","230","","16","","","","","50","20",""
"2020-08-16","460","","232","","17","211","","","","","","18"
"2020-08-17","532","","262","","17","215","","","32","","","18"
"2020-08-18","611","","298","","","215","","","","","","37"
"2020-08-19","641","4","303","","","","","","","","27",""
"2020-08-20","833","","324","","","215","","","","","","39"
"2020-08-21","874","","414","","","","","342","","","","48"
"2020-08-22","892","","486","5","","","","344","","50","27",""
"2020-08-23","992","","507","","17","219","","","","50","","51"
"2020-08-24","1076","","525","5","","","","","","","","51"
"2020-08-25","1169","","613","6","18","219","","344","","","27","83"
"2020-08-26","1169","","613","","18","","","","","","",""
"2020-08-27","1203","","665","","","257","","","","50","",""
"2020-08-28","1313","","670","","","257","","","","","27","83"
"2020-08-29","1329","","708","","","258","","","32","51","29",""
"2020-08-30","1398","","737","","18","257","","","","51","","95"
"2020-08-31","1424","5","750","","19","","","","","","",""
"2020-09-01","1501","","801","","","260","","","","53","",""
"2020-09-02","1507","","814","","19","","","345","","53","30","96"
"2020-09-03","1511","","900","7","","260","","","","","","106"
"2020-09-04","1517","","927","","","","","","32","","31","109"
"2020-09-05","1526","","961","","19","285","","","","","",""
"2020-09-06","1602","","962","","","285","","","","","",""
"2020-09-07","1680","","1053","6","20","286","","347","","57","33",""
"2020-09-08","1732","5","1055","","20","286","","","","","",""
"2020-09-09","1736","","1090","","22","293","","","","","",""
"2020-09-10","1736","","1090","","22","","","","","","","114"
"2020-09-11","1740","","1095","","22","293","","347","","","33","115"
"2020-09-12","1740","","1120","","","298","","347","33","","",""
"2020-09-13","1763","","1144","","22","","","","","70","34",""
"2020-09-14","1767","14","1144","","","299","","","","","",""
"2020-09-15","1767","","1171","","25","299","","","","70","",""
"2020-09-16","1781","","1194","","27","300","","","34","","",""
"2020-09-17","1861","","1224","","","300","","","","","","116"
"2020-09-18","1875","","1232","","27","307","","347","","70","",""
"2020-09-19","1885","","1260","","","309","","","","72","","116"
"2020-09-20","1953","","1267","","","311","","","","73","",""
"2020-09-21","2091","","1352","6","","","","","34","73","",""
"2020-09-22","2064","","1412","","","318","","","","73","",""
"2020-09-23","2066","","1427","","","318","","","","73","35",""
"2020-09-24","2105","","1472","","","318","","","","75","","119"
"2020-09-25","2139","16","1528","","","318","","350","","","35",""
"2020-09-26","2204","","1552","","27","318","","","34","","",""
"2020-09-27","2254","","1559","6","34","318","","","","77","",""
"2020-09-28","2256","","1604","","","320","","","","77","",""
"2020-09-29","2291","","1610","","37","321","","","","","",""
"2020-09-30","2370","","1611","","","324","","","","77","",""
"2020-10-01","2410","","1643","6","37","325","","351","","","",""
"2020-10-02","2464","","1649","","42","326","","","","77","","120"
"2020-10-03","2507","","1652","","","","","","","","",""
"2020-10-04","2547","","1655","6","44","327","","","","82","",""
"2020-10-05","2588","","1728","","","327","","","","","",""
"2020-10-06","2616","","1732","","44","330","","353","","","",""
"2020-10-07","2644","","1736","","44","331","","353","34","","36","122"
"2020-10-08","2651","","1795","","","331","","353","","","",""
"2020-10-09","2724","","1805","6","44","331","","353","","91","",""
