"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","   .00 %","","","","",""
"2020-03-19","","","","","","","","","   .00 %","","","   .00 %","","",""
"2020-03-21","","","   .00 %","","","   .00 %","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","   .00 %","","",""
"2020-03-23","","","","","","","","","","",""," ##.## %","","",""
"2020-03-24","","   .00 %","","","","","","","","","","","","",""
"2020-03-25","","","","","   .00 %"," ##.## %","","","","","","","","",""
"2020-03-26","","","","",""," 50.00 %","","","","","","","","",""
"2020-03-27","","","",""," ##.## %","","","","","",""," 50.00 %","","",""
"2020-03-28","","","",""," ##.## %"," 33.33 %","   .00 %",""," ##.## %","","","","","",""
"2020-03-29","","","","","","","","","","",""," 66.67 %","","",""
"2020-03-30","",""," ##.## %","","","","","","","","","","","",""
"2020-03-31","   .00 %",""," 33.33 %",""," ##.## %"," 25.00 %","",""," ##.## %","",""," 80.00 %","","",""
"2020-04-01",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","",""," 36.36 %","   .00 %",""," 11.11 %","","   .00 %","   .00 %"
"2020-04-02",""," 50.00 %","","",""," 53.33 %","",""," 13.33 %"," ##.## %","","","","  7.14 %"," 20.00 %"
"2020-04-03","",""," 22.22 %","","","","","",""," 34.78 %",""," 40.00 %","","","  5.56 %"
"2020-04-04"," 50.00 %"," 11.11 %","",""," 50.00 %"," 21.74 %"," ##.## %",""," 23.53 %","","","","",""," 21.05 %"
"2020-04-05"," ##.## %"," 70.00 %","","","",""," ##.## %","","  9.52 %","  6.45 %","","","","  6.67 %",""
"2020-04-06","","","","","  6.67 %","  3.57 %"," 37.74 %","","  4.35 %"," 24.24 %",""," 35.71 %",""," 31.25 %"," 21.74 %"
"2020-04-07","","  5.88 %","",""," 28.12 %","","  1.37 %","","","","","","","",""
"2020-04-08"," ##.## %"," 11.11 %","",""," 19.51 %"," 20.69 %","",""," 16.67 %"," 14.63 %","","","","  4.76 %",""
"2020-04-09","","","  9.09 %","","  4.08 %","","",""," 39.29 %","","","","","","  3.57 %"
"2020-04-10"," 15.38 %",""," 41.67 %",""," 13.73 %","","  2.70 %","","  5.13 %","","","","","",""
"2020-04-11","","","",""," 29.31 %","","  6.58 %","","  2.44 %","","","","","","  3.45 %"
"2020-04-12","","  5.00 %","","","  9.33 %","","  2.47 %","","","  8.51 %","","","","","  3.33 %"
"2020-04-13","","  9.52 %","",""," 13.41 %","  2.86 %","","","","  7.84 %","","","","  4.55 %",""
"2020-04-14"," 33.33 %","","",""," 22.58 %"," 22.22 %","  8.43 %","","","   .00 %","","","","  4.35 %","  6.45 %"
"2020-04-15","  5.00 %","","","","  7.02 %","  2.27 %"," 21.11 %","","","  3.64 %","","",""," 29.17 %","  9.09 %"
"2020-04-16","","","","","","  6.67 %","  2.75 %","","","","","","","  9.68 %",""
"2020-04-17"," 23.81 %"," 21.74 %","","","  2.46 %","  8.33 %"," 12.50 %","",""," 10.53 %","","","","","  2.78 %"
"2020-04-18","",""," 11.76 %","",""," 32.69 %","  4.76 %","","  4.76 %","  4.76 %","","","","  2.94 %",""
"2020-04-19"," 11.54 %",""," 26.32 %","","  2.40 %","  8.70 %"," 19.70 %","","","","","  5.26 %","","",""
"2020-04-20"," 13.79 %"," 89.29 %","  8.33 %",""," 15.62 %","  6.67 %"," 10.13 %","","","","","","","","  8.11 %"
"2020-04-21","  9.09 %","","","","  6.08 %","  3.75 %","  5.75 %","","","","","",""," 11.43 %"," 15.00 %"
"2020-04-22",""," 11.32 %","",""," 12.10 %","  3.61 %"," 10.33 %","","  9.09 %","","","","",""," 10.87 %"
"2020-04-23"," 16.67 %"," 23.73 %"," 23.08 %",""," 10.23 %","  2.33 %"," 15.27 %","","  4.17 %","","","  5.00 %","","",""
"2020-04-24","  9.52 %","","  6.25 %","","  5.67 %"," 15.91 %"," 11.54 %","","  6.00 %","  1.52 %","","","","",""
"2020-04-25"," 10.87 %","","  8.82 %","","  1.46 %"," 24.51 %","  5.36 %","","","  5.97 %","   .00 %","","","","  7.84 %"
"2020-04-26","  3.92 %","","  5.41 %","","  2.88 %"," 39.37 %","  1.45 %","","  5.66 %","","","",""," 30.77 %","  5.45 %"
"2020-04-27","","   .00 %","",""," 10.75 %"," 18.64 %","  4.66 %","","","  9.86 %"," 33.33 %","","","  5.88 %",""
"2020-04-28","  1.89 %","  1.37 %","","","  7.17 %","  6.19 %"," 13.70 %","","","  3.85 %","","","",""," 12.07 %"
"2020-04-29","  7.41 %","  4.05 %","  2.56 %",""," 11.42 %","  5.83 %","  3.31 %","","  7.14 %","   .00 %"," 25.00 %","  4.76 %","","  3.70 %","  6.15 %"
"2020-04-30","  5.17 %","  3.90 %","  5.00 %","","  1.41 %","  4.24 %"," 12.54 %","","","  2.47 %","","   .00 %","","","  5.80 %"
"2020-05-01","  9.84 %","   .00 %","   .00 %","","  6.62 %","   .00 %","  6.48 %","","","   .00 %","","  9.09 %","","  3.57 %","  8.22 %"
"2020-05-02","  5.97 %","   .00 %","  7.14 %","","   .65 %","  4.88 %","  6.08 %","","  1.67 %","  7.23 %",""," 16.67 %","","  1.72 %","  5.06 %"
"2020-05-03","  9.86 %","  1.25 %","   .00 %","","  3.57 %","  3.10 %","  6.88 %","","","  1.12 %","","","","",""
"2020-05-04","","  1.23 %","   .00 %","","  5.96 %","  4.51 %","  5.36 %","","   .00 %","   .00 %",""," 21.43 %","","   .00 %","  4.82 %"
"2020-05-05","  2.56 %","   .00 %","","","  3.85 %","  2.88 %","  5.09 %","   .00 %","","  1.11 %","","  5.88 %","","   .00 %","  2.30 %"
"2020-05-06","   .00 %","   .00 %","  2.22 %","","  3.42 %","  4.90 %","  3.29 %"," 92.86 %","   .00 %","","","  5.56 %","","   .00 %","  1.12 %"
"2020-05-07","  3.75 %","","","","  2.75 %","  5.33 %","  1.31 %","","","  4.40 %",""," 18.42 %","   .00 %","","  6.67 %"
"2020-05-08"," 19.28 %","  3.66 %","","","   .27 %","  1.90 %","  1.30 %","","   .00 %","   .00 %",""," 24.44 %"," 33.33 %"," 15.25 %","   .00 %"
"2020-05-09","  3.03 %"," 12.94 %","   .00 %","","   .53 %","  4.97 %","  1.10 %","","","   .00 %","","  8.93 %","","",""
